	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	TEICHOICACID-PWY	Week_and_consortia	S2_w9w10	-1.86394714989516	0.0515945856050648	76	76	2.36253069604565e-48	7.040341474216031e-46	TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis // major teichoic acid biosynthesis // glycerol teichoic acid biosynthesis	Biosynthesis						
1	PWY-5177	Week_and_consortia	S2_w9w10	2.09470036719605	0.065954784105096	76	56	1.72462056889578e-44	2.5696846476547098e-42	PWY-5177	glutaryl-CoA degradation	Degradation/utilization/assimilation						
2	PWY-7090	Week_and_consortia	S2_w9w10	4.68948786726755	0.158513971973039	76	73	2.1296913285741298e-42	1.58662003978772e-40	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
3	REDCITCYC	Week_and_consortia	S2_w9w10	-1.95012624772844	0.0657941295721786	76	76	1.91046889383694e-42	1.58662003978772e-40	REDCITCYC	TCA cycle VI (Helicobacter) // Krebs cycle // tricarboxylic acid cycle // TCA cycle // citric acid cycle	Generation of precursor metabolites and energy						
4	PWY-6148	Week_and_consortia	S2_w9w10	2.45820458417021	0.0878819600933018	76	56	9.31370824412878e-41	5.55097011350075e-39	PWY-6148	tetrahydromethanopterin biosynthesis // H<sub>4</sub>MPT biosynthesis	Biosynthesis						
5	PWY-2201	Week_and_consortia	S2_w9w10	2.52017912717625	0.090527240817264	76	56	1.2805925878891498e-40	6.36027651984944e-39	PWY-2201	folate transformations I	Biosynthesis						
6	KETOGLUCONMET-PWY	Week_and_consortia	S2_w9w10	2.52707845806052	0.0927667044842099	76	56	5.4427057491740795e-40	2.31703759036268e-38	KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation/utilization/assimilation	Superpathways					
7	PWY-5345	Week_and_consortia	S2_w9w10	-0.750844241797332	0.0281905265816695	76	76	2.36508523931331e-39	8.80994251644208e-38	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Superpathways	Biosynthesis	Amino acid biosynthesis				
8	PWY-6471	Week_and_consortia	S2_w9w10	1.58302345332863	0.0613031260001942	76	76	1.83741940596994e-38	6.08389981087823e-37	PWY-6471	peptidoglycan biosynthesis IV (<i>Enterococcus faecium</i>)	Detoxification	Superpathways		Biosynthesis	Cell structure biosynthesis		
9	PWY-4984	Week_and_consortia	S2_w9w10	1.11298434510745	0.0457197940217298	76	76	8.94818220530482e-37	2.66655829718083e-35	PWY-4984	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle	Degradation/utilization/assimilation						
