"features"	"coefs"	"category"
"1"	"PWY.6572"	-2.30369906599502	"left"
"2"	"PWY.6690"	-2.22700234228757	"left"
"3"	"HCAMHPDEG.PWY"	-2.22700234228757	"left"
"4"	"PWY0.1277"	-2.10820513643274	"left"
"5"	"REDCITCYC"	-1.58583316339042	"left"
"6"	"TEICHOICACID.PWY"	-1.58338012478472	"left"
"7"	"PWY.6749"	-1.3112583629303	"left"
"8"	"PWY.5177"	1.74590634044401	"right"
"9"	"PWY490.3"	2.03199345055253	"right"
"10"	"CRNFORCAT.PWY"	2.23278214159718	"right"
"11"	"PWY.181"	2.23624107996174	"right"
"12"	"PWY.7090"	2.246299233495	"right"
"13"	"PWY.1622"	2.26455130484601	"right"
"14"	"PWY.6148"	2.34510271170494	"right"
"15"	"PWY.2201"	2.35024069857105	"right"
"16"	"KETOGLUCONMET.PWY"	2.46404105285648	"right"
"17"	"P221.PWY"	2.54663873336448	"right"
