"features"	"coefs"	"category"
"1"	"ko.K08222"	-8.86931369306667	"left"
"2"	"ko.K21701"	-7.63324538787364	"left"
"3"	"ko.K00045"	-7.4868285747581	"left"
"4"	"ko.K01727"	-7.37835023232275	"left"
"5"	"ko.K00886"	-7.24180164050268	"left"
"6"	"ko.K13020"	-7.22285026089394	"left"
"7"	"ko.K09138"	-7.15265788423657	"left"
"8"	"ko.K00171"	-7.08282217771094	"left"
"9"	"ko.K13486"	-6.80508228161798	"left"
"10"	"ko.K11636"	-6.73381584375688	"left"
"11"	"ko.K14949"	5.47394653077129	"right"
"12"	"ko.K20429"	5.60790248292184	"right"
"13"	"ko.K19789"	5.72869931952341	"right"
"14"	"ko.K15773"	5.89613169827257	"right"
"15"	"ko.K01406"	5.94514222393876	"right"
"16"	"ko.K02203"	5.9785146667874	"right"
"17"	"ko.K20373"	5.99546571981832	"right"
"18"	"ko.K21405"	6.68238044270793	"right"
"19"	"ko.K18431"	7.53472737151177	"right"
"20"	"ko.K21379"	10.7468151736826	"right"
