Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_R_F_NS6_week5_S1_L001_R1_001	(1.0, 1.4531283042808374)	(2.0, 0.6495272046161747)	(3.0, 0.4350321742545542)	(4.0, 0.3021056765656627)	(5.0, 0.23413189933838857)	(6.0, 0.2175160871272771)	(7.0, 0.2009002749161657)	(8.0, 0.10875804356363855)	(9.0, 0.10875804356363855)	('>10', 1.5301652518050814)	('>50', 0.5181112353101115)	('>100', 2.8760460409051087)	('>500', 2.4515875653303527)	('>1k', 19.422373946406456)	('>5k', 22.360351651007523)	('>10k+', 47.13150660100903)
016R_R_F_NS6_week5_S1_L001_R2_001	(1.0, 4.939427811848585)	(2.0, 0.9365275973535543)	(3.0, 0.7159904534606205)	(4.0, 0.6283798072565784)	(5.0, 0.4833690825050602)	(6.0, 0.42596900395758436)	(7.0, 0.45466904323132235)	(8.0, 0.29002144950303616)	(9.0, 0.2583003534636416)	('>10', 2.1917766834838828)	('>50', 0.25376876831515666)	('>100', 2.871514455756624)	('>500', 0.0)	('>1k', 19.33325277181958)	('>5k', 31.986949034772362)	('>10k+', 34.23008368327241)
036R_0_M_NS1_S62_L001_R1_001	(1.0, 1.4059257795406743)	(2.0, 0.688847169092218)	(3.0, 0.46158406617449854)	(4.0, 0.344423584546109)	(5.0, 0.31054585491862285)	(6.0, 0.2710218370198891)	(7.0, 0.25690611634176985)	(8.0, 0.2032663777649168)	(9.0, 0.16515393193399489)	('>10', 1.6614203238146323)	('>50', 0.19197380122242141)	('>100', 2.951597193794729)	('>500', 0.0)	('>1k', 22.939457674011546)	('>5k', 21.029600666262017)	('>10k+', 47.11827562356196)
036R_0_M_NS1_S62_L001_R2_001	(1.0, 5.475488051042446)	(2.0, 0.8892904027215108)	(3.0, 0.7283711869909518)	(4.0, 0.5646288271247688)	(5.0, 0.6069759891591265)	(6.0, 0.4065327555298336)	(7.0, 0.3754781700379713)	(8.0, 0.30489956664737516)	(9.0, 0.30489956664737516)	('>10', 2.5238908572477166)	('>50', 0.34160044041048515)	('>100', 2.713041514334514)	('>500', 0.0)	('>1k', 31.397597504340585)	('>5k', 19.198791694309953)	('>10k+', 34.168513473455384)
036R_0_M_NS1_week5_S41_L001_R1_001	(1.0, 1.3259064802846368)	(2.0, 0.7115920205748704)	(3.0, 0.3957730900950122)	(4.0, 0.314486361152939)	(5.0, 0.25985101874925043)	(6.0, 0.2478578948069773)	(7.0, 0.22387164692243114)	(8.0, 0.12792665538424636)	(9.0, 0.14391748730727716)	('>10', 1.6017483309569183)	('>50', 0.26118358807616965)	('>100', 0.8395186759591169)	('>500', 5.5008461815225935)	('>1k', 23.550497714643605)	('>5k', 25.214876803965723)	('>10k+', 39.28014604959823)
036R_0_M_NS1_week5_S41_L001_R2_001	(1.0, 4.489426062390896)	(2.0, 0.9061471423050783)	(3.0, 0.6916034806710819)	(4.0, 0.5117066215369854)	(5.0, 0.42642218461415454)	(6.0, 0.3198166384606159)	(7.0, 0.3264794850952121)	(8.0, 0.3517983023066775)	(9.0, 0.27584185067228123)	('>10', 2.228055914608958)	('>50', 0.3771171195181429)	('>100', 0.8515117999013898)	('>500', 5.240995162773343)	('>1k', 23.689084924643204)	('>5k', 32.25617312740695)	('>10k+', 27.05782018309503)
036R_L_M_NS1_S63_L001_R1_001	(1.0, 1.4133845075999878)	(2.0, 0.6853696426939596)	(3.0, 0.42036004751896183)	(4.0, 0.3838069999086174)	(5.0, 0.37314569435560024)	(6.0, 0.23759480946723932)	(7.0, 0.213226111060343)	(8.0, 0.21931828566206707)	(9.0, 0.1370739285387919)	('>10', 1.7484541106948126)	('>50', 0.2436869840689634)	('>100', 2.2434432970848945)	('>500', 3.6781504157909164)	('>1k', 15.3279112979378)	('>5k', 20.83219105059551)	('>10k+', 51.84288281702154)
036R_L_M_NS1_S63_L001_R2_001	(1.0, 5.387005391574522)	(2.0, 1.0143470711870601)	(3.0, 0.6488165950836151)	(4.0, 0.5178348411465473)	(5.0, 0.4416826586249962)	(6.0, 0.3472539522982728)	(7.0, 0.3624843888025831)	(8.0, 0.31679307928965245)	(9.0, 0.24673307136982547)	('>10', 2.2434432970848945)	('>50', 0.2650095951749977)	('>100', 2.14749154710774)	('>500', 2.1078924121965334)	('>1k', 25.899357275579515)	('>5k', 19.35788479697828)	('>10k+', 38.69597002650096)
036R_L_M_NS1_week5_S42_L001_R1_001	(1.0, 1.2695487470884845)	(2.0, 0.5835828918068033)	(3.0, 0.42232972433387084)	(4.0, 0.40441270572576726)	(5.0, 0.27515421433873405)	(6.0, 0.23036166781847503)	(7.0, 0.1433361488648289)	(8.0, 0.1330978525173411)	(9.0, 0.23036166781847503)	('>10', 1.5830965727302977)	('>50', 0.09598402825769792)	('>100', 1.3514551178683867)	('>500', 2.7963346899075994)	('>1k', 26.32393969643451)	('>5k', 12.723642785840436)	('>10k+', 51.43336148864829)
036R_L_M_NS1_week5_S42_L001_R2_001	(1.0, 4.351275947682306)	(2.0, 0.8344211523202539)	(3.0, 0.6872456423251171)	(4.0, 0.49655737285315726)	(5.0, 0.3647393073792521)	(6.0, 0.36089994624894417)	(7.0, 0.3045893163377614)	(8.0, 0.21500422329724334)	(9.0, 0.2073255010366275)	('>10', 2.4725485679182984)	('>50', 0.19324784355883182)	('>100', 2.0489390565409917)	('>500', 1.9247997133277024)	('>1k', 26.271468427653637)	('>5k', 33.13112698047045)	('>10k+', 26.135811001049426)
036R_NS1_week18_S34_L001_R1_001	(1.0, 1.0120470741161998)	(2.0, 0.547805296998677)	(3.0, 0.36559039948004923)	(4.0, 0.2878299018128641)	(5.0, 0.2959541329124208)	(6.0, 0.20194517304612242)	(7.0, 0.23560270188714283)	(8.0, 0.12998769759290638)	(9.0, 0.041781759940577055)	('>10', 1.725818806434391)	('>50', 0.35746616838049255)	('>100', 1.196583180520415)	('>500', 2.1633666813676564)	('>1k', 26.293493651493698)	('>5k', 10.862096980107241)	('>10k+', 54.282630393909145)
036R_NS1_week18_S34_L001_R2_001	(1.0, 3.4226225017989367)	(2.0, 0.7567140967015622)	(3.0, 0.5675355725261716)	(4.0, 0.4363872704904714)	(5.0, 0.3946055105498944)	(6.0, 0.35514495949490493)	(7.0, 0.25185116408625613)	(8.0, 0.3156844084399155)	(9.0, 0.2820268795988951)	('>10', 1.954457881664771)	('>50', 0.2564935818574313)	('>100', 2.0600728859590074)	('>500', 1.4414707179499082)	('>1k', 20.802674032636197)	('>5k', 25.045843875490352)	('>10k+', 41.65641466075532)
