Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
016R_R_F_NS6_week5_S1_L001_R1_001	97.7432705960545	48.0	279.9432343433733	282	45.45454545454545	0.066202
016R_R_F_NS6_week5_S1_L001_R2_001	93.73885985317663	51.0	269.79876740883964	277	45.45454545454545	0.066202
036R_0_M_NS1_S62_L001_R1_001	97.68784495292407	48.0	279.7661307398049	282	45.45454545454545	0.070843
036R_0_M_NS1_S62_L001_R2_001	93.19481106107872	51.0	268.5990570698587	277	45.45454545454545	0.070843
036R_0_M_NS1_week5_S41_L001_R1_001	97.82791199712165	48.0	279.95988966325973	282	45.45454545454545	0.075043
036R_0_M_NS1_week5_S41_L001_R2_001	94.27528217155498	51.0	270.03459349972684	277	45.45454545454545	0.075043
036R_L_M_NS1_S63_L001_R1_001	97.68040452039355	49.0	279.7565110116056	282	45.45454545454545	0.065658
036R_L_M_NS1_S63_L001_R2_001	93.33059185476256	51.0	267.45986779981115	277	45.45454545454545	0.065658
036R_L_M_NS1_week5_S42_L001_R1_001	97.92290562850341	49.0	280.15809209347566	282	45.45454545454545	0.078138
036R_L_M_NS1_week5_S42_L001_R2_001	94.47259975940004	51.0	269.87624459289975	277	45.45454545454545	0.078138
036R_NS1_week18_S34_L001_R1_001	98.25096910470974	48.0	280.6500197302755	282	45.45454545454545	0.086162
036R_NS1_week18_S34_L001_R2_001	95.51426382860194	50.0	271.7079803161487	277	36.36363636363637	0.086162
036R_RL_M_NS1_S64_L001_R1_001	97.45402860442391	49.0	279.84793461845965	282	45.45454545454545	0.056284999999999995
036R_RL_M_NS1_S64_L001_R2_001	92.77249711290753	51.0	267.21115750199874	277	45.45454545454545	0.056284999999999995
036R_RL_M_NS1_week5_S43_L001_R1_001	97.85593249645537	49.0	279.92002397666886	282	45.45454545454545	0.086751
036R_RL_M_NS1_week5_S43_L001_R2_001	93.58393563186591	51.0	267.42363776786436	277	45.45454545454545	0.086751
036R_RR_M_NS1_S65_L001_R1_001	97.90580289488443	49.0	279.88805890003937	282	45.45454545454545	0.083803
036R_RR_M_NS1_S65_L001_R2_001	94.60043196544277	51.0	269.7683495817572	277	45.45454545454545	0.083803
036R_RR_M_NS1_week5_S44_L001_R1_001	98.00867129647393	49.0	279.7880328434946	282	45.45454545454545	0.104252
036R_RR_M_NS1_week5_S44_L001_R2_001	94.91328703526071	51.0	269.9028411924951	277	45.45454545454545	0.104252
1030R_RR_M_NS1_week5_S45_L001_R1_001	98.25609642639321	49.0	279.9286519118848	282	45.45454545454545	0.09673699999999999
1030R_RR_M_NS1_week5_S45_L001_R2_001	94.89337068546678	51.0	269.5780621685601	277	45.45454545454545	0.09673699999999999
1030R_RR_M_NS1_week9_S66_L001_R1_001	97.70750010308004	49.0	279.80560480490385	282	45.45454545454545	0.07275899999999999
1030R_RR_M_NS1_week9_S66_L001_R2_001	94.56012314627743	51.0	269.2260613807227	277	45.45454545454545	0.07275899999999999
1060R_L_M_S5_week5_S12_L001_R1_001	97.88310331555506	50.0	278.8657695056909	282	45.45454545454545	0.072748
1060R_L_M_S5_week5_S12_L001_R2_001	94.72975202067411	53.0	267.7756501896959	277	45.45454545454545	0.072748
1075R_0_M_NS6_week5_S2_L001_R1_001	97.42109577811176	49.0	280.17492143735484	282	45.45454545454545	0.058552
1075R_0_M_NS6_week5_S2_L001_R2_001	93.63471785763082	51.0	269.512245525345	277	45.45454545454545	0.058552
1075R_RL_M_NS6_week5_S3_L001_R1_001	97.69358172385945	48.0	280.2016507658404	282	45.45454545454545	0.073057
1075R_RL_M_NS6_week5_S3_L001_R2_001	94.02931957238869	51.0	269.9436467415853	277	45.45454545454545	0.073057
1076R_0_M_S5_week5_S13_L001_R1_001	97.88689980393916	50.0	279.161525942822	282	45.45454545454545	0.078037
1076R_0_M_S5_week5_S13_L001_R2_001	94.51414072811615	52.0	268.4771582710765	277	45.45454545454545	0.078037
1121R_L_M_NS1_week5_S46_L001_R1_001	98.01157871298152	49.0	279.50074593631706	282	45.45454545454545	0.08982
1121R_L_M_NS1_week5_S46_L001_R2_001	94.38877755511022	52.0	268.99609218436876	277	45.45454545454545	0.08982
1121R_L_M_NS1_week9_S67_L001_R1_001	97.85526016510349	49.0	279.51800216748507	282	45.45454545454545	0.074741
1121R_L_M_NS1_week9_S67_L001_R2_001	94.67360618669807	52.0	268.2835257756787	277	45.45454545454545	0.074741
1121R_NS1_week19_S35_L001_R1_001	97.93993511154498	49.0	279.9750782393982	282	45.45454545454545	0.069658
1121R_NS1_week19_S35_L001_R2_001	95.0457951706911	51.0	269.9738579919033	277	45.45454545454545	0.069658
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	97.92620123162692	48.0	279.87822115907363	282	45.45454545454545	0.10116699999999999
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	94.78189528205837	51.0	270.04669506855004	277	45.45454545454545	0.10116699999999999
1121R_RL_M_NS1_week5_S48_L001_R1_001	97.95652769532856	49.0	279.58882825699806	282	45.45454545454545	0.087596
1121R_RL_M_NS1_week5_S48_L001_R2_001	94.5248641490479	52.0	268.13693547650576	277	45.45454545454545	0.087596
