Sample	Unique Reads	Duplicate Reads
016R_R_F_NS6_week5_S1_L001_R1_001	1494.0	64708.0
016R_R_F_NS6_week5_S1_L001_R2_001	4145.0	62057.0
036R_0_M_NS1_S62_L001_R1_001	1638.0	69205.0
036R_0_M_NS1_S62_L001_R2_001	4821.0	66022.0
036R_0_M_NS1_week5_S41_L001_R1_001	1630.0	73413.0
036R_0_M_NS1_week5_S41_L001_R2_001	4296.0	70747.0
036R_L_M_NS1_S63_L001_R1_001	1524.0	64134.0
036R_L_M_NS1_S63_L001_R2_001	4379.0	61279.0
036R_L_M_NS1_week5_S42_L001_R1_001	1623.0	76515.0
036R_L_M_NS1_week5_S42_L001_R2_001	4319.0	73819.0
036R_NS1_week18_S34_L001_R1_001	1507.0	84655.0
036R_NS1_week18_S34_L001_R2_001	3865.0	82297.0
036R_RL_M_NS1_S64_L001_R1_001	1433.0	54852.0
036R_RL_M_NS1_S64_L001_R2_001	4068.0	52217.0
036R_RL_M_NS1_week5_S43_L001_R1_001	1860.0	84891.0
036R_RL_M_NS1_week5_S43_L001_R2_001	5566.0	81185.0
036R_RR_M_NS1_S65_L001_R1_001	1755.0	82048.0
036R_RR_M_NS1_S65_L001_R2_001	4525.0	79278.0
036R_RR_M_NS1_week5_S44_L001_R1_001	2076.0	102176.0
036R_RR_M_NS1_week5_S44_L001_R2_001	5304.0	98948.0
1030R_RR_M_NS1_week5_S45_L001_R1_001	1687.0	95050.0
1030R_RR_M_NS1_week5_S45_L001_R2_001	4940.0	91797.0
1030R_RR_M_NS1_week9_S66_L001_R1_001	1668.0	71091.0
1030R_RR_M_NS1_week9_S66_L001_R2_001	3958.0	68801.0
1060R_L_M_S5_week5_S12_L001_R1_001	1540.0	71208.0
1060R_L_M_S5_week5_S12_L001_R2_001	3834.0	68914.0
1075R_0_M_NS6_week5_S2_L001_R1_001	1510.0	57042.0
1075R_0_M_NS6_week5_S2_L001_R2_001	3727.0	54825.0
1075R_RL_M_NS6_week5_S3_L001_R1_001	1685.0	71372.0
1075R_RL_M_NS6_week5_S3_L001_R2_001	4362.0	68695.0
1076R_0_M_S5_week5_S13_L001_R1_001	1649.0	76388.0
1076R_0_M_S5_week5_S13_L001_R2_001	4281.0	73756.0
1121R_L_M_NS1_week5_S46_L001_R1_001	1786.0	88034.0
1121R_L_M_NS1_week5_S46_L001_R2_001	5040.0	84780.0
1121R_L_M_NS1_week9_S67_L001_R1_001	1603.0	73138.0
1121R_L_M_NS1_week9_S67_L001_R2_001	3981.0	70760.0
1121R_NS1_week19_S35_L001_R1_001	1435.0	68223.0
1121R_NS1_week19_S35_L001_R2_001	3451.0	66207.0
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	2098.0	99069.0
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	5280.0	95887.0
1121R_RL_M_NS1_week5_S48_L001_R1_001	1790.0	85806.0
1121R_RL_M_NS1_week5_S48_L001_R2_001	4796.0	82800.0
1121R_RL_M_NS1_week9_S69_L001_R1_001	1978.0	95402.0
1121R_RL_M_NS1_week9_S69_L001_R2_001	4927.0	92453.0
1121R_RR_M_NS1_week5_S49_L001_R1_001	1407.0	60632.0
1121R_RR_M_NS1_week5_S49_L001_R2_001	3941.0	58098.0
1121R_RR_M_NS1_week9_S70_L001_R1_001	1918.0	90006.0
1121R_RR_M_NS1_week9_S70_L001_R2_001	5167.0	86757.0
1121R_R_M_NS1_week5_S47_L001_R1_001	1614.0	67994.0
1121R_R_M_NS1_week5_S47_L001_R2_001	3955.0	65653.0
1121R_R_M_NS1_week9_S68_L001_R1_001	1783.0	78384.0
1121R_R_M_NS1_week9_S68_L001_R2_001	4255.0	75912.0
1136R_0_F_S5_week5_S14_L001_R1_001	1416.0	61701.0
1136R_0_F_S5_week5_S14_L001_R2_001	3710.0	59407.0
1151R_0_M_NS1_week5_S50_L001_R1_001	1362.0	70931.0
1151R_0_M_NS1_week5_S50_L001_R2_001	4014.0	68279.0
1151R_0_M_NS1_week9_S71_L001_R1_001	1825.0	82778.0
1151R_0_M_NS1_week9_S71_L001_R2_001	4578.0	80025.0
1151R_NS1_week21_S36_L001_R1_001	1853.0	91865.0
1151R_NS1_week21_S36_L001_R2_001	4265.0	89453.0
1151R_R_M_NS1_diabetes_S24_L001_R1_001	2193.0	107408.0
1151R_R_M_NS1_diabetes_S24_L001_R2_001	5894.0	103707.0
1184R_0_M_NS6_week5_S4_L001_R1_001	1756.0	57698.0
1184R_0_M_NS6_week5_S4_L001_R2_001	3847.0	55607.0
1186R_0_M_NS6_week5_S5_L001_R1_001	1474.0	56872.0
1186R_0_M_NS6_week5_S5_L001_R2_001	3791.0	54555.0
1186R_RR_M_NS6_week5_S6_L001_R1_001	1608.0	64790.0
1186R_RR_M_NS6_week5_S6_L001_R2_001	4274.0	62124.0
1193R_0_F_NS1_week5_S51_L001_R1_001	1676.0	76749.0
1193R_0_F_NS1_week5_S51_L001_R2_001	4465.0	73960.0
1193R_0_F_NS1_week9_S72_L001_R1_001	1699.0	72939.0
1193R_0_F_NS1_week9_S72_L001_R2_001	3976.0	70662.0
1193R_L_F_NS1_diabetes_S25_L001_R1_001	1427.0	57788.0
1193R_L_F_NS1_diabetes_S25_L001_R2_001	4353.0	54862.0
1193R_L_F_NS1_week5_S52_L001_R1_001	1691.0	76877.0
1193R_L_F_NS1_week5_S52_L001_R2_001	4560.0	74008.0
1193R_L_F_NS1_week9_S73_L001_R1_001	1568.0	64708.0
1193R_L_F_NS1_week9_S73_L001_R2_001	4113.0	62163.0
1193R_NS1_week24_S38_L001_R1_001	1452.0	65724.0
1193R_NS1_week24_S38_L001_R2_001	3487.0	63689.0
184R_0_M_NS6_week5_S7_L001_R1_001	1503.0	54850.0
184R_0_M_NS6_week5_S7_L001_R2_001	3580.0	52773.0
2402R_0_F_S5_week5_S15_L001_R1_001	1378.0	69620.0
2402R_0_F_S5_week5_S15_L001_R2_001	3561.0	67437.0
2402R_R_F_S5_week5_S16_L001_R1_001	1500.0	65392.0
2402R_R_F_S5_week5_S16_L001_R2_001	3350.0	63542.0
2403R_0_F_NS6_week5_S8_L001_R1_001	1503.0	62854.0
2403R_0_F_NS6_week5_S8_L001_R2_001	3949.0	60408.0
2433R_0_F_S5_week5_S17_L001_R1_001	1862.0	97773.0
2433R_0_F_S5_week5_S17_L001_R2_001	5475.0	94160.0
2475R_0_M_S5_week5_S18_L001_R1_001	2053.0	111660.0
2475R_0_M_S5_week5_S18_L001_R2_001	5767.0	107946.0
2475R_RL_M_S5_week5_S19_L001_R1_001	2055.0	113385.0
2475R_RL_M_S5_week5_S19_L001_R2_001	5756.0	109684.0
2476R_R_F_NS6_week5_S9_L001_R1_001	1524.0	61050.0
2476R_R_F_NS6_week5_S9_L001_R2_001	3787.0	58787.0
2518R_0_M_S5_week5_S20_L001_R1_001	1668.0	76515.0
2518R_0_M_S5_week5_S20_L001_R2_001	4486.0	73697.0
2529R_0_F_NS1_week5_S53_L001_R1_001	1688.0	83267.0
2529R_0_F_NS1_week5_S53_L001_R2_001	4842.0	80113.0
2529R_0_F_NS1_week9_S74_L001_R1_001	1581.0	73959.0
2529R_0_F_NS1_week9_S74_L001_R2_001	4294.0	71246.0
2529R_L_F_NS1_diabetes_S26_L001_R1_001	1498.0	61771.0
