Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
016R_R_F_NS6_week5_S1_L001_R1_001	016R_R_F_NS6_week5_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66202.0	0.0	65-301	48.0	2.2567294039455	279.9432343433733	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
016R_R_F_NS6_week5_S1_L001_R2_001	016R_R_F_NS6_week5_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66202.0	0.0	50-301	51.0	6.261140146823359	269.79876740883964	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_0_M_NS1_S62_L001_R1_001	036R_0_M_NS1_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70843.0	0.0	52-301	48.0	2.3121550470759282	279.7661307398049	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_0_M_NS1_S62_L001_R2_001	036R_0_M_NS1_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70843.0	0.0	50-301	51.0	6.805188938921276	268.5990570698587	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_0_M_NS1_week5_S41_L001_R1_001	036R_0_M_NS1_week5_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75043.0	0.0	59-301	48.0	2.1720880028783496	279.95988966325973	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_0_M_NS1_week5_S41_L001_R2_001	036R_0_M_NS1_week5_S41_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75043.0	0.0	50-301	51.0	5.724717828445025	270.03459349972684	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_L_M_NS1_S63_L001_R1_001	036R_L_M_NS1_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65658.0	0.0	51-301	49.0	2.3195954796064457	279.7565110116056	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_L_M_NS1_S63_L001_R2_001	036R_L_M_NS1_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65658.0	0.0	50-301	51.0	6.669408145237443	267.45986779981115	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_L_M_NS1_week5_S42_L001_R1_001	036R_L_M_NS1_week5_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78138.0	0.0	70-301	49.0	2.077094371496583	280.15809209347566	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
036R_L_M_NS1_week5_S42_L001_R2_001	036R_L_M_NS1_week5_S42_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78138.0	0.0	50-301	51.0	5.527400240599964	269.87624459289975	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
