"","asv_id","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final","curated_species_femmicro","expected_communities"
"1","p3_ASV_64","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Acidovorax","facilis","",""
"2","p4_ASV_52","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis","faecis","S5"
"3","p4_ASV_31","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis","faecis","S5"
"4","p1_ASV_8","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis","massiliensis","NS6"
"5","p2_ASV_100","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis","massiliensis","NS6"
"6","p1_ASV_81","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis","massiliensis","NS6"
"7","p2_ASV_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila","muciniphila","NS1/S2/S5"
"8","p2_ASV_25","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila","muciniphila","NS1/S2/S5"
"9","p1_ASV_29","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila","muciniphila","NS1/S2/S5"
"10","p5_ASV_81","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"muciniphila","NS1/NS6/S2/S5"
"11","p4_ASV_220","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"muciniphila","NS1/NS6/S2/S5"
"12","p3_ASV_171","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"","NS1/NS6/S2/S5"
"13","p3_ASV_166","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"muciniphila","NS1/NS6/S2/S5"
"14","p1_ASV_30","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"15","p2_ASV_88","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"16","p3_ASV_12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"17","p3_ASV_123","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"18","p4_ASV_45","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"19","p1_ASV_125","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","finegoldii","NS1/NS6/S2/S5"
"20","p1_ASV_172","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"","NS1/NS6/S2/S5"
"21","p3_ASV_149","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"finegoldii","NS1/NS6/S2/S5"
"22","p3_ASV_174","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"finegoldii","NS1/NS6/S2/S5"
"23","p1_ASV_151","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"finegoldii","NS1/NS6/S2/S5"
"24","p3_ASV_163","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"finegoldii","NS1/NS6/S2/S5"
"25","p2_ASV_148","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"finegoldii","NS1/NS6/S2/S5"
"26","p1_ASV_42","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii","onderdonkii","NS1/NS6"
"27","p1_ASV_142","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii","onderdonkii","NS1/NS6"
"28","p3_ASV_178","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas",NA,"","S2"
"29","p3_ASV_27","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535","sp900066535","S2"
"30","p3_ASV_52","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535","sp900066535","S2"
"31","p1_ASV_158","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535","sp900066535","S2"
"32","p1_ASV_92","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","","S2"
"33","p2_ASV_127","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","","S2"
"34","p3_ASV_114","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","","S2"
"35","p2_ASV_40","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","","S2"
"36","p1_ASV_76","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","subtilis","S2"
"37","p1_ASV_124","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","","S2"
"38","p1_ASV_155","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","subtilis","S2"
"39","p1_ASV_135","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis","subtilis","S2"
"40","p5_ASV_84","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
