ASV_count,ASV_length,Prevalence_threshold,PPV,TP,FP,Total_ASVs
600,250,0.2,100,40,0,40
600,300,0.2,100,40,0,40
600,350,0.2,100,40,0,40
600,400,0.2,100,40,0,40
600,250,0.1,100,42,0,42
600,250,0.15,100,42,0,42
600,300,0.1,100,42,0,42
600,300,0.15,100,42,0,42
600,350,0.1,100,42,0,42
600,350,0.15,100,42,0,42
600,400,0.1,100,42,0,42
600,400,0.15,100,42,0,42
600,250,0.05,100,50,0,50
600,300,0.05,100,50,0,50
600,350,0.05,100,50,0,50
600,400,0.05,100,50,0,50
200,250,0.05,98.07692308,51,1,52
200,300,0.05,98.07692308,51,1,52
200,350,0.05,98.07692308,51,1,52
200,400,0.05,98.07692308,51,1,52
300,250,0.05,98.07692308,51,1,52
300,300,0.05,98.07692308,51,1,52
300,350,0.05,98.07692308,51,1,52
300,400,0.05,98.07692308,51,1,52
400,250,0.05,98.03921569,50,1,51
400,300,0.05,98.03921569,50,1,51
400,350,0.05,98.03921569,50,1,51
400,400,0.05,98.03921569,50,1,51
500,250,0.05,98.03921569,50,1,51
500,300,0.05,98.03921569,50,1,51
500,350,0.05,98.03921569,50,1,51
500,400,0.05,98.03921569,50,1,51
100,250,0.1,97.6744186,42,1,43
100,250,0.15,97.6744186,42,1,43
100,300,0.1,97.6744186,42,1,43
100,300,0.15,97.6744186,42,1,43
100,350,0.1,97.6744186,42,1,43
100,350,0.15,97.6744186,42,1,43
100,400,0.1,97.6744186,42,1,43
100,400,0.15,97.6744186,42,1,43
200,250,0.1,97.6744186,42,1,43
200,250,0.15,97.6744186,42,1,43
200,300,0.1,97.6744186,42,1,43
200,300,0.15,97.6744186,42,1,43
200,350,0.1,97.6744186,42,1,43
200,350,0.15,97.6744186,42,1,43
200,400,0.1,97.6744186,42,1,43
200,400,0.15,97.6744186,42,1,43
300,250,0.1,97.6744186,42,1,43
300,250,0.15,97.6744186,42,1,43
300,300,0.1,97.6744186,42,1,43
300,300,0.15,97.6744186,42,1,43
300,350,0.1,97.6744186,42,1,43
300,350,0.15,97.6744186,42,1,43
300,400,0.1,97.6744186,42,1,43
300,400,0.15,97.6744186,42,1,43
400,250,0.1,97.6744186,42,1,43
400,250,0.15,97.6744186,42,1,43
400,300,0.1,97.6744186,42,1,43
400,300,0.15,97.6744186,42,1,43
400,350,0.1,97.6744186,42,1,43
400,350,0.15,97.6744186,42,1,43
400,400,0.1,97.6744186,42,1,43
400,400,0.15,97.6744186,42,1,43
500,250,0.1,97.6744186,42,1,43
500,250,0.15,97.6744186,42,1,43
500,300,0.1,97.6744186,42,1,43
500,300,0.15,97.6744186,42,1,43
500,350,0.1,97.6744186,42,1,43
500,350,0.15,97.6744186,42,1,43
500,400,0.1,97.6744186,42,1,43
500,400,0.15,97.6744186,42,1,43
100,250,0.2,97.56097561,40,1,41
100,300,0.2,97.56097561,40,1,41
100,350,0.2,97.56097561,40,1,41
100,400,0.2,97.56097561,40,1,41
200,250,0.2,97.56097561,40,1,41
200,300,0.2,97.56097561,40,1,41
200,350,0.2,97.56097561,40,1,41
200,400,0.2,97.56097561,40,1,41
300,250,0.2,97.56097561,40,1,41
300,300,0.2,97.56097561,40,1,41
300,350,0.2,97.56097561,40,1,41
300,400,0.2,97.56097561,40,1,41
400,250,0.2,97.56097561,40,1,41
400,300,0.2,97.56097561,40,1,41
400,350,0.2,97.56097561,40,1,41
400,400,0.2,97.56097561,40,1,41
500,250,0.2,97.56097561,40,1,41
500,300,0.2,97.56097561,40,1,41
500,350,0.2,97.56097561,40,1,41
500,400,0.2,97.56097561,40,1,41
100,250,0.05,96.22641509,51,2,53
100,300,0.05,96.22641509,51,2,53
100,350,0.05,96.22641509,51,2,53
100,400,0.05,96.22641509,51,2,53
