"features"	"coefs"	"category"
"1"	"P221.PWY"	-5.42547479490405	"left"
"2"	"PWY.1622"	-4.11110901544026	"left"
"3"	"PWY.7090"	-3.2169216204065	"left"
"4"	"PWY.5304"	-3.06925118628011	"left"
"5"	"P281.PWY"	-3.00815020815998	"left"
"6"	"PWY.3781"	-2.50206711163164	"left"
"7"	"PWY.181"	-2.4356250783492	"left"
"8"	"PWY.7371"	-1.95785683831182	"left"
"9"	"PWY.7374"	-1.94910457871129	"left"
"10"	"PWY.6676"	-1.85483940408403	"left"
"11"	"KETOGLUCONMET.PWY"	1.89456555281011	"right"
"12"	"PWY.6071"	1.9359474802258	"right"
"13"	"PWY.6588"	1.9487479015692	"right"
"14"	"PWY0.321"	1.9589868811007	"right"
"15"	"P562.PWY"	1.98216635574909	"right"
"16"	"PWY.7013"	2.08412594092338	"right"
"17"	"PWY.5420"	3.03840301638224	"right"
"18"	"PWY.5419"	3.3756637861673	"right"
"19"	"PWY.7373"	3.68372670684368	"right"
"20"	"PWY.7316"	5.98039346482129	"right"
