pathway	036R_0_M_NS1	036R_0_M_NS1_week5	036R_L_M_NS1	036R_L_M_NS1_week5	036R_NS1_week18	036R_RL_M_NS1	036R_RL_M_NS1_week5	036R_RR_M_NS1	036R_RR_M_NS1_week5	036R_R_M_NS1_week5	036R_R_M_NS1_week6	036R_R_M_NS1_week7	036R_R_M_NS1_week9	1030R_0_M_NS1_week10	1030R_L_M_NS1_week5	1030R_L_M_NS1_week6	1030R_L_M_NS1_week7	1030R_L_M_NS1_week9	1030R_RR_M_NS1_week5	1030R_RR_M_NS1_week9	1030R_R_M_NS1_week10	1121R_0_M_NS1_week5	1121R_0_M_NS1_week6	1121R_0_M_NS1_week7	1121R_0_M_NS1_week9	1121R_L_M_NS1_week5	1121R_L_M_NS1_week9	1121R_NS1_week19	1121R_RL_M_NS1_diabetes	1121R_RL_M_NS1_week5	1121R_RL_M_NS1_week9	1121R_RR_M_NS1_week5	1121R_RR_M_NS1_week9	1121R_R_M_NS1_week5	1121R_R_M_NS1_week9	1151R_0_M_NS1_week5	1151R_0_M_NS1_week9	1151R_NS1_week21	1151R_R_M_NS1_diabetes	1151R_R_M_NS1_week5	1151R_R_M_NS1_week6	1151R_R_M_NS1_week7	1151R_R_M_NS1_week9	1193R_0_F_NS1_week5	1193R_0_F_NS1_week9	1193R_L_F_NS1_diabetes	1193R_L_F_NS1_week5	1193R_L_F_NS1_week9	1193R_NS1_week24	1193R_R_F_NS1_week5	1193R_R_F_NS1_week6	1193R_R_F_NS1_week7	1193R_R_F_NS1_week9	2472R_0_F_NS1_week10	2472R_R_F_NS1_week10	2529R_0_F_NS1_week5	2529R_0_F_NS1_week9	2529R_L_F_NS1_diabetes	2529R_L_F_NS1_week5	2529R_L_F_NS1_week9	2529R_NS1_week22	2529R_RL_F_NS1_week5	2529R_RL_F_NS1_week9	2529R_R_F_NS1_week5	2529R_R_F_NS1_week6	2529R_R_F_NS1_week7	2529R_R_F_NS1_week9	2808_NS1_0_Female_week5	2808_NS1_0_Female_week9	2808_NS1_L_Female_week5	2808_NS1_L_Female_week9	2808_NS1_RR_Female_week5	2808_NS1_RR_Female_week9	2808_NS1_R_Female_week5	2808_NS1_R_Female_week9	2824_NS1_0_Male_week5	2824_NS1_0_Male_week9	2824_NS1_L_Male_week5	2824_NS1_L_Male_week9	2824_NS1_R_Male_week5	2824_NS1_R_Male_week9	2864_NS1_R_Male_week5	2864_NS1_R_Male_week9	2893_NS1_0_Male_week5	2893_NS1_0_Male_week9	2893_NS1_R_Male_week5	2893_NS1_R_Male_week9	2999_NS1_0_Female_week5	2999_NS1_0_Female_week9	2999_NS1_R_Female_week5	2999_NS1_R_Female_week9	3861R_0_M_NS1_week5	3861R_0_M_NS1_week9	3861R_L_M_NS1_diabetes	3861R_L_M_NS1_week5	3861R_L_M_NS1_week9	3861R_NS1_week28	3861R_R_M_NS1_week5	3861R_R_M_NS1_week9	3874R_0_F_NS1_week10	3874R_L_F_NS1_week10	3971R_0_F_NS1_week5	3971R_0_F_NS1_week9	3971R_L_F_NS1_week5	3971R_L_F_NS1_week6	3971R_L_F_NS1_week7	3971R_L_F_NS1_week9	3971R_NS1_week30	3971R_RL_F_NS1_diabetes	3971R_RL_F_NS1_week9	3971R_R_F_NS1_diabetes	3971R_R_F_NS1_week9	3974R_0_M_NS1_week10	3974R_L_M_NS1_week10	3975R_0_F_NS1_week5	3975R_0_F_NS1_week9	3975R_L_F_NS1_diabetes	3975R_L_F_NS1_week5	3975R_L_F_NS1_week9	3975R_NS1_week14	3975R_RL_F_NS1_diabetes	3975R_RL_F_NS1_week9	3975R_R_F_NS1_diabetes	3975R_R_F_NS1_week5	3975R_R_F_NS1_week6	3975R_R_F_NS1_week7	3975R_R_F_NS1_week9	NS1_defined_inocula	NS1_inocula	NS1_mouse_inoculum
1CMET2-PWY	12743.930380218537	13261.68206055461	11902.447776674939	14224.88280323016	14414.398352226723	10060.35762348178	14148.083898306557	15429.81696630534	19015.952088198163	19717.05962753036	19899.47328779766	18453.634917635274	17765.796346741543	18307.794879064913	25841.761597187757	23136.616585259675	21582.92138091506	19751.782892473115	18440.251068738842	12926.742294719428	16111.993347307476	19978.568392277226	20520.962471464023	16749.404748726658	17988.440863044703	16715.598770928562	14655.96634848287	12883.8576898263	17605.78431866266	16633.567894214448	18487.529447912584	11483.765610073571	17519.2817141178	13096.770611510166	15368.10298820252	13862.98670858909	15981.409196378045	17699.60045483436	19343.15195024161	19536.307751425706	20688.96710735275	20687.28535131252	19121.049816420706	14799.90814191807	14238.191730138002	10461.2504288886	14634.828152409558	12116.99821209351	12816.568463802185	18740.547900962087	16375.605996256149	18189.94840590309	15871.633974707238	20544.54123181403	18358.89591036524	16366.655567585216	14427.921910365245	11366.473020155849	13653.762066779851	13464.494421705627	14423.646643768227	15089.622000652997	13667.982533237562	16579.46563201428	17556.714723999827	18595.91271995124	16382.816520917675	44251.11939375735	22822.207961647295	22648.99620956859	18156.79171037395	9520.754398807192	21296.351854642806	23764.796679334806	18941.645010883294	17290.767205171738	28288.148268120676	22784.21425954464	15931.94129145444	20816.393240694786	19058.235116146443	15397.178474903138	22125.956621479258	17305.26685089896	24155.135139915543	16946.042232989417	29716.901207696665	14647.587902529276	16000.90279987811	36252.888051586786	26049.1376590919	14177.583259109311	11636.75584772104	10785.489963127424	9997.320183840493	11613.25461978146	13715.122582734752	13638.639403726438	16685.033625658434	17621.863002960257	16007.899328501153	13442.778027687084	16358.484493796524	20004.58025945758	19743.720958991773	17894.027974968438	19096.87611767011	15905.838690087503	11889.102991467498	13820.986873057333	11218.099234948413	12841.860820861088	18561.84616351051	19149.757497279174	10655.184931565887	21814.45848778895	13670.203289538984	12555.65492403465	15360.756302424797	11538.889105524357	10953.555492577598	13541.910932480085	12283.747809368337	18805.90655091202	20074.18774432981	20006.796226894785	24256.748028253016	9828.331279831089	13746.872827478126	14746.590091942013
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	47.67000000000001	325.5	48.66166666666667	329.16333333333336	64.66833333333334	75.50666666666667	244.66166666666666	76.51	518.5016666666667	432.00500000000005	159.67000000000002	177.99833333333333	218.00333333333336	185.01	824.5066666666667	229.99666666666667	228.50333333333336	87.17333333333335	296.66	46.66666666666667	154.82833333333335	651.5016666666667	202.33500000000004	96.33166666666668	107.49666666666667	308.3266666666667	104.16	89.83333333333334	217.33833333333337	392.3266666666667	117.67	286.4983333333334	121.49666666666666	366.5083333333334	58.67166666666667	215.1566666666667	201.33166666666668	144.165	284.1766666666667	409.67500000000007	356.33500000000004	203.175	134.505	482.33500000000004	47.16833333333334	358.49333333333334	380.0066666666667	56.0	95.66666666666669	497.665	168.0	126.50166666666667	60.32833333333334	248.66333333333333	152.33166666666668	339.675	156.17000000000002	144.34	191.00666666666666	126.84	210.50166666666667	474.83333333333337	132.17166666666668	228.32833333333335	289.6716666666667	199.17333333333335	206.01000000000002	547.33	212.83499999999998	450.83500000000004	334.67	116.50333333333336	167.67333333333335	372.995	151.00166666666667	465.5	260.8316666666667	623.8283333333334	88.00166666666667	430.6633333333334	211.995	294.50166666666667	134.83166666666668	217.84	228.16500000000002	191.17	347.165	338.15833333333336	207.32833333333332	974.1666666666667	254.17000000000002	323.66833333333335	65.00666666666667	37.17	238.66500000000002	42.0	230.16	294.33833333333337	78.34166666666667	258.33500000000004	299.67	290.3366666666667	98.82833333333333	486.1616666666667	196.0	140.16333333333336	93.66	244.16	92.66833333333334	85.16666666666667	63.33833333333334	34.836666666666666	129.33666666666667	183.66833333333335	554.4933333333333	65.99833333333333	116.34	988.8316666666667	62.83666666666667	46.66666666666667	254.82333333333338	71.49333333333334	179.66666666666666	535.8383333333334	190.66833333333335	110.33166666666666	141.49333333333334	1602.836666666667	2610.171666666667	2670.8383333333336
AEROBACTINSYN-PWY	40.86	279.0	41.71	282.14	55.43	64.72	209.71	65.58	444.43	370.29	136.86	152.57	186.85999999999999	158.57999999999998	706.72	197.14000000000001	195.86	74.72	254.28	40.0	132.70999999999998	558.4300000000001	173.43	82.57	92.14000000000001	264.28000000000003	89.28	77.0	186.29	336.28	100.85999999999999	245.57000000000002	104.13999999999999	314.15000000000003	50.29	184.42000000000002	172.57	123.57	243.57999999999998	351.15000000000003	305.43	174.15	115.28999999999999	413.43	40.43	307.28	325.72	48.0	82.0	426.57	144.0	108.43	51.71	213.14	130.57	291.15	133.86	123.72	163.72	108.72	180.43	407.0	113.28999999999999	195.71	248.29000000000002	170.72	176.57999999999998	469.14	182.42999999999998	386.43	286.86	99.86000000000001	143.72	319.71	129.43	399.0	223.57	534.71	75.43	369.14	181.71	252.43	115.57	186.72	195.57	163.85999999999999	297.57	289.85	177.70999999999998	835.0	217.85999999999999	277.43	55.72	31.86	204.57	36.0	197.27999999999997	252.29	67.15	221.43	256.86	248.85999999999999	84.71	416.71	168.0	120.14000000000001	80.28	209.28	79.43	73.0	54.29	29.86	110.86	157.43	475.28	56.57	99.72	847.5699999999999	53.86	40.0	218.42000000000002	61.28	154.0	459.29	163.43	94.57	121.28	1373.8600000000001	2237.29	2289.29
ALL-CHORISMATE-PWY	47.56835820895522	324.80597014925365	48.55791044776119	328.46149253731335	64.53044776119403	75.34567164179103	244.13999999999996	76.34686567164178	517.396119402985	431.08388059701485	159.32955223880595	177.6188059701492	217.5385074626865	184.61552238805967	822.7486567164177	229.50626865671637	228.01611940298503	86.98746268656714	296.0274626865671	46.567164179104466	154.49820895522384	650.1125373134328	201.90358208955223	96.1262686567164	107.26746268656716	307.66925373134325	103.93791044776117	89.6417910447761	216.87492537313426	391.49014925373126	117.41910447761191	285.8874626865671	121.23761194029848	365.72686567164175	58.546567164179095	214.69791044776116	200.90238805970145	143.85761194029848	283.57074626865665	408.8014925373134	355.575223880597	202.7417910447761	134.21820895522387	481.306567164179	47.06776119402984	357.7289552238805	379.19641791044774	55.880597014925364	95.46268656716418	496.60388059701484	167.64179104477608	126.23194029850744	60.19970149253731	248.13313432835818	152.00686567164178	338.95074626865664	155.8370149253731	144.03223880597014	190.59940298507462	126.56955223880595	210.05283582089547	473.82089552238796	131.88985074626865	227.8414925373134	289.05402985074625	198.74865671641788	205.57074626865668	546.1629850746268	212.3811940298507	449.8737313432835	333.95641791044767	116.25492537313433	167.31582089552236	372.1997014925372	150.67970149253728	464.50746268656707	260.2755223880597	622.4982089552237	87.81402985074625	429.7450746268656	211.54298507462687	293.87373134328357	134.5441791044776	217.37552238805966	227.67850746268653	190.76238805970144	346.4247761194029	337.43731343283577	206.88626865671637	972.0895522388059	253.62805970149248	322.97820895522386	64.86805970149253	37.09074626865671	238.15611940298504	41.91044776119402	229.66925373134325	293.7107462686567	78.17462686567163	257.7841791044776	299.03104477611936	289.71761194029847	98.61761194029849	485.12507462686557	195.58208955223876	139.8644776119403	93.46029850746267	243.63940298507458	92.4707462686567	84.98507462686565	63.20328358208954	34.762388059701486	129.06089552238805	183.27671641791042	553.3110447761193	65.8576119402985	116.09194029850744	986.7232835820893	62.702686567164164	46.567164179104466	254.27999999999994	71.34089552238805	179.2835820895522	534.6958208955223	190.2617910447761	110.09641791044774	141.19164179104473	1599.4191044776117	2604.606268656716	2665.143582089552
ANAEROFRUCAT-PWY	2183.187062783979	1639.4852251274021	1404.0435750580466	2156.6622653030486	1321.323577459261	1268.5764535493001	1961.5944546083354	1962.2172290531194	2236.723622115371	2866.3655698060606	3212.871030203387	2107.8928080720375	2468.0037825302165	1716.7189220919392	4486.486926031516	3195.940793347141	1469.2719776491958	2380.3394259311726	1521.379667937797	2035.981002268024	1708.4094397260774	2308.2241967694686	1844.2203470080726	2048.2904474659576	2290.043704837528	1800.3525474147357	1265.5402451739942	1125.4183504195857	3095.9595054255037	1750.7804600578318	1607.1345259986954	1162.8495558634963	1935.2379546218424	1534.7266791623008	1942.0260850488382	1986.940709877231	1677.9623277528112	1279.1495831306297	1396.3899535355883	3445.573810990154	3172.1193645624644	2336.388425080036	2928.304102904257	2323.1281632457762	2386.3397835282694	1010.6467535536325	1723.6962304290225	2394.1230223227208	1141.7980488643261	2633.822253763813	1697.990285691058	1294.2765642135048	2836.952328578703	1734.752020996918	1461.633735276719	1839.1698844991977	1376.4212165912531	1349.701329995833	1407.1404231526035	1553.6954278723526	1091.6538989226124	2421.8602531308497	1422.3227112145628	1659.026875585854	2368.1582259051875	1767.9379200742583	2314.2855783074124	5314.836727700163	4026.4157814540563	2613.690079093863	3472.455046152029	1540.1193717791307	3048.7669820915967	2651.252477536713	2671.40714490478	2270.22112812647	4451.862373177261	3268.3113265199027	2874.14889649683	3212.9209460819193	3206.5761143643895	2383.34762010793	2934.472361644417	2005.0776687924833	3111.0304225649897	2369.9761707433377	4628.359707894838	1930.0454888414972	1622.4106068360475	4825.2094681603685	2493.983440093698	2379.523497835843	1436.238257996935	986.3476296932662	2200.6223518343054	1686.6792823442424	1138.3597034652335	2290.3462722733025	3896.3294143708176	1694.9458994128795	2352.3513556321423	2052.5192001730793	1960.0276025150044	2781.08096445999	2555.2189434397956	2223.013592089299	3649.5657194286778	1182.1000667976064	1312.0820560777322	2247.1972982045345	1064.740432740869	2972.1966951935133	1799.09253506873	1915.7576033343978	2093.071425796275	2436.205314776599	944.4465173306211	2458.566754395557	2205.760343542981	1449.3503331718882	1214.8635577980501	2214.913079945553	2128.4110031297623	2517.3664738781013	1916.0807412177899	1284.9713250312673	3231.5494410537203	3052.5645871376746	5701.25631509336	5050.896573984015
ANAGLYCOLYSIS-PWY	17807.090988617216	19650.2397690495	16550.36476761146	20764.686825669247	20958.914631054657	13593.151703415891	20416.115833318534	21362.691654869006	28185.536469872583	27170.435377557224	27561.819130789172	23710.235069375965	23794.9289721495	24586.415881591714	37768.024665939105	32246.031086821222	27421.891712742017	26127.8582577447	27431.574783932854	17075.644112861915	21781.69615975222	27389.94923013565	27150.931359737468	21456.280938569056	24084.26745778848	24171.721561021528	19373.64542532507	17550.905230105756	24567.853079776993	23901.751129108576	25132.29088774356	16758.800197093693	23354.90278270915	18973.857360327136	21047.35774548346	21104.177119778116	21486.067550585733	24577.3559396721	26584.54020572207	28629.863002412523	28793.00537098302	27535.41659060184	25222.878680257585	21573.168678695347	19504.748356872686	14863.186255459965	21813.34989588416	16249.134311521384	17558.732899844563	29170.61888955496	23212.316838365296	24283.406545371665	20448.943117212155	27462.145601614924	24576.09926155455	24253.082439202495	19074.593512994645	15697.718683942021	19718.928139304877	17949.831831950756	19684.28999790967	22278.439361675566	18360.098219507414	25197.954445702664	25243.742680218482	25070.244338325007	21582.851583198604	62505.37438552041	30846.27034974562	31424.826224366992	24345.80998990185	13292.598353343414	28479.87288601212	33598.25862462836	25229.871036588916	25238.242712682048	38912.55478817032	34148.97879476152	20885.347392563937	31455.05537397438	25598.3969594596	21772.71535889563	29192.245741368846	24939.36650200002	32313.74331754242	24835.957626429194	39714.51879115582	21328.109788068363	20710.491263372332	51536.5208915369	34561.67131430283	20756.253436242125	15973.232015764135	15375.270474196992	13883.811372609716	15465.355212840801	18757.205593115938	19281.200846950487	20880.611818167414	23340.62898282119	21177.360094859905	18754.29824564487	22019.627931458588	28796.550306196314	27154.706281508305	24247.63496088583	26221.39220487682	21756.150792455053	16666.119909079807	18543.893874878246	15413.26669954851	17730.815541774562	24827.178750893785	25559.17185442219	14825.238072699529	29401.59554278123	18819.060058866064	17783.22677422393	20452.771109010195	16069.234609553658	15146.015734478287	18358.887939192624	16736.18511831882	25674.27637521982	26825.736970642294	24940.270138255517	32379.90256056246	13690.722753410217	19479.426728085262	21049.639605226046
ARG+POLYAMINE-SYN	48.22819672131148	329.311475409836	49.231475409836065	333.0177049180328	65.4255737704918	76.39081967213114	247.5265573770492	77.40590163934426	524.5731147540984	437.06360655737706	161.53967213114754	180.08262295081965	220.55606557377047	187.17639344262292	834.1613114754098	232.6898360655738	231.17901639344262	88.19409836065573	300.13377049180326	47.213114754098356	156.64131147540985	659.1304918032787	204.70426229508195	97.45967213114754	108.75540983606558	311.9370491803279	105.37967213114754	90.88524590163934	219.88327868852457	396.9206557377049	119.047868852459	289.8531147540984	122.91934426229507	370.8	59.358688524590164	217.6760655737705	203.68918032786885	145.85311475409836	287.50426229508196	414.472131147541	360.50754098360653	205.55409836065576	136.08	487.98295081967217	47.72065573770492	362.6911475409836	384.456393442623	56.65573770491803	96.78688524590166	503.49245901639347	169.9672131147541	127.98295081967213	61.03475409836066	251.57508196721312	154.11540983606557	343.65245901639344	157.99868852459016	146.03016393442624	193.24327868852458	128.32524590163933	212.96655737704918	480.39344262295083	133.7193442622951	231.00196721311477	293.06360655737706	201.5055737704918	208.4222950819672	553.7390163934426	215.32721311475407	456.1140983606557	338.5888524590164	117.86754098360656	169.6367213114754	377.3626229508196	152.76983606557377	470.9508196721311	263.88590163934424	631.1331147540983	89.03213114754098	435.7062295081967	214.47737704918035	297.95016393442626	136.4104918032787	220.39081967213113	230.8367213114754	193.40852459016392	351.2301639344262	342.11803278688524	209.75606557377046	985.5737704918033	257.1462295081967	327.4583606557377	65.767868852459	37.60524590163934	241.45967213114756	42.49180327868852	232.8550819672131	297.7849180327869	79.25901639344262	261.36	303.1790163934426	293.73639344262295	99.9855737704918	491.85442622950814	198.2950819672131	141.80459016393442	94.7567213114754	247.01901639344263	93.75344262295083	86.1639344262295	64.08	35.244590163934426	130.85114754098362	185.8190163934426	560.9862295081966	66.7711475409836	117.70229508196721	1000.4104918032785	63.57245901639344	47.213114754098356	257.8072131147541	72.33049180327869	181.77049180327867	542.1127868852459	192.90098360655736	111.62360655737704	143.15016393442622	1621.6052459016394	2640.735737704918	2702.112786885246
ARGDEG-PWY	54.48	372.0	55.61333333333333	376.1866666666666	73.90666666666667	86.29333333333334	279.61333333333334	87.44	592.5733333333333	493.71999999999997	182.48000000000002	203.42666666666665	249.14666666666665	211.43999999999997	942.2933333333333	262.85333333333335	261.14666666666665	99.62666666666665	339.03999999999996	53.33333333333333	176.94666666666666	744.5733333333333	231.24	110.09333333333332	122.85333333333334	352.37333333333333	119.03999999999999	102.66666666666666	248.38666666666666	448.37333333333333	134.48	327.4266666666667	138.85333333333332	418.8666666666667	67.05333333333333	245.89333333333332	230.09333333333333	164.76	324.7733333333333	468.20000000000005	407.23999999999995	232.20000000000002	153.72	551.24	53.906666666666666	409.7066666666666	434.2933333333333	64.0	109.33333333333333	568.76	191.99999999999997	144.57333333333332	68.94666666666666	284.18666666666667	174.09333333333333	388.2	178.48	164.95999999999998	218.29333333333335	144.96	240.5733333333333	542.6666666666667	151.0533333333333	260.94666666666666	331.05333333333334	227.62666666666667	235.43999999999997	625.5199999999999	243.23999999999998	515.24	382.48	133.14666666666668	191.62666666666667	426.28	172.57333333333332	532.0	298.0933333333333	712.9466666666666	100.57333333333332	492.1866666666666	242.27999999999997	336.5733333333333	154.09333333333333	248.95999999999998	260.76	218.48	396.75999999999993	386.46666666666664	236.94666666666663	1113.3333333333335	290.48	369.9066666666667	74.29333333333334	42.48	272.76	47.99999999999999	263.03999999999996	336.38666666666666	89.53333333333333	295.24	342.47999999999996	331.8133333333333	112.94666666666664	555.6133333333333	223.99999999999997	160.18666666666667	107.03999999999999	279.03999999999996	105.90666666666667	97.33333333333333	72.38666666666666	39.81333333333333	147.81333333333333	209.90666666666664	633.7066666666666	75.42666666666666	132.96	1130.0933333333332	71.81333333333333	53.33333333333333	291.2266666666667	81.70666666666666	205.33333333333331	612.3866666666667	217.90666666666664	126.09333333333332	161.70666666666665	1831.8133333333333	2983.0533333333333	3052.3866666666668
ARGORNPROST-PWY	81.13548387096775	52.95483870967743	55.1225806451613	39.01935483870968	202.8387096774194	65.03225806451614	54.81290322580646	98.16774193548387	45.83225806451614	82.3741935483871	204.38709677419357	201.60000000000002	128.51612903225808	105.90967741935486	108.38709677419357	179.9225806451613	98.47741935483873	121.70322580645163	36.23225806451613	86.70967741935485	138.73548387096776	74.94193548387098	142.45161290322582	140.28387096774196	147.40645161290325	58.52903225806452	58.83870967741936	84.23225806451613	194.1677419354839	37.16129032258065	65.65161290322581	25.393548387096775	113.96129032258065	52.645161290322584	88.87741935483872	65.65161290322581	49.238709677419365	45.21290322580646	72.15483870967743	139.97419354838712	107.45806451612904	96.0	179.30322580645162	30.038709677419355	69.67741935483872	37.16129032258065	34.68387096774194	117.05806451612904	64.10322580645162	96.61935483870968	79.58709677419355	111.17419354838711	217.70322580645163	81.44516129032259	0.0	41.80645161290323	51.09677419354839	72.7741935483871	61.6258064516129	64.41290322580646	73.08387096774194	50.78709677419355	130.99354838709678	63.793548387096784	101.26451612903227	55.432258064516134	281.8064516129033	117.05806451612904	112.41290322580646	76.18064516129033	93.5225806451613	30.658064516129038	83.9225806451613	60.38709677419356	58.83870967741936	42.73548387096775	264.77419354838713	50.167741935483875	141.21290322580649	43.35483870967742	101.26451612903227	40.56774193548387	110.2451612903226	32.825806451612905	66.58064516129033	51.71612903225807	121.08387096774196	32.825806451612905	84.85161290322581	94.76129032258066	115.81935483870969	37.47096774193549	138.4258064516129	158.2451612903226	43.664516129032265	340.95483870967746	96.00000000000001	41.187096774193556	344.0516129032259	0.0	122.63225806451615	36.23225806451613	64.72258064516129	77.72903225806454	86.4	130.3741935483871	221.10967741935488	77.72903225806454	165.67741935483872	220.18064516129033	101.5741935483871	75.25161290322582	112.41290322580646	175.8967741935484	71.53548387096775	126.65806451612904	43.664516129032265	43.9741935483871	159.7935483870968	72.15483870967743	55.432258064516134	99.0967741935484	137.80645161290323	97.5483870967742	57.90967741935485	89.18709677419356	266.32258064516134	236.90322580645164	739.8193548387098	390.50322580645167
ARGSYN-PWY	4366.901049977094	3975.5766834596307	4746.474380868582	4810.338937080502	3092.9055440953653	4269.433940146108	4757.000371434174	5677.997774752122	6904.442931624369	10069.459368936265	8106.372776718283	10111.728258026016	8609.617425337232	9527.148106935585	9301.993381699856	8690.54080810914	14399.309553720326	11221.574649403254	6156.785935713568	5827.767575736471	7868.728708166183	12623.267179462217	12753.156743334248	9722.115482028275	9066.822042693411	7098.71671791727	7440.626301082845	5388.354740727938	5975.296950519421	7831.231164840224	8416.879475475534	5234.086085054751	8396.44465141058	6052.610616589722	6485.988866642817	4107.728070905989	8288.190458219506	6575.8814715933895	8169.852794835853	6681.193709897673	9820.751448013953	10706.605520845065	9711.250992326573	5766.310057637118	5526.106733602251	4128.643065739338	4797.948394477897	4800.3211220860885	5411.8757877616	4519.79552611839	7198.105307740067	9765.614669403456	6783.137426920481	11018.882093833587	9426.386900090398	5907.420358416952	7026.926465063335	5045.062346741113	4943.291869327318	6430.968430430107	5948.974695000948	5375.385219689166	6933.409811462581	4858.484137065801	6592.8414626744625	10582.653892312741	9735.826209816569	20275.288142995054	11234.509911776811	11758.317285993267	9460.687290417143	4767.272405686509	12171.902057844278	10664.871694078518	10519.747967891672	7008.431807768083	13938.576675752785	9434.152989475351	8971.339972736074	7927.6941252644365	10061.12292729182	7000.293588898655	10496.48603263566	8113.232301434481	13276.618049352239	6763.517787326125	16434.268774085755	6526.944057916988	8965.464283507747	18871.101065741095	13727.178833876891	5206.283380608741	4414.93534387665	3064.992814629721	4450.760816429209	4577.804761429194	6379.460167313197	6581.379150999794	8645.56725331136	9268.586711009648	8162.367185475149	6574.187883631114	8177.376995815041	8970.780183393908	9745.707288663221	8502.396245827742	8207.85163498962	8639.096101481939	3665.357688300683	7015.443455921758	5070.926143502988	5202.337853397547	9772.638906935641	9757.845815744278	4931.938980503589	8332.106135633394	5440.617373477333	5967.686874230087	7374.276522660921	4004.1720662691223	4767.890401787567	5958.842315267188	4989.314997121931	9407.674189954916	11003.140953650507	10926.413336127636	12493.944180740962	4358.999663109471	6652.537936338221	6784.463293709158
