pathway	1030R_0_M_NS1_week10	1030R_R_M_NS1_week10	2472R_0_F_NS1_week10	2472R_R_F_NS1_week10	3874R_0_F_NS1_week10	3874R_L_F_NS1_week10	3974R_0_M_NS1_week10	3974R_L_M_NS1_week10	NS1_inocula	036R_R_M_NS1_week5	036R_R_M_NS1_week6	036R_R_M_NS1_week7	036R_R_M_NS1_week9	1030R_L_M_NS1_week5	1030R_L_M_NS1_week6	1030R_L_M_NS1_week7	1030R_L_M_NS1_week9	1121R_0_M_NS1_week5	1121R_0_M_NS1_week6	1121R_0_M_NS1_week7	1121R_0_M_NS1_week9	1151R_R_M_NS1_week5	1151R_R_M_NS1_week6	1151R_R_M_NS1_week7	1151R_R_M_NS1_week9	1193R_R_F_NS1_week5	1193R_R_F_NS1_week6	1193R_R_F_NS1_week7	1193R_R_F_NS1_week9	2529R_R_F_NS1_week5	2529R_R_F_NS1_week6	2529R_R_F_NS1_week7	2529R_R_F_NS1_week9	3861R_R_M_NS1_week9	3971R_L_F_NS1_week5	3971R_L_F_NS1_week6	3971R_L_F_NS1_week7	3971R_L_F_NS1_week9	3975R_0_F_NS1_week9	3975R_R_F_NS1_week5	3975R_R_F_NS1_week6	3975R_R_F_NS1_week7	3975R_R_F_NS1_week9	036R_0_M_NS1	036R_0_M_NS1_week5	036R_L_M_NS1	036R_L_M_NS1_week5	036R_NS1_week18	036R_RL_M_NS1	036R_RL_M_NS1_week5	036R_RR_M_NS1	036R_RR_M_NS1_week5	1030R_RR_M_NS1_week5	1030R_RR_M_NS1_week9	1121R_L_M_NS1_week5	1121R_L_M_NS1_week9	1121R_NS1_week19	1121R_R_M_NS1_week5	1121R_R_M_NS1_week9	1121R_RL_M_NS1_diabetes	1121R_RL_M_NS1_week5	1121R_RL_M_NS1_week9	1121R_RR_M_NS1_week5	1121R_RR_M_NS1_week9	1151R_0_M_NS1_week5	1151R_0_M_NS1_week9	1151R_NS1_week21	1151R_R_M_NS1_diabetes	1193R_0_F_NS1_week5	1193R_0_F_NS1_week9	1193R_L_F_NS1_diabetes	1193R_L_F_NS1_week5	1193R_L_F_NS1_week9	1193R_NS1_week24	2529R_0_F_NS1_week5	2529R_0_F_NS1_week9	2529R_L_F_NS1_diabetes	2529R_L_F_NS1_week5	2529R_L_F_NS1_week9	2529R_NS1_week22	2529R_RL_F_NS1_week5	2529R_RL_F_NS1_week9	3861R_0_M_NS1_week5	3861R_0_M_NS1_week9	3861R_L_M_NS1_diabetes	3861R_L_M_NS1_week5	3861R_L_M_NS1_week9	3861R_NS1_week28	3861R_R_M_NS1_week5	3971R_0_F_NS1_week5	3971R_0_F_NS1_week9	3971R_NS1_week30	3971R_R_F_NS1_diabetes	3971R_R_F_NS1_week9	3971R_RL_F_NS1_diabetes	3971R_RL_F_NS1_week9	3975R_0_F_NS1_week5	3975R_L_F_NS1_diabetes	3975R_L_F_NS1_week5	3975R_L_F_NS1_week9	3975R_NS1_week14	3975R_R_F_NS1_diabetes	3975R_RL_F_NS1_diabetes	3975R_RL_F_NS1_week9	NS1_defined_inocula	2808_NS1_0_Female_week5	2808_NS1_0_Female_week9	2808_NS1_L_Female_week5	2808_NS1_L_Female_week9	2808_NS1_R_Female_week5	2808_NS1_R_Female_week9	2808_NS1_RR_Female_week5	2808_NS1_RR_Female_week9	2824_NS1_0_Male_week5	2824_NS1_0_Male_week9	2824_NS1_L_Male_week5	2824_NS1_L_Male_week9	2824_NS1_R_Male_week5	2824_NS1_R_Male_week9	2864_NS1_R_Male_week5	2864_NS1_R_Male_week9	2893_NS1_0_Male_week5	2893_NS1_0_Male_week9	2893_NS1_R_Male_week5	2893_NS1_R_Male_week9	2999_NS1_0_Female_week5	2999_NS1_0_Female_week9	2999_NS1_R_Female_week5	2999_NS1_R_Female_week9	NS1_mouse_inoculum
1CMET2-PWY	0.999570970856013	0.9998835744713993	0.9999158751088877	0.994194778402099	0.9937600699546685	0.9999745623699013	0.9989499397834163	0.9998070362070413	0.9998149024979528	0.9999963700055404	0.9999965755815274	0.9999969076197377	0.9999802712388505	0.9985916777741729	0.9973129388048314	0.9999935840894356	0.9999942151728896	0.999993247785149	0.9999754778252234	0.999995180984586	0.9999988624324406	0.9900321128054015	0.9999854409447406	0.9929241634671361	0.9999999555340122	0.9790994861313149	0.9998638882480224	0.9995790329587511	0.996525575964328	0.9987265049581127	0.9980302125127682	0.9998721869350696	0.9999999621729988	0.9999999985916	0.9999974639585713	0.999423795443063	0.9999516462256657	0.9999999686187295	0.9987463366371592	0.998940083490196	0.9960271782965596	0.9993036022472648	0.9999999999365574	0.990208243890796	0.9548268104592008	0.9987755551104142	0.9878705806917816	0.8491139976598336	0.9996310331903953	0.9854505599003289	0.9999991750295134	0.9973238701126389	0.9919900684557462	0.9999239792266762	0.9999619113480049	0.9999795775523098	0.9915663457486916	0.9999783468277416	0.9999999648645858	0.9847397719683033	0.9999992685717748	0.9999985543260935	0.9992682590788233	0.9999994020208571	0.9837617790028483	0.9995621440905778	0.9983464540424447	0.9934612370862183	0.9996339153020433	0.9992487086148554	0.9829775795031311	0.998996868806549	0.9844619812972685	0.999893894740422	0.9958848453111541	0.9962616695777604	0.9999945185877215	0.9982859850527641	0.9999677437213379	0.9994567018367091	0.9992580291136081	0.9999988542035023	0.9972733084729992	0.9998927183029438	0.9710341023746284	0.9999758058900475	0.999094198922737	0.9975145230003145	0.9999723595687915	0.9999533608886658	0.9999810211497491	0.9999984195462243	0.9999925193326881	0.9810213478990976	0.8803218048047704	0.9999998985496525	0.9938282563260151	0.9998931656238356	0.9920160462199058	0.9999907972005986	0.9995075503369222	0.994303676719951	0.9980180395230644	0.9999909062747667	0.46841726974341796	0.9999999994240383	0.999999998637853	0.9999842473841137	0.9999999957011761	0.999999999502595	0.9999995524178767	0.9999104452234991	0.9999999832057092	0.9996609497153528	0.9999999999998248	0.9999814582333533	0.9999994516560781	0.9996897093357838	0.9999923418175078	0.9999887553397763	0.9999990650867663	0.9999997452787778	0.999999983218477	0.9999152571079266	0.9999806395107074	0.9998316359926465	0.999679506063767	0.9999999999992086	0.9999999999963498	0.9468491564058402
ANAGLYCOLYSIS-PWY	0.9999999999758017	0.9999999999957798	0.999999999977925	0.9999999456363962	0.9999999998704716	0.9999999999993641	0.9999999996757697	0.9999999999771977	1.0	0.9999999999999944	0.9999999999930319	0.9999999999996577	0.9999999999911147	0.9999999999977207	0.9999972797263654	0.9999999984490757	0.9999999999887687	0.9999999999999984	0.9999999995518843	0.9999999625040833	0.9999999999996884	0.9999587132881402	0.9999999999333136	0.9999999997819459	0.9999999999999899	0.999992636454513	0.9999984476201182	0.9999998871155532	0.9999999999958418	0.9999998409533636	0.9999997549104338	0.99999996824186	0.9999999997760786	0.9999999999999781	1.0	0.9999999999824833	0.9999999999949044	0.9999999999999825	1.0	0.9999999999996747	0.9999996372581125	0.9999983266063359	1.0	0.9999973122473514	0.9999919646582102	0.9999999791196251	0.9999971361053683	0.9975154871500301	0.9999999938270949	0.9999822060659851	0.9999999999884004	0.9999999999999724	0.9999940982867127	0.9999999999830779	0.9999999999655924	0.9999999890846099	0.9999999930326671	0.9999999999998166	0.9999999997730602	0.9999956169057461	1.0	0.9999999998559022	0.9999999995912453	0.9999999999999084	0.9989843947990286	0.9999999983714805	0.9999999970998434	0.9999999976529312	0.9999999999897943	0.9999984071764425	0.9999999720699441	0.9999999577650984	0.9999997608857555	0.9999999979730476	0.9999964743713872	0.9999999867440866	0.9999999999990306	0.9998601636389758	0.9999999993752504	0.9999999360429762	0.9999999920716914	0.9999999853092554	0.9999999515957508	0.9999999893344078	0.9993799751187563	0.999999999795336	0.9999997607670864	0.9999999934528808	0.9999999999999998	0.999999999985723	0.9999999996097636	1.0	0.9999999999997397	0.9994832509016159	0.9979536380116009	0.9999999999957659	0.9999999999999838	0.9999999476828648	1.0	0.9999999997387763	0.999998783886698	0.9999988410177203	0.999999999897867	0.9999999998808603	1.0	1.0	0.9999999999999992	1.0	0.9999999999999998	1.0	0.9999999999999916	0.9999999850006219	1.0	0.9999999999977542	1.0	1.0	0.9999999999999761	0.999999999999982	1.0	0.9999999999958449	1.0	1.0	1.0	0.9999999992949274	1.0	0.9999999999997127	0.9999999999996692	1.0	1.0	1.0
ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9983520872038995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999164616192245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999998532660248
ASPASN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.311999999999914e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	0.9997070808248029	0.999876354023949	0.999908653940143	0.9986031795123355	0.9995770193370195	0.9996790522395529	0.9995609216082135	0.9995802452145327	0.0012984453469723726	0.9577846126246087	0.9485564632903253	0.9999999547324212	0.9895587877793642	0.7691438874152418	0.9997395239655484	0.9999965182739944	0.9832090642324337	0.9852210783634713	0.9999164265478152	0.9999668964160804	0.9993780540059356	0.0778956141236683	0.7702157204083365	0.9455512403476325	0.9993079368313541	0.4800456869737245	0.9667604036057792	0.9999632486779366	0.48396469299888484	0.9702200577460741	0.9785284702525147	0.9882645770168061	0.9224478857782482	0.07697167066257687	0.9498121651942315	0.8936129243247561	0.999992263288266	0.648103424786126	0.9999778735514343	0.9939211590214664	0.9023629997211831	0.9999999873850222	0.9993347347800579	0.4636801304068445	0.9305998242675521	0.9907181933028864	0.7681935779217653	0.9376473698561452	0.988782624549053	0.947092677215577	0.9966588265520224	0.981972827203353	0.973909007949138	0.9968246882984045	0.9916363473185764	0.9993760508640057	0.9999829898061827	0.9971442222363683	0.9967379085284235	0.9400133199521366	0.9998081290300442	0.9998601512687408	0.9608958256887233	0.9999997590933049	0.13594119169919355	0.9984274758686091	0.9998771047052313	0.999870727872814	0.9394107492593522	0.8736006882376798	0.9954012559830197	0.9798997280185925	0.39634851259975185	0.9999911616643683	0.8701799688829476	0.9995841841246994	0.9999831455033088	0.9495939865221539	0.9992660461696178	0.9998023993079286	0.3164407746293352	0.9934727087773716	0.7676266548615889	0.9667863292749236	0.9672934256084086	0.6753924947837187	0.9927480472259547	0.9966899607753256	0.9663797465053248	0.7827989773945284	0.9906571430443796	0.9978867546071329	0.9999958760342824	0.00045415569366109507	0.9794332975990075	0.7704600361614492	0.919318978329922	0.9999792235034416	0.9121107656823021	0.9153067997902885	0.9972648885331363	0.9557843381401891	0.9988668757526508	0.9967132147161709	0.00011898485713249031	0.9782855959591454	0.9502145771704694	0.9995084120912452	0.7703042125498116	0.9999988807084552	0.9794184639905292	0.7705608830122058	0.9638454433866545	0.9689964405848849	0.9879118062883454	0.9160108596480099	0.7703726414343871	0.735126458531807	0.9160757544419095	0.8972088888905009	0.9998201155250402	0.9956316170277314	0.9927225914892005	0.7700654438740334	0.8715814635062777	0.9472379443574163	0.9999998721806526	0.9997960611466822	0.9999999999992836	4.5049999999983743e-13
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999983078131602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.818319999960285e-11	0.0	0.0	0.0	0.609785784188533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.203249383284581e-07	1.3703759999061035e-10	0.0	1.7159999999998525e-13	0.7379733555191864	0.0	4.199999999999991e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10131454761042254	0.0	0.0	0.0	0.0	2.1962635928212853e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.717725997743609e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09999999999987e-14	0.0	1.7999999999999985e-15	2.2641479997436818e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.952024489369276e-06	3.814652467242132e-08	0.0	0.0	0.0	0.0	0.0	0.0	5.999999999999998e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	0.9997324979461043	0.9995653940137633	0.999693089005235	0.9964564203894672	0.9984662605353767	0.9979116670623375	0.997929158503697	0.9979595198410321	0.9339896591360011	0.8770260946864911	0.8620924261308475	0.9999996175604687	0.9721190281540393	0.5590117235073205	0.9996719434789271	0.9999884769724937	0.957658681589669	0.9494736194976225	0.9999011528391449	0.9999653421934407	0.9981792914155849	0.027006370721068942	0.5826745166014003	0.8394140237425293	0.9972891793504473	0.3463492165718262	0.9084545252464614	0.9999929573323963	0.25776272441921183	0.9100068859140307	0.9246587199989666	0.9708097615493949	0.8216777697574829	0.029838182530539818	0.8760941981569935	0.7696051018248335	0.9999690896736529	0.3902089537254632	0.9999282715994159	0.977093951408951	0.7646952243434203	0.9999999957424488	0.9977007062031175	0.4121119385170925	0.9175632787829945	0.9771299886986622	0.5448308682386339	0.9935096809579321	0.9723156271265154	0.8884697522965874	0.9902097815102465	0.9688823395614595	0.9290407009210343	0.9921168770817218	0.9801630994676875	0.9980687584822755	0.9999616578671349	0.9967911058471131	0.9906615593160262	0.8712459124191476	0.9998440038205836	0.9995593074866553	0.9449405658084866	0.9999990409034681	0.04383402182802808	0.9972779733111463	0.9996365115579976	0.9999963102678897	0.8494469129917713	0.653416614684222	0.9991667242212776	0.9456878275141934	0.2820507931909617	0.9999814711238046	0.6850663374405808	0.9985432544168802	0.9999666332678848	0.8224731425327667	0.9977270192712056	0.999812939264669	0.1442634632938356	0.9796101883125052	0.5291502078921184	0.9130775779569514	0.9193914363530096	0.4566881780064014	0.9774745562987976	0.9999996515505145	0.9219938873667795	0.5557570926189597	0.9703031221225712	0.9999999999994529	0.9999999999483287	0.00027379575923277	0.9786092377007005	0.5295928102462883	0.8419165934310331	0.9999317444775854	0.9824872530692582	0.8016120141549744	0.9919643662644649	0.8899403620450549	0.9989371900555067	0.989705276958016	0.9998605038746142	0.9350573915937987	0.8650121825418695	0.998736657969613	0.5037275775649805	0.9999999845148146	0.9379205553493281	0.5797376212879616	0.9018267587041693	0.9283328334094089	0.9636666963738292	0.8351854991754757	0.5810642791389111	0.6144243450430789	0.7875816302758564	0.7761500516180773	0.9992655523070123	0.9870097747029813	0.9821995961012487	0.570183933151889	0.7243188166900987	0.892797830939618	0.9999993374239338	0.9990098440784964	0.9999999999883724	0.9999618915517678
COBALSYN-PWY	0.0	2.2961999999963866e-12	1.3177191882393892e-08	2.2999999999954886e-14	7.82509999923523e-11	1.4986243658411369e-09	1.622899398249224e-09	0.0	0.0	1.7572502056470654e-05	1.199999999999995e-14	1.4455235506325956e-05	2.5119999999997756e-13	2.548645811145463e-08	0.04299954475921616	0.0	1.1967411995225657e-09	0.0026321874090295856	0.0	0.0	3.446167490941201e-07	2.445588998004646e-09	2.2390240499559043e-08	6.599999999999984e-15	6.21998217770346e-08	6.385295154337237e-05	0.02813246265021832	7.752858775389889e-05	0.0	0.015150559447949777	0.04231833942801734	0.023815932270794937	0.0	0.0	2.9347531648366345e-06	3.1087395967784765e-09	0.010784307182811826	0.0	0.0	4.3804434563587257e-07	4.631593538503921e-07	0.0	1.2532599999947646e-11	0.0	1.4574509243530011e-05	2.4603417310070794e-09	2.4116228125700296e-07	0.0	6.810459999819749e-11	5.803427147751458e-07	4.399999999999993e-15	6.931224782682335e-07	0.0033215372049513804	4.0999999999999396e-14	0.00031797168264465457	3.67341140427181e-08	1.019623309035358e-08	0.0054780057564153975	1.5634993218997505e-07	0.0	0.00013382958972661704	2.3376324303402544e-08	0.0012176092686543311	1.3308398612882367e-06	4.6264779337092415e-05	4.967740848401577e-09	5.999999999993969e-16	7.999998741988803e-16	0.0032874719123016085	4.836305999183903e-10	1.9458040738077552e-07	0.12173741809290267	0.0	1.450260253677885e-05	0.001000045728277795	1.458239999620592e-11	1.9620913212472294e-06	0.006908002052545231	1.8390931067288892e-07	0.0	6.341032663593579e-06	3.6270599999125966e-11	1.0030475102775154e-05	9.999999999999997e-16	9.99999999994172e-16	2.818734562778023e-05	1.2405399999877495e-11	1.5365850744448117e-10	3.165515845575024e-05	2.569778297975797e-06	5.102910324573287e-09	1.2627915154159159e-09	3.823480761845779e-06	0.0	4.0575993998544885e-09	9.530199999969726e-12	6.980351732334526e-08	0.00034225899026283074	2.2687525912307064e-07	0.0	3.0157206544793895e-05	0.0	2.1067199996899085e-11	9.607033565040643e-05	0.0	1.2570495779942086e-07	0.0	0.0011448328486806658	0.0	0.003833512441249856	1.9731999999987024e-12	0.00018912611562925253	0.0	3.2831566409863874e-05	0.0	2.4600222506095866e-07	0.0	8.802586999876468e-06	0.0	4.667429602573416e-06	0.0	1.7774112946954713e-05	0.0	6.764562621355556e-07	0.0	0.0001232522872980617	0.0	2.058926198586939e-09	1.840594889393151e-06	0.0
COMPLETE-ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9985577792216526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999269031535225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999987160774815
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61499999999963e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
