	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-7090	Week_and_consortia	S5_w5w6	-1.96542720881293	0.290232957327924	32	17	1.64934832830745e-07	4.76661666880853e-05	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
1	PWY-6263	Week_and_consortia	S5_w5w6	-0.833276392651874	0.147932915084287	32	32	3.90636169220791e-06	0.0003530806572206	PWY-6263	superpathway of menaquinol-8 biosynthesis II // vitamin K<sub>2</sub> biosynthesis II // superpathway of menaquinone-8 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
2	PWY-7371	Week_and_consortia	S5_w5w6	-1.05381956558596	0.189765578951516	32	32	4.88692951170497e-06	0.0003530806572206	PWY-7371	5,8-dihydroxy-2-naphthoate biosynthesis II // modified futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis II	Biosynthesis						
3	PWY-7374	Week_and_consortia	S5_w5w6	-1.0158974102103	0.179213976918629	32	32	3.53173793159282e-06	0.0003530806572206	PWY-7374	5,8-dihydroxy-2-naphthoate biosynthesis I // futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis I	Biosynthesis						
4	PWY-7234	Week_and_consortia	S5_w5w6	-0.392429375759454	0.0751171773986798	32	32	1.36013414242328e-05	0.0007861575343206	PWY-7234	inosine-5'-phosphate biosynthesis III // IMP biosynthesis I	Biosynthesis						
5	UBISYN-PWY	Week_and_consortia	S5_w5w6	-0.359692399435831	0.0717717371907293	32	32	2.25449708525787e-05	0.0010859160960658	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinone-8 biosynthesis (prokaryotic) // superpathway of ubiquinol-8 biosynthesis (prokaryotic)	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
6	P4-PWY	Week_and_consortia	S5_w5w6	-0.27445328273524	0.0554561534647815	32	32	2.92283809288077e-05	0.0011537035937779	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
7	PWY-5855	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.0011537035937779	PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation) // ubiquinone-7 biosynthesis (prokaryotic) // ubiquinol-7 biosynthesis (prokaryotic)	Biosynthesis						
8	PWY-5856	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.0011537035937779	PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation) // Q9 biosynthesis // ubiquinone-9 biosynthesis (prokaryotic) // ubiquinol-9 biosynthesis (prokaryotic)	Biosynthesis						
9	PWY-5857	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.0011537035937779	PWY-5857	ubiquinol-10 biosynthesis (early decarboxylation) // Q10 biosynthesis // ubiquinone-10 biosynthesis (prokaryotic) // ubiquinol-10 biosynthesis (prokaryotic)	Biosynthesis						
10	PWY-6708	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.0011537035937779	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	Biosynthesis						
11	GALLATE-DEGRADATION-II-PWY	Week_and_consortia	S5_w5w6	-1.57193563453359	0.465970168196171	32	17	0.0020624857804832	0.0496715325466387	GALLATE-DEGRADATION-II-PWY	gallate degradation I	Degradation/utilization/assimilation						
12	PWY-7373	Week_and_consortia	S5_w5w6	-0.34613911596711	0.122513304709562	32	32	0.0084609508376843	0.188093445545444	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II // superpathway of demethylmenaquinone-6 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
13	ARG-POLYAMINE-SYN	Week_and_consortia	S5_w5w6	0.517465346666262	0.195118691507679	32	32	0.0128351185970644	0.247628223490994									
