pathway	016R_0_F_NS6_week5	016R_0_F_NS6_week9	016R_R_F_NS6_Pellet_week9	016R_R_F_NS6_week5	1002R_0_M_NS6_week10	1002R_L_M_NS6_week10	1075R_0_M_NS6_week5	1075R_0_M_NS6_week9	1075R_L_M_NS6_week9	1075R_RL_M_NS6_Pellet_week9	1075R_RL_M_NS6_week5	1184R_0_M_NS6_week5	1184R_0_M_NS6_week9	1186R_0_M_NS6_week5	1186R_0_M_NS6_week9	1186R_RR_M_NS6_week5	1186R_RR_M_NS6_week9	184R_0_F_NS6_week10	184R_0_M_NS6_week5	184R_0_M_NS6_week9	184R_L_F_NS6_week10	2403R_0_F_NS6_week5	2403R_0_F_NS6_week9	2403R_L_F_NS6_week10	2476R_R_F_NS6_week5	2476R_R_F_NS6_week9	2506R_0_F_NS6_week10	2562R_0_F_NS6_week5	2562R_0_F_NS6_week9	2562R_RL_F_NS6_week5	2562R_RL_F_NS6_week9	3894R_0_M_NS6_week10	NS6_defined_inocula	NS6_defined_inocula.1	NS6_inocula
1CMET2-PWY	13900.360673536987	20327.601223776222	15017.280148448042	11120.36926082689	20137.904121580174	18163.622542632806	9178.201239725186	16451.478062200957	18959.870080358236	15099.577135320817	12480.000107348791	9686.6736155073	20986.00081401055	9740.638178137651	20105.70700895595	10990.803762115074	20741.08867194209	17310.104306833517	9484.148147466565	22623.317789841738	19186.267623604468	11292.302767145136	19192.97454668139	20278.480977180716	10252.915222672063	19149.666280824436	14823.074771193718	10380.947970187704	18299.633584222796	9542.126117040854	18138.180766777074	17780.952002208323	19128.685994356518	11926.62690344743	15653.064611704083
AEROBACTINSYN-PWY	423.0	80.43	44.86	200.57	187.57	84.43	58.57	80.43	56.29	45.14	136.43	272.14	24.29	206.28	70.0	134.57	60.71	64.43	26.0	60.57	86.14	124.57	91.0	58.29	112.14	114.57	502.0	240.57	66.43	54.0	62.86	97.86	539.0	366.86	647.5799999999999
ALL-CHORISMATE-PWY	490.6171003717472	93.28684014869889	52.03092936802974	232.63137546468403	217.55330855018585	97.92624535315986	67.9324907063197	93.28684014869889	65.28802973977695	52.355687732342005	158.2385130111524	315.6419330855019	28.172788104089218	239.25412639405204	81.18959107806691	156.08118959107807	70.41457249070632	74.72921933085503	30.156133828996282	70.25219330855019	99.90959107806691	144.48267657992562	105.54646840148699	67.60773234200744	130.06572490706318	132.88416356877323	582.2453531598513	279.0254275092937	77.04892193308551	62.63197026022305	72.90825278810408	113.50304832713755	625.1598513011152	425.5030483271375	751.0965055762081
ANAEROFRUCAT-PWY	2856.884086597299	4901.618718067626	1734.2533643327315	1351.628826040893	3810.19161122991	3585.2651835688907	1537.7974850142111	2085.631269940145	2642.4686420516714	2918.329683463832	2003.1470941284997	2077.86485470918	3265.931530072723	1913.1578499580098	6089.686118921585	1915.8425164019952	6403.6454369855255	2253.9048279244385	1064.2432617462375	5016.8007903763955	3313.366796467062	2169.90618319226	2849.354830223507	3521.44440483061	1558.741216122745	3092.539937495414	3060.4276023651896	1836.117281362435	2791.7038526330025	1492.5367970128318	2067.5561548437527	3953.5811554185752	7714.131700081028	5010.297121552639	4997.663280267835
ANAGLYCOLYSIS-PWY	17467.321949916484	24994.56332471798	18366.60655554828	13964.918276457074	25582.43068641168	22717.8245745121	12250.720637323173	20771.841898655493	23423.417434228086	18411.863491396438	16086.73513499547	12671.172233190666	26193.346836521454	12483.633274857955	25338.538024469646	14006.941322957766	26173.818549778356	21791.479512063826	12321.287211991252	28538.905251314703	23973.818506274318	14456.585253628116	24897.90952631841	24590.685225572586	13209.884981248168	24098.06462888786	19730.365970448853	13838.842645450382	23516.884689646915	12423.467365093953	22881.418779249834	23013.610774829358	27559.425812880207	17491.67433067344	20673.506189614185
ARG+POLYAMINE-SYN	499.2786885245902	94.93377049180329	52.94950819672131	236.7383606557377	221.39409836065573	99.65508196721312	69.13180327868852	94.93377049180329	66.44065573770492	53.28	161.03213114754098	321.2144262295082	28.670163934426228	243.47803278688525	82.62295081967213	158.83672131147543	71.65770491803279	76.04852459016394	30.688524590163933	71.49245901639344	101.67344262295082	147.03344262295082	107.40983606557377	68.80131147540983	132.36196721311475	135.23016393442623	592.5245901639344	283.95147540983606	78.40918032786885	63.73770491803278	74.19540983606556	115.50688524590164	636.1967213114754	433.0150819672131	764.3567213114753
ARGDEG-PWY	564.0	107.24000000000001	59.81333333333333	267.4266666666667	250.0933333333333	112.57333333333334	78.09333333333333	107.24000000000001	75.05333333333333	60.18666666666667	181.90666666666664	362.85333333333335	32.38666666666666	275.04	93.33333333333333	179.42666666666668	80.94666666666666	85.90666666666667	34.666666666666664	80.75999999999999	114.85333333333332	166.0933333333333	121.33333333333333	77.72	149.51999999999998	152.76	669.3333333333333	320.76	88.57333333333334	72.0	83.81333333333333	130.48	718.6666666666666	489.14666666666665	863.4399999999999
ARGORNPROST-PWY	107.63636363636364	4.7272727272727275	5.090909090909091	77.45454545454545	22.545454545454547	13.818181818181818	42.54545454545455	6.909090909090909	2.909090909090909	4.7272727272727275	42.54545454545455	27.272727272727273	8.363636363636363	35.63636363636364	4.0	41.09090909090909	6.181818181818182	4.0	17.81818181818182	12.363636363636363	0.0	21.09090909090909	5.818181818181818	4.7272727272727275	41.09090909090909	7.636363636363637	44.0	28.727272727272727	8.727272727272727	13.454545454545455	0.0	8.727272727272727	4205.454545454546	2813.454545454545	1321.4545454545455
ARGSYN-PWY	6925.7901932646755	8159.685423994492	5142.702188122895	3886.6573564688238	8695.38171309238	7689.114437935464	4101.790283024958	6221.5702415700825	5477.8060604339835	5488.125245534084	4909.563682323892	4894.090848062364	5826.512999302725	4000.1705420102444	7513.515154391263	3682.4562200731425	7638.903386677057	8398.008294941748	4645.003854034826	8468.771866887662	6721.530472202876	4954.526294519816	7425.097060030686	7308.780578905054	3889.6845881907243	5557.625130250008	7637.244703117342	4782.112768358415	7337.546654370306	3864.094770802559	6738.123517503861	7700.49049133939	7772.412723654357	5014.673654483455	7893.195603039683
ARGSYNBSUB-PWY	7759.176428400185	9198.38148622353	5732.826538397299	4332.320035751142	9707.88711821392	8645.27661391404	4599.293068779347	6883.421060181968	6085.115093427039	6148.512452169934	5462.398006319275	5468.596339601231	6392.136077121	4546.475443160989	8513.255167482343	4169.293489380102	8685.634983152142	9388.974962598515	5189.704259963635	9389.514105283262	7382.686635483837	5553.049210768863	8332.453672602827	8124.7285803406085	4276.88073601644	6238.752158291041	8663.291984995658	5348.838264977962	8311.721470226265	4265.618112080559	7500.736382915394	8605.92742561543	7112.109802094551	4549.043253722386	8008.828777676529
ARO-PWY	6655.963958333334	7526.77844551282	4556.4825	3426.15983974359	8563.87951923077	7748.087435897435	3119.8041724941722	4355.241698717949	4594.522115384614	4539.479583333334	4119.398226981352	4020.1171984265743	4595.778830128204	4173.143921911422	7230.615961538461	3708.3384455128203	7421.803953962703	8050.489503205128	4174.912740384615	6292.869817890442	5443.647568473193	4715.870256410256	8587.553461538459	7047.821025641027	2662.539635780886	6101.432756410255	8761.07516025641	3752.429841200466	7420.748655303031	2444.8533639277393	6018.6926252913745	5854.587852564102	9526.41765151515	6327.958608682983	7734.4480783799545
