pathway	1002R_0_M_NS6_week10	1002R_L_M_NS6_week10	1075R_0_M_NS6_week9	184R_0_F_NS6_week10	184R_L_F_NS6_week10	2403R_L_F_NS6_week10	2506R_0_F_NS6_week10	3894R_0_M_NS6_week10	NS6_inocula	016R_0_F_NS6_week9	1075R_L_M_NS6_week9	1184R_0_M_NS6_week9	1186R_0_M_NS6_week9	1186R_RR_M_NS6_week9	184R_0_M_NS6_week9	2403R_0_F_NS6_week9	2476R_R_F_NS6_week9	2562R_0_F_NS6_week9	2562R_RL_F_NS6_week9	016R_0_F_NS6_week5	016R_R_F_NS6_Pellet_week9	1075R_RL_M_NS6_Pellet_week9	NS6_defined_inocula	016R_R_F_NS6_week5	1075R_0_M_NS6_week5	1075R_RL_M_NS6_week5	1184R_0_M_NS6_week5	1186R_0_M_NS6_week5	1186R_RR_M_NS6_week5	184R_0_M_NS6_week5	2403R_0_F_NS6_week5	2476R_R_F_NS6_week5	2562R_0_F_NS6_week5	2562R_RL_F_NS6_week5	NS6_defined_inocula.1
1CMET2-PWY	0.20078600647788544	0.0	4.1966959984902345e-10	3.943120998667296e-10	0.0	0.0	1.4979999999998074e-13	0.09019758334664366	0.9994803246396566	0.08270732797876261	0.0	2.93191767160099e-07	9.509008104646876e-08	4.977940078725373e-09	0.06524829585696214	0.0	0.0	0.8457926839680784	0.9089124845886265	0.11181740078901378	6.999999999999994e-16	9.799999999999918e-15	0.9999269071862541	1.2500599999864453e-11	0.9679842814098966	0.0010043007347381157	0.5866068313646604	3.0426516916022026e-06	0.0021764087314116716	2.3023239331553863e-05	0.16718930012417127	0.0018058607805352697	0.8755362410279731	0.005219853662935995	0.9976954969317298
ANAGLYCOLYSIS-PWY	0.9396983255595063	0.999857559151982	0.9904014414291523	0.9999919060325685	0.8581955226657182	0.9994384704980072	0.9999999963779792	0.8626860839225882	0.9999999999996572	0.8974119320154273	0.894557714585676	0.9048899740694987	0.9413792853371008	0.9183660387192546	0.8701057353029449	0.9999999026793343	0.9998299160849557	0.9998484757756232	0.988857947949559	0.903714714694328	0.9992040457953651	0.9521999078342928	1.0	0.9859007462796296	0.9957644321417285	0.9951330319990414	0.9878085690385668	0.9983009282474663	0.9898314458667667	0.9993366914807886	0.8177844010059434	0.7784761158596085	0.9994160962747206	0.8962839827793938	1.0
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3999999999777915e-15	1.4492799999818979e-11	0.0	0.0	0.0	0.0	0.0	1.2435413642960795e-15	0.0	0.0	0.0	0.0	1.0274397862476624e-05	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	0.5712102930456826	0.9897780539123879	0.8251748730089389	0.9954153999409304	0.6970117280848553	0.9977818800012581	0.5283225648686531	0.7055436978475348	0.06690313760393304	0.7557883977704242	0.7762609786802046	0.7119075013598688	0.7728084819054105	0.7689427345117369	0.6619078348753467	0.15990861105031426	0.6908082286488761	0.833983847226771	0.9563474652000094	0.630356820707109	0.9927926977313853	0.9073357963243222	0.0	0.9246884505679774	0.8452276057620759	0.9516440292011273	0.9419134139323456	0.7828084865819588	0.7943265328282367	0.8902952452672508	0.6210790180313859	0.43783026032232536	0.8184585705708165	0.7621075335469343	0.0
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5539999999998793e-13	1.4131799999900145e-11
COA-PWY	7.973250197048662e-08	0.0027563529878306607	2.1999999999999975e-15	0.6932543327034063	2.0396688150982035e-08	0.0316907225477123	0.8168341523308892	0.0	0.9999999999992286	0.0	2.91524609669551e-05	7.000990535066236e-08	0.0	0.0	0.0	0.7684052936855928	0.001095094844226524	8.838539069267933e-08	0.018309323890991595	8.715470671869946e-05	0.1280427377389306	5.370232119530681e-07	1.0	0.10037092465536496	1.266235999919065e-10	0.0006407103819711431	6.774162649822015e-07	0.0004492947458994074	0.0010245509963962135	0.021217115355219838	0.0034502034645805956	2e-16	3.839999999999926e-14	0.0	1.0
COBALSYN-PWY	0.0	2.9745789970506267e-09	0.0	0.0030315584715358856	0.0	3.719622153881362e-08	0.04800137421215191	0.0	0.0	0.0	2.4439609980086378e-09	0.0	0.0	0.0	0.0	0.08989187958170895	1.9155999999987766e-12	3.9999999999999994e-16	3.032481241215653e-06	3.339777999628066e-10	5.7921090260699986e-05	3.3763399999620014e-11	0.0	0.0008175192308627809	0.0	9.699532135306359e-09	4.982599999991724e-12	1.2846587938502253e-06	3.189503631549039e-06	9.026875229402807e-06	3.7255768920340494e-05	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.427250211312656e-05	0.2589612179234909	0.0	0.0	0.0	0.0	0.0	3.329999999999905e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999869	0.0	1.9203025213988905e-06	0.0	4.364999999998506e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999923416
DTDPRHAMSYN-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999991038	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FASYN-ELONG-PWY	0.9999999964704736	0.0	0.4494462091042733	0.0	0.0	0.0	0.0	0.5235336271181931	0.0	0.0	0.0	0.0	0.0	0.0	0.3903529869213961	0.0	0.0	1.5027999999983063e-12	5.043250138874709e-05	0.9976906264164902	0.0	0.0	0.0	1.5679999999998157e-13	0.0	7.999999999999995e-16	0.0	0.0	0.0	0.0	0.999999999999976	0.9999999999999953	0.0	1.3907373749387015e-07	0.0
