pathway	1002R_0_M_NS6_week10	1002R_L_M_NS6_week10	1075R_0_M_NS6_week9	184R_0_F_NS6_week10	184R_L_F_NS6_week10	2403R_L_F_NS6_week10	2506R_0_F_NS6_week10	3894R_0_M_NS6_week10	NS6_inocula	016R_0_F_NS6_week9	1075R_L_M_NS6_week9	1184R_0_M_NS6_week9	1186R_0_M_NS6_week9	1186R_RR_M_NS6_week9	184R_0_M_NS6_week9	2403R_0_F_NS6_week9	2476R_R_F_NS6_week9	2562R_0_F_NS6_week9	2562R_RL_F_NS6_week9	016R_0_F_NS6_week5	016R_R_F_NS6_Pellet_week9	1075R_RL_M_NS6_Pellet_week9	NS6_defined_inocula	016R_R_F_NS6_week5	1075R_0_M_NS6_week5	1075R_RL_M_NS6_week5	1184R_0_M_NS6_week5	1186R_0_M_NS6_week5	1186R_RR_M_NS6_week5	184R_0_M_NS6_week5	2403R_0_F_NS6_week5	2476R_R_F_NS6_week5	2562R_0_F_NS6_week5	2562R_RL_F_NS6_week5	NS6_defined_inocula.1
1CMET2-PWY	20812.895476047204	18483.469477968618	17004.550169692437	17784.406161972616	19665.238531753443	20360.380457508323	15761.275185718467	18390.42478567125	17433.076990912083	20786.567264593745	19372.688486598083	21708.45691623783	20669.775252728956	21334.09752916514	23290.892511159673	20061.00331732614	19904.89464627514	19139.777931373326	18698.56913524645	14304.153166183763	15216.422958119885	15490.127692870528	23595.299840254294	11356.227139557017	9695.164306850478	12916.589905571114	10047.5033259367	10143.954253389244	11439.988517733924	9892.341247025768	11642.199861778376	10604.155211405738	10979.901667402324	9854.957383878549	14881.13869743142
AEROBACTINSYN-PWY	187.57	84.43	80.43	64.43	86.14	58.29	502.0	97.86	647.5799999999999	80.43	56.29	24.29	70.0	60.709999999999994	60.57	91.0	114.56999999999998	66.43	62.86000000000001	423.0	44.86	45.14	539.0	200.57000000000002	58.56999999999999	136.43	272.14	206.28	134.57	26.0	124.57000000000001	112.14	240.57	54.0	366.86
ALL-CHORISMATE-PWY	4923.538765879058	3127.6493819545044	2739.1030095308993	2601.614508125462	3319.249347275128	2531.3445046209567	5811.95174262917	3319.6881410766487	6962.638884077772	3106.579343071078	2259.6929723935373	1270.8350187251865	2849.133963562576	2531.017238473854	2874.601728848004	3226.630886173232	3550.5450046760084	2863.29625754427	2776.6216780184895	4639.91646412401	1902.5294008881979	1876.5474128550186	8237.365992612704	2962.744973308953	1868.8631394194408	3211.292755647201	3513.0604160039466	2904.5902416425247	2625.9901369929257	1169.9169314988083	2753.4726723365643	2615.0023448981115	3526.86549854304	1818.0953235213392	5327.888285969634
ANAEROFRUCAT-PWY	14720.356027274169	13433.170373099598	13354.343766582158	11722.87280806431	14706.475424082491	13608.273228465627	11568.594629667492	16753.100325710395	15386.332436248518	15890.657036556366	13812.9200148414	16687.381564207797	18470.75291492513	19201.413259728033	19599.063834243847	14022.225754674839	13902.972476378362	13313.807607014332	11557.087104743014	10214.745306566014	9337.9710016204	11889.803191465708	22850.731625290588	7489.1617875830225	8838.798889818456	10329.346245798662	9112.15496879946	7427.296858530192	8151.452055919912	7367.210082649747	9012.80048318859	8843.856670877647	9812.802334363549	8757.87097319736	14779.82180294059
ANAGLYCOLYSIS-PWY	27447.723070774337	24483.193681007957	22857.7751429061	23620.68741090382	26137.822583645284	26511.94326042592	21412.230197635774	25125.95597599686	23472.83294141221	27210.297220640416	25385.44289112888	28538.190980507436	27297.890530537094	28171.43416850989	31223.518491217248	27154.778796756764	25884.603839479532	25272.893098137345	24631.7304966008	18750.42868041938	19902.044496833045	20146.43132848681	31415.683002206606	15048.797960193942	13452.646004247734	17492.307399206973	13876.850669568434	13436.686004996054	15079.85965143345	13508.3704275286	15533.719092147345	14377.989910076782	15207.194188220443	13628.481045027675	19978.01438089807
ARG+POLYAMINE-SYN	1502.8662628379682	1015.4204173180553	1394.8643382457303	1107.969424163082	728.5784801447883	1298.9789810230718	3704.782324771613	705.3902291781687	3727.5500899776266	1236.678796914683	570.7784631581894	494.96239982796095	1101.188011097786	927.337174675875	1394.8740752272502	3459.6844110630423	1935.2142505187244	1783.5918228239666	647.1478448477139	1642.9593105677347	857.6265131744727	576.8006727394921	4705.051321821104	783.6580806093269	834.2982200579297	785.0540378856	1016.123459052857	1467.5898668558468	1132.340148481037	858.6786059567967	483.0136751082201	448.81344225985936	1563.144271056378	316.4277161498832	3196.7151112361475
ARGDEG-PWY	393.83769720132926	185.88461054805217	154.67970431982795	130.32767866532387	171.9503753777024	129.65537637917274	936.1290890050811	197.7168041734202	1180.0487316989881	178.95002687786513	113.070271750991	50.909794925737565	158.31525559330075	138.12832237819276	119.83652007724532	196.52517787245586	246.3669385178165	143.84934932613893	126.85470737052785	783.2844891951089	94.91084925056676	92.11521913976198	1023.4961103265083	365.2051577120133	113.68101962693537	260.0245400524053	498.0880375908152	399.406927865243	274.95767839413656	50.9430820529533	247.1957266192672	222.7101767475743	454.3880348058976	104.91774592865407	695.11695848493
ARGORNPROST-PWY	918.4578212522758	902.6111662913244	1278.743930166866	856.4992624766746	1158.622914835817	976.6013981590147	1925.2199891463156	887.4685428158588	3997.6960353027703	428.6557038036895	945.7373962530139	1230.9647137312375	430.2885169045127	425.722377831421	272.309220396455	1936.7549826661332	1553.0459112533392	1532.6872199801815	942.6580603186133	447.2751466069767	962.7257249661403	1134.5809009543193	8550.075397890096	589.5889058836752	924.5943739414093	571.3357558249116	368.939321583288	927.0620662761291	824.8972912234215	960.8871280466246	332.71295415781793	208.61845906621298	1233.311347861603	511.72112135448305	5623.209672604549
ARGSYN-PWY	18154.793210120144	16461.57332264367	14161.048440576953	14923.791477271292	16002.449029931875	17522.291605259285	13029.922644253758	16132.973608583165	15045.699246350987	18300.519115908028	14585.723906197592	15695.18307585096	17965.4779426925	18452.59134490702	19287.170677143193	17368.01630842581	15692.127797193252	16434.516021531144	15730.492627442974	12492.218164569207	12535.276866303442	12689.405213536162	17293.195402525995	9458.362033820058	8489.694793448089	11059.326753888985	9119.906509159373	8767.065121409772	9359.807139364355	8541.17510578426	10182.25277306733	8987.149120386119	9774.109433461288	8425.663439334705	11052.920295095257
ARGSYNBSUB-PWY	16126.149966367577	14431.714106341356	12289.82830120833	14541.026315743973	13139.608663018678	14217.108171562035	13903.556130160827	14213.409581175614	13772.274692818846	15509.520289465156	11408.096858128594	12396.249560789382	15172.77018209977	15609.830288130424	16373.098101423753	15155.545612994047	12737.93824027892	14749.054925162425	12860.492632819827	11909.423507304979	10156.52706024587	10572.603063440414	15889.242588251194	7677.447289904859	7753.391275973735	9399.330801997618	8466.4303062598	7968.095439338889	7778.025094349553	8290.408519709394	8847.982762579511	7745.187212354959	9156.432213747079	7436.2361695988375	10188.286357521936
