"features"	"coefs"	"category"
"1"	"PWY.6676"	-2.47804357808231	"left"
"2"	"PWY.7371"	-2.40605658275567	"left"
"3"	"PWY.7374"	-2.2994164677459	"left"
"4"	"PWY.6478"	-2.18088064970201	"left"
"5"	"P221.PWY"	-2.15698635085715	"left"
"6"	"PWY.6263"	-2.10723357613832	"left"
"7"	"REDCITCYC"	-1.99706973758222	"left"
"8"	"PWY.7399"	-1.9120475353251	"left"
"9"	"PWY.6749"	-1.79295196922167	"left"
"10"	"PWY.7294"	-1.76894717239738	"left"
"11"	"PWY0.1415"	2.31172413178484	"right"
"12"	"PWY0.321"	2.31844219390151	"right"
"13"	"KETOGLUCONMET.PWY"	2.37159481044585	"right"
"14"	"ORNDEG.PWY"	2.42913357211849	"right"
"15"	"PWY.6471"	2.65673303979899	"right"
"16"	"PWY.181"	4.07340043949939	"right"
"17"	"PWY.5265"	4.15646000313393	"right"
"18"	"PWY.1622"	4.29637198091306	"right"
"19"	"PWY.7090"	5.77068919478081	"right"
"20"	"PWY.6572"	11.5669168174323	"right"
