Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
048R_S2_R_Female_week5_S61_L001_R1_001	048R_S2_R_Female_week5_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125292.0	0.0	64-301	50.0	1.7870255084123488	278.9478578041695	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
048R_S2_R_Female_week5_S61_L001_R2_001	048R_S2_R_Female_week5_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125292.0	0.0	50-301	53.0	4.870223158701274	263.8278022539348	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
048R_S2_R_Female_week9_S75_L001_R1_001	048R_S2_R_Female_week9_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105840.0	0.0	52-301	49.0	1.9822373393801964	278.91365268329554	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
048R_S2_R_Female_week9_S75_L001_R2_001	048R_S2_R_Female_week9_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105840.0	0.0	50-301	52.0	4.71655328798186	265.0227418745276	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_L_Male_week5_S68_L001_R1_001	1050R_S2_L_Male_week5_S68_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178985.0	0.0	52-301	49.0	1.6811464647875518	278.6233036287957	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_L_Male_week5_S68_L001_R2_001	1050R_S2_L_Male_week5_S68_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178985.0	0.0	50-301	52.0	4.706539654160964	264.5515266642456	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_L_Male_week9_S82_L001_R1_001	1050R_S2_L_Male_week9_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132399.0	0.0	50-301	50.0	2.2394428960943813	278.0454837272185	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_L_Male_week9_S82_L001_R2_001	1050R_S2_L_Male_week9_S82_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132399.0	0.0	50-301	52.0	3.7802400320244107	266.14349050974704	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_RR_Male_week5_S70_L001_R1_001	1050R_S2_RR_Male_week5_S70_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135458.0	0.0	50-301	50.0	2.014646606328161	277.98720636654906	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_RR_Male_week5_S70_L001_R2_001	1050R_S2_RR_Male_week5_S70_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135458.0	0.0	50-301	52.0	4.111975667734648	264.69188973704024	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_RR_Male_week9_S84_L001_R1_001	1050R_S2_RR_Male_week9_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166343.0	0.0	53-301	49.0	2.115508317151909	277.96842668462153	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_RR_Male_week9_S84_L001_R2_001	1050R_S2_RR_Male_week9_S84_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166343.0	0.0	50-301	52.0	4.0440535519979806	266.04218993284957	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_R_Male_week5_S69_L001_R1_001	1050R_S2_R_Male_week5_S69_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118931.0	0.0	52-301	50.0	2.0036828076784015	278.61042116857675	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_R_Male_week5_S69_L001_R2_001	1050R_S2_R_Male_week5_S69_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118931.0	0.0	52-301	52.0	4.74644962204976	264.9103345637386	277	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_R_Male_week9_S83_L001_R1_001	1050R_S2_R_Male_week9_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128553.0	0.0	50-301	50.0	2.314220593840673	277.2585159428407	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1050R_S2_R_Male_week9_S83_L001_R2_001	1050R_S2_R_Male_week9_S83_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128553.0	0.0	50-301	53.0	4.8244692850419675	263.3409722060162	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_0_Female_week5_S62_L001_R1_001	1127R_S2_0_Female_week5_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144423.0	0.0	51-301	50.0	1.7871114711645653	278.5191070674339	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_0_Female_week5_S62_L001_R2_001	1127R_S2_0_Female_week5_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144423.0	0.0	50-301	53.0	5.09060191243777	262.9446417814337	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_0_Female_week9_S76_L001_R1_001	1127R_S2_0_Female_week9_S76_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134102.0	0.0	67-301	50.0	1.8478471611161653	278.8642674978748	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_0_Female_week9_S76_L001_R2_001	1127R_S2_0_Female_week9_S76_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134102.0	0.0	50-301	52.0	4.68673099580916	265.3620825938465	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_R_Female_week5_S63_L001_R1_001	1127R_S2_R_Female_week5_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129556.0	0.0	51-301	49.0	1.9867856370990151	278.8884497823335	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_R_Female_week5_S63_L001_R2_001	1127R_S2_R_Female_week5_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129556.0	0.0	50-301	52.0	4.899811664453981	264.5937200901541	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_R_Female_week9_S77_L001_R1_001	1127R_S2_R_Female_week9_S77_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254520.0	0.0	54-301	50.0	1.4670752789564672	278.6349834983498	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1127R_S2_R_Female_week9_S77_L001_R2_001	1127R_S2_R_Female_week9_S77_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254520.0	0.0	50-301	52.0	3.9517523180889516	264.19549740688353	277	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
