Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
048R_S2_R_Female_week5_S61_L001_R1_001	98.21297449158764	50.0	278.9478578041695	282	45.45454545454545	0.125292
048R_S2_R_Female_week5_S61_L001_R2_001	95.12977684129872	53.0	263.8278022539348	277	45.45454545454545	0.125292
048R_S2_R_Female_week9_S75_L001_R1_001	98.01776266061981	49.0	278.91365268329554	282	45.45454545454545	0.10583999999999999
048R_S2_R_Female_week9_S75_L001_R2_001	95.28344671201813	52.0	265.0227418745276	277	45.45454545454545	0.10583999999999999
1050R_S2_L_Male_week5_S68_L001_R1_001	98.31885353521245	49.0	278.6233036287957	282	45.45454545454545	0.178985
1050R_S2_L_Male_week5_S68_L001_R2_001	95.29346034583904	52.0	264.5515266642456	277	45.45454545454545	0.178985
1050R_S2_L_Male_week9_S82_L001_R1_001	97.76055710390563	50.0	278.0454837272185	282	45.45454545454545	0.132399
1050R_S2_L_Male_week9_S82_L001_R2_001	96.21975996797559	52.0	266.14349050974704	277	45.45454545454545	0.132399
1050R_S2_RR_Male_week5_S70_L001_R1_001	97.98535339367184	50.0	277.98720636654906	282	45.45454545454545	0.135458
1050R_S2_RR_Male_week5_S70_L001_R2_001	95.88802433226535	52.0	264.69188973704024	277	45.45454545454545	0.135458
1050R_S2_RR_Male_week9_S84_L001_R1_001	97.8844916828481	49.0	277.96842668462153	282	45.45454545454545	0.166343
1050R_S2_RR_Male_week9_S84_L001_R2_001	95.95594644800202	52.0	266.04218993284957	277	45.45454545454545	0.166343
1050R_S2_R_Male_week5_S69_L001_R1_001	97.9963171923216	50.0	278.61042116857675	282	45.45454545454545	0.118931
1050R_S2_R_Male_week5_S69_L001_R2_001	95.25355037795023	52.0	264.9103345637386	277	36.36363636363637	0.118931
1050R_S2_R_Male_week9_S83_L001_R1_001	97.68577940615933	50.0	277.2585159428407	282	45.45454545454545	0.128553
1050R_S2_R_Male_week9_S83_L001_R2_001	95.17553071495803	53.0	263.3409722060162	277	45.45454545454545	0.128553
1127R_S2_0_Female_week5_S62_L001_R1_001	98.21288852883544	50.0	278.5191070674339	282	45.45454545454545	0.144423
1127R_S2_0_Female_week5_S62_L001_R2_001	94.90939808756222	53.0	262.9446417814337	277	45.45454545454545	0.144423
1127R_S2_0_Female_week9_S76_L001_R1_001	98.15215283888384	50.0	278.8642674978748	282	45.45454545454545	0.134102
1127R_S2_0_Female_week9_S76_L001_R2_001	95.31326900419084	52.0	265.3620825938465	277	45.45454545454545	0.134102
1127R_S2_R_Female_week5_S63_L001_R1_001	98.01321436290098	49.0	278.8884497823335	282	45.45454545454545	0.129556
1127R_S2_R_Female_week5_S63_L001_R2_001	95.10018833554602	52.0	264.5937200901541	277	45.45454545454545	0.129556
1127R_S2_R_Female_week9_S77_L001_R1_001	98.53292472104353	50.0	278.6349834983498	282	45.45454545454545	0.25451999999999997
1127R_S2_R_Female_week9_S77_L001_R2_001	96.04824768191105	52.0	264.19549740688353	277	36.36363636363637	0.25451999999999997
2514R_S2_L_Male_week5_S71_L001_R1_001	97.12538374731528	50.0	277.34198104621953	282	45.45454545454545	0.082411
2514R_S2_L_Male_week5_S71_L001_R2_001	95.85249541930082	52.0	265.21173144361796	277	45.45454545454545	0.082411
2514R_S2_L_Male_week9_S85_L001_R1_001	98.2955984399534	50.0	278.4087777946614	282	45.45454545454545	0.19743
2514R_S2_L_Male_week9_S85_L001_R2_001	95.09547687788077	53.0	263.55847135693665	277	45.45454545454545	0.19743
2514R_S2_R_Male_week5_S72_L001_R1_001	97.87656009574286	50.0	277.75179517866303	282	45.45454545454545	0.11698
2514R_S2_R_Male_week5_S72_L001_R2_001	95.82150795007693	53.0	264.6109847837237	277	45.45454545454545	0.11698
2514R_S2_R_Male_week9_S86_L001_R1_001	98.53344023518407	49.0	279.6482165526062	282	45.45454545454545	0.209538
2514R_S2_R_Male_week9_S86_L001_R2_001	96.24364077160229	52.0	267.06648913323596	277	45.45454545454545	0.209538
2808_NS1_0_Female_week5_S37_L001_R1_001	98.58249029737094	49.0	278.9166461969851	282	45.45454545454545	0.264619
2808_NS1_0_Female_week5_S37_L001_R2_001	95.61029253379387	52.0	265.37267921048755	277	45.45454545454545	0.264619
2808_NS1_0_Female_week9_S49_L001_R1_001	98.17321705516979	49.0	279.09813502918644	282	45.45454545454545	0.12831299999999998
2808_NS1_0_Female_week9_S49_L001_R2_001	95.06285411454802	52.0	266.69188624691185	277	36.36363636363637	0.12831299999999998
2808_NS1_L_Female_week5_S38_L001_R1_001	98.22812535100527	50.0	278.59035577895094	282	45.45454545454545	0.142448
2808_NS1_L_Female_week5_S38_L001_R2_001	94.59662473323598	52.0	263.18877063911043	277	45.45454545454545	0.142448
2808_NS1_L_Female_week9_S50_L001_R1_001	98.073460054309	50.0	278.91191463007954	282	45.45454545454545	0.10495499999999999
2808_NS1_L_Female_week9_S50_L001_R2_001	94.86065456624267	52.0	266.28005335620026	277	45.45454545454545	0.10495499999999999
2808_NS1_RR_Female_week5_S40_L001_R1_001	96.66973386183466	50.0	276.77960433182335	282	45.45454545454545	0.056512
2808_NS1_RR_Female_week5_S40_L001_R2_001	95.00637032842582	52.0	265.7570427519819	277	45.45454545454545	0.056512
2808_NS1_RR_Female_week9_S52_L001_R1_001	98.1064362279832	50.0	278.54345909870773	282	45.45454545454545	0.12706199999999998
2808_NS1_RR_Female_week9_S52_L001_R2_001	95.01345799688342	53.0	264.1947238356078	277	45.45454545454545	0.12706199999999998
2808_NS1_R_Female_week5_S39_L001_R1_001	98.30424007327191	49.0	279.22497440870643	282	45.45454545454545	0.14848799999999998
2808_NS1_R_Female_week5_S39_L001_R2_001	95.10465492160982	52.0	266.0504956629492	277	45.45454545454545	0.14848799999999998
2808_NS1_R_Female_week9_S51_L001_R1_001	97.78753779117613	50.0	277.93036028309814	282	45.45454545454545	0.115437
2808_NS1_R_Female_week9_S51_L001_R2_001	94.44978646361218	52.0	263.85319265053664	277	45.45454545454545	0.115437
2824_NS1_0_Male_week5_S43_L001_R1_001	98.06321386372588	49.0	278.97656557699884	282	45.45454545454545	0.10156
2824_NS1_0_Male_week5_S43_L001_R2_001	94.42989365892083	52.0	266.0863528948405	277	45.45454545454545	0.10156
