Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
048R_S2_R_Female_week5_S61_L001_R1_001	(1.0, 1.1070140152603518)	(2.0, 0.4852664176483734)	(3.0, 0.36155540657025187)	(4.0, 0.26178846215241197)	(5.0, 0.23145931104938863)	(6.0, 0.16760846662197107)	(7.0, 0.11732592663537976)	(8.0, 0.10216135108386808)	(9.0, 0.1723972799540274)	('>10', 1.8660409283912778)	('>50', 0.4046547265587588)	('>100', 1.0184209686173098)	('>500', 2.526099032659707)	('>1k', 18.065798295182454)	('>5k', 15.875714331322033)	('>10k+', 57.236695080292435)
048R_S2_R_Female_week5_S61_L001_R2_001	(1.0, 3.9108642211793248)	(2.0, 0.6991667464802221)	(3.0, 0.37592184656642086)	(4.0, 0.34798710212942563)	(5.0, 0.32324489991380134)	(6.0, 0.30648405325160427)	(7.0, 0.26258659770775467)	(8.0, 0.19155253328225266)	(9.0, 0.15803083995785844)	('>10', 3.3984611946492995)	('>50', 0.7103406442550203)	('>100', 1.5619512818057018)	('>500', 3.470293394630144)	('>1k', 6.273345464993775)	('>5k', 7.256648469176005)	('>10k+', 70.75312071002139)
048R_S2_R_Female_week9_S75_L001_R1_001	(1.0, 1.207482993197279)	(2.0, 0.5857898715041572)	(3.0, 0.37414965986394555)	(4.0, 0.31746031746031744)	(5.0, 0.21730914588057446)	(6.0, 0.30612244897959184)	(7.0, 0.16534391534391535)	(8.0, 0.11337868480725624)	(9.0, 0.21258503401360546)	('>10', 1.7290249433106575)	('>50', 0.6462585034013605)	('>100', 1.8367346938775513)	('>500', 0.0)	('>1k', 12.833522297808011)	('>5k', 21.09599395313681)	('>10k+', 58.35884353741496)
048R_S2_R_Female_week9_S75_L001_R2_001	(1.0, 3.6564625850340136)	(2.0, 0.7898715041572184)	(3.0, 0.5130385487528344)	(4.0, 0.40060468631897206)	(5.0, 0.31179138321995464)	(6.0, 0.2834467120181406)	(7.0, 0.1851851851851852)	(8.0, 0.2418745275888133)	(9.0, 0.2380952380952381)	('>10', 3.3002645502645507)	('>50', 0.9892290249433106)	('>100', 2.0266439909297054)	('>500', 0.7719198790627362)	('>1k', 6.803665910808768)	('>5k', 7.638888888888889)	('>10k+', 71.84901738473167)
1050R_S2_L_Male_week5_S68_L001_R1_001	(1.0, 1.0419867586669274)	(2.0, 0.4234991759085957)	(3.0, 0.3218146772075872)	(4.0, 0.25253512864206495)	(5.0, 0.24583065620024025)	(6.0, 0.16425957482470596)	(7.0, 0.13297203676285724)	(8.0, 0.14749839372014414)	(9.0, 0.11062379529010812)	('>10', 2.114702349358885)	('>50', 0.5682040394446461)	('>100', 1.4990082967846468)	('>500', 0.3933290499203844)	('>1k', 9.60862642120848)	('>5k', 11.697628292873704)	('>10k+', 71.27748135318602)
1050R_S2_L_Male_week5_S68_L001_R2_001	(1.0, 3.7846746934100626)	(2.0, 0.7006173701706847)	(3.0, 0.46931307092773134)	(4.0, 0.26147442523116465)	(5.0, 0.22348241472749114)	(6.0, 0.24136100790569043)	(7.0, 0.19163617062882365)	(8.0, 0.17431628348744307)	(9.0, 0.18604911026063636)	('>10', 3.3600581054278296)	('>50', 1.4045869765622818)	('>100', 2.137050590831634)	('>500', 0.7698969187362069)	('>1k', 7.085509958935106)	('>5k', 0.0)	('>10k+', 79.00997290275723)
1050R_S2_L_Male_week9_S82_L001_R1_001	(1.0, 1.4252373507352776)	(2.0, 0.5876177312517467)	(3.0, 0.41012394353431675)	(4.0, 0.34139230658841835)	(5.0, 0.2870112312026526)	(6.0, 0.2356513266716516)	(7.0, 0.19033376385018014)	(8.0, 0.1873125929954154)	(9.0, 0.15634559173407656)	('>10', 1.9871751297215234)	('>50', 0.877650133309164)	('>100', 1.4765972552662785)	('>500', 0.0)	('>1k', 15.01748502632195)	('>5k', 10.111858850897665)	('>10k+', 66.70820776591968)
1050R_S2_L_Male_week9_S82_L001_R2_001	(1.0, 2.9365780708313505)	(2.0, 0.5830859749695995)	(3.0, 0.3851992839825074)	(4.0, 0.31420176889553547)	(5.0, 0.26435244979191685)	(6.0, 0.2447148392359459)	(7.0, 0.2114819598335335)	(8.0, 0.1993972764144744)	(9.0, 0.12915505404119365)	('>10', 3.1729846902166936)	('>50', 0.5355025340070544)	('>100', 1.6140605291580752)	('>500', 0.8731183770270169)	('>1k', 7.80670548871215)	('>5k', 0.0)	('>10k+', 80.72946170288296)
1050R_S2_RR_Male_week5_S70_L001_R1_001	(1.0, 1.3074163209260434)	(2.0, 0.4916653132336223)	(3.0, 0.34770925305260675)	(4.0, 0.2746238686530142)	(5.0, 0.26576503418033637)	(6.0, 0.14174135156284604)	(7.0, 0.17570021704144456)	(8.0, 0.17717668945355755)	(9.0, 0.11295013952664294)	('>10', 2.1320261630911426)	('>50', 0.4348211253672725)	('>100', 2.0700143217823976)	('>500', 0.6983714509294394)	('>1k', 18.993341109421372)	('>5k', 12.656321516632463)	('>10k+', 59.7203561251458)
1050R_S2_RR_Male_week5_S70_L001_R2_001	(1.0, 3.24085694458799)	(2.0, 0.6186419406753385)	(3.0, 0.3920034254159961)	(4.0, 0.2952944824225959)	(5.0, 0.25838267211977145)	(6.0, 0.2746238686530142)	(7.0, 0.21187379113821259)	(8.0, 0.17127079980510565)	(9.0, 0.17274727221721864)	('>10', 3.379645351326611)	('>50', 0.583206602784627)	('>100', 2.1940380043998875)	('>500', 0.5640124614271582)	('>1k', 7.559538750018456)	('>5k', 5.9900485759423585)	('>10k+', 74.09381505706565)
1050R_S2_RR_Male_week9_S84_L001_R1_001	(1.0, 1.3538291361824664)	(2.0, 0.5338367108925534)	(3.0, 0.3498794659228221)	(4.0, 0.3342491117750672)	(5.0, 0.21942612553579052)	(6.0, 0.2633113506429486)	(7.0, 0.14728602946922922)	(8.0, 0.19237358951083003)	(9.0, 0.15690470894477077)	('>10', 2.087854613659727)	('>50', 0.7406383196166956)	('>100', 1.519150189668336)	('>500', 0.3096012456189921)	('>1k', 11.458853092706036)	('>5k', 13.481781619905858)	('>10k+', 66.85102468994788)
1050R_S2_RR_Male_week9_S84_L001_R2_001	(1.0, 3.186788743740344)	(2.0, 0.5975604624180157)	(3.0, 0.3913600211610948)	(4.0, 0.3318444419061818)	(5.0, 0.24948449889685773)	(6.0, 0.2344553122163241)	(7.0, 0.1767432353630751)	(8.0, 0.19237358951083003)	(9.0, 0.14067318732979447)	('>10', 3.21203777736364)	('>50', 0.9744924643657983)	('>100', 1.7608195114913163)	('>500', 0.4659047870965415)	('>1k', 8.866017806580379)	('>5k', 0.0)	('>10k+', 79.2194441605598)
