Sample	Unique Reads	Duplicate Reads
048R_S2_R_Female_week5_S61_L001_R1_001	2239.0	123053.0
048R_S2_R_Female_week5_S61_L001_R2_001	6103.0	119189.0
048R_S2_R_Female_week9_S75_L001_R1_001	2098.0	103742.0
048R_S2_R_Female_week9_S75_L001_R2_001	4992.0	100848.0
1050R_S2_L_Male_week5_S68_L001_R1_001	3009.0	175976.0
1050R_S2_L_Male_week5_S68_L001_R2_001	8424.0	170561.0
1050R_S2_L_Male_week9_S82_L001_R1_001	2965.0	129434.0
1050R_S2_L_Male_week9_S82_L001_R2_001	5005.0	127394.0
1050R_S2_RR_Male_week5_S70_L001_R1_001	2729.0	132729.0
1050R_S2_RR_Male_week5_S70_L001_R2_001	5571.0	129887.0
1050R_S2_RR_Male_week9_S84_L001_R1_001	3519.0	162824.0
1050R_S2_RR_Male_week9_S84_L001_R2_001	6727.0	159616.0
1050R_S2_R_Male_week5_S69_L001_R1_001	2383.0	116548.0
1050R_S2_R_Male_week5_S69_L001_R2_001	5645.0	113286.0
1050R_S2_R_Male_week9_S83_L001_R1_001	2975.0	125578.0
1050R_S2_R_Male_week9_S83_L001_R2_001	6202.0	122351.0
1127R_S2_0_Female_week5_S62_L001_R1_001	2581.0	141842.0
1127R_S2_0_Female_week5_S62_L001_R2_001	7352.0	137071.0
1127R_S2_0_Female_week9_S76_L001_R1_001	2478.0	131624.0
1127R_S2_0_Female_week9_S76_L001_R2_001	6285.0	127817.0
1127R_S2_R_Female_week5_S63_L001_R1_001	2574.0	126982.0
1127R_S2_R_Female_week5_S63_L001_R2_001	6348.0	123208.0
1127R_S2_R_Female_week9_S77_L001_R1_001	3735.0	250785.0
1127R_S2_R_Female_week9_S77_L001_R2_001	10058.0	244462.0
2514R_S2_L_Male_week5_S71_L001_R1_001	2369.0	80042.0
2514R_S2_L_Male_week5_S71_L001_R2_001	3418.0	78993.0
2514R_S2_L_Male_week9_S85_L001_R1_001	3366.0	194064.0
2514R_S2_L_Male_week9_S85_L001_R2_001	9683.0	187747.0
2514R_S2_R_Male_week5_S72_L001_R1_001	2484.0	114496.0
2514R_S2_R_Male_week5_S72_L001_R2_001	4888.0	112092.0
2514R_S2_R_Male_week9_S86_L001_R1_001	3073.0	206465.0
