"features"	"coefs"	"category"
"1"	"EC.1.1.1.67"	-7.51201565077839	"left"
"2"	"EC.4.2.2.1"	-7.40750255953331	"left"
"3"	"EC.2.7.1.63"	-7.26698871652296	"left"
"4"	"EC.2.4.1.230"	-6.62535257220466	"left"
"5"	"EC.4.3.1.29"	-6.58562983657857	"left"
"6"	"EC.3.2.1.139"	-6.51266070354427	"left"
"7"	"EC.2.6.1.51"	-6.44701101984642	"left"
"8"	"EC.2.6.1.45"	-6.44701101984642	"left"
"9"	"EC.2.6.1.44"	-6.44701101984642	"left"
"10"	"EC.3.2.2.24"	-6.43629028192895	"left"
"11"	"EC.2.4.1.9"	5.04990405589362	"right"
"12"	"EC.2.5.1.83"	5.04990405589362	"right"
"13"	"EC.2.7.7.66"	5.04990405589362	"right"
"14"	"EC.4.1.1.61"	5.04990405589362	"right"
"15"	"EC.1.13.12.4"	5.04990405591294	"right"
"16"	"EC.1.2.1.58"	5.28965626483377	"right"
"17"	"EC.2.6.1.33"	5.58324261943886	"right"
"18"	"EC.3.4.24.40"	5.92004246039415	"right"
"19"	"EC.2.7.7.82"	7.51005157914489	"right"
"20"	"EC.2.3.1.209"	10.7220628110748	"right"
