"features"	"coefs"	"category"
"1"	"PWY.6676"	-4.88803825511154	"left"
"2"	"PWY.7371"	-3.75353323566403	"left"
"3"	"PWY.7374"	-3.66993743146933	"left"
"4"	"PWY.7373"	-3.00489250527001	"left"
"5"	"PWY.6478"	-2.45370289045547	"left"
"6"	"P221.PWY"	-2.42220594183936	"left"
"7"	"PWY.6263"	-2.39105056629096	"left"
"8"	"PWY.7399"	-2.14137576518052	"left"
"9"	"PWY.6749"	-2.13220591097051	"left"
"10"	"PWY.5415"	-1.54780707410322	"left"
"11"	"PWY.6071"	1.9359474802258	"right"
"12"	"PWY0.321"	1.9589868811007	"right"
"13"	"PWY.6470"	2.00543700425588	"right"
"14"	"GALLATE.DEGRADATION.II.PWY"	2.06690940194614	"right"
"15"	"PWY.6471"	2.62579711563574	"right"
"16"	"PWY.5179"	4.52039770979158	"right"
"17"	"PWY.181"	4.90845027698937	"right"
"18"	"PWY.5265"	5.01842140615593	"right"
"19"	"PWY.1622"	5.07236887006795	"right"
"20"	"PWY.6572"	10.6995714383671	"right"
