	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-6572	Week_and_consortia	NS6_w9w10	12.3955896574859	0.242435889704275	40	30	1.2008918522961799e-36	3.6387023124574297e-34	PWY-6572	chondroitin sulfate degradation I (bacterial)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
1	PWY-7090	Week_and_consortia	NS6_w9w10	8.13937572934363	0.248096833468234	40	37	1.73409685751997e-29	2.62715673914275e-27	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
2	GALACT-GLUCUROCAT-PWY	Week_and_consortia	NS6_w9w10	0.779867633614585	0.0275567415119544	40	40	1.13956148266713e-26	1.1509570974938e-24	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation // galacturonate and glucuronate catabolism // superpathway of galacturonate and glucuronate degradation	Superpathways						
3	PWY-6344	Week_and_consortia	NS6_w9w10	-1.46184390798262	0.0555697683409177	40	20	1.50163082427409e-25	1.13748534938763e-23	PWY-6344	L-arginine degradation XIV (oxidative Stickland reaction) // L-arginine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
4	GLUCUROCAT-PWY	Week_and_consortia	NS6_w9w10	0.862015456153303	0.0336903499526149	40	40	3.97994361916554e-25	2.41184583321432e-23	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronides degradation (to pyruvate) // D-glucuronate catabolism // D-glucuronate degradation // glucuronic acid degradation // glucuronate degradation // &beta;-D-glucuronide degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
5	PWY-3781	Week_and_consortia	NS6_w9w10	6.70871645828304	0.271190593407952	40	21	1.2958857380204501e-24	6.54422297700326e-23	PWY-3781	aerobic respiration I (cytochrome c)	Generation of precursor metabolites and energy						
6	P163-PWY	Week_and_consortia	NS6_w9w10	-1.57655148410505	0.0653683231268593	40	20	3.14227060868143e-24	1.36015427775782e-22	P163-PWY	L-lysine fermentation to acetate and butanoate // 3-keto-5-aminohexanoate pathway // L-lysine fermentation to acetate and butyrate // L-lysine fermentation to acetic acid and butanoic acid	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
7	PWY-7315	Week_and_consortia	NS6_w9w10	-0.729079377040921	0.0306336957472307	40	40	4.98856144402885e-24	1.88941764692593e-22	PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis // dTDP-4-acetamido-&alpha;-D-fucose biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis	Biosynthesis						
8	PWY-1622	Week_and_consortia	NS6_w9w10	1.4429737351058	0.0627307946056892	40	20	1.6282179377648802e-23	5.48166705714175e-22	PWY-1622	formaldehyde assimilation I (serine pathway)	Degradation/utilization/assimilation						
9	PWY-7242	Week_and_consortia	NS6_w9w10	0.834681408453213	0.0389858673693674	40	40	8.33646932105064e-23	2.5259502042783402e-21	PWY-7242	D-fructuronate degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
