"features"	"coefs"	"category"
"1"	"EC.2.1.1.294"	-1.26306436419269	"left"
"2"	"EC.2.7.1.181"	-1.26306436419269	"left"
"3"	"EC.3.4.21.96"	-1.26306436419269	"left"
"4"	"EC.1.14.13.208"	-1.25174795617695	"left"
"5"	"EC.2.1.1.303"	-1.25174795617695	"left"
"6"	"EC.1.3.7.1"	-1.25174795617695	"left"
"7"	"EC.1.1.3.9"	-1.11179395322948	"left"
"8"	"EC.2.4.1.80"	-1.11179395322948	"left"
"9"	"EC.2.5.1.76"	-1.11179395322948	"left"
"10"	"EC.4.2.1.151"	-1.11179395322948	"left"
"11"	"EC.2.1.1.265"	1.03319056669063	"right"
"12"	"EC.5.3.3.14"	1.03319056669063	"right"
"13"	"EC.4.2.99.21"	1.03319056669063	"right"
"14"	"EC.3.1.3.81"	1.03319056669063	"right"
"15"	"EC.3.1.3.4"	1.03319056669063	"right"
"16"	"EC.3.1.3.27"	1.03319056669067	"right"
"17"	"EC.4.1.1.104"	1.03319056669067	"right"
"18"	"EC.1.12.5.1"	1.03319056669067	"right"
"19"	"EC.2.5.1.18"	1.0331905666923	"right"
"20"	"EC.1.7.2.3"	1.03319056669263	"right"
