Pathway	Reactions
METHGLYUT-PWY	1.1.1.283-RXN // LACTALDDEHYDROG-RXN // L-LACTDEHYDROGFMN-RXN // RXN-8632 // RXN0-4281 // RXN-20917 // GLYOXII-RXN // GLYOXI-RXN
PWY-5327	RXN-16834 // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // 2.8.3.9-RXN // 4.3.1.14-RXN // R125-RXN // 1.4.1.11-RXN // BETA-LYSINE-56-AMINOMUTASE-RXN // LYSINE-23-AMINOMUTASE-RXN // AMVAL-RXN // KETAMID-RXN // ACETCAPR-RXN // LYSACET-RXN // 1.2.1.31-RXN // 2-KETO-ADIPATE-DEHYDROG-RXN // 1.5.1.9-RXN // 1.5.1.8-RXN // RXN-14724 // 5-AMINOPENTANAMIDASE-RXN // LYSINE-2-MONOOXYGENASE-RXN // RXN-14932 // RXN-21282 // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // L-PIPECOLATE-OXIDASE-RXN // RXN-8166 // RXN-8163 // LYSINE-RACEMASE-RXN // RXN-8162 // L-LYSINE-AMINOTRANSFERASE-RXN // RXN-8243 // RXN-8172 // L-LYSINE-OXIDASE-RXN // RXN-8808 // RXN-8173 // LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN // RXN0-7319 // RXN0-7316 // VAGL-RXN // RXN-8182 // RXN0-7318 // RXN0-7317 // LYSDECARBOX-RXN
PWY-5497	GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // RXN-15127 // RXN-15124 // RXN-15125 // RXN-8753 // RXN-8754 // RXN-8751 // RXN-8752 // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUFLAVREDUCT-RXN // RXN0-901 // 1.2.1.2-RXN // 4.3.1.4-RXN // GLYCINE-FORMIMINOTRANSFERASE-RXN // R63-RXN // R13-RXN // R62-RXN // R128-RXN // R127-RXN // GUANINE-DEAMINASE-RXN
PWY490-3	FERREDOXIN--NITRITE-REDUCTASE-RXN // 1.7.7.2-RXN
PWY-5837	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-7431	SYNEPHRINE-DEHYDRATASE-RXN // RXN-8505 // RXN-15198 // OCTOPAMINE-DEHYDRATASE-RXN // RXN6666-5 // RXN6666-4 // 1.2.1.53-RXN // RXN-5821
NPGLUCAT-PWY	GLUCOSE-1-DEHYDROGENASE-NADP+-RXN // GLUCONOLACT-RXN // GKI-RXN // PYRUFLAVREDUCT-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // GLYCERALDEHYDE-DEHYDRO-RXN // DHDOGALDOL-RXN // GLUCONATE-DEHYDRATASE-RXN
P164-PWY	RXN-21065 // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // ACETATEKIN-RXN // RXN-7566 // RXN-8755 // 1.2.1.2-RXN // 4.3.1.4-RXN // GLYCINE-FORMIMINOTRANSFERASE-RXN // R63-RXN // R13-RXN // R62-RXN // R128-RXN // R127-RXN // GUANINE-DEAMINASE-RXN
PWY-1269	RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN
PWY-6969	RXN-14971 // MALATE-DEH-RXN // SUCCCOASYN-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // ISOCITDEH-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN
PWY-6961	RXN-21400 // RIBULPEPIM-RXN // LXULRU5P-RXN // RXN0-705 // RXN0-703 // RXN0-704 // RXN-12440
PWY-6962	RXN-12901 // RXN-12900 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN // RXN-12902 // METHYLGUTAMATE-DEHYDROGENASE-RXN // GLUTAMATE--METHYLAMINE-LIGASE-RXN
PWY-5499	3.5.1.29-RXN // 1.14.12.4-RXN // 4.1.1.51-RXN // RXN-8756 // RXN-8757 // 4-PYRIDOXOLACTONASE-RXN // PYRIDOXAL-4-DEHYDROGENASE-RXN // PYRIDOXINE-4-OXIDASE-RXN // 2.6.1.30-RXN
METH-ACETATE-PWY	RXN-23967 // 1.2.7.4-RXN // RXN-12908 // ACETYLSYNCLTH-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN
PWY-6148	CHORPYRLY-RXN // RXN-15742 // RXN-15741 // RXN-15734 // RXN-15733 // RXN-15732 // H2NEOPTERINALDOL-RXN // RXN-15555 // RXN-8124 // RXN-10010 // RXN-10011 // RXN-10012 // RXN-10013 // RXN-10014
PWY-6142	PEPSYNTH-RXN // RXN-22566 // METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // PGLUCISOM-RXN // RXN0-5224 // PYRUVATE-CARBOXYLASE-RXN // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // 1.2.7.6-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN // PYRUFLAVREDUCT-RXN
PWY-6143	RXN-9998 // RXN-9999 // RXN-10000 // RXN-10001 // RXN-10002 // RXN-10003
PWY-6141	RXN-14398 // RXN-14406 // RXN-14405 // RXN-10935 // RXN-9996 // RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995
PWY-6146	PEPSYNTH-RXN // RXN-22566 // METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // PGLUCISOM-RXN // RXN0-5224 // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // 1.2.7.6-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN // R601-RXN // MALATE-DEH-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // PYRUFLAVREDUCT-RXN // ASPAMINOTRANS-RXN // ALANINE-AMINOTRANSFERASE-RXN // RXN-14398 // RXN-14406 // RXN-14405 // RXN-10935 // RXN-9996 // RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUVATE-CARBOXYLASE-RXN // RXN-21796 // RXN-24720 // RXN-21797 // 1.2.7.4-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // RXN-22438 // RXN-5061 // ACETYLSYNCLTH-RXN // METHCOCLTH-RXN // FORMATE-DEHYDROGENASE-NADP+-RXN
PWY-6147	GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-6145	RXN-15655 // RXN-15654 // RXN-15653 // RXN-15652 // RXN-9993 // RXN-9992 // RXN-9991 // MANNKIN-RXN // 1.14.18.2-RXN // N-ACETYLNEURAMINATE-SYNTHASE-RXN // RXN-9990 // RXN-9989 // RXN-9988 // NANK-RXN // RXN-9987
P4-PWY	CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // RXN-14014 // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
P241-PWY	RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // R227-RXN // R226-RXN // R225-RXN // R224-RXN // R218-RXN // R217-RXN // R216-RXN // R215-RXN // R214-RXN // R213-RXN // R212-RXN // R211-RXN
PWY-6374	DHBAMPLIG-RXN // RXN-10989 // RXN-10990 // RXN-10991 // RXN-10992 // RXN-10993 // DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN
PWY-7237	RXN-14150 // RXN-14149 // MYO-INOSOSE-2-DEHYDRATASE-RXN // RXN-2902 // 4.1.2.29-RXN // 5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-14178 // RXN-14148 // RXN-13779
PWY-7234	RXN-10066 // RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARSYN-RXN // SAICARSYN-RXN
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN // 4-HYDROXYMANDELATE-OXY-RXN // HYDROXY-MANDELATE-RACEMASE-RXN
PWY-7153	RXN-13869 // RXN-15414 // RXN-13868 // RXN-13867 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-7644	4.2.2.7-RXN // RXN-16483 // RXN-16484 // DISULFOGLUCOSAMINE-6-SULFATASE-RXN // N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-7159	RXN-17485 // RXN-5282 // RXN-5283 // RXN-5284 // RXN0-1461 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // PROTOPORGENOXI-RXN
