Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY-7494	TAX-4751	TAX-746128 // TAX-451804	Aspergillus fumigatus	Fungi
PWY-6610	TAX-33682 // TAX-4751 // TAX-2157 // TAX-2	TAX-4896 // TAX-4932 // TAX-4903 // TAX-38584 // TAX-5689 // TAX-38582 // TAX-38574 // TAX-5660 // TAX-5656 // TAX-224308 // TAX-1423 // TAX-354	Schizosaccharomyces pombe // Saccharomyces cerevisiae // Cyberlindnera jadinii // Leishmania tropica species complex // Leishmania tarentolae // Leishmania mexicana species complex // Leishmania donovani species complex // Leishmania braziliensis // Crithidia fasciculata // Bacillus subtilis // Azotobacter vinelandii	Euglenozoa // Fungi // Archaea // Bacteria <bacteria>
PWY-8490	TAX-2	TAX-359391 // TAX-108150	Brucella abortus // Thermoanaerobacter italicus	Bacteria <bacteria>
PWY-5203	TAX-3398	TAX-3847 // TAX-46348 // TAX-49827 // TAX-3880 // TAX-4054	Glycine max // Glycyrrhiza echinata // Glycyrrhiza glabra // Medicago truncatula // Panax ginseng	Magnoliopsida
PWY-6543	TAX-4751 // TAX-2157 // TAX-2 // TAX-33090	TAX-511145 // TAX-3847 // TAX-4530 // TAX-4081 // TAX-1911 // ORG-5993	Escherichia coli // Glycine max // Oryza sativa // Solanum lycopersicum // Streptomyces griseus // Arabidopsis thaliana	Fungi // Archaea // Bacteria <bacteria> // Viridiplantae
PWY-5078	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-2661	TAX-2157 // TAX-2	TAX-83332 // TAX-104027 // TAX-7 // TAX-29448 // TAX-375 // TAX-1704 // TAX-82115 // TAX-384 // TAX-386 // TAX-387 // TAX-398 // TAX-394 // TAX-2285 // ORG-6005	Mycobacterium tuberculosis // Arthrobacter sp. Q36 // Azorhizobium caulinodans // Bradyrhizobium elkanii // Bradyrhizobium japonicum // Brevibacterium helvolum // Rhizobiaceae // Rhizobium leguminosarum // Rhizobium tropici // Sinorhizobium fredii // Sulfolobus acidocaldarius // Sinorhizobium meliloti Rm2011	Archaea // Bacteria <bacteria>
PWY-6708	TAX-2	TAX-107673 // TAX-28090 // TAX-648 // TAX-644 // TAX-1049 // TAX-353 // TAX-354 // TAX-520 // TAX-546 // TAX-106590 // TAX-511145 // TAX-1053 // TAX-548 // TAX-487 // TAX-584 // TAX-585 // TAX-28068 // TAX-51367 // TAX-615 // TAX-40324 // TAX-346 // TAX-347	Acinetobacter calcoaceticus // Acinetobacter lwoffii // Aeromonas caviae // Aeromonas hydrophila // Allochromatium vinosum // Azotobacter chroococcum // Azotobacter vinelandii // Bordetella pertussis // Citrobacter freundii // Cupriavidus necator // Escherichia coli // Halorhodospira halophila // Klebsiella aerogenes // Neisseria meningitidis // Proteus mirabilis // Proteus vulgaris // Rubrivivax gelatinosus // Salinivibrio costicola // Serratia marcescens // Stenotrophomonas maltophilia // Xanthomonas citri // Xanthomonas oryzae	Bacteria <bacteria>
PWY-6955	TAX-2	TAX-1915	Streptomyces lincolnensis	Bacteria <bacteria>
PWY-8062	TAX-2	TAX-1633202 // TAX-1630162 // TAX-35833 // TAX-36854 // TAX-1565 // TAX-207559 // TAX-1121445 // TAX-44742 // TAX-901 // TAX-42252 // TAX-881 // TAX-160799 // TAX-112903 // TAX-55504	Bacteroidales bacterium Barb6XT // Bifidobacterium tissieri // Bilophila wadsworthia // Desulfitobacterium dehalogenans // Desulfotomaculum nigrificans // Oleidesulfovibrio alaskensis // Desulfovibrio desulfuricans // Desulfovibrio fairfieldensis // Desulfovibrio piger // Nitratidesulfovibrio termitidis // Nitratidesulfovibrio vulgaris // Paenibacillus borealis // Propionispora vibrioides // Sporomusa silvacetica	Bacteria <bacteria>
