"features"	"coefs"	"category"
"1"	"ko.K00356"	-10.2430545394601	"left"
"2"	"ko.K00329"	-10.2430545394601	"left"
"3"	"ko.K07457"	-7.86407434433756	"left"
"4"	"ko.K09145"	-7.81228061421716	"left"
"5"	"ko.K00886"	-7.23400608653801	"left"
"6"	"ko.K07454"	-6.87905852996956	"left"
"7"	"ko.K00830"	-6.80552179883726	"left"
"8"	"ko.K00260"	-6.58862910377815	"left"
"9"	"ko.K09138"	-6.22184605404932	"left"
"10"	"ko.K13525"	-6.17716718292513	"left"
"11"	"ko.K17640"	6.46229770644352	"right"
"12"	"ko.K00054"	6.64179060394509	"right"
"13"	"ko.K18431"	6.94259539565398	"right"
"14"	"ko.K22441"	7.00939556289191	"right"
"15"	"ko.K01958"	7.02658799312349	"right"
"16"	"ko.K19789"	7.10654157347138	"right"
"17"	"ko.K16922"	8.78943796862642	"right"
"18"	"ko.K21379"	9.33671124770341	"right"
"19"	"ko.K17818"	9.6078517928491	"right"
"20"	"ko.K00019"	11.6462128475835	"right"
