	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa
0	METHGLYUT-PWY	Yes	Yes	8	1	Aldehyde-Degradation // Super-Pathways	superpathway of methylglyoxal degradation	Escherichia coli
1	PWY-5327	Yes	Yes	43	9	Amino-Acid-Degradation // Super-Pathways	superpathway of L-lysine degradation	Agrobacterium tumefaciens,Anaerovibrio lipolyticus,Bos taurus,Candida tropicalis,Clostridium peptidivorans,Clostridium subterminale,Cyberlindnera saturnus,Escherichia coli,Fusobacterium nucleatum,Geobacillus stearothermophilus,Homo sapiens,Meyerozyma guilliermondii,Mus musculus,Porphyromonas gingivalis,Pseudomonas fluorescens,Pseudomonas putida,Rattus norvegicus,Saccharomyces cerevisiae,Selenomonas ruminantium,Streptomyces clavuligerus,Trichoderma harzianum,Trichoderma viride,Veillonella parvula,Yarrowia lipolytica,Acetoanaerobium sticklandii,[Flavobacterium] lutescens,Slafractonia leguminicola,Candida maltosa L4,Clostridium SB4  ,Neurospora crassa 15069,Neurospora crassa 33933
2	PWY-5497	Yes	No	24	9	NUCLEO-DEG // Energy-Metabolism	purine nucleobases degradation II (anaerobic) // purine fermentation	Clostridium,Gottschalkia acidurici,Clostridium cylindrosporum
3	PWY-7431	Yes	Yes	8	2	AMINE-DEG	aromatic biogenic amine degradation (bacteria)	Pseudomonas aeruginosa,Arthrobacter synephrinum,Pseudomonas putida
4	NPGLUCAT-PWY	Yes	No	9	4			
5	P164-PWY	Yes	No	15	3	NUCLEO-DEG // Energy-Metabolism	purine nucleobases degradation I (anaerobic) // purine fermentation	Clostridium,Gottschalkia acidurici,Clostridium cylindrosporum,Gottschalkia purinilytica
6	PWY-6969	Yes	No	9	4	Energy-Metabolism	TCA cycle V (2-oxoglutarate synthase) // citric acid cycle // tricarboxylic acid cycle // Szent-Gyorgyi-Krebs cycle // Krebs cycle // TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase) // reversed TCA cycle	Desulfurella acetivorans,Halobacterium salinarum,Hippea maritima,Mycobacterium tuberculosis,Mycobacterium tuberculosis variant bovis,Mycolicibacterium smegmatis,Pyrobaculum islandicum,Thermosulfidibacter takaii
7	PWY-6961	Yes	No	7	1	CARBOXYLATES-DEG	L-ascorbate degradation II (bacterial, aerobic)	Escherichia coli,Klebsiella pneumoniae
8	METH-ACETATE-PWY	Yes	No	6	2			
9	PWY-6142	Yes	No	18	7			
10	PWY-6146	Yes	No	58	17			
11	P4-PWY	Yes	Yes	18	15	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Escherichia coli
12	PWY-7237	Yes	Yes	10	1	CYCLITOLS-DEG // Super-Pathways	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	Bacillus subtilis
13	PWY-7234	Yes	Yes	6	4			
14	4-HYDROXYMANDELATE-DEGRADATION-PWY	Yes	No	6	1	AROMATIC-COMPOUNDS-DEGRADATION	4-hydroxymandelate degradation	Aspergillus niger,Pseudomonas fluorescens,Pseudomonas putida
15	PWY-7153	Yes	No	8	2	SECONDARY-METABOLITE-BIOSYNTHESIS	grixazone biosynthesis	Streptomyces griseus
16	PWY-7159	Yes	Yes	9	1	Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis (from uroporphyrinogen-III) III (aerobic, light independent) // light-independent aerobic 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis	Leptolyngbya boryana,Microchaete diplosiphon,Rubrivivax gelatinosus,Synechocystis sp. PCC 6803,Thermosynechococcus vestitus
17	P441-PWY	Yes	Yes	22	16	CARBOXYLATES-DEG // Super-Pathways	superpathway of <i>N</i>-acetylneuraminate degradation // <i>N</i>-acetylneuraminate catabolism // sialic acid degradation	Clostridium perfringens,Abiotrophia defectiva,Escherichia coli,Streptococcus anginosus,Streptococcus constellatus,Streptococcus gordonii,Streptococcus intermedius,Streptococcus mitis,Streptococcus oralis,Streptococcus sanguinis
18	P184-PWY	Yes	Yes	8	1	AROMATIC-COMPOUNDS-DEGRADATION	protocatechuate degradation I (<I>meta</I>-cleavage pathway) // protocatechuate degradation via <I>meta</I>-cleavage // protocatechuate 4,5-cleavage	Comamonas testosteroni,Delftia acidovorans,Phytopseudomonas straminea,Sphingomonas sp. SYK6
19	ANAEROFRUCAT-PWY	Yes	Yes	12	11	Super-Pathways // Energy-Metabolism	homolactic fermentation // anaerobic fructose catabolism // anaerobic fructose degradation // fructose fermentation to lactate // fructose fermentation to lactic acid	Enterococcus faecalis,Enterococcus faecium,Homo sapiens,Lactobacillus acidophilus,Lacticaseibacillus casei,Lactobacillus delbrueckii,Lapidilactobacillus dextrinicus,Lactiplantibacillus plantarum,Ligilactobacillus salivarius,Lactococcus lactis,Pediococcus acidilactici,Pediococcus damnosus,Rattus norvegicus,Streptococcus equinus,Streptococcus thermophilus
20	PWY-1541	Yes	No	6	1	Noncarbon-Nutrients // Super-Pathways	superpathway of taurine degradation	Rhodococcus opacus,Escherichia coli,Bilophila wadsworthia,Achromobacter superficialis,Desulfonispora thiosulfatigenes,Paracoccus denitrificans
21	PWY-5178	Yes	No	13	4	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	toluene degradation IV (aerobic) (via catechol)	Pseudomonas putida
22	PWY-5179	Yes	No	7	3	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)	Pseudomonas putida
23	FASYN-INITIAL-PWY	Yes	Yes	5	3	Super-Pathways // Lipid-Biosynthesis	superpathway of fatty acid biosynthesis initiation	Escherichia coli
24	PWY-3781	Yes	Yes	4	1	Energy-Metabolism	aerobic respiration I (cytochrome c)	Homo sapiens,Pseudomonas putida,Solanum tuberosum,Arabidopsis thaliana
25	GLCMANNANAUT-PWY	Yes	No	6	2	AMINE-DEG // Super-Pathways	superpathway of <i>N</i>-acetylneuraminate, <i>N</i>-acetylglucosamine, and <i>N</i>-acetylmannosamine degradation to &beta;-D-fructofuranose 6-phosphate // N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation	Clostridium perfringens,Escherichia coli
26	PWY-6151	Yes	No	4	1	Cofactor-Biosynthesis	<i>S</i>-adenosyl-L-methionine salvage I // SAM cycle // activated methyl cycle // AMC // <i>S</i>-adenosyl-L-methionine cycle I	Aliivibrio fischeri,Bacillus subtilis,Escherichia coli,Salmonella enterica
27	PWY-7527	Yes	No	11	2	Super-Pathways // Amino-Acid-Biosynthesis	L-methionine salvage cycle III // 5'-methylthioadenosine cycle // MTA cycle	Bacillus subtilis,Homo sapiens,Klebsiella oxytoca,Mus musculus,Rattus norvegicus,Rhodospirillum rubrum
28	PWY-7524	Yes	No	8	1			
29	GALACTARDEG-PWY	Yes	Yes	4	3	CARBOXYLATES-DEG	D-galactarate degradation I // D-galactarate catabolism	Escherichia coli
30	ARO-PWY	Yes	Yes	7	7	Super-Pathways // Carboxylate-Biosynthesis	chorismate biosynthesis I // aromatic amino acid biosynthesis // shikimate pathway	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Toxoplasma gondii,Arabidopsis thaliana
31	PWY-7286	Yes	Yes	4	1			
32	PWY-7208	Yes	Yes	4	3	Super-Pathways // Nucleotide-Biosynthesis	superpathway of pyrimidine nucleobases salvage	Escherichia coli,Saccharomyces cerevisiae,Arabidopsis thaliana
33	PWY-7209	Yes	Yes	5	3	NUCLEO-DEG // Super-Pathways	superpathway of pyrimidine ribonucleosides degradation	Bacillus subtilis,Brevibacillus agri,Escherichia coli,Geobacillus stearothermophilus,Homo sapiens,Rattus norvegicus
34	PWY-7200	Yes	Yes	9	6	Super-Pathways // Nucleotide-Biosynthesis	superpathway of pyrimidine deoxyribonucleoside salvage	Bacillus anthracis,Bacillus subtilis,Homo sapiens,Methanocaldococcus jannaschii,Mycobacterium tuberculosis,Arabidopsis thaliana
35	UDPNAGSYN-PWY	Yes	Yes	5	5	Carbohydrates-Biosynthesis	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis	Mycobacterium tuberculosis,Sulfurisphaera tokodaii,Escherichia coli
36	BENZCOA-PWY	Yes	No	27	1	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)	Thauera aromatica
37	P23-PWY	Yes	Yes	11	5	C1-COMPOUNDS	reductive TCA cycle I // reductive tricarboxylic acid cycle // reductive tricarboxylic acid pathway // reductive citric acid cycle // reverse citric acid cycle // carbon fixation // CO<SUB>2</SUB> fixation // reductive carboxylic acid cycle	Aquifex pyrophilus,Candidatus Arcobacter sulfidicus,Chlorobaculum tepidum,Chlorobaculum thiosulfatiphilum,Chlorobium limicola,Desulfobacter hydrogenophilus,Pyrobaculum islandicum,Pyrobaculum neutrophilum,Sulfurimonas denitrificans,Thermoproteus tenax
38	ARGSYN-PWY	Yes	Yes	9	8	Super-Pathways // Amino-Acid-Biosynthesis	L-arginine biosynthesis I (via L-ornithine)	Escherichia coli,Moritella sp.,Myxococcus xanthus,Salmonella enterica,Vibrionaceae
39	PWY-6630	Yes	Yes	10	9	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-tyrosine biosynthesis	Escherichia coli
40	PWY-6632	Yes	No	10	1	SECONDARY-METABOLITE-DEGRADATION // Super-Pathways	caffeine degradation IV (bacteria, via demethylation and oxidation)	Pseudomonas putida
41	1CMET2-PWY	Yes	Yes	9	7	Cofactor-Biosynthesis	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	Escherichia coli
42	PWY-6895	Yes	Yes	11	2	Super-Pathways // Cofactor-Biosynthesis	superpathway of thiamine diphosphate biosynthesis II // superpathway of thiamine diphosphate biosynthesis (Bacillus) // superpathway of vitamin B<sub>1</sub> biosynthesis (Bacillus)	Bacillus subtilis
43	PWY-6891	Yes	No	7	2	Cofactor-Biosynthesis	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis	Bacillus subtilis
44	PWY-6892	Yes	Yes	6	2	Cofactor-Biosynthesis	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis	Escherichia coli
45	PWY0-1586	Yes	Yes	7	3	Cell-Structure-Biosynthesis	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	Escherichia coli
46	PWY-6946	Yes	Yes	22	1	Fatty-Acid-and-Lipid-Degradation	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	Mycobacterium tuberculosis,Streptomyces sp. SA-COO
47	PWY-6947	Yes	No	47	2	Fatty-Acid-and-Lipid-Degradation // Super-Pathways	superpathway of cholesterol degradation II (cholesterol dehydrogenase)	Mycobacterium tuberculosis,Streptomyces sp. SA-COO
48	PWY-6944	Yes	No	25	1	Fatty-Acid-and-Lipid-Degradation	androstenedione degradation I (aerobic)	Comamonas testosteroni,Mycobacterium tuberculosis,Prescottella equi,Rhodococcus jostii,Rhodococcus rhodochrous,Rhodococcus sp. SQ1
49	PWY-6945	Yes	No	17	1	Fatty-Acid-and-Lipid-Degradation	cholesterol degradation to androstenedione I (cholesterol oxidase)	Mycobacterium tuberculosis,Prescottella equi,Rhodococcus jostii,Rhodococcus rhodochrous,Rhodococcus ruber,Rhodococcus sp. SQ1,Streptomyces sp. SA-COO
