ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_NS1_Fp_019_picrust2_db_updated_parsed_report.tsv	370	370	236	347	23	8	1	4	2	0	0	138	160	60	8	368	177
S_NS1_Fp_019_v1v9_picrust2_db_updated_parsed_report.tsv	370	370	236	347	23	8	1	4	2	0	0	138	160	60	8	368	177
S_NS1_Bu_006_picrust2_db_updated_parsed_report.tsv	371	371	253	350	21	12	1	5	2	0	0	106	160	53	8	368	212
S_S2_Rf_118_picrust2_db_updated_parsed_report.tsv	356	356	206	332	24	6	1	4	2	0	0	116	163	60	7	354	188
S_S5_Ea_103_picrust2_db_updated_parsed_report.tsv	390	390	238	367	23	9	1	4	2	0	0	133	174	57	9	387	204
S_NS6_Ss_059_v1v9_picrust2_db_updated_parsed_report.tsv	334	334	200	312	22	9	1	4	2	0	0	101	146	54	9	332	183
S_NS1_He_021_picrust2_db_updated_parsed_report.tsv	363	363	232	342	21	6	1	4	2	0	0	124	158	53	8	361	187
S_S5_Blss_094_v1v9_picrust2_db_updated_parsed_report.tsv	320	320	187	300	20	7	1	4	2	0	0	90	152	46	8	318	183
S_NS1_Cp_013_picrust2_db_updated_parsed_report.tsv	349	349	219	327	22	8	1	4	2	0	0	117	153	50	10	347	187
S_NS6_Sw_060_picrust2_db_updated_parsed_report.tsv	348	348	201	330	18	9	1	4	2	0	0	105	162	51	9	345	193
S_NS1_Cb_011_v1v9_picrust2_db_updated_parsed_report.tsv	391	391	257	366	25	6	1	4	2	0	0	143	170	61	8	389	192
S_S5_Lp_109_picrust2_db_updated_parsed_report.tsv	387	387	238	363	24	7	1	5	2	0	0	132	173	57	8	385	202
S_NS6_Fp_052_picrust2_db_updated_parsed_report.tsv	369	369	241	346	23	8	1	4	2	0	0	141	161	60	8	367	173
