ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Cyclitol biosynthesis	8-oxo-GTP-detoxification	Antibiotic resistance	Other degradation	Protein modification	Secondary metabolite biosynthesis	Carboxylic acid biosynthesis	Fluorescence protein biosynthesis	Aldehyde degradation	Aminoacyl-tRNAs-charging	Amide, amidine, amine, and polyamine biosynthesis	Storage compound biosynthesis	Cyclitol degradation	Cofactor, carrier, and vitamin biosynthesis	Amide, amidine, amine, and polyamine degradation	Hydrocarbon degradation	Aromatic compound degradation	Protein degradation	Cell structure biosynthesis	Carboxylic acid degradation	Acetate degradation	Alcohol degradation	Chlorinated compound degradation	Polyprenyl biosynthesis	Tetrapyrrole biosynthesis	nan	Hormone, neurotransmitter, and signaling molecule degradation	Cyanide detoxification	Carbohydrate biosynthesis	Nucleotide-alditol biosynthesis	Secondary metabolite degradation	Amino acid biosynthesis	Chromoprotein biosynthesis	Nucleoside and nucleotide degradation	Carbohydrate degradation	Polymeric compound degradation	Other biosynthesis	Arsenic detoxification	Reactive oxygen species degradation	C1 Compound utilization and assimilation	Fatty acid and lipid degradation	Hormone, neurotransmitter, and signaling molecule biosynthesis	Nucleoside and nucleotide biosynthesis	Mercury detoxification	Nucleic acid processing	Methylglyoxal detoxification	Cofactor, carrier, and vitamin degradation	Inorganic nutrient metabolism	Acid resistance	Amino acid degradation	Metabolic regulator biosynthesis	Nitrogen remobilization from senescing leaves	Metabolic regulators	Aromatic compound biosynthesis	Hydrocarbon biosynthesis	Fatty acid and lipid biosynthesis	Seleno amino acid detoxification
S_NS1_Fp_019_picrust2_db_updated_parsed_report.tsv	370	370	236	347	23	0	0	2	3	0	17	5	0	1	1	7	1	0	39	5	0	32	0	11	12	1	7	0	4	7	370	0	0	14	0	5	32	0	13	30	6	3	0	0	12	8	1	25	0	3	0	0	4	0	14	0	0	1	1	0	19	0
S_NS1_Fp_019_v1v9_picrust2_db_updated_parsed_report.tsv	370	370	236	347	23	0	0	2	3	0	17	5	0	1	1	7	1	0	39	5	0	32	0	11	12	1	7	0	4	7	370	0	0	14	0	5	32	0	13	30	6	3	0	0	12	8	1	25	0	3	0	0	4	0	14	0	0	1	1	0	19	0
S_NS1_Bu_006_picrust2_db_updated_parsed_report.tsv	371	371	253	350	21	0	0	2	3	1	18	5	0	1	1	7	1	0	54	4	0	14	0	14	12	1	4	0	4	4	371	0	0	25	0	2	32	0	12	29	7	7	0	0	12	1	1	25	0	3	0	0	9	0	12	0	0	1	1	0	22	0
S_S2_Rf_118_picrust2_db_updated_parsed_report.tsv	356	356	206	332	24	0	0	2	4	0	18	4	0	1	1	7	1	0	38	5	0	29	0	10	7	1	5	0	4	4	356	0	0	21	0	2	33	0	13	20	5	6	0	0	11	1	1	23	0	3	0	0	8	0	14	0	0	1	1	0	22	0
S_S5_Ea_103_picrust2_db_updated_parsed_report.tsv	390	390	238	367	23	0	0	2	5	0	20	5	0	1	1	5	1	2	53	3	0	26	0	12	14	1	7	0	4	7	390	0	0	20	0	2	33	0	13	31	6	4	0	0	12	4	1	26	0	3	0	0	4	0	17	0	0	1	2	0	21	0
S_NS6_Ss_059_v1v9_picrust2_db_updated_parsed_report.tsv	334	334	200	312	22	0	0	2	2	0	23	6	0	1	1	6	1	2	31	3	0	24	0	11	8	1	6	0	4	8	334	0	0	19	0	2	32	0	12	20	5	6	0	0	9	0	1	26	0	3	0	0	4	0	13	0	0	1	2	0	19	0
S_NS1_He_021_picrust2_db_updated_parsed_report.tsv	363	363	232	342	21	0	0	2	5	0	16	4	0	1	1	7	1	2	44	4	0	25	0	9	10	1	7	0	4	10	363	0	0	21	0	5	33	0	13	30	7	3	0	0	11	1	1	25	0	3	0	0	5	0	13	0	0	1	1	0	19	0
S_S5_Blss_094_v1v9_picrust2_db_updated_parsed_report.tsv	320	320	187	300	20	0	0	2	3	0	14	5	0	0	1	4	1	0	44	4	0	16	0	11	7	1	6	0	4	2	320	0	0	19	0	2	32	0	9	19	4	6	0	0	11	1	1	25	0	3	0	0	5	0	12	0	0	1	1	0	19	0
S_NS1_Cp_013_picrust2_db_updated_parsed_report.tsv	349	349	219	327	22	0	0	2	3	0	20	5	0	1	1	7	1	2	40	6	0	22	0	11	11	1	7	0	4	4	349	0	0	19	0	2	31	0	12	27	6	4	0	0	11	2	1	26	0	3	0	0	6	0	13	0	0	1	1	0	19	0
S_NS6_Sw_060_picrust2_db_updated_parsed_report.tsv	348	348	201	330	18	0	0	2	3	0	16	4	0	0	1	7	1	0	48	6	0	22	0	12	6	0	7	0	4	10	348	0	0	17	0	2	33	0	11	21	5	4	0	0	11	5	1	26	0	3	0	0	3	0	15	0	0	1	1	0	22	0
S_NS1_Cb_011_v1v9_picrust2_db_updated_parsed_report.tsv	391	391	257	366	25	0	0	2	3	0	19	4	0	1	1	7	1	0	43	7	0	34	0	9	13	1	7	0	4	4	391	0	0	21	0	5	33	0	13	33	7	6	0	0	12	5	1	25	0	3	0	0	5	0	14	0	0	1	1	0	19	0
