Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
0	METHGLYUT-PWY	Yes	Yes	8	1	Aldehyde-Degradation // Super-Pathways	superpathway of methylglyoxal degradation	Escherichia coli	Bacteria	Degradation/utilization/assimilation	Superpathways			Aldehyde degradation			
1	PWY-5327	Yes	No	43	3	Amino-Acid-Degradation // Super-Pathways	superpathway of L-lysine degradation	Agrobacterium tumefaciens,Anaerovibrio lipolyticus,Bos taurus,Candida tropicalis,Clostridium peptidivorans,Clostridium subterminale,Cyberlindnera saturnus,Escherichia coli,Fusobacterium nucleatum,Geobacillus stearothermophilus,Homo sapiens,Meyerozyma guilliermondii,Mus musculus,Porphyromonas gingivalis,Pseudomonas fluorescens,Pseudomonas putida,Rattus norvegicus,Saccharomyces cerevisiae,Selenomonas ruminantium,Streptomyces clavuligerus,Trichoderma harzianum,Trichoderma viride,Veillonella parvula,Yarrowia lipolytica,Acetoanaerobium sticklandii,[Flavobacterium] lutescens,Slafractonia leguminicola,Candida maltosa L4,Clostridium SB4  ,Neurospora crassa 15069,Neurospora crassa 33933	Bacteria	Degradation/utilization/assimilation	Superpathways			Amino acid degradation			
2	PWY-5497	Yes	No	24	6	NUCLEO-DEG // Energy-Metabolism	purine nucleobases degradation II (anaerobic) // purine fermentation	Clostridium,Gottschalkia acidurici,Clostridium cylindrosporum	Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Nucleoside and nucleotide degradation			
3	PWY490-3	Yes	Yes	2	1	Noncarbon-Nutrients	nitrate reduction VI (assimilatory) // nitrate assimilation	Synechococcus elongatus	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
4	NPGLUCAT-PWY	Yes	No	9	4	Carbohydrates-Degradation // Energy-Metabolism	Entner-Doudoroff pathway II (non-phosphorylative) // non-phosphorylated glucose catabolism // glucose degradation // non-phosphorylated glucose degradation	Saccharolobus solfataricus,Sulfolobus acidocaldarius,Sulfurisphaera tokodaii,Thermoplasma acidophilum,Thermoproteus tenax	Non-Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Carbohydrate degradation			
5	P164-PWY	Yes	No	15	2	NUCLEO-DEG // Energy-Metabolism	purine nucleobases degradation I (anaerobic) // purine fermentation	Clostridium,Gottschalkia acidurici,Clostridium cylindrosporum,Gottschalkia purinilytica	Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Nucleoside and nucleotide degradation			
6	PWY-6969	Yes	No	9	1	Energy-Metabolism	TCA cycle V (2-oxoglutarate synthase) // citric acid cycle // tricarboxylic acid cycle // Szent-Gyorgyi-Krebs cycle // Krebs cycle // TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase) // reversed TCA cycle	Desulfurella acetivorans,Halobacterium salinarum,Hippea maritima,Mycobacterium tuberculosis,Mycobacterium tuberculosis variant bovis,Mycolicibacterium smegmatis,Pyrobaculum islandicum,Thermosulfidibacter takaii	Bacteria	Generation of precursor metabolites and energy							
7	METH-ACETATE-PWY	Yes	No	6	2	Acetate-Degradation // Energy-Metabolism	methanogenesis from acetate // aceticlastic pathway // aceticlastic methanogenesis // acetoclastic methanogenesis // methanogenesis from acetic acid	Methanosarcina,Methanosarcina acetivorans,Methanosarcina barkeri,Methanosarcina thermophila,Methanothrix,Methanothrix thermoacetophila,Methanosarcina TM-1	Non-Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Acetate degradation			
8	PWY-6142	Yes	No	18	7	Super-Pathways // Carbohydrates-Biosynthesis	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>) // carbohydrate biosynthesis (<i>Methanobacterium thermoautotrophicum</i>)	Methanothermobacter marburgensis,Methanothermobacter thermautotrophicus	Non-Bacteria	Biosynthesis	Superpathways			Carbohydrate biosynthesis			
9	PWY-6146	Yes	No	58	16	Super-Pathways	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	Methanothermobacter thermautotrophicus,Methanothermobacter marburgensis	Non-Bacteria	Superpathways							
