Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
016R_0_F_NS6_week9_S79_L001_R1_001	95.24306030356898	50.0	301.0	301	36.36363636363637	0.117008
016R_0_F_NS6_week9_S79_L001_R2_001	90.88780254341583	51.0	301.0	301	36.36363636363637	0.117008
036R_R_M_NS1_week5_S18_L001_R1_001	95.23504770770305	51.0	301.0	301	36.36363636363637	0.103128
036R_R_M_NS1_week5_S18_L001_R2_001	92.15537972228687	52.0	301.0	301	36.36363636363637	0.103128
036R_R_M_NS1_week6_S19_L001_R1_001	95.2291973490427	50.0	301.0	301	36.36363636363637	0.10864
036R_R_M_NS1_week6_S19_L001_R2_001	92.58468335787923	51.0	301.0	301	36.36363636363637	0.10864
036R_R_M_NS1_week7_S20_L001_R1_001	95.16460576626088	51.0	301.0	301	36.36363636363637	0.093891
036R_R_M_NS1_week7_S20_L001_R2_001	92.0460960049419	52.0	301.0	301	45.45454545454545	0.093891
036R_R_M_NS1_week9_S21_L001_R1_001	93.49087936760856	50.0	301.0	301	36.36363636363637	0.096649
036R_R_M_NS1_week9_S21_L001_R2_001	90.36617036906745	52.0	301.0	301	36.36363636363637	0.096649
073R_0_M_S2_week5_S52_L001_R1_001	95.4770807598571	51.0	301.0	301	36.36363636363637	0.11981199999999999
073R_0_M_S2_week5_S52_L001_R2_001	93.15010182619437	53.0	301.0	301	45.45454545454545	0.11981199999999999
073R_0_M_S2_week6_S53_L001_R1_001	95.44040806170689	51.0	301.0	301	36.36363636363637	0.144684
073R_0_M_S2_week6_S53_L001_R2_001	92.87758148793232	52.0	301.0	301	45.45454545454545	0.144684
073R_0_M_S2_week7_S54_L001_R1_001	95.61660362183153	51.0	301.0	301	36.36363636363637	0.15914599999999998
073R_0_M_S2_week7_S54_L001_R2_001	93.15408492830483	52.0	301.0	301	36.36363636363637	0.15914599999999998
073R_0_M_S2_week9_S55_L001_R1_001	95.47141484085057	51.0	301.0	301	36.36363636363637	0.142539
073R_0_M_S2_week9_S55_L001_R2_001	92.96122464728951	52.0	301.0	301	45.45454545454545	0.142539
096R_0_M_S5_week9_S74_L001_R1_001	95.33604673602217	51.0	301.0	301	36.36363636363637	0.11400199999999999
096R_0_M_S5_week9_S74_L001_R2_001	90.93787828283715	53.0	301.0	301	45.45454545454545	0.11400199999999999
