Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_0_F_NS6_week9_S79_L001_R1_001	(1.0, 3.404895391768084)	(2.0, 1.2888007657596063)	(3.0, 0.6384178859565157)	(4.0, 0.4239026391357856)	(5.0, 0.33331054286886364)	(6.0, 0.2563927252837413)	(7.0, 0.16152741692875702)	(8.0, 0.1504170654997949)	(9.0, 0.13076028989470806)	('>10', 1.8716668945713115)	('>50', 1.6699712840147682)	('>100', 15.686106932859293)	('>500', 20.836182141392044)	('>1k', 38.32985778750171)	('>5k', 14.81779023656502)	('>10k+', 0.0)
016R_0_F_NS6_week9_S79_L001_R2_001	(1.0, 7.496068644878982)	(2.0, 1.5451934910433474)	(3.0, 0.7768699576097361)	(4.0, 0.440995487488035)	(5.0, 0.29485163407630244)	(6.0, 0.18973061670996855)	(7.0, 0.20938739231505538)	(8.0, 0.1914399015451935)	(9.0, 0.14614385341173253)	('>10', 3.8322166005743195)	('>50', 1.203336523998359)	('>100', 20.737043620948995)	('>500', 20.20203746752359)	('>1k', 42.734684807876384)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week5_S18_L001_R1_001	(1.0, 3.4597781397874483)	(2.0, 1.2159646264835933)	(3.0, 0.666162438910868)	(4.0, 0.39174617950508106)	(5.0, 0.2715072531223334)	(6.0, 0.18617640214102862)	(7.0, 0.15611667054534173)	(8.0, 0.11636025133814289)	(9.0, 0.09599720735396788)	('>10', 1.9500038786750447)	('>50', 2.572531223334109)	('>100', 20.239896051508804)	('>500', 14.280311845473587)	('>1k', 54.39744783182066)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week5_S18_L001_R2_001	(1.0, 6.33581568536188)	(2.0, 1.3866263284462028)	(3.0, 0.6574354200605074)	(4.0, 0.4111395547281049)	(5.0, 0.28605228453960124)	(6.0, 0.18617640214102862)	(7.0, 0.14932898921728338)	(8.0, 0.20169110231944767)	(9.0, 0.09599720735396788)	('>10', 3.312388488092467)	('>50', 3.890311069738577)	('>100', 20.63358156853619)	('>500', 17.505430145062448)	('>1k', 44.9480257544023)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week6_S19_L001_R1_001	(1.0, 3.476620029455081)	(2.0, 1.1874079528718704)	(3.0, 0.6047496318114876)	(4.0, 0.4123711340206186)	(5.0, 0.349779086892489)	(6.0, 0.19882179675994108)	(7.0, 0.16752577319587628)	(8.0, 0.11782032400589101)	(9.0, 0.10769513991163476)	('>10', 2.263438880706922)	('>50', 1.5436303387334316)	('>100', 15.965574374079527)	('>500', 22.64359351988218)	('>1k', 50.96097201767304)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week6_S19_L001_R2_001	(1.0, 6.014359351988218)	(2.0, 1.3125920471281296)	(3.0, 0.5660898379970545)	(4.0, 0.3387334315169367)	(5.0, 0.20250368188512521)	(6.0, 0.17673048600883653)	(7.0, 0.18041237113402062)	(8.0, 0.05891016200294551)	(9.0, 0.18225331369661266)	('>10', 4.027061855670103)	('>50', 2.7172312223858617)	('>100', 21.08983799705449)	('>500', 25.95913107511046)	('>1k', 37.174153166421206)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week7_S20_L001_R1_001	(1.0, 3.49128244453675)	(2.0, 1.2674271229404308)	(3.0, 0.6166725245231173)	(4.0, 0.4473272198613286)	(5.0, 0.22898893397663247)	(6.0, 0.20449244336517877)	(7.0, 0.0894654439722657)	(8.0, 0.2130129618387279)	(9.0, 0.08627024954468479)	('>10', 2.229180645642287)	('>50', 3.00241769711687)	('>100', 16.687435430445944)	('>500', 17.2135774461876)	('>1k', 54.22244943604818)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week7_S20_L001_R2_001	(1.0, 6.47026871585136)	(2.0, 1.3462419188207602)	(3.0, 0.6773812186471547)	(4.0, 0.33656047970519004)	(5.0, 0.2236636099306643)	(6.0, 0.12780777710323674)	(7.0, 0.11183180496533215)	(8.0, 0.11928725862968763)	(9.0, 0.12461258267565582)	('>10', 5.207101852147703)	('>50', 3.122770020555751)	('>100', 18.488460022792385)	('>500', 27.67783919651511)	('>1k', 35.96617354166001)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week9_S21_L001_R1_001	(1.0, 4.7501784808947844)	(2.0, 1.8396465560947344)	(3.0, 0.8567082949642522)	(4.0, 0.5711388633095015)	(5.0, 0.3362683524920072)	(6.0, 0.24832124491717453)	(7.0, 0.12312595060476571)	(8.0, 0.10760587279744228)	(9.0, 0.0651843267907583)	('>10', 1.9865699593373962)	('>50', 3.3347473848668896)	('>100', 24.32720462705253)	('>500', 13.060662810789559)	('>1k', 48.392637275088205)	('>5k', 0.0)	('>10k+', 0.0)
036R_R_M_NS1_week9_S21_L001_R2_001	(1.0, 7.744518825854381)	(2.0, 1.827230493848876)	(3.0, 0.897060497263293)	(4.0, 0.513197239495494)	(5.0, 0.26901468199360573)	(6.0, 0.21107305817959832)	(7.0, 0.23176649525602955)	(8.0, 0.23176649525602955)	(9.0, 0.15830479363469876)	('>10', 4.2742294281368665)	('>50', 3.5572018334385254)	('>100', 22.134734968804644)	('>500', 28.69145050647187)	('>1k', 29.25845068236609)	('>5k', 0.0)	('>10k+', 0.0)
073R_0_M_S2_week5_S52_L001_R1_001	(1.0, 3.1799819717557507)	(2.0, 1.2269221780789903)	(3.0, 0.6485160084131807)	(4.0, 0.41732046873435047)	(5.0, 0.2754315093646713)	(6.0, 0.20031382499248823)	(7.0, 0.18111708343070812)	(8.0, 0.10683403999599372)	(9.0, 0.12770006343271126)	('>10', 2.2410109171034622)	('>50', 2.774346476145962)	('>100', 21.71151470637332)	('>500', 6.9801021600507465)	('>1k', 49.34564150502454)	('>5k', 10.583247087103128)	('>10k+', 0.0)
073R_0_M_S2_week5_S52_L001_R2_001	(1.0, 5.369245150736153)	(2.0, 1.3804961105732314)	(3.0, 0.753680766534237)	(4.0, 0.49410743498147097)	(5.0, 0.3255099656127934)	(6.0, 0.24037658999098588)	(7.0, 0.1928020565552699)	(8.0, 0.1669281874937402)	(9.0, 0.17277067405602112)	('>10', 2.701732714586185)	('>50', 3.516342269555637)	('>100', 10.05491937368544)	('>500', 11.293526524888993)	('>1k', 63.33756218074984)	('>5k', 0.0)	('>10k+', 0.0)
073R_0_M_S2_week6_S53_L001_R1_001	(1.0, 3.1758867601116916)	(2.0, 1.2993834840065246)	(3.0, 0.6469270962926101)	(4.0, 0.5086948107600011)	(5.0, 0.29719941389510934)	(6.0, 0.2488181139586962)	(7.0, 0.15482015979652206)	(8.0, 0.14376157695391334)	(9.0, 0.1306295098283155)	('>10', 1.9304138674628848)	('>50', 1.5329960465566337)	('>100', 14.842691659063892)	('>500', 17.84578806225982)	('>1k', 57.241989439053384)	('>5k', 0.0)	('>10k+', 0.0)
073R_0_M_S2_week6_S53_L001_R2_001	(1.0, 5.577672721240773)	(2.0, 1.3035304525725029)	(3.0, 0.8397611346105998)	(4.0, 0.6718089076884797)	(5.0, 0.42160847087445746)	(6.0, 0.2902877996184789)	(7.0, 0.23706836968842446)	(8.0, 0.1935251997456526)	(9.0, 0.23015675541179398)	('>10', 2.120483260070222)	('>50', 2.8724668933676147)	('>100', 8.486080008846866)	('>500', 9.294738879212629)	('>1k', 60.301069917890025)	('>5k', 7.159741229161483)	('>10k+', 0.0)
073R_0_M_S2_week7_S54_L001_R1_001	(1.0, 3.059454840209619)	(2.0, 1.2202631545876113)	(3.0, 0.6880474532818921)	(4.0, 0.4348208563206113)	(5.0, 0.33302753446520805)	(6.0, 0.20358664371080645)	(7.0, 0.18033755168210322)	(8.0, 0.15080492126726402)	(9.0, 0.11875887549797043)	('>10', 1.6839882874844483)	('>50', 1.257336031065814)	('>100', 13.332411747703365)	('>500', 13.14830407298958)	('>1k', 64.18885802973371)	('>5k', 0.0)	('>10k+', 0.0)
073R_0_M_S2_week7_S54_L001_R2_001	(1.0, 5.357973181858168)	(2.0, 1.2918954921895618)	(3.0, 0.7992660827164993)	(4.0, 0.5831123622334209)	(5.0, 0.39272114913350004)	(6.0, 0.24882812009098562)	(7.0, 0.23751775099594086)	(8.0, 0.18599273622962564)	(9.0, 0.19227627461576163)	('>10', 2.211177158081259)	('>50', 2.773553843640431)	('>100', 7.227325851733628)	('>500', 11.03263669837759)	('>1k', 60.17116358563834)	('>5k', 7.294559712465283)	('>10k+', 0.0)
073R_0_M_S2_week9_S55_L001_R1_001	(1.0, 3.19561663825339)	(2.0, 1.2179122906713251)	(3.0, 0.7198030012838591)	(4.0, 0.43496867523975896)	(5.0, 0.3157030707385347)	(6.0, 0.2357249594847726)	(7.0, 0.18170465626951218)	(8.0, 0.12908747781308974)	(9.0, 0.15153747395449665)	('>10', 1.7026918948498306)	('>50', 1.4999403671977494)	('>100', 15.540308266509516)	('>500', 14.190502248507425)	('>1k', 46.97170598923803)	('>5k', 13.512792989988705)	('>10k+', 0.0)
073R_0_M_S2_week9_S55_L001_R2_001	(1.0, 5.511474052715397)	(2.0, 1.3582247665551181)	(3.0, 0.8629217266853282)	(4.0, 0.5023186636639797)	(5.0, 0.4489999228281382)	(6.0, 0.25256245659082777)	(7.0, 0.18661559292544497)	(8.0, 0.24694995755547605)	(9.0, 0.16416559678403805)	('>10', 2.270957422179193)	('>50', 2.9598916787686176)	('>100', 8.245462645311108)	('>500', 10.256140424725864)	('>1k', 59.446888220066086)	('>5k', 7.286426872645381)	('>10k+', 0.0)
096R_0_M_S5_week9_S74_L001_R1_001	(1.0, 3.3578358274416233)	(2.0, 1.2403291170330346)	(3.0, 0.6736723917124261)	(4.0, 0.37543200996473747)	(5.0, 0.29385449378081085)	(6.0, 0.19473342572937316)	(7.0, 0.11052437676531991)	(8.0, 0.17543551867511095)	(9.0, 0.18947036016911983)	('>10', 1.7903194680795074)	('>50', 1.5236574796933386)	('>100', 13.819932983631865)	('>500', 19.98035122190839)	('>1k', 50.83244153611341)	('>5k', 5.442009789301943)	('>10k+', 0.0)
096R_0_M_S5_week9_S74_L001_R2_001	(1.0, 7.316538306345503)	(2.0, 1.7017245311485765)	(3.0, 0.8947211452430659)	(4.0, 0.575428501254364)	(5.0, 0.3070121576814442)	(6.0, 0.2789424746934264)	(7.0, 0.1903475377624954)	(8.0, 0.15438325643409764)	(9.0, 0.18157576182873983)	('>10', 2.602585919545271)	('>50', 1.8569849651760495)	('>100', 18.289152821880318)	('>500', 25.065349730706476)	('>1k', 40.58525289030017)	('>5k', 0.0)	('>10k+', 0.0)
1030R_L_M_NS1_week5_S22_L001_R1_001	(1.0, 3.13488783101964)	(2.0, 1.1729996294290357)	(3.0, 0.6328211852569767)	(4.0, 0.45323679484621304)	(5.0, 0.2244804880134546)	(6.0, 0.23944585388101822)	(7.0, 0.15464211396482427)	(8.0, 0.10261965166329352)	(9.0, 0.10261965166329352)	('>10', 1.3860779339243465)	('>50', 1.7160286194806307)	('>100', 15.606738690459224)	('>500', 15.68299079273681)	('>1k', 51.56993814315442)	('>5k', 7.820472620506827)	('>10k+', 0.0)
1030R_L_M_NS1_week5_S22_L001_R2_001	(1.0, 5.862860237735527)	(2.0, 1.3411818363216557)	(3.0, 0.7781990251133092)	(4.0, 0.44753570308714113)	(5.0, 0.22091730566403464)	(6.0, 0.21379094096519485)	(7.0, 0.13468829280807276)	(8.0, 0.17103275277215588)	(9.0, 0.18599811863971952)	('>10', 2.65884666913714)	('>50', 3.148427923947436)	('>100', 16.743393859924176)	('>500', 22.301958325019243)	('>1k', 45.7911690088652)	('>5k', 0.0)	('>10k+', 0.0)
1030R_L_M_NS1_week6_S23_L001_R1_001	(1.0, 3.1891570227226462)	(2.0, 1.2574972203517234)	(3.0, 0.6624175893010946)	(4.0, 0.3946317553283117)	(5.0, 0.2897098203799114)	(6.0, 0.20671187183863948)	(7.0, 0.153467904849899)	(8.0, 0.1628638990243826)	(9.0, 0.11979892572466606)	('>10', 1.9849037693596632)	('>50', 1.605149004807617)	('>100', 12.923406987487668)	('>500', 14.28347714424417)	('>1k', 53.46633885086991)	('>5k', 9.300468233709696)	('>10k+', 0.0)
1030R_L_M_NS1_week6_S23_L001_R2_001	(1.0, 6.167687176033951)	(2.0, 1.306043190253222)	(3.0, 0.7281895485224799)	(4.0, 0.45413971843337453)	(5.0, 0.2505598446528963)	(6.0, 0.22080586310036487)	(7.0, 0.153467904849899)	(8.0, 0.18791988348967223)	(9.0, 0.1479869082481169)	('>10', 3.0317741203000454)	('>50', 2.9973221416602724)	('>100', 15.647462298573375)	('>500', 25.34021328906776)	('>1k', 43.36642811281457)	('>5k', 0.0)	('>10k+', 0.0)
1030R_L_M_NS1_week7_S24_L001_R1_001	(1.0, 3.050052379318976)	(2.0, 1.249687114687532)	(3.0, 0.6730510721536708)	(4.0, 0.36711876662927495)	(5.0, 0.3383796712618317)	(6.0, 0.2336210333095386)	(7.0, 0.1946841944246155)	(8.0, 0.09641502961980958)	(9.0, 0.1501849499847034)	('>10', 2.5383110682599868)	('>50', 2.4205734840127193)	('>100', 17.097907608443734)	('>500', 7.335885859438012)	('>1k', 47.78106371735563)	('>5k', 16.473064051099968)	('>10k+', 0.0)
1030R_L_M_NS1_week7_S24_L001_R2_001	(1.0, 6.064876190123022)	(2.0, 1.4962870942920448)	(3.0, 0.7982051971409234)	(4.0, 0.52657439253896)	(5.0, 0.34301500922432254)	(6.0, 0.26143306108448366)	(7.0, 0.10383157035979494)	(8.0, 0.19283005923961916)	(9.0, 0.16687216664967044)	('>10', 3.35691175243587)	('>50', 4.052212446809497)	('>100', 15.875105453938646)	('>500', 12.87047938665208)	('>1k', 53.89136621951106)	('>5k', 0.0)	('>10k+', 0.0)
