Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
016R_0_F_NS6_week9_S79_L001_R1_001	5.963694790099822	83.15841651852865
016R_0_F_NS6_week9_S79_L001_R2_001	3.07842198824012	80.13212771776288
036R_R_M_NS1_week5_S18_L001_R1_001	4.132728260026375	84.48820882786441
036R_R_M_NS1_week5_S18_L001_R2_001	2.521138778993096	80.26821037933442
036R_R_M_NS1_week6_S19_L001_R1_001	4.172496318114875	85.01104565537554
036R_R_M_NS1_week6_S19_L001_R2_001	2.852540500736377	81.37058173784978
036R_R_M_NS1_week7_S20_L001_R1_001	4.691610484497981	83.9409528069783
036R_R_M_NS1_week7_S20_L001_R2_001	2.4496490611453705	80.30056128915444
036R_R_M_NS1_week9_S21_L001_R1_001	2.426305497211559	83.55699489906776
036R_R_M_NS1_week9_S21_L001_R2_001	2.2659313598692177	78.02460449668388
073R_0_M_S2_week5_S52_L001_R1_001	5.890895736654091	82.08693620004674
073R_0_M_S2_week5_S52_L001_R2_001	4.149000100156912	79.98113711481321
073R_0_M_S2_week6_S53_L001_R1_001	3.1475491415775068	85.01769373254817
073R_0_M_S2_week6_S53_L001_R2_001	3.6258328495203345	79.5374747726079
073R_0_M_S2_week7_S54_L001_R1_001	3.040604225051211	84.92076458095083
073R_0_M_S2_week7_S54_L001_R2_001	3.7776632777449635	79.51566486119664
073R_0_M_S2_week9_S55_L001_R1_001	5.594258413486835	83.24037631806031
073R_0_M_S2_week9_S55_L001_R2_001	3.6881134286055044	80.38291274668687
096R_0_M_S5_week9_S74_L001_R1_001	5.442009789301943	84.1608041964176
096R_0_M_S5_week9_S74_L001_R2_001	2.85345871125068	80.70823318889143
1030R_L_M_NS1_week5_S22_L001_R1_001	3.988626321940652	85.35674581682392
1030R_L_M_NS1_week5_S22_L001_R2_001	3.2553233944300333	80.32196915709358
1030R_L_M_NS1_week6_S23_L001_R1_001	5.343188687223014	83.50689822572309
1030R_L_M_NS1_week6_S23_L001_R2_001	2.893183206226412	80.48060510202484
1030R_L_M_NS1_week7_S24_L001_R1_001	6.123281448450406	82.28003003698998
1030R_L_M_NS1_week7_S24_L001_R2_001	3.585897447782918	78.57361380218232
1030R_L_M_NS1_week9_S25_L001_R1_001	4.489628947833283	83.626660716444
1030R_L_M_NS1_week9_S25_L001_R2_001	2.295484338827992	79.09705371005681
1060R_L_M_S5_week9_S75_L001_R1_001	4.920655969588472	84.38491800380145
1060R_L_M_S5_week9_S75_L001_R2_001	2.7803562745878088	79.79931927684216
