Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
016R_0_F_NS6_week9_S79_L001_R1_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 19.0)	(18.0, 41.0)	(19.0, 58.0)	(20.0, 93.0)	(21.0, 217.0)	(22.0, 321.0)	(23.0, 451.0)	(24.0, 546.0)	(25.0, 721.0)	(26.0, 913.0)	(27.0, 1039.0)	(28.0, 1280.0)	(29.0, 1452.0)	(30.0, 1642.0)	(31.0, 2089.0)	(32.0, 2537.0)	(33.0, 3337.0)	(34.0, 4605.0)	(35.0, 7604.0)	(36.0, 16347.0)	(37.0, 71691.0)				
016R_0_F_NS6_week9_S79_L001_R2_001	(12.0, 11.0)	(13.0, 85.0)	(14.0, 285.0)	(15.0, 457.0)	(16.0, 470.0)	(17.0, 342.0)	(18.0, 336.0)	(19.0, 372.0)	(20.0, 392.0)	(21.0, 459.0)	(22.0, 523.0)	(23.0, 626.0)	(24.0, 725.0)	(25.0, 866.0)	(26.0, 1098.0)	(27.0, 1462.0)	(28.0, 1956.0)	(29.0, 2679.0)	(30.0, 3988.0)	(31.0, 5703.0)	(32.0, 8238.0)	(33.0, 12155.0)	(34.0, 18377.0)	(35.0, 26880.0)	(36.0, 25782.0)	(37.0, 2741.0)	
036R_R_M_NS1_week5_S18_L001_R1_001	(17.0, 5.0)	(18.0, 14.0)	(19.0, 41.0)	(20.0, 59.0)	(21.0, 109.0)	(22.0, 208.0)	(23.0, 303.0)	(24.0, 393.0)	(25.0, 519.0)	(26.0, 637.0)	(27.0, 809.0)	(28.0, 956.0)	(29.0, 1213.0)	(30.0, 1382.0)	(31.0, 1732.0)	(32.0, 2245.0)	(33.0, 2937.0)	(34.0, 3936.0)	(35.0, 6493.0)	(36.0, 14262.0)	(37.0, 64875.0)						
036R_R_M_NS1_week5_S18_L001_R2_001	(12.0, 5.0)	(13.0, 55.0)	(14.0, 172.0)	(15.0, 310.0)	(16.0, 248.0)	(17.0, 225.0)	(18.0, 182.0)	(19.0, 202.0)	(20.0, 223.0)	(21.0, 246.0)	(22.0, 328.0)	(23.0, 406.0)	(24.0, 519.0)	(25.0, 607.0)	(26.0, 857.0)	(27.0, 1203.0)	(28.0, 1639.0)	(29.0, 2521.0)	(30.0, 3605.0)	(31.0, 5340.0)	(32.0, 7984.0)	(33.0, 11791.0)	(34.0, 17291.0)	(35.0, 23650.0)	(36.0, 21056.0)	(37.0, 2463.0)	
036R_R_M_NS1_week6_S19_L001_R1_001	(18.0, 1.0)	(19.0, 23.0)	(20.0, 54.0)	(21.0, 116.0)	(22.0, 159.0)	(23.0, 239.0)	(24.0, 347.0)	(25.0, 436.0)	(26.0, 517.0)	(27.0, 683.0)	(28.0, 867.0)	(29.0, 1037.0)	(30.0, 1327.0)	(31.0, 1634.0)	(32.0, 2012.0)	(33.0, 2765.0)	(34.0, 3948.0)	(35.0, 6524.0)	(36.0, 14479.0)	(37.0, 71472.0)							
036R_R_M_NS1_week6_S19_L001_R2_001	(12.0, 3.0)	(13.0, 37.0)	(14.0, 159.0)	(15.0, 310.0)	(16.0, 309.0)	(17.0, 217.0)	(18.0, 184.0)	(19.0, 169.0)	(20.0, 218.0)	(21.0, 220.0)	(22.0, 245.0)	(23.0, 358.0)	(24.0, 432.0)	(25.0, 548.0)	(26.0, 655.0)	(27.0, 964.0)	(28.0, 1352.0)	(29.0, 1998.0)	(30.0, 2923.0)	(31.0, 4594.0)	(32.0, 7054.0)	(33.0, 11186.0)	(34.0, 17263.0)	(35.0, 25969.0)	(36.0, 27709.0)	(37.0, 3564.0)	
036R_R_M_NS1_week7_S20_L001_R1_001	(16.0, 2.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 31.0)	(20.0, 46.0)	(21.0, 106.0)	(22.0, 164.0)	(23.0, 205.0)	(24.0, 328.0)	(25.0, 404.0)	(26.0, 497.0)	(27.0, 649.0)	(28.0, 783.0)	(29.0, 929.0)	(30.0, 1154.0)	(31.0, 1446.0)	(32.0, 1823.0)	(33.0, 2498.0)	(34.0, 3554.0)	(35.0, 5834.0)	(36.0, 12722.0)	(37.0, 60703.0)					
036R_R_M_NS1_week7_S20_L001_R2_001	(12.0, 1.0)	(13.0, 11.0)	(14.0, 88.0)	(15.0, 258.0)	(16.0, 383.0)	(17.0, 330.0)	(18.0, 236.0)	(19.0, 213.0)	(20.0, 226.0)	(21.0, 233.0)	(22.0, 260.0)	(23.0, 362.0)	(24.0, 457.0)	(25.0, 563.0)	(26.0, 792.0)	(27.0, 1064.0)	(28.0, 1501.0)	(29.0, 2208.0)	(30.0, 3345.0)	(31.0, 5050.0)	(32.0, 7608.0)	(33.0, 11190.0)	(34.0, 16639.0)	(35.0, 21422.0)	(36.0, 17701.0)	(37.0, 1750.0)	
036R_R_M_NS1_week9_S21_L001_R1_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 18.0)	(18.0, 32.0)	(19.0, 56.0)	(20.0, 75.0)	(21.0, 162.0)	(22.0, 236.0)	(23.0, 364.0)	(24.0, 416.0)	(25.0, 578.0)	(26.0, 694.0)	(27.0, 848.0)	(28.0, 939.0)	(29.0, 1142.0)	(30.0, 1384.0)	(31.0, 1740.0)	(32.0, 2134.0)	(33.0, 2867.0)	(34.0, 3935.0)	(35.0, 6426.0)	(36.0, 13833.0)	(37.0, 58765.0)				
036R_R_M_NS1_week9_S21_L001_R2_001	(12.0, 9.0)	(13.0, 48.0)	(14.0, 156.0)	(15.0, 316.0)	(16.0, 306.0)	(17.0, 233.0)	(18.0, 245.0)	(19.0, 218.0)	(20.0, 278.0)	(21.0, 308.0)	(22.0, 327.0)	(23.0, 441.0)	(24.0, 536.0)	(25.0, 634.0)	(26.0, 864.0)	(27.0, 1101.0)	(28.0, 1561.0)	(29.0, 2126.0)	(30.0, 3217.0)	(31.0, 4549.0)	(32.0, 6835.0)	(33.0, 10268.0)	(34.0, 15458.0)	(35.0, 22074.0)	(36.0, 21699.0)	(37.0, 2842.0)	
073R_0_M_S2_week5_S52_L001_R1_001	(17.0, 2.0)	(18.0, 25.0)	(19.0, 41.0)	(20.0, 75.0)	(21.0, 160.0)	(22.0, 235.0)	(23.0, 352.0)	(24.0, 478.0)	(25.0, 595.0)	(26.0, 758.0)	(27.0, 905.0)	(28.0, 1146.0)	(29.0, 1415.0)	(30.0, 1642.0)	(31.0, 1999.0)	(32.0, 2531.0)	(33.0, 3316.0)	(34.0, 4574.0)	(35.0, 7451.0)	(36.0, 16035.0)	(37.0, 76077.0)						
073R_0_M_S2_week5_S52_L001_R2_001	(12.0, 6.0)	(13.0, 38.0)	(14.0, 179.0)	(15.0, 300.0)	(16.0, 329.0)	(17.0, 286.0)	(18.0, 264.0)	(19.0, 271.0)	(20.0, 278.0)	(21.0, 344.0)	(22.0, 447.0)	(23.0, 516.0)	(24.0, 629.0)	(25.0, 738.0)	(26.0, 1049.0)	(27.0, 1410.0)	(28.0, 1991.0)	(29.0, 2965.0)	(30.0, 4397.0)	(31.0, 6390.0)	(32.0, 9656.0)	(33.0, 14593.0)	(34.0, 21129.0)	(35.0, 27288.0)	(36.0, 21969.0)	(37.0, 2350.0)	
073R_0_M_S2_week6_S53_L001_R1_001	(15.0, 1.0)	(16.0, 10.0)	(17.0, 29.0)	(18.0, 47.0)	(19.0, 80.0)	(20.0, 131.0)	(21.0, 265.0)	(22.0, 378.0)	(23.0, 491.0)	(24.0, 687.0)	(25.0, 860.0)	(26.0, 987.0)	(27.0, 1233.0)	(28.0, 1480.0)	(29.0, 1783.0)	(30.0, 2075.0)	(31.0, 2552.0)	(32.0, 3053.0)	(33.0, 3946.0)	(34.0, 5617.0)	(35.0, 8881.0)	(36.0, 18731.0)	(37.0, 91367.0)				
073R_0_M_S2_week6_S53_L001_R2_001	(11.0, 1.0)	(12.0, 4.0)	(13.0, 41.0)	(14.0, 195.0)	(15.0, 399.0)	(16.0, 496.0)	(17.0, 352.0)	(18.0, 392.0)	(19.0, 402.0)	(20.0, 436.0)	(21.0, 480.0)	(22.0, 638.0)	(23.0, 774.0)	(24.0, 856.0)	(25.0, 1132.0)	(26.0, 1433.0)	(27.0, 1911.0)	(28.0, 2664.0)	(29.0, 3768.0)	(30.0, 5369.0)	(31.0, 7798.0)	(32.0, 11337.0)	(33.0, 16680.0)	(34.0, 24061.0)	(35.0, 31945.0)	(36.0, 27793.0)	(37.0, 3327.0)
073R_0_M_S2_week7_S54_L001_R1_001	(16.0, 8.0)	(17.0, 19.0)	(18.0, 39.0)	(19.0, 78.0)	(20.0, 98.0)	(21.0, 247.0)	(22.0, 407.0)	(23.0, 564.0)	(24.0, 759.0)	(25.0, 920.0)	(26.0, 1190.0)	(27.0, 1413.0)	(28.0, 1628.0)	(29.0, 2000.0)	(30.0, 2361.0)	(31.0, 2720.0)	(32.0, 3427.0)	(33.0, 4411.0)	(34.0, 6180.0)	(35.0, 9787.0)	(36.0, 19933.0)	(37.0, 100957.0)					
073R_0_M_S2_week7_S54_L001_R2_001	(11.0, 1.0)	(12.0, 8.0)	(13.0, 42.0)	(14.0, 188.0)	(15.0, 427.0)	(16.0, 414.0)	(17.0, 410.0)	(18.0, 388.0)	(19.0, 395.0)	(20.0, 445.0)	(21.0, 511.0)	(22.0, 609.0)	(23.0, 784.0)	(24.0, 896.0)	(25.0, 1193.0)	(26.0, 1537.0)	(27.0, 2134.0)	(28.0, 2798.0)	(29.0, 4136.0)	(30.0, 6077.0)	(31.0, 8642.0)	(32.0, 12358.0)	(33.0, 18034.0)	(34.0, 26237.0)	(35.0, 35573.0)	(36.0, 31131.0)	(37.0, 3778.0)
073R_0_M_S2_week9_S55_L001_R1_001	(16.0, 8.0)	(17.0, 32.0)	(18.0, 51.0)	(19.0, 89.0)	(20.0, 123.0)	(21.0, 247.0)	(22.0, 435.0)	(23.0, 572.0)	(24.0, 729.0)	(25.0, 949.0)	(26.0, 1118.0)	(27.0, 1274.0)	(28.0, 1463.0)	(29.0, 1846.0)	(30.0, 2179.0)	(31.0, 2640.0)	(32.0, 3078.0)	(33.0, 4071.0)	(34.0, 5763.0)	(35.0, 8940.0)	(36.0, 18696.0)	(37.0, 88236.0)					
073R_0_M_S2_week9_S55_L001_R2_001	(12.0, 8.0)	(13.0, 48.0)	(14.0, 162.0)	(15.0, 376.0)	(16.0, 383.0)	(17.0, 377.0)	(18.0, 358.0)	(19.0, 380.0)	(20.0, 451.0)	(21.0, 473.0)	(22.0, 569.0)	(23.0, 717.0)	(24.0, 850.0)	(25.0, 1101.0)	(26.0, 1513.0)	(27.0, 1893.0)	(28.0, 2689.0)	(29.0, 3867.0)	(30.0, 5384.0)	(31.0, 7780.0)	(32.0, 11139.0)	(33.0, 16455.0)	(34.0, 24068.0)	(35.0, 31612.0)	(36.0, 26704.0)	(37.0, 3182.0)	
