Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
016R_0_F_NS6_week9_S79_L001_R1_001	016R_0_F_NS6_week9_S79_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117008.0	0.0	301.0	50.0	4.756939696431013	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
016R_0_F_NS6_week9_S79_L001_R2_001	016R_0_F_NS6_week9_S79_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117008.0	0.0	301.0	51.0	9.112197456584164	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week5_S18_L001_R1_001	036R_R_M_NS1_week5_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103128.0	0.0	301.0	51.0	4.764952292296951	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week5_S18_L001_R2_001	036R_R_M_NS1_week5_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103128.0	0.0	301.0	52.0	7.844620277713134	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week6_S19_L001_R1_001	036R_R_M_NS1_week6_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108640.0	0.0	301.0	50.0	4.77080265095729	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week6_S19_L001_R2_001	036R_R_M_NS1_week6_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108640.0	0.0	301.0	51.0	7.415316642120766	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week7_S20_L001_R1_001	036R_R_M_NS1_week7_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93891.0	0.0	301.0	51.0	4.835394233739123	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week7_S20_L001_R2_001	036R_R_M_NS1_week7_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93891.0	0.0	301.0	52.0	7.953903995058099	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week9_S21_L001_R1_001	036R_R_M_NS1_week9_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96649.0	0.0	301.0	50.0	6.509120632391436	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
036R_R_M_NS1_week9_S21_L001_R2_001	036R_R_M_NS1_week9_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96649.0	0.0	301.0	52.0	9.63382963093255	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week5_S52_L001_R1_001	073R_0_M_S2_week5_S52_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119812.0	0.0	301.0	51.0	4.52291924014289	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week5_S52_L001_R2_001	073R_0_M_S2_week5_S52_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119812.0	0.0	301.0	53.0	6.849898173805628	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week6_S53_L001_R1_001	073R_0_M_S2_week6_S53_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144684.0	0.0	301.0	51.0	4.559591938293107	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week6_S53_L001_R2_001	073R_0_M_S2_week6_S53_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144684.0	0.0	301.0	52.0	7.122418512067679	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week7_S54_L001_R1_001	073R_0_M_S2_week7_S54_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159146.0	0.0	301.0	51.0	4.383396378168474	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week7_S54_L001_R2_001	073R_0_M_S2_week7_S54_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159146.0	0.0	301.0	52.0	6.845915071695173	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week9_S55_L001_R1_001	073R_0_M_S2_week9_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142539.0	0.0	301.0	51.0	4.528585159149426	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
073R_0_M_S2_week9_S55_L001_R2_001	073R_0_M_S2_week9_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142539.0	0.0	301.0	52.0	7.038775352710486	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
096R_0_M_S5_week9_S74_L001_R1_001	096R_0_M_S5_week9_S74_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114002.0	0.0	301.0	51.0	4.663953263977825	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
096R_0_M_S5_week9_S74_L001_R2_001	096R_0_M_S5_week9_S74_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114002.0	0.0	301.0	53.0	9.062121717162857	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week5_S22_L001_R1_001	1030R_L_M_NS1_week5_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140324.0	0.0	301.0	50.0	4.372737379208118	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week5_S22_L001_R2_001	1030R_L_M_NS1_week5_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140324.0	0.0	301.0	52.0	7.328753456286879	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week6_S23_L001_R1_001	1030R_L_M_NS1_week6_S23_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127714.0	0.0	301.0	50.0	4.506162206179432	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week6_S23_L001_R2_001	1030R_L_M_NS1_week6_S23_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127714.0	0.0	301.0	51.0	7.635028266282474	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week7_S24_L001_R1_001	1030R_L_M_NS1_week7_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107867.0	0.0	301.0	51.0	4.406352267143798	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week7_S24_L001_R2_001	1030R_L_M_NS1_week7_S24_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107867.0	0.0	301.0	53.0	7.714129437177264	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week9_S25_L001_R1_001	1030R_L_M_NS1_week9_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107559.0	0.0	301.0	51.0	4.881971755036771	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_L_M_NS1_week9_S25_L001_R2_001	1030R_L_M_NS1_week9_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107559.0	0.0	301.0	52.0	9.20982902407051	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1060R_L_M_S5_week9_S75_L001_R1_001	1060R_L_M_S5_week9_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113115.0	0.0	301.0	50.0	4.269990717411484	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1060R_L_M_S5_week9_S75_L001_R2_001	1060R_L_M_S5_week9_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113115.0	0.0	301.0	52.0	8.402952747204173	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week5_S56_L001_R1_001	1067R_R_M_S2_week5_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131815.0	0.0	301.0	50.0	4.664871221029473	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week5_S56_L001_R2_001	1067R_R_M_S2_week5_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131815.0	0.0	301.0	52.0	7.324659560748017	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week6_S57_L001_R1_001	1067R_R_M_S2_week6_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130060.0	0.0	301.0	51.0	4.82008303859757	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week6_S57_L001_R2_001	1067R_R_M_S2_week6_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130060.0	0.0	301.0	52.0	8.38228509918499	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week7_S58_L001_R1_001	1067R_R_M_S2_week7_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132985.0	0.0	301.0	52.0	4.222280708350566	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week7_S58_L001_R2_001	1067R_R_M_S2_week7_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132985.0	0.0	301.0	54.0	7.777568898747979	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week9_S59_L001_R1_001	1067R_R_M_S2_week9_S59_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110521.0	0.0	301.0	50.0	5.121198686222527	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_week9_S59_L001_R2_001	1067R_R_M_S2_week9_S59_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110521.0	0.0	301.0	52.0	7.826566896788846	301.0	301	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	pass
1075R_L_M_NS6_week9_S84_L001_R1_001	1075R_L_M_NS6_week9_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110355.0	0.0	301.0	49.0	4.297041366499026	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1075R_L_M_NS6_week9_S84_L001_R2_001	1075R_L_M_NS6_week9_S84_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110355.0	0.0	301.0	50.0	7.268361197952064	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1076R_0_M_S5_week9_S76_L001_R1_001	1076R_0_M_S5_week9_S76_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94707.0	0.0	301.0	51.0	5.032362972113994	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1076R_0_M_S5_week9_S76_L001_R2_001	1076R_0_M_S5_week9_S76_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94707.0	0.0	301.0	53.0	9.116538376255187	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week5_S26_L001_R1_001	1121R_0_M_NS1_week5_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99907.0	0.0	301.0	51.0	4.524207512987078	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week5_S26_L001_R2_001	1121R_0_M_NS1_week5_S26_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99907.0	0.0	301.0	53.0	8.7431311119341	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week6_S27_L001_R1_001	1121R_0_M_NS1_week6_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100976.0	0.0	301.0	51.0	4.615948344160989	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week6_S27_L001_R2_001	1121R_0_M_NS1_week6_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100976.0	0.0	301.0	53.0	8.193035968943114	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week7_S28_L001_R1_001	1121R_0_M_NS1_week7_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87737.0	0.0	301.0	51.0	5.189372784572073	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week7_S28_L001_R2_001	1121R_0_M_NS1_week7_S28_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87737.0	0.0	301.0	52.0	8.604123687839795	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week9_S29_L001_R1_001	1121R_0_M_NS1_week9_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98853.0	0.0	301.0	50.0	4.978098793157517	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1121R_0_M_NS1_week9_S29_L001_R2_001	1121R_0_M_NS1_week9_S29_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98853.0	0.0	301.0	52.0	9.11454381758773	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1136R_0_F_S5_week9_S69_L001_R1_001	1136R_0_F_S5_week9_S69_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153683.0	0.0	301.0	50.0	4.181334305030485	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1136R_0_F_S5_week9_S69_L001_R2_001	1136R_0_F_S5_week9_S69_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153683.0	0.0	301.0	52.0	7.104234040199632	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week5_S30_L001_R1_001	1151R_R_M_NS1_week5_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107661.0	0.0	301.0	50.0	4.788177705947372	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week5_S30_L001_R2_001	1151R_R_M_NS1_week5_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107661.0	0.0	301.0	51.0	8.540697188396914	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week6_S31_L001_R1_001	1151R_R_M_NS1_week6_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115527.0	0.0	301.0	50.0	4.681156785859582	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week6_S31_L001_R2_001	1151R_R_M_NS1_week6_S31_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115527.0	0.0	301.0	52.0	8.750335419425761	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week7_S32_L001_R1_001	1151R_R_M_NS1_week7_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115282.0	0.0	301.0	50.0	4.595687097725578	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1151R_R_M_NS1_week7_S32_L001_R2_001	1151R_R_M_NS1_week7_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115282.0	0.0	301.0	52.0	8.655297444527331	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
