Sample	Unique Reads	Duplicate Reads
016R_0_F_NS6_week9_S79_L001_R1_001	5566.0	111442.0
016R_0_F_NS6_week9_S79_L001_R2_001	10662.0	106346.0
036R_R_M_NS1_week5_S18_L001_R1_001	4914.0	98214.0
036R_R_M_NS1_week5_S18_L001_R2_001	8090.0	95038.0
036R_R_M_NS1_week6_S19_L001_R1_001	5183.0	103457.0
036R_R_M_NS1_week6_S19_L001_R2_001	8057.0	100583.0
036R_R_M_NS1_week7_S20_L001_R1_001	4540.0	89351.0
036R_R_M_NS1_week7_S20_L001_R2_001	7468.0	86423.0
036R_R_M_NS1_week9_S21_L001_R1_001	6291.0	90358.0
036R_R_M_NS1_week9_S21_L001_R2_001	9311.0	87338.0
073R_0_M_S2_week5_S52_L001_R1_001	5420.0	114392.0
073R_0_M_S2_week5_S52_L001_R2_001	8207.0	111605.0
073R_0_M_S2_week6_S53_L001_R1_001	6597.0	138087.0
073R_0_M_S2_week6_S53_L001_R2_001	10305.0	134379.0
073R_0_M_S2_week7_S54_L001_R1_001	6976.0	152170.0
073R_0_M_S2_week7_S54_L001_R2_001	10895.0	148251.0
073R_0_M_S2_week9_S55_L001_R1_001	6455.0	136084.0
073R_0_M_S2_week9_S55_L001_R2_001	10033.0	132506.0
096R_0_M_S5_week9_S74_L001_R1_001	5317.0	108685.0
096R_0_M_S5_week9_S74_L001_R2_001	10331.0	103671.0
1030R_L_M_NS1_week5_S22_L001_R1_001	6136.0	134188.0
1030R_L_M_NS1_week5_S22_L001_R2_001	10284.0	130040.0
1030R_L_M_NS1_week6_S23_L001_R1_001	5755.0	121959.0
1030R_L_M_NS1_week6_S23_L001_R2_001	9751.0	117963.0
1030R_L_M_NS1_week7_S24_L001_R1_001	4753.0	103114.0
1030R_L_M_NS1_week7_S24_L001_R2_001	8321.0	99546.0
1030R_L_M_NS1_week9_S25_L001_R1_001	5251.0	102308.0
1030R_L_M_NS1_week9_S25_L001_R2_001	9906.0	97653.0
1060R_L_M_S5_week9_S75_L001_R1_001	4830.0	108285.0
1060R_L_M_S5_week9_S75_L001_R2_001	9505.0	103610.0
1067R_R_M_S2_week5_S56_L001_R1_001	6149.0	125666.0
1067R_R_M_S2_week5_S56_L001_R2_001	9655.0	122160.0
1067R_R_M_S2_week6_S57_L001_R1_001	6270.0	123790.0
1067R_R_M_S2_week6_S57_L001_R2_001	10902.0	119158.0
1067R_R_M_S2_week7_S58_L001_R1_001	5615.0	127370.0
1067R_R_M_S2_week7_S58_L001_R2_001	10343.0	122642.0
1067R_R_M_S2_week9_S59_L001_R1_001	5660.0	104861.0
1067R_R_M_S2_week9_S59_L001_R2_001	8650.0	101871.0
1075R_L_M_NS6_week9_S84_L001_R1_001	4743.0	105612.0
1075R_L_M_NS6_week9_S84_L001_R2_001	8021.0	102334.0
1076R_0_M_S5_week9_S76_L001_R1_001	4766.0	89941.0
1076R_0_M_S5_week9_S76_L001_R2_001	8634.0	86073.0
1121R_0_M_NS1_week5_S26_L001_R1_001	4520.0	95387.0
1121R_0_M_NS1_week5_S26_L001_R2_001	8735.0	91172.0
1121R_0_M_NS1_week6_S27_L001_R1_001	4661.0	96315.0
1121R_0_M_NS1_week6_S27_L001_R2_001	8273.0	92703.0
1121R_0_M_NS1_week7_S28_L001_R1_001	4553.0	83184.0
1121R_0_M_NS1_week7_S28_L001_R2_001	7550.0	80187.0
1121R_0_M_NS1_week9_S29_L001_R1_001	4921.0	93932.0
1121R_0_M_NS1_week9_S29_L001_R2_001	9010.0	89843.0
1136R_0_F_S5_week9_S69_L001_R1_001	6426.0	147257.0
1136R_0_F_S5_week9_S69_L001_R2_001	10918.0	142765.0
1151R_R_M_NS1_week5_S30_L001_R1_001	5155.0	102506.0
1151R_R_M_NS1_week5_S30_L001_R2_001	9195.0	98466.0
1151R_R_M_NS1_week6_S31_L001_R1_001	5408.0	110119.0
1151R_R_M_NS1_week6_S31_L001_R2_001	10110.0	105417.0
1151R_R_M_NS1_week7_S32_L001_R1_001	5298.0	109984.0
1151R_R_M_NS1_week7_S32_L001_R2_001	9978.0	105304.0
1151R_R_M_NS1_week9_S33_L001_R1_001	5314.0	100735.0
1151R_R_M_NS1_week9_S33_L001_R2_001	8800.0	97249.0
1152R_0_M_S2_week9_S60_L001_R1_001	6165.0	130469.0
1152R_0_M_S2_week9_S60_L001_R2_001	9927.0	126707.0
1184R_0_M_NS6_week9_S85_L001_R1_001	5443.0	119871.0
1184R_0_M_NS6_week9_S85_L001_R2_001	9399.0	115915.0
1186R_0_M_NS6_week9_S86_L001_R1_001	5490.0	114371.0
1186R_0_M_NS6_week9_S86_L001_R2_001	9376.0	110485.0
1186R_RR_M_NS6_week9_S87_L001_R1_001	5572.0	118511.0
1186R_RR_M_NS6_week9_S87_L001_R2_001	9665.0	114418.0
1193R_R_F_NS1_week5_S1_L001_R1_001	4645.0	100690.0
1193R_R_F_NS1_week5_S1_L001_R2_001	8732.0	96603.0
1193R_R_F_NS1_week6_S2_L001_R1_001	3954.0	81830.0
1193R_R_F_NS1_week6_S2_L001_R2_001	7345.0	78439.0
1193R_R_F_NS1_week7_S3_L001_R1_001	4405.0	87242.0
1193R_R_F_NS1_week7_S3_L001_R2_001	7397.0	84250.0
1193R_R_F_NS1_week9_S4_L001_R1_001	5121.0	93905.0
1193R_R_F_NS1_week9_S4_L001_R2_001	9046.0	89980.0
184R_0_M_NS6_week9_S88_L001_R1_001	6073.0	130699.0
184R_0_M_NS6_week9_S88_L001_R2_001	10383.0	126389.0
2402R_0_F_S5_week9_S70_L001_R1_001	5661.0	118363.0
2402R_0_F_S5_week9_S70_L001_R2_001	9430.0	114594.0
2403R_0_F_NS6_week9_S80_L001_R1_001	5950.0	129650.0
2403R_0_F_NS6_week9_S80_L001_R2_001	12012.0	123588.0
2404R_R_F_S2_week5_S35_L001_R1_001	4880.0	94439.0
2404R_R_F_S2_week5_S35_L001_R2_001	7234.0	92085.0
2404R_R_F_S2_week6_S36_L001_R1_001	4883.0	108245.0
2404R_R_F_S2_week6_S36_L001_R2_001	8072.0	105056.0
2404R_R_F_S2_week7_S37_L001_R1_001	5435.0	115302.0
2404R_R_F_S2_week7_S37_L001_R2_001	8823.0	111914.0
2404R_R_F_S2_week9_S38_L001_R1_001	4950.0	93374.0
2404R_R_F_S2_week9_S38_L001_R2_001	7509.0	90815.0
2433R_0_F_S5_week9_S71_L001_R1_001	5529.0	121377.0
2433R_0_F_S5_week9_S71_L001_R2_001	9262.0	117644.0
2446R_L_F_S2_week5_S39_L001_R1_001	4253.0	88377.0
2446R_L_F_S2_week5_S39_L001_R2_001	7238.0	85392.0
2446R_L_F_S2_week6_S40_L001_R1_001	5166.0	113508.0
2446R_L_F_S2_week6_S40_L001_R2_001	8940.0	109734.0
2446R_L_F_S2_week7_S41_L001_R1_001	5522.0	103589.0
2446R_L_F_S2_week7_S41_L001_R2_001	10393.0	98718.0
2446R_L_F_S2_week9_S42_L001_R1_001	4622.0	91516.0
2446R_L_F_S2_week9_S42_L001_R2_001	8759.0	87379.0
2475R_0_M_S5_week9_S77_L001_R1_001	5821.0	118105.0
2475R_0_M_S5_week9_S77_L001_R2_001	11273.0	112653.0
2476R_R_F_NS6_week9_S81_L001_R1_001	5282.0	116832.0
2476R_R_F_NS6_week9_S81_L001_R2_001	9769.0	112345.0
2518R_0_M_S5_week9_S78_L001_R1_001	5054.0	103455.0
2518R_0_M_S5_week9_S78_L001_R2_001	10031.0	98478.0
2529R_R_F_NS1_week5_S5_L001_R1_001	4320.0	87922.0
2529R_R_F_NS1_week5_S5_L001_R2_001	7761.0	84481.0
2529R_R_F_NS1_week6_S6_L001_R1_001	4498.0	89215.0
2529R_R_F_NS1_week6_S6_L001_R2_001	7829.0	85884.0
2529R_R_F_NS1_week7_S7_L001_R1_001	4365.0	91360.0
2529R_R_F_NS1_week7_S7_L001_R2_001	8040.0	87685.0
2529R_R_F_NS1_week9_S8_L001_R1_001	4629.0	85426.0
2529R_R_F_NS1_week9_S8_L001_R2_001	7995.0	82060.0
2562R_0_F_NS6_week9_S82_L001_R1_001	5077.0	108665.0
2562R_0_F_NS6_week9_S82_L001_R2_001	8964.0	104778.0
2562R_RL_F_NS6_week9_S83_L001_R1_001	4784.0	97946.0
2562R_RL_F_NS6_week9_S83_L001_R2_001	7798.0	94932.0
3795R_0_F_S2_week5_S43_L001_R1_001	5366.0	113221.0
3795R_0_F_S2_week5_S43_L001_R2_001	10008.0	108579.0
3795R_0_F_S2_week6_S44_L001_R1_001	4367.0	90345.0
3795R_0_F_S2_week6_S44_L001_R2_001	7904.0	86808.0
3795R_0_F_S2_week7_S45_L001_R1_001	5206.0	95684.0
3795R_0_F_S2_week7_S45_L001_R2_001	9315.0	91575.0
3795R_0_F_S2_week9_S46_L001_R1_001	5945.0	120098.0
3795R_0_F_S2_week9_S46_L001_R2_001	11071.0	114972.0
3861R_R_M_NS1_week9_S34_L001_R1_001	4812.0	90478.0
3861R_R_M_NS1_week9_S34_L001_R2_001	7990.0	87300.0
3909R_0_M_S2_week5_S61_L001_R1_001	6747.0	137631.0
3909R_0_M_S2_week5_S61_L001_R2_001	11437.0	132941.0
3909R_0_M_S2_week6_S62_L001_R1_001	7290.0	170874.0
3909R_0_M_S2_week6_S62_L001_R2_001	12969.0	165195.0
3909R_0_M_S2_week7_S63_L001_R1_001	5739.0	116559.0
3909R_0_M_S2_week7_S63_L001_R2_001	9741.0	112557.0
3909R_0_M_S2_week9_S64_L001_R1_001	6145.0	120889.0
3909R_0_M_S2_week9_S64_L001_R2_001	10212.0	116822.0
3918R_R_M_S2_week5_S65_L001_R1_001	5859.0	109877.0
3918R_R_M_S2_week5_S65_L001_R2_001	8965.0	106771.0
3918R_R_M_S2_week6_S66_L001_R1_001	5589.0	112115.0
3918R_R_M_S2_week6_S66_L001_R2_001	8660.0	109044.0
3918R_R_M_S2_week7_S67_L001_R1_001	6100.0	120474.0
3918R_R_M_S2_week7_S67_L001_R2_001	8726.0	117848.0
3918R_R_M_S2_week9_S68_L001_R1_001	4766.0	87419.0
3918R_R_M_S2_week9_S68_L001_R2_001	6782.0	85403.0
3924R_L_F_S5_week9_S72_L001_R1_001	5447.0	117511.0
3924R_L_F_S5_week9_S72_L001_R2_001	9222.0	113736.0
3929R_0_F_S5_week9_S73_L001_R1_001	5648.0	115785.0
3929R_0_F_S5_week9_S73_L001_R2_001	11330.0	110103.0
3969R_0_F_S2_week5_S47_L001_R1_001	4960.0	100354.0
3969R_0_F_S2_week5_S47_L001_R2_001	9596.0	95718.0
3969R_0_F_S2_week6_S48_L001_R1_001	5146.0	100802.0
3969R_0_F_S2_week6_S48_L001_R2_001	10155.0	95793.0
3969R_0_F_S2_week7_S49_L001_R1_001	6096.0	127237.0
3969R_0_F_S2_week7_S49_L001_R2_001	9758.0	123575.0
3969R_0_F_S2_week9_S50_L001_R1_001	5113.0	99434.0
