pathway	Plate1_1030R_0_M_NS1_week10_S77_L001	Plate1_1030R_R_M_NS1_week10_S78_L001	Plate1_2472R_0_F_NS1_week10_S73_L001	Plate1_2472R_R_F_NS1_week10_S74_L001	Plate1_3874R_0_F_NS1_week10_S75_L001	Plate1_3874R_L_F_NS1_week10_S76_L001	Plate1_3974R_0_M_NS1_week10_S79_L001	Plate1_3974R_L_M_NS1_week10_S80_L001	Plate2_036R_R_M_NS1_week5_S18_L001	Plate2_036R_R_M_NS1_week9_S21_L001	Plate2_1030R_L_M_NS1_week5_S22_L001	Plate2_1030R_L_M_NS1_week9_S25_L001	Plate2_1121R_0_M_NS1_week5_S26_L001	Plate2_1121R_0_M_NS1_week9_S29_L001	Plate2_1151R_R_M_NS1_week5_S30_L001	Plate2_1151R_R_M_NS1_week9_S33_L001	Plate2_1193R_R_F_NS1_week5_S1_L001	Plate2_1193R_R_F_NS1_week9_S4_L001	Plate2_2529R_R_F_NS1_week5_S5_L001	Plate2_2529R_R_F_NS1_week9_S8_L001	Plate2_3861R_R_M_NS1_week9_S34_L001	Plate2_3971R_L_F_NS1_week5_S9_L001	Plate2_3971R_L_F_NS1_week9_S12_L001	Plate2_3975R_0_F_NS1_week9_S13_L001	Plate2_3975R_R_F_NS1_week5_S14_L001	Plate2_3975R_R_F_NS1_week9_S17_L001	Plate4_036R_0_M_NS1_S62_L001	Plate4_036R_0_M_NS1_week5_S41_L001	Plate4_036R_L_M_NS1_S63_L001	Plate4_036R_L_M_NS1_week5_S42_L001	Plate4_036R_RL_M_NS1_S64_L001	Plate4_036R_RL_M_NS1_week5_S43_L001	Plate4_036R_RR_M_NS1_S65_L001	Plate4_036R_RR_M_NS1_week5_S44_L001	Plate4_1030R_RR_M_NS1_week5_S45_L001	Plate4_1030R_RR_M_NS1_week9_S66_L001	Plate4_1121R_L_M_NS1_week5_S46_L001	Plate4_1121R_L_M_NS1_week9_S67_L001	Plate4_1121R_RL_M_NS1_week5_S48_L001	Plate4_1121R_RL_M_NS1_week9_S69_L001	Plate4_1121R_RR_M_NS1_week5_S49_L001	Plate4_1121R_RR_M_NS1_week9_S70_L001	Plate4_1121R_R_M_NS1_week5_S47_L001	Plate4_1121R_R_M_NS1_week9_S68_L001	Plate4_1151R_0_M_NS1_week5_S50_L001	Plate4_1151R_0_M_NS1_week9_S71_L001	Plate4_1193R_0_F_NS1_week5_S51_L001	Plate4_1193R_0_F_NS1_week9_S72_L001	Plate4_1193R_L_F_NS1_week5_S52_L001	Plate4_1193R_L_F_NS1_week9_S73_L001	Plate4_2529R_0_F_NS1_week5_S53_L001	Plate4_2529R_0_F_NS1_week9_S74_L001	Plate4_2529R_L_F_NS1_week5_S54_L001	Plate4_2529R_L_F_NS1_week9_S75_L001	Plate4_2529R_RL_F_NS1_week5_S55_L001	Plate4_2529R_RL_F_NS1_week9_S76_L001	Plate4_3861R_0_M_NS1_week5_S56_L001	Plate4_3861R_0_M_NS1_week9_S77_L001	Plate4_3861R_L_M_NS1_week5_S57_L001	Plate4_3861R_L_M_NS1_week9_S78_L001	Plate4_3861R_R_M_NS1_week5_S58_L001	Plate4_3971R_0_F_NS1_week5_S59_L001	Plate4_3971R_0_F_NS1_week9_S79_L001	Plate4_3971R_RL_F_NS1_week9_S81_L001	Plate4_3971R_R_F_NS1_week9_S80_L001	Plate4_3975R_0_F_NS1_week5_S60_L001	Plate4_3975R_L_F_NS1_week5_S61_L001	Plate4_3975R_L_F_NS1_week9_S82_L001	Plate4_3975R_RL_F_NS1_week9_S83_L001	Plate5_2808_NS1_0_Female_week5_S37_L001	Plate5_2808_NS1_0_Female_week9_S49_L001	Plate5_2808_NS1_L_Female_week5_S38_L001	Plate5_2808_NS1_L_Female_week9_S50_L001	Plate5_2808_NS1_RR_Female_week5_S40_L001	Plate5_2808_NS1_RR_Female_week9_S52_L001	Plate5_2808_NS1_R_Female_week5_S39_L001	Plate5_2808_NS1_R_Female_week9_S51_L001	Plate5_2824_NS1_0_Male_week5_S43_L001	Plate5_2824_NS1_0_Male_week9_S55_L001	Plate5_2824_NS1_L_Male_week5_S44_L001	Plate5_2824_NS1_L_Male_week9_S56_L001	Plate5_2824_NS1_R_Male_week5_S45_L001	Plate5_2824_NS1_R_Male_week9_S57_L001	Plate5_2864_NS1_R_Male_week5_S46_L001	Plate5_2864_NS1_R_Male_week9_S58_L001	Plate5_2893_NS1_0_Male_week5_S47_L001	Plate5_2893_NS1_0_Male_week9_S59_L001	Plate5_2893_NS1_R_Male_week5_S48_L001	Plate5_2893_NS1_R_Male_week9_S60_L001	Plate5_2999_NS1_0_Female_week5_S41_L001	Plate5_2999_NS1_0_Female_week9_S53_L001	Plate5_2999_NS1_R_Female_week5_S42_L001	Plate5_2999_NS1_R_Female_week9_S54_L001
1CMET2-PWY	19842.182058479008	17364.99249653798	21853.090083443607	19637.472369582894	18942.915204006003	17168.74452356135	19888.60776291946	20692.03896303571	20400.161747285452	18601.123566921262	26575.089239499343	20686.539759950087	20531.44004614674	18806.866718977068	19943.296440481467	20006.368506122028	18849.70508038249	16977.306979891535	16852.84835686705	17350.414908196075	17987.34334075275	20736.136775112212	19900.043656879672	22817.279218078205	19498.359371617265	25375.648426185482	13234.116394395798	13700.487811048351	12350.446572697792	14642.91224604632	10508.184109304626	14748.833499945496	16058.26437116864	19741.92539078488	18763.932156270257	13628.476235285261	17327.585514137645	15272.793738927594	17490.376446605	19221.786898342547	11985.420344808625	18287.343471159165	13713.041648200007	15905.05225499573	13976.031470957076	16900.469034615046	15201.050685471397	14674.253198565733	14931.640788757686	12641.680749498813	16603.62291711433	15048.550535860002	13948.888123224018	14064.025039656412	15426.0984093675	14345.060606065894	14589.20789999926	12130.351963416408	10335.061277475084	12221.184907957155	14376.529513635782	13964.156053869598	16976.703005532185	14396.524822933046	13219.32186138079	11247.516960820898	13320.793590042713	16097.550769630385	14008.100690332909	45690.43602693589	23910.668779622963	23580.13471542369	18985.9640274321	9844.71156928009	22406.712415637114	25109.404819451032	19867.026598235272	17851.315586605368	29884.509417406232	23848.756049138825	16882.37605255819	21833.111902836245	20280.67342736276	15906.50656644348	23410.098926852417	18036.57788277747	25447.6711035993	17546.589388719512	31433.7354465036	15194.092366791752	16709.278776356005	37957.062577632874	27267.53199292503
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	322.67146341581514	277.46424010382736	391.7240835287865	242.72076334172024	385.8361756412186	476.00444886216394	231.28826136493043	322.803502911781	662.0051623648114	375.0941475259644	1220.6988920242993	177.54811137597105	912.8139789126895	207.7856377695341	650.6926832138964	253.91609542852993	731.8565732732957	129.89135021563354	354.56584238447755	377.4669099337104	180.81470543354826	724.0642768804338	196.14779260789402	138.14569666200399	783.665690381352	283.4577476401642	100.7461740485527	479.3463342222361	96.18171774039577	497.2007531341842	140.20639001475698	389.7845492169672	150.7421113903873	740.4252768440429	434.4548835391103	102.00712737548204	481.99419203091645	183.98138944348207	581.389577813847	209.42178349144186	416.42213948096224	225.96619982301254	537.1207024672543	118.60652573354051	348.50123097281164	331.2787147177112	691.9222794264458	96.39768944973962	542.5190989834065	115.80037371559798	497.5756789335153	254.96721438063165	304.1000997077799	221.1961626781818	692.9725614862344	240.60392708855792	499.64055981703723	133.35850577078534	382.37813965025015	101.1328497065721	466.2684894588738	444.41458868021465	182.8372666083722	176.21428408916984	75.09547291943616	764.2770286127877	1221.7182627156578	135.38918303398773	142.64332030908653	891.6243695297463	392.89489690097594	686.9631093458457	554.2954368599756	199.35828144558403	315.598928389509	585.9661084902293	274.817922473043	677.317974563857	510.17924541159977	922.1518924106396	190.77527651452357	663.6574672942822	390.95168030531	465.45634375400874	260.41173362879505	360.4402749795404	406.22336208625995	324.29399064520015	614.8540173312623	511.3571728784273	334.82955906350213	1440.057129197739	430.8247597039174
AEROBACTINSYN-PWY	158.57999999999998	132.70999999999998	213.14	130.57	221.42999999999998	257.0	110.86	157.43	370.29	186.85999999999999	720.72	74.72	572.5699999999999	92.14000000000001	351.15000000000003	115.28999999999999	426.56999999999994	51.71000000000001	195.71	176.57999999999998	67.15	416.71	80.28	56.57000000000001	471.29	121.28	40.86	279.0	41.71	282.14	64.72	209.70999999999998	65.58	444.43	254.28000000000003	40.0	264.28000000000003	89.28	336.28	100.85999999999999	245.57	104.13999999999999	314.15000000000003	50.29	184.42000000000002	172.57	413.43000000000006	40.43	325.72	48.0	291.15	133.86	163.72	108.72	407.0	113.28999999999999	277.43	55.72	204.57000000000002	36.0	252.29000000000002	248.85999999999999	84.71	73.0	29.859999999999996	475.2799999999999	847.5699999999999	53.86	61.28000000000001	469.14	182.42999999999998	386.43	286.86	99.86	143.72	319.71	129.43	399.0	223.56999999999996	534.71	75.43	369.14	181.71	252.43	115.57	186.72	195.57	163.85999999999999	297.57	289.85	177.70999999999998	835.0	217.85999999999999
ALL-CHORISMATE-PWY	4879.492195780778	4109.968591080854	5504.853441451686	4447.984615032382	5081.163165422391	5332.088310621512	4001.015522287227	4962.409857856708	6122.650614542547	5045.90566839869	8088.526905076249	3330.4192606305232	6143.278772035974	3661.9286018436424	5403.159740976258	4262.045009983176	4508.054861988312	2596.490654235129	3525.1620713749667	4702.815201670848	3218.055701608895	5884.090265417167	3463.837149834297	2915.2138423017495	6073.6670960992815	4814.531471977963	1872.7324779644443	3905.8752651806244	1883.0124302518316	4266.837120057071	2304.680009028746	3924.719588073568	2816.488165263046	5697.274850837895	4298.35235040598	2005.5024630001872	4608.53131900646	3267.769422541978	5041.587787094522	3750.317196127073	3383.592600711791	3886.189269604229	4128.211540325137	2405.2793570629924	3223.077454493571	4475.4829039002425	4744.528673927775	1991.4121706154058	4190.469127987704	2083.409517610973	4261.1130975953265	3786.0091891949937	3312.3287033850656	3417.283631552321	4781.004353340788	3463.117439845824	4182.920204611528	2283.736757251149	3175.3943217907904	1782.853971533579	4189.074295546313	4181.556497761599	3298.5678711999653	2938.5791328412365	1566.8108916934498	4215.486055138766	5587.925279596183	2560.799826361946	2528.3276627683786	11086.884451653577	5893.392781615637	6763.154293365427	5873.5159684008995	2388.9438165559054	4968.796836245763	6457.478960216447	4323.1485895172855	5412.712357602199	7273.433952049995	6732.751217803428	3168.3488480408537	5854.698389578936	4952.245490764713	4454.137341006263	4818.4942196249685	4360.901747324967	6010.494215789131	4019.8439723545926	8383.808390600347	4293.123897888	4218.982400309203	11340.08439241972	6715.213658120571
ANAEROFRUCAT-PWY	10303.504871522777	9186.49495091004	9178.22814449029	8515.904395838092	8627.613233232467	9731.018372035933	9789.330931548082	10299.208293596877	12145.72177195698	11067.206963478968	16107.373863600202	12059.945854165115	10095.23044261885	10977.09175541489	13102.020834833334	12290.24899976976	10292.240188742428	12283.604442593638	8122.689507206334	10547.50681178789	13977.282260977687	12615.591479487728	14830.154739680225	12787.511439301106	9587.530891773675	15174.094066247573	9381.53652587122	7080.709284971991	6964.5357411206	8731.20998555924	6197.51437570369	8434.455659947434	9626.521127274395	10539.087304877436	7335.9466888000115	8843.549965640703	9577.360126029307	6954.028054750239	10145.991696992938	8877.514799273462	6805.136729873317	9227.512715732239	8104.381323887433	9263.610787266076	8796.248122310204	8952.797421867268	9112.62322291853	9746.30121510965	7166.864329529239	9246.601486763004	7925.821477693562	6687.095264399001	6872.996355117534	7334.907523873548	9746.259427118946	7519.967280976549	9625.261181565966	7372.535558676289	7707.147243375381	7518.5367350819615	9932.863047673072	8814.276420041062	9558.296482985308	9969.7113486125	10670.396464916972	7019.502824194981	7532.14817226384	10284.612042256433	9071.44974229125	26412.41753803778	16779.095435911047	12367.986962775485	13339.823798203905	6678.531055220312	14496.92517187625	13863.554208260171	12530.367236099835	9998.887457417906	20870.920575312928	15827.004334728443	12050.551366332122	15275.918394003813	14421.4421964283	10176.905857461656	14064.32314988249	11023.885586954852	15487.865352684328	11488.369940728306	20957.077640561267	9305.375880307041	7242.6442463504245	23092.55819384795	12809.642898122187
ANAGLYCOLYSIS-PWY	25892.46113109799	23149.060292470025	28664.66652418058	25793.979519309192	24572.640259229276	22575.71225247373	26177.80246350152	27041.48406010202	28051.580180071785	24724.189552212396	39362.66614458116	26703.798590896287	27611.44724372717	24907.003033329765	29687.473516607617	26245.283552476893	29631.386921607394	21679.257317396314	25641.88116158663	22088.813491545825	21911.992772357295	29656.05665740635	27421.512945252	30681.866039967703	26569.21043373634	33466.97469456847	18620.043333554953	20353.365802544813	17160.42844501206	21511.740092626005	14129.416808724322	21354.85551531077	22219.688096377304	29108.509312819227	27890.114421138973	17874.110364072003	24768.400554226646	19812.082492728307	24516.684898444768	25925.526849694168	17109.225834018067	24197.766840687225	19473.476038200934	21847.115911691864	21546.404999334733	22158.141604101394	22394.0911689284	20425.316986239774	22453.098517644885	17123.448663634375	24716.84796985913	19613.179337618607	20265.533210613812	18532.146882553832	22930.468440392822	18851.146665837507	21607.365227091916	16591.63073226255	14565.774033582482	16266.176498655423	20232.237648201117	19423.645655632172	22654.300326085842	19174.880275083953	18642.28342973814	15639.679506367527	18735.30723132306	21241.32323638612	19166.699440439214	64348.76033403576	32209.267861945864	32297.01349142463	25334.360362596162	13713.318571685899	29235.61221753704	35095.023880333654	25930.246465625183	25983.51189124848	40453.14081860128	35441.67500959262	21533.51368480345	32932.43048431745	26638.992922146725	22522.928546769293	30385.77178290191	25718.365138611076	33166.18971449174	25673.377865269802	41066.15622523651	21935.580440432943	21159.014030252896	53011.65502495347	35502.05587124624
ARG+POLYAMINE-SYN	1727.5966078819356	1401.20135171639	1781.4459246424644	1563.7528207456899	1858.4950581902237	2065.598303439287	1738.753390297146	1763.2851831036269	2477.2846480938656	1887.4588656615692	4312.5690543123665	1488.5145993797228	2378.019905776627	1637.7068157564936	2680.910949747721	1935.6556154990983	2494.5362008992747	1331.7281521480647	1683.5075741471196	1773.8401474475747	1777.0524887730992	2375.4008842592852	1697.4156394080017	1541.0167359264597	2599.9444368898885	1965.6744821069128	1203.993867847398	1879.0111248224896	942.9555814390532	1934.6442335073236	829.2624015100898	1903.974131757622	1255.0121468780737	2567.375870747868	1683.5869631619887	1229.4211925166212	1681.4463439344272	1092.2819867784212	1758.631435748967	1381.1543213312327	1214.49861477352	1744.0512512971409	1594.7773408215096	1278.141833067895	1549.475163900274	1826.780543716024	2409.1274101924964	1258.0301154116135	1852.3256312035799	1221.7794089510935	1733.8372132824356	1263.8837939791038	1321.3403375412781	1213.6165271335901	2046.8919615894954	1141.0996214355046	2159.278427391425	777.5691546721401	1605.9875133962025	1036.4055555587013	2269.143354885923	1678.1837804841211	1326.489917138507	1006.474331200692	1332.9464531181325	2303.3336151398903	3191.93491536775	1317.3545360463158	1387.3833760443517	4341.405529566319	2571.3764159858483	2736.0316673924704	2274.338840924536	1039.1525230759048	2004.043678580068	3408.8141062031486	1838.7882544352103	2219.613031603621	2698.7589141179214	3552.0741778026136	1437.4373191946725	3962.0850966154508	2136.167149140784	1805.8269089883086	2059.64537258722	1769.9399622262263	2217.9196681400576	1850.091989850055	3342.7989299271385	1722.2399814864655	1752.774626753888	4792.465646820654	2734.8175151740534
ARGDEG-PWY	315.1049886792929	261.8674045035151	399.28101412549245	253.16558900862037	414.0195695566556	478.2837013870633	216.27218951520916	304.375910796739	689.8706104089939	364.2215745172371	1291.651321504255	157.5566501316443	1014.872157417469	187.54976112351085	651.9386131560857	227.97602457140394	762.1169350196049	106.11643388098744	361.9158547167154	347.44515600483953	143.287198968754	772.936776661822	165.99699281758174	118.6210854922845	837.1026980158207	246.85783966347273	84.7066850200887	501.43913926300934	84.57375316534896	519.5043780837259	128.22040295535012	392.3599642732658	131.68781046456078	805.1367164448681	458.5770645037555	84.77263727927411	500.7402214099591	173.95137859148917	631.8542512824741	197.71364467922072	456.8758076863918	202.774647774849	579.7066365784437	101.40310957736837	344.0728436819652	334.2630395475	741.0692269340306	82.08582776560975	577.9000099391557	96.39276480698571	524.7534994724653	253.1543860646879	300.64046708831336	211.48058637046267	736.6934500948062	221.6997436761728	515.661442522821	112.25633304046121	386.15997691227955	75.33593975345099	480.2329711238869	465.5073431272891	169.30152281802438	146.29393633712965	61.63283374848736	831.7125339220852	1414.8005719994756	110.7509440993815	122.78320368359253	900.0854762371619	369.06520893407026	718.407944916783	552.3560013515078	197.3216692319441	298.64674645562985	602.2828655323897	264.16809928748546	730.1257077139875	460.7661367063146	995.3079640890294	161.80111089606223	690.8305234360295	373.13387731824383	480.7223985866807	236.7764885262283	370.25856037314986	399.36199124614114	322.29275547169306	600.3341486139104	546.6072853714157	326.1794377879457	1556.1551950989347	415.81268732554804
ARGORNPROST-PWY	1518.3403318245128	1217.9137719422104	1629.5627179626017	1557.9890070791091	1319.7409567430852	1272.740350233567	1563.7896306940959	1247.723980468997	1825.7914205152583	1664.2050782112417	2476.073478131318	1524.0304997925969	1679.5020306770334	1540.5000503434321	1953.6086373164242	1983.968588755945	1517.9116658519638	2263.996404372586	1013.2836857161402	1631.0127415306667	2387.864678768548	1573.42137238502	1835.076915299269	2059.555728565645	1670.7744485955377	2289.299691326344	1425.1616465419245	810.5115916890426	1129.8312135429906	1192.2385170454784	1038.8007955945725	1310.8693495703556	1660.6369184130915	1565.7132629521711	1124.7707146913915	1313.6752504442636	1486.7932498417924	1355.5001474788955	1700.9559708428446	1597.3863067981104	1089.0010884719393	1628.399861323802	1371.9777196053349	1705.1289445185923	1535.1661529659825	1399.340594171523	1337.4765715594965	1439.5953009948728	973.4697346157103	1364.0962263893061	1351.1877104147618	1020.4214347462503	1081.4356298194991	1093.799709181805	1813.5937325419948	1097.2681183076081	1481.9526803434858	1328.688456830905	1173.6096171961465	1358.041087095115	1454.846927653091	1225.395511249003	1531.1455557256538	1667.6205192658224	1614.874703910734	1119.7856231818603	1230.800601591722	1891.754944640658	1559.0121580072137	4049.361476809934	2489.870352906921	1836.2890820179991	1819.2956223027804	768.6677713148579	2019.1402579622586	2357.1712465080363	1517.1519942980565	1315.4131261880946	2653.5613705036803	2493.680800762317	1519.3767507459972	2621.62326136893	2151.381830408331	1250.5783860014737	1923.9361000081988	1516.6365067080308	2048.5296855341617	1185.0492949182653	2845.430881651916	1139.5588662569403	979.7560733481182	3647.0078998735976	1948.9827600001709
ARGSYN-PWY	15261.827470515116	13710.297359854185	16751.704389229595	15140.100782660655	14560.196836173522	13807.302171098003	15339.520308698746	15986.050204692792	16135.330338568243	14691.060946094281	22450.036529022316	16439.37607345135	17231.78316576337	14684.082277357846	16517.150872723774	16021.967974735566	13624.638687217624	13624.249432809795	13195.305071634926	14108.117225336759	14004.24613574083	16770.110668134053	16448.231503965555	18521.696631892413	15568.13003348638	19520.63038669068	10683.705553828615	10571.162018177769	10215.003088936961	12021.365185010607	8467.289903376579	11886.217780451972	13291.337866457712	16576.45912469991	15350.82419349012	11176.300414374651	14090.302812510568	11557.468611272441	13724.214057575186	15059.479266521243	9409.741065913417	14647.606063547137	10931.217842485874	13045.12388024003	11017.606739885188	12880.775045669561	13080.445111614903	12423.732513009327	12162.608942018784	10669.621716444424	14092.52029802908	11655.286663455983	11608.56000879969	11118.186219875279	13035.078273114286	10825.17421373845	12344.333404196283	9842.287970295469	8814.054621997077	10147.67156980355	11770.958129424027	11132.19396850432	13229.635870035672	11160.415042807703	11461.99865682513	9405.607897150954	11178.060442507001	12639.757956121672	11750.981111959458	36453.58734290667	19256.055719848257	18313.007207993287	14965.235569704242	7861.463612286721	17961.55348325134	20395.753288576336	15667.55112989927	15008.639228322967	23292.573652903313	19732.290282934307	13506.64057698568	18666.01952380328	15712.652351217092	13066.475114487033	18459.25244711728	14421.1516755277	19899.608604301447	14728.343128097868	24825.74131252316	12358.56676077001	12866.220898948968	29429.162217908408	20737.81060173797
