Sample	Unique Reads	Duplicate Reads
016R_0_F_NS6_week9_S79_L001_R1_001	2379.0	113356.0
016R_0_F_NS6_week9_S79_L001_R2_001	6687.0	109048.0
036R_R_M_NS1_week5_S18_L001_R1_001	1998.0	100345.0
036R_R_M_NS1_week5_S18_L001_R2_001	4559.0	97784.0
036R_R_M_NS1_week6_S19_L001_R1_001	2139.0	105734.0
036R_R_M_NS1_week6_S19_L001_R2_001	4367.0	103506.0
036R_R_M_NS1_week7_S20_L001_R1_001	1833.0	91401.0
036R_R_M_NS1_week7_S20_L001_R2_001	4439.0	88795.0
036R_R_M_NS1_week9_S21_L001_R1_001	2579.0	93209.0
036R_R_M_NS1_week9_S21_L001_R2_001	5268.0	90520.0
073R_0_M_S2_week5_S52_L001_R1_001	2250.0	116733.0
073R_0_M_S2_week5_S52_L001_R2_001	4773.0	114210.0
073R_0_M_S2_week6_S53_L001_R1_001	2660.0	140885.0
073R_0_M_S2_week6_S53_L001_R2_001	6505.0	137040.0
073R_0_M_S2_week7_S54_L001_R1_001	2779.0	155269.0
073R_0_M_S2_week7_S54_L001_R2_001	6891.0	151157.0
073R_0_M_S2_week9_S55_L001_R1_001	2750.0	138760.0
073R_0_M_S2_week9_S55_L001_R2_001	6404.0	135106.0
096R_0_M_S5_week9_S74_L001_R1_001	2150.0	110599.0
096R_0_M_S5_week9_S74_L001_R2_001	6234.0	106515.0
1030R_L_M_NS1_week5_S22_L001_R1_001	2428.0	136858.0
1030R_L_M_NS1_week5_S22_L001_R2_001	5803.0	133483.0
1030R_L_M_NS1_week6_S23_L001_R1_001	2456.0	124308.0
1030R_L_M_NS1_week6_S23_L001_R2_001	5587.0	121177.0
1030R_L_M_NS1_week7_S24_L001_R1_001	1969.0	105133.0
1030R_L_M_NS1_week7_S24_L001_R2_001	4891.0	102211.0
1030R_L_M_NS1_week9_S25_L001_R1_001	2214.0	104466.0
1030R_L_M_NS1_week9_S25_L001_R2_001	6086.0	100594.0
1060R_L_M_S5_week9_S75_L001_R1_001	1870.0	109958.0
1060R_L_M_S5_week9_S75_L001_R2_001	5285.0	106543.0
1067R_R_M_S2_week5_S56_L001_R1_001	2561.0	128304.0
1067R_R_M_S2_week5_S56_L001_R2_001	6224.0	124641.0
1067R_R_M_S2_week6_S57_L001_R1_001	2571.0	126451.0
1067R_R_M_S2_week6_S57_L001_R2_001	6676.0	122346.0
1067R_R_M_S2_week7_S58_L001_R1_001	2361.0	129631.0
1067R_R_M_S2_week7_S58_L001_R2_001	5978.0	126014.0
1067R_R_M_S2_week9_S59_L001_R1_001	2294.0	107443.0
1067R_R_M_S2_week9_S59_L001_R2_001	4725.0	105012.0
1075R_L_M_NS6_week9_S84_L001_R1_001	1882.0	107842.0
1075R_L_M_NS6_week9_S84_L001_R2_001	4572.0	105152.0
1076R_0_M_S5_week9_S76_L001_R1_001	1906.0	91816.0
1076R_0_M_S5_week9_S76_L001_R2_001	5114.0	88608.0
1121R_0_M_NS1_week5_S26_L001_R1_001	1792.0	97371.0
1121R_0_M_NS1_week5_S26_L001_R2_001	4778.0	94385.0
1121R_0_M_NS1_week6_S27_L001_R1_001	1824.0	98431.0
1121R_0_M_NS1_week6_S27_L001_R2_001	4452.0	95803.0
1121R_0_M_NS1_week7_S28_L001_R1_001	1876.0	85241.0
1121R_0_M_NS1_week7_S28_L001_R2_001	4176.0	82941.0
1121R_0_M_NS1_week9_S29_L001_R1_001	2085.0	95982.0
1121R_0_M_NS1_week9_S29_L001_R2_001	5281.0	92786.0
1136R_0_F_S5_week9_S69_L001_R1_001	2530.0	149943.0
1136R_0_F_S5_week9_S69_L001_R2_001	6471.0	146002.0
1151R_R_M_NS1_week5_S30_L001_R1_001	2119.0	104768.0
1151R_R_M_NS1_week5_S30_L001_R2_001	5391.0	101496.0
1151R_R_M_NS1_week6_S31_L001_R1_001	2321.0	112321.0
1151R_R_M_NS1_week6_S31_L001_R2_001	5874.0	108768.0
1151R_R_M_NS1_week7_S32_L001_R1_001	2192.0	112253.0
1151R_R_M_NS1_week7_S32_L001_R2_001	5879.0	108566.0
1151R_R_M_NS1_week9_S33_L001_R1_001	2208.0	102993.0
1151R_R_M_NS1_week9_S33_L001_R2_001	5197.0	100004.0
1152R_0_M_S2_week9_S60_L001_R1_001	2404.0	133319.0
1152R_0_M_S2_week9_S60_L001_R2_001	5419.0	130304.0
1184R_0_M_NS6_week9_S85_L001_R1_001	2289.0	122239.0
1184R_0_M_NS6_week9_S85_L001_R2_001	5787.0	118741.0
1186R_0_M_NS6_week9_S86_L001_R1_001	2220.0	116939.0
1186R_0_M_NS6_week9_S86_L001_R2_001	5662.0	113497.0
1186R_RR_M_NS6_week9_S87_L001_R1_001	2396.0	120954.0
1186R_RR_M_NS6_week9_S87_L001_R2_001	5817.0	117533.0
1193R_R_F_NS1_week5_S1_L001_R1_001	1983.0	102555.0
1193R_R_F_NS1_week5_S1_L001_R2_001	5362.0	99176.0
1193R_R_F_NS1_week6_S2_L001_R1_001	1582.0	83529.0
1193R_R_F_NS1_week6_S2_L001_R2_001	4206.0	80905.0
1193R_R_F_NS1_week7_S3_L001_R1_001	1706.0	89321.0
1193R_R_F_NS1_week7_S3_L001_R2_001	4165.0	86862.0
1193R_R_F_NS1_week9_S4_L001_R1_001	2158.0	96050.0
1193R_R_F_NS1_week9_S4_L001_R2_001	5909.0	92299.0
184R_0_M_NS6_week9_S88_L001_R1_001	2490.0	133501.0
184R_0_M_NS6_week9_S88_L001_R2_001	6485.0	129506.0
2402R_0_F_S5_week9_S70_L001_R1_001	2168.0	120937.0
2402R_0_F_S5_week9_S70_L001_R2_001	5682.0	117423.0
2403R_0_F_NS6_week9_S80_L001_R1_001	2515.0	131646.0
2403R_0_F_NS6_week9_S80_L001_R2_001	7756.0	126405.0
2404R_R_F_S2_week5_S35_L001_R1_001	1974.0	96662.0
2404R_R_F_S2_week5_S35_L001_R2_001	3696.0	94940.0
2404R_R_F_S2_week6_S36_L001_R1_001	1853.0	110439.0
2404R_R_F_S2_week6_S36_L001_R2_001	3939.0	108353.0
2404R_R_F_S2_week7_S37_L001_R1_001	2120.0	117663.0
2404R_R_F_S2_week7_S37_L001_R2_001	4592.0	115191.0
2404R_R_F_S2_week9_S38_L001_R1_001	2074.0	95462.0
2404R_R_F_S2_week9_S38_L001_R2_001	4016.0	93520.0
2433R_0_F_S5_week9_S71_L001_R1_001	2225.0	123737.0
2433R_0_F_S5_week9_S71_L001_R2_001	5521.0	120441.0
2446R_L_F_S2_week5_S39_L001_R1_001	1804.0	90081.0
2446R_L_F_S2_week5_S39_L001_R2_001	3887.0	87998.0
2446R_L_F_S2_week6_S40_L001_R1_001	2078.0	115758.0
2446R_L_F_S2_week6_S40_L001_R2_001	4879.0	112957.0
2446R_L_F_S2_week7_S41_L001_R1_001	2402.0	105418.0
2446R_L_F_S2_week7_S41_L001_R2_001	6579.0	101241.0
2446R_L_F_S2_week9_S42_L001_R1_001	1917.0	93111.0
2446R_L_F_S2_week9_S42_L001_R2_001	5195.0	89833.0
2475R_0_M_S5_week9_S77_L001_R1_001	2309.0	120129.0
2475R_0_M_S5_week9_S77_L001_R2_001	6962.0	115476.0
2476R_R_F_NS6_week9_S81_L001_R1_001	2364.0	118974.0
2476R_R_F_NS6_week9_S81_L001_R2_001	6241.0	115097.0
2518R_0_M_S5_week9_S78_L001_R1_001	1983.0	105290.0
2518R_0_M_S5_week9_S78_L001_R2_001	6263.0	101010.0
2529R_R_F_NS1_week5_S5_L001_R1_001	1823.0	89715.0
