Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_0_F_NS6_week9_S79_L001_R1_001	(1.0, 1.2805115133710632)	(2.0, 0.5287942281937184)	(3.0, 0.357713742601633)	(4.0, 0.3248801140536571)	(5.0, 0.30673521406661775)	(6.0, 0.2592128569577051)	(7.0, 0.1814489998703936)	(8.0, 0.19354559986175315)	(9.0, 0.1477513284658919)	('>10', 1.9847064414394953)	('>50', 0.745668985181665)	('>100', 1.1249837991964402)	('>500', 1.2338531991186763)	('>1k', 6.901974337927161)	('>5k', 34.204000518425715)	('>10k+', 50.22421912126841)
016R_0_F_NS6_week9_S79_L001_R2_001	(1.0, 4.667559510951743)	(2.0, 0.7586296280295503)	(3.0, 0.4950965567892167)	(4.0, 0.5046010282109993)	(5.0, 0.319695856914503)	(6.0, 0.3369767140450166)	(7.0, 0.3508013997494276)	(8.0, 0.3110554283492461)	(9.0, 0.32660819976670846)	('>10', 2.8392448265433967)	('>50', 0.988465027865382)	('>100', 1.0748693135179506)	('>500', 1.1249837991964402)	('>1k', 7.4852032660819985)	('>5k', 20.481271871084804)	('>10k+', 57.934937572903614)
036R_R_M_NS1_week5_S18_L001_R1_001	(1.0, 1.2770780610300656)	(2.0, 0.4631484322327858)	(3.0, 0.35468962215295624)	(4.0, 0.2853150679577499)	(5.0, 0.1563370235384931)	(6.0, 0.23450553530773968)	(7.0, 0.14363464037599055)	(8.0, 0.2110549817769657)	(9.0, 0.09673353331444261)	('>10', 1.6532640239195646)	('>50', 0.3243993238423732)	('>100', 1.1490771230079244)	('>500', 2.236596542997567)	('>1k', 19.426829387452)	('>5k', 4.955883646170232)	('>10k+', 67.03145305492315)
036R_R_M_NS1_week5_S18_L001_R2_001	(1.0, 3.486315624908396)	(2.0, 0.6683407756270581)	(3.0, 0.5247061352510675)	(4.0, 0.3791172820808458)	(5.0, 0.29801745112025246)	(6.0, 0.30485719590006155)	(7.0, 0.27358979119236293)	(8.0, 0.2579560888385136)	(9.0, 0.15829123633272427)	('>10', 2.431040716023568)	('>50', 0.6126457109914699)	('>100', 1.1725276765386983)	('>500', 1.773448110764781)	('>1k', 24.17947490302219)	('>5k', 16.393891130805233)	('>10k+', 47.085780170602774)
036R_R_M_NS1_week6_S19_L001_R1_001	(1.0, 1.2709389745348698)	(2.0, 0.4672160781659915)	(3.0, 0.4227193088168495)	(4.0, 0.31147738544399434)	(5.0, 0.2966451289942803)	(6.0, 0.20579755823978196)	(7.0, 0.20116247809924634)	(8.0, 0.0964096669231411)	(9.0, 0.2002354620711392)	('>10', 1.376618801739082)	('>50', 0.5246910719086333)	('>100', 1.1819454358365855)	('>500', 1.7631844854597536)	('>1k', 7.672911664642681)	('>5k', 24.675312636155482)	('>10k+', 59.33273386296849)
036R_R_M_NS1_week6_S19_L001_R2_001	(1.0, 3.060079908781623)	(2.0, 0.7304886301484153)	(3.0, 0.4115951164795639)	(4.0, 0.48575639872813403)	(5.0, 0.33372577011856536)	(6.0, 0.3003531931067088)	(7.0, 0.2530753756732454)	(8.0, 0.28922900076942326)	(9.0, 0.2002354620711392)	('>10', 2.1636554096020317)	('>50', 0.28922900076942326)	('>100', 1.2894792950970122)	('>500', 1.1837994678927999)	('>1k', 5.375765946993224)	('>5k', 35.79765094138478)	('>10k+', 47.835881082383914)
036R_R_M_NS1_week7_S20_L001_R1_001	(1.0, 1.274213269837184)	(2.0, 0.508398223823927)	(3.0, 0.33464186884612906)	(4.0, 0.27028766329879655)	(5.0, 0.2145140184911084)	(6.0, 0.17375635497779782)	(7.0, 0.18769976617971984)	(8.0, 0.18019177553253105)	(9.0, 0.14479696248149815)	('>10', 1.6152905592380462)	('>50', 0.32391616792157363)	('>100', 1.4361713537979708)	('>500', 3.505159062144711)	('>1k', 9.718557607739665)	('>5k', 13.058540875646225)	('>10k+', 67.05386447004311)
036R_R_M_NS1_week7_S20_L001_R2_001	(1.0, 3.8076238282171744)	(2.0, 0.6993157002810134)	(3.0, 0.5212690649333934)	(4.0, 0.3518029903254178)	(5.0, 0.22523971941566379)	(6.0, 0.24454598107986358)	(7.0, 0.2477636913572302)	(8.0, 0.2659973829289744)	(9.0, 0.2606345324666967)	('>10', 2.4057747173777804)	('>50', 0.4826565416049939)	('>100', 1.4222279425960487)	('>500', 2.346783362292726)	('>1k', 17.220112834373726)	('>5k', 12.2991612501877)	('>10k+', 57.1990904605616)
036R_R_M_NS1_week9_S21_L001_R1_001	(1.0, 1.698542614941329)	(2.0, 0.6556144819810414)	(3.0, 0.46352361464901654)	(4.0, 0.44264417254770955)	(5.0, 0.4436881446527749)	(6.0, 0.3069277988892137)	(7.0, 0.29961999415375623)	(8.0, 0.233849751534639)	(9.0, 0.16912348102058714)	('>10', 2.4648181400592977)	('>50', 0.40192926045016075)	('>100', 0.843529460892805)	('>500', 2.3186620453501483)	('>1k', 22.469411617321587)	('>5k', 6.627134922954858)	('>10k+', 60.16098049860108)
036R_R_M_NS1_week9_S21_L001_R2_001	(1.0, 4.221823192884286)	(2.0, 0.8915521777258111)	(3.0, 0.6639662588215643)	(4.0, 0.48440305675032364)	(5.0, 0.49066688938071573)	(6.0, 0.432204451497056)	(7.0, 0.3215434083601286)	(8.0, 0.3173675199398672)	(9.0, 0.22549797469411614)	('>10', 3.1079049567795547)	('>50', 0.6952854219735248)	('>100', 0.46352361464901654)	('>500', 3.0838935983630518)	('>1k', 28.022299244164195)	('>5k', 6.193886499352738)	('>10k+', 50.38418173466405)
073R_0_M_S2_week5_S52_L001_R1_001	(1.0, 1.2556415622399837)	(2.0, 0.43367539900658075)	(3.0, 0.30508560046393185)	(4.0, 0.2689459838800501)	(5.0, 0.22692317389879224)	(6.0, 0.17145306472353192)	(7.0, 0.1529630283317785)	(8.0, 0.13447299194002504)	(9.0, 0.0907692695595169)	('>10', 1.928006521940109)	('>50', 0.3319801988519368)	('>100', 1.2337897010497298)	('>500', 1.3934763789785096)	('>1k', 19.897800526125582)	('>5k', 9.1307161527277)	('>10k+', 63.04430044628224)
