Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1002R_0_M_NS6_week10_S69_L001_R1_001	(15.0, 6.0)	(16.0, 25.0)	(17.0, 64.0)	(18.0, 72.0)	(19.0, 95.0)	(20.0, 110.0)	(21.0, 181.0)	(22.0, 302.0)	(23.0, 405.0)	(24.0, 537.0)	(25.0, 749.0)	(26.0, 828.0)	(27.0, 1104.0)	(28.0, 1258.0)	(29.0, 1545.0)	(30.0, 1821.0)	(31.0, 2228.0)	(32.0, 2841.0)	(33.0, 3866.0)	(34.0, 5789.0)	(35.0, 9736.0)	(36.0, 22220.0)	(37.0, 68455.0)				
1002R_0_M_NS6_week10_S69_L001_R2_001	(12.0, 6.0)	(13.0, 19.0)	(14.0, 99.0)	(15.0, 211.0)	(16.0, 213.0)	(17.0, 239.0)	(18.0, 289.0)	(19.0, 333.0)	(20.0, 374.0)	(21.0, 440.0)	(22.0, 534.0)	(23.0, 643.0)	(24.0, 761.0)	(25.0, 951.0)	(26.0, 1333.0)	(27.0, 1645.0)	(28.0, 2357.0)	(29.0, 3501.0)	(30.0, 5145.0)	(31.0, 7735.0)	(32.0, 12062.0)	(33.0, 18080.0)	(34.0, 26323.0)	(35.0, 30509.0)	(36.0, 10384.0)	(37.0, 51.0)	
1002R_L_M_NS6_week10_S70_L001_R1_001	(16.0, 9.0)	(17.0, 9.0)	(18.0, 14.0)	(19.0, 24.0)	(20.0, 70.0)	(21.0, 152.0)	(22.0, 257.0)	(23.0, 355.0)	(24.0, 481.0)	(25.0, 648.0)	(26.0, 768.0)	(27.0, 956.0)	(28.0, 1219.0)	(29.0, 1365.0)	(30.0, 1587.0)	(31.0, 2038.0)	(32.0, 2702.0)	(33.0, 3702.0)	(34.0, 5250.0)	(35.0, 9092.0)	(36.0, 20437.0)	(37.0, 59923.0)					
1002R_L_M_NS6_week10_S70_L001_R2_001	(12.0, 1.0)	(13.0, 14.0)	(14.0, 74.0)	(15.0, 163.0)	(16.0, 225.0)	(17.0, 183.0)	(18.0, 204.0)	(19.0, 241.0)	(20.0, 313.0)	(21.0, 334.0)	(22.0, 435.0)	(23.0, 493.0)	(24.0, 636.0)	(25.0, 850.0)	(26.0, 1121.0)	(27.0, 1526.0)	(28.0, 2214.0)	(29.0, 3433.0)	(30.0, 4870.0)	(31.0, 7378.0)	(32.0, 11432.0)	(33.0, 17146.0)	(34.0, 24264.0)	(35.0, 26287.0)	(36.0, 7199.0)	(37.0, 22.0)	
1030R_0_M_NS1_week10_S77_L001_R1_001	(15.0, 2.0)	(16.0, 17.0)	(17.0, 44.0)	(18.0, 75.0)	(19.0, 68.0)	(20.0, 99.0)	(21.0, 197.0)	(22.0, 261.0)	(23.0, 382.0)	(24.0, 515.0)	(25.0, 645.0)	(26.0, 825.0)	(27.0, 982.0)	(28.0, 1197.0)	(29.0, 1440.0)	(30.0, 1683.0)	(31.0, 2081.0)	(32.0, 2553.0)	(33.0, 3557.0)	(34.0, 5048.0)	(35.0, 8952.0)	(36.0, 20504.0)	(37.0, 60542.0)				
1030R_0_M_NS1_week10_S77_L001_R2_001	(11.0, 4.0)	(12.0, 23.0)	(13.0, 105.0)	(14.0, 203.0)	(15.0, 198.0)	(16.0, 171.0)	(17.0, 245.0)	(18.0, 334.0)	(19.0, 387.0)	(20.0, 419.0)	(21.0, 454.0)	(22.0, 541.0)	(23.0, 705.0)	(24.0, 883.0)	(25.0, 1146.0)	(26.0, 1587.0)	(27.0, 2275.0)	(28.0, 3170.0)	(29.0, 4490.0)	(30.0, 6438.0)	(31.0, 9466.0)	(32.0, 13441.0)	(33.0, 18718.0)	(34.0, 21697.0)	(35.0, 19638.0)	(36.0, 4908.0)	(37.0, 23.0)
1030R_R_M_NS1_week10_S78_L001_R1_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 12.0)	(18.0, 13.0)	(19.0, 37.0)	(20.0, 50.0)	(21.0, 137.0)	(22.0, 226.0)	(23.0, 311.0)	(24.0, 459.0)	(25.0, 591.0)	(26.0, 739.0)	(27.0, 867.0)	(28.0, 1031.0)	(29.0, 1274.0)	(30.0, 1451.0)	(31.0, 1843.0)	(32.0, 2347.0)	(33.0, 3184.0)	(34.0, 4539.0)	(35.0, 7692.0)	(36.0, 17667.0)	(37.0, 53582.0)				
1030R_R_M_NS1_week10_S78_L001_R2_001	(11.0, 2.0)	(12.0, 20.0)	(13.0, 97.0)	(14.0, 153.0)	(15.0, 171.0)	(16.0, 137.0)	(17.0, 217.0)	(18.0, 237.0)	(19.0, 297.0)	(20.0, 331.0)	(21.0, 403.0)	(22.0, 452.0)	(23.0, 578.0)	(24.0, 760.0)	(25.0, 987.0)	(26.0, 1379.0)	(27.0, 1847.0)	(28.0, 2675.0)	(29.0, 3915.0)	(30.0, 5487.0)	(31.0, 8152.0)	(32.0, 11599.0)	(33.0, 16065.0)	(34.0, 19654.0)	(35.0, 18029.0)	(36.0, 4402.0)	(37.0, 12.0)
1075R_0_M_NS6_week9_S72_L001_R1_001	(16.0, 3.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 15.0)	(20.0, 53.0)	(21.0, 138.0)	(22.0, 209.0)	(23.0, 319.0)	(24.0, 447.0)	(25.0, 571.0)	(26.0, 714.0)	(27.0, 931.0)	(28.0, 1103.0)	(29.0, 1263.0)	(30.0, 1572.0)	(31.0, 1921.0)	(32.0, 2697.0)	(33.0, 3656.0)	(34.0, 5371.0)	(35.0, 9359.0)	(36.0, 21115.0)	(37.0, 59504.0)					
1075R_0_M_NS6_week9_S72_L001_R2_001	(12.0, 3.0)	(13.0, 19.0)	(14.0, 81.0)	(15.0, 158.0)	(16.0, 206.0)	(17.0, 180.0)	(18.0, 197.0)	(19.0, 213.0)	(20.0, 256.0)	(21.0, 321.0)	(22.0, 387.0)	(23.0, 490.0)	(24.0, 620.0)	(25.0, 723.0)	(26.0, 1050.0)	(27.0, 1361.0)	(28.0, 2005.0)	(29.0, 3052.0)	(30.0, 4545.0)	(31.0, 7270.0)	(32.0, 11042.0)	(33.0, 16877.0)	(34.0, 24997.0)	(35.0, 27370.0)	(36.0, 7515.0)	(37.0, 28.0)	
