Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1002R_0_M_NS6_week10_S69_L001_R1_001	1002R_0_M_NS6_week10_S69_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124237.0	0.0	301.0	49.0	4.315139612192825	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1002R_0_M_NS6_week10_S69_L001_R2_001	1002R_0_M_NS6_week10_S69_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124237.0	0.0	301.0	51.0	6.176098907732801	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1002R_L_M_NS6_week10_S70_L001_R1_001	1002R_L_M_NS6_week10_S70_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111058.0	0.0	301.0	50.0	4.472437825280484	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1002R_L_M_NS6_week10_S70_L001_R2_001	1002R_L_M_NS6_week10_S70_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111058.0	0.0	301.0	51.0	6.004970375839651	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_0_M_NS1_week10_S77_L001_R1_001	1030R_0_M_NS1_week10_S77_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111669.0	0.0	301.0	51.0	4.545576659592188	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1030R_0_M_NS1_week10_S77_L001_R2_001	1030R_0_M_NS1_week10_S77_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111669.0	0.0	301.0	52.0	7.040449901046844	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1030R_R_M_NS1_week10_S78_L001_R1_001	1030R_R_M_NS1_week10_S78_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98058.0	0.0	301.0	50.0	4.820616369903527	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1030R_R_M_NS1_week10_S78_L001_R2_001	1030R_R_M_NS1_week10_S78_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98058.0	0.0	301.0	52.0	7.133533215035999	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1075R_0_M_NS6_week9_S72_L001_R1_001	1075R_0_M_NS6_week9_S72_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110966.0	0.0	301.0	49.0	4.306724582304489	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1075R_0_M_NS6_week9_S72_L001_R2_001	1075R_0_M_NS6_week9_S72_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110966.0	0.0	301.0	51.0	5.80628300560532	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1136R_RL_F_S5_week10_S58_L001_R1_001	1136R_RL_F_S5_week10_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101065.0	0.0	301.0	51.0	4.362538960075199	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1136R_RL_F_S5_week10_S58_L001_R2_001	1136R_RL_F_S5_week10_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101065.0	0.0	301.0	53.0	6.887646564092416	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1136R_R_F_S5_week10_S57_L001_R1_001	1136R_R_F_S5_week10_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108055.0	0.0	301.0	51.0	4.350562213687474	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1136R_R_F_S5_week10_S57_L001_R2_001	1136R_R_F_S5_week10_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108055.0	0.0	301.0	53.0	7.243533385775762	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_week9_S56_L001_R1_001	1174R_0_M_S2_week9_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101476.0	0.0	301.0	50.0	4.849422523552367	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_week9_S56_L001_R2_001	1174R_0_M_S2_week9_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101476.0	0.0	301.0	52.0	5.978753596909614	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
160R_0_F_S2_week10_S49_L001_R1_001	160R_0_F_S2_week10_S49_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113133.0	0.0	301.0	50.0	4.454049658366701	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
160R_0_F_S2_week10_S49_L001_R2_001	160R_0_F_S2_week10_S49_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113133.0	0.0	301.0	52.0	6.086641386686466	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
160R_L_F_S2_week10_S50_L001_R1_001	160R_L_F_S2_week10_S50_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107487.0	0.0	301.0	52.0	4.254467982174589	301.0	301	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	pass
160R_L_F_S2_week10_S50_L001_R2_001	160R_L_F_S2_week10_S50_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107487.0	0.0	301.0	54.0	5.731855945370138	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
184R_0_F_NS6_week10_S65_L001_R1_001	184R_0_F_NS6_week10_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105667.0	0.0	301.0	50.0	4.454560080252113	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
184R_0_F_NS6_week10_S65_L001_R2_001	184R_0_F_NS6_week10_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105667.0	0.0	301.0	52.0	6.219538739625427	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
184R_L_F_NS6_week10_S66_L001_R1_001	184R_L_F_NS6_week10_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115549.0	0.0	301.0	49.0	4.431020605976685	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
184R_L_F_NS6_week10_S66_L001_R2_001	184R_L_F_NS6_week10_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115549.0	0.0	301.0	51.0	5.842542990419649	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
2403R_L_F_NS6_week10_S67_L001_R1_001	2403R_L_F_NS6_week10_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120008.0	0.0	301.0	49.0	4.13055796280248	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2403R_L_F_NS6_week10_S67_L001_R2_001	2403R_L_F_NS6_week10_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120008.0	0.0	301.0	51.0	5.510465968935405	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
2446R_0_F_S2_week9_S55_L001_R1_001	2446R_0_F_S2_week9_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114134.0	0.0	301.0	50.0	4.68046331505073	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2446R_0_F_S2_week9_S55_L001_R2_001	2446R_0_F_S2_week9_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114134.0	0.0	301.0	52.0	5.867664324390629	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
2472R_0_F_NS1_week10_S73_L001_R1_001	2472R_0_F_NS1_week10_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122459.0	0.0	301.0	51.0	4.414538743579484	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
