Sample	Unique Reads	Duplicate Reads
1002R_0_M_NS6_week10_S69_L001_R1_001	5361.0	118876.0
1002R_0_M_NS6_week10_S69_L001_R2_001	7674.0	116563.0
1002R_L_M_NS6_week10_S70_L001_R1_001	4967.0	106091.0
1002R_L_M_NS6_week10_S70_L001_R2_001	6669.0	104389.0
1030R_0_M_NS1_week10_S77_L001_R1_001	5076.0	106593.0
1030R_0_M_NS1_week10_S77_L001_R2_001	7862.0	103807.0
1030R_R_M_NS1_week10_S78_L001_R1_001	4727.0	93331.0
1030R_R_M_NS1_week10_S78_L001_R2_001	6995.0	91063.0
1075R_0_M_NS6_week9_S72_L001_R1_001	4779.0	106187.0
1075R_0_M_NS6_week9_S72_L001_R2_001	6444.0	104522.0
1136R_RL_F_S5_week10_S58_L001_R1_001	4409.0	96656.0
1136R_RL_F_S5_week10_S58_L001_R2_001	6961.0	94104.0
1136R_R_F_S5_week10_S57_L001_R1_001	4701.0	103354.0
1136R_R_F_S5_week10_S57_L001_R2_001	7827.0	100228.0
1174R_0_M_S2_week9_S56_L001_R1_001	4921.0	96555.0
1174R_0_M_S2_week9_S56_L001_R2_001	6067.0	95409.0
160R_0_F_S2_week10_S49_L001_R1_001	5039.0	108094.0
160R_0_F_S2_week10_S49_L001_R2_001	6886.0	106247.0
160R_L_F_S2_week10_S50_L001_R1_001	4573.0	102914.0
160R_L_F_S2_week10_S50_L001_R2_001	6162.0	101325.0
184R_0_F_NS6_week10_S65_L001_R1_001	4707.0	100960.0
184R_0_F_NS6_week10_S65_L001_R2_001	6572.0	99095.0
184R_L_F_NS6_week10_S66_L001_R1_001	5120.0	110429.0
184R_L_F_NS6_week10_S66_L001_R2_001	6751.0	108798.0
2403R_L_F_NS6_week10_S67_L001_R1_001	4957.0	115051.0
2403R_L_F_NS6_week10_S67_L001_R2_001	6613.0	113395.0
2446R_0_F_S2_week9_S55_L001_R1_001	5342.0	108792.0
2446R_0_F_S2_week9_S55_L001_R2_001	6697.0	107437.0
2472R_0_F_NS1_week10_S73_L001_R1_001	5406.0	117053.0
2472R_0_F_NS1_week10_S73_L001_R2_001	8500.0	113959.0
2472R_R_F_NS1_week10_S74_L001_R1_001	4916.0	104181.0
2472R_R_F_NS1_week10_S74_L001_R2_001	7375.0	101722.0
2506R_0_F_NS6_week10_S68_L001_R1_001	4559.0	97419.0
2506R_0_F_NS6_week10_S68_L001_R2_001	6012.0	95966.0
2518R_L_M_S5_week10_S61_L001_R1_001	4836.0	109407.0
2518R_L_M_S5_week10_S61_L001_R2_001	7820.0	106423.0
2518R_R_M_S5_week10_S62_L001_R1_001	4593.0	98938.0
2518R_R_M_S5_week10_S62_L001_R2_001	7226.0	96305.0
3752R_0_F_S5_week10_S59_L001_R1_001	4524.0	98959.0
3752R_0_F_S5_week10_S59_L001_R2_001	6966.0	96517.0
3752R_L_F_S5_week10_S60_L001_R1_001	4229.0	88013.0
3752R_L_F_S5_week10_S60_L001_R2_001	6389.0	85853.0
3795R_R_F_S2_week10_S51_L001_R1_001	5588.0	125882.0
3795R_R_F_S2_week10_S51_L001_R2_001	7062.0	124408.0
3874R_0_F_NS1_week10_S75_L001_R1_001	4823.0	102560.0
3874R_0_F_NS1_week10_S75_L001_R2_001	7131.0	100252.0
3874R_L_F_NS1_week10_S76_L001_R1_001	4520.0	91545.0
3874R_L_F_NS1_week10_S76_L001_R2_001	6481.0	89584.0
3893R_RL_M_S5_week10_S64_L001_R1_001	5152.0	91637.0
3893R_RL_M_S5_week10_S64_L001_R2_001	7462.0	89327.0
3893R_R_M_S5_week10_S63_L001_R1_001	4877.0	108038.0
3893R_R_M_S5_week10_S63_L001_R2_001	7601.0	105314.0
3894R_0_M_NS6_week10_S71_L001_R1_001	5278.0	106369.0
3894R_0_M_NS6_week10_S71_L001_R2_001	6463.0	105184.0
3896R_0_M_S2_week10_S52_L001_R1_001	4721.0	96590.0
3896R_0_M_S2_week10_S52_L001_R2_001	5774.0	95537.0
3896R_L_M_S2_week10_S53_L001_R1_001	5838.0	131830.0
3896R_L_M_S2_week10_S53_L001_R2_001	7796.0	129872.0
3909R_R_M_S2_week10_S54_L001_R1_001	5519.0	117247.0
3909R_R_M_S2_week10_S54_L001_R2_001	7067.0	115699.0
3974R_0_M_NS1_week10_S79_L001_R1_001	5016.0	106444.0
3974R_0_M_NS1_week10_S79_L001_R2_001	7570.0	103890.0
3974R_L_M_NS1_week10_S80_L001_R1_001	5232.0	113331.0
3974R_L_M_NS1_week10_S80_L001_R2_001	7908.0	110655.0
Positive_control_S89_L001_R1_001	5646.0	138905.0
Positive_control_S89_L001_R2_001	8822.0	135729.0
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	5910.0	110053.0
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	8351.0	107612.0
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	5727.0	99394.0
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	7406.0	97715.0
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	6026.0	102689.0
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	7301.0	101414.0
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	5273.0	93665.0
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	6635.0	92303.0
negative_control_S90_L001_R1_001	537.0	5721.0
negative_control_S90_L001_R2_001	732.0	5526.0
