"features"	"coefs"	"category"
"1"	"PWY.6676"	-4.47726628078128	"left"
"2"	"PWY.5419"	-3.5029369172303	"left"
"3"	"PWY.6143"	-3.37783324474134	"left"
"4"	"PWY.7013"	-3.28291557960605	"left"
"5"	"PWY.7373"	-2.58173700301783	"left"
"6"	"KETOGLUCONMET.PWY"	-2.46404105288569	"left"
"7"	"PWY.5420"	-2.40510252422571	"left"
"8"	"PWY.7237"	-2.37853158442902	"left"
"9"	"PWY.2201"	-2.3502406985711	"left"
"10"	"PWY.6148"	-2.34510271170451	"left"
"11"	"PWY.5920"	2.7245068692749	"right"
"12"	"ORNDEG.PWY"	2.89431224380496	"right"
"13"	"P281.PWY"	3.00815020815999	"right"
"14"	"ARGDEG.PWY"	3.0829836922567	"right"
"15"	"ORNARGDEG.PWY"	3.0829836922567	"right"
"16"	"HCAMHPDEG.PWY"	3.15327537490935	"right"
"17"	"PWY.6690"	3.15327537490935	"right"
"18"	"PWY.181"	4.01161018773142	"right"
"19"	"PWY.5265"	4.29807586258797	"right"
"20"	"PWY.1622"	5.81076906116793	"right"
