Pathways	Object ID	Ontology - pathway type	Key-Reactions	Reaction-List	EC-Number
PWY-7494	PWY-7494	AMINE-DEG // Super-Pathways		RXN-6268 // BADH-RXN // PWY-3721	EC-1.2.1.8
PWY-6610	PWY-6610	Nucleotide-Biosynthesis	ADENINE-DEAMINASE-RXN	ADENPRIBOSYLTRAN-RXN // ADENINE-DEAMINASE-RXN // HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.7 // EC-3.5.4.2 // EC-2.4.2.8
PWY-8490	PWY-8490	Glycan-Pathways // Carbohydrates-Biosynthesis		RXN-22507 // RXN-22506 // RXN-24316 // RXN-24315	EC-2.3.1 // EC-2.4.1.397 // EC-2.4.1
PWY-5203	PWY-5203	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-12320 // RXN-12319 // RXN-8086 // RXN-8084 // RXN-8083 // RXN-8085 // RXN-8082 // RXN-7570	EC-2.4.1.273 // EC-2.4.1.272 // EC-2.4.1.262 // EC-1.14.14.134 // EC-1.14.14.M31 // EC-5.4.99.39
PWY-6543	PWY-6543	AROMATIC-COMPOUNDS-BIOSYN		ADCLY-RXN // PABASYN-RXN	EC-4.1.3.38 // EC-2.6.1.85
PWY-5078	PWY-5078	Amino-Acid-Degradation		RXN-7694 // 4.1.1.72-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-1.1.1.1 // EC-4.1.1.72 // EC-2.6.1.42
PWY-2661	PWY-2661	Carbohydrates-Biosynthesis // Metabolic-Regulators	3.2.1.141-RXN	RXN-4301 // 3.2.1.141-RXN // 5.4.99.15-RXN	EC-3.2.1.68 // EC-3.2.1.141 // EC-5.4.99.15
PWY-6708	PWY-6708	Cofactor-Biosynthesis	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-2.5.1.39 // EC-4.1.1.98 // EC-1.14.13.240 // EC-2.1.1.222 // EC-1.14.13.M56 // EC-2.1.1.201 // EC-2.1.1.64 // EC-1.14.99.60
PWY-6955	PWY-6955	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-21217 // RXN-15789 // RXN-15791 // RXN-15792 // RXN-15793 // RXN-15794 // RXN-15795 // RXN-15790 // RXN-14812 // RXN-21211 // RXN-21212 // RXN-21216 // RXN-21215 // RXN-21214 // RXN-21213 // RXN-21210 // RXN-21209 // RXN-21208 // RXN-21207 // RXN-21206 // RXN-21205 // RXN-12852 // RXN-12851 // STIZOLOBINATE-SYNTHASE-RXN // RXN-12854 // RXN-12859 // RXN-12860	EC-2.2.1 // EC-5.3.1 // EC-2.7.1 // EC-3.1.3 // EC-2.7.7 // EC-2.1.1 // EC-3.5.1.115 // EC-1.11.2.6 // EC-1.13.11.30
PWY-8062	PWY-8062	Noncarbon-Nutrients		ACETALD-DEHYDROG-RXN // RXN-20702 // RXN-20701	EC-1.2.1.10 // EC-4.4.1.38 // EC-1.1.1.433
