	Pathways	Common-Name	Common-Name2	Classification	Object ID_x	Ontology - pathway type_x	Key-Reactions	Reaction-List	EC-Number	Object ID_y	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type_y	Ontology -  all instances of class
0	PWY-7494	Aspergillus fumigatus	Fungi	Non-Bacteria	PWY-7494	AMINE-DEG;Super-Pathways		RXN-6268;BADH-RXN;PWY-3721	EC-1.2.1.8	PWY-7494	choline degradation IV	MONOMER-18646 // MONOMER-18647	BADH-RXN // RXN-6268 // RXN-23577 // CHOLINE-OXIDASE-RXN	AMINE-DEG // Super-Pathways	
1	PWY-6610	"Schizosaccharomyces pombe,Saccharomyces cerevisiae,Cyberlindnera jadinii,Leishmania tropica species complex,Leishmania tarentolae,Leishmania mexicana species complex,Leishmania donovani species complex,Leishmania braziliensis,Crithidia fasciculata,Bacillus subtilis,Azotobacter vinelandii"	"Euglenozoa,Fungi,Archaea,Bacteria <bacteria>"	Bacteria	PWY-6610	Nucleotide-Biosynthesis	ADENINE-DEAMINASE-RXN	ADENPRIBOSYLTRAN-RXN;ADENINE-DEAMINASE-RXN;HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.7;EC-3.5.4.2;EC-2.4.2.8	PWY-6610	adenine salvage	CPLX-8140 // BSU14520-MONOMER // CPLX-8141	ADENPRIBOSYLTRAN-RXN // ADENINE-DEAMINASE-RXN // HYPOXANPRIBOSYLTRAN-RXN	Nucleotide-Biosynthesis	
2	PWY-8490	"Brucella abortus,Thermoanaerobacter italicus"	Bacteria <bacteria>	Bacteria	PWY-8490	Glycan-Pathways;Carbohydrates-Biosynthesis		RXN-22507;RXN-22506;RXN-24316;RXN-24315	EC-2.3.1;EC-2.4.1.397;EC-2.4.1	PWY-8490	"cyclic &beta;-1,2-glucan biosynthesis"	BAB_RS16445-MONOMER // BAB_RS24135-MONOMER	RXN-22507 // RXN-22506 // RXN-24316 // RXN-24315	Glycan-Pathways // Carbohydrates-Biosynthesis	
3	PWY-5203	"Glycine max,Glycyrrhiza echinata,Glycyrrhiza glabra,Medicago truncatula,Panax ginseng"	Magnoliopsida	Non-Bacteria	PWY-5203	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-12320;RXN-12319;RXN-8086;RXN-8084;RXN-8083;RXN-8085;RXN-8082;RXN-7570	EC-2.4.1.273;EC-2.4.1.272;EC-2.4.1.262;EC-1.14.14.134;EC-1.14.14.M31;EC-5.4.99.39	PWY-5203	soybean saponin I biosynthesis	MONOMER-12194 // MONOMER-12195 // MONOMER-12196 // MONOMER-20538 // MONOMER-12197 // MONOMER-12198 // MONOMER-16512 // MONOMER-16513	RXN-12320 // RXN-12319 // RXN-8086 // RXN-8084 // RXN-8083 // RXN-8085 // RXN-8082 // RXN-7570	SECONDARY-METABOLITE-BIOSYNTHESIS	
4	PWY-6543	"Escherichia coli,Glycine max,Oryza sativa,Solanum lycopersicum,Streptomyces griseus,Arabidopsis thaliana"	"Fungi,Archaea,Bacteria <bacteria>,Viridiplantae"	Bacteria	PWY-6543	AROMATIC-COMPOUNDS-BIOSYN		ADCLY-RXN;PABASYN-RXN	EC-4.1.3.38;EC-2.6.1.85	PWY-6543	4-aminobenzoate biosynthesis I // pABA biosynthesis I // plastidial PABA biosynthesis // PABA biosynthesis in plastids // <i>p</i>-aminobenzoate biosynthesis I	MONOMER-8741 // AT2G28880-MONOMER // MONOMER-16235 // PABASYN-CPLX // CPLX-5401 // AT5G57850-MONOMER // ADCLY-CPLX	ADCLY-RXN // PABASYN-RXN	AROMATIC-COMPOUNDS-BIOSYN	
5	PWY-5078	Saccharomyces cerevisiae	Fungi	Non-Bacteria	PWY-5078	Amino-Acid-Degradation		RXN-7694;4.1.1.72-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-1.1.1.1;EC-4.1.1.72;EC-2.6.1.42	PWY-5078	L-isoleucine degradation II // Ehrlich pathway	CPLX-6954 // CPLX3O-110 // CPLX3O-71 // CPLX3O-58 // CPLX3O-67 // CPLX3O-118 // CPLX-7009 // CPLX-8687 // CPLX-8688 // CPLX-8689 // CPLX-8690 // CPLX-8693	RXN-7694 // 4.1.1.72-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Amino-Acid-Degradation	
6	PWY-2661	"Mycobacterium tuberculosis,Arthrobacter sp. Q36,Azorhizobium caulinodans,Bradyrhizobium elkanii,Bradyrhizobium japonicum,Brevibacterium helvolum,Rhizobiaceae,Rhizobium leguminosarum,Rhizobium tropici,Sinorhizobium fredii,Sulfolobus acidocaldarius,Sinorhizobium meliloti Rm2011"	"Archaea,Bacteria <bacteria>"	Bacteria	PWY-2661	Carbohydrates-Biosynthesis;Metabolic-Regulators	3.2.1.141-RXN	RXN-4301;3.2.1.141-RXN;5.4.99.15-RXN	EC-3.2.1.68;EC-3.2.1.141;EC-5.4.99.15	PWY-2661	trehalose biosynthesis V	MONOMER-5701 // MONOMER-6021 // MONOMER-5702 // MONOMER-6022 // MONOMER-5703	RXN-4301 // 3.2.1.141-RXN // 5.4.99.15-RXN	Carbohydrates-Biosynthesis // Metabolic-Regulators	
7	PWY-6708	"Acinetobacter calcoaceticus,Acinetobacter lwoffii,Aeromonas caviae,Aeromonas hydrophila,Allochromatium vinosum,Azotobacter chroococcum,Azotobacter vinelandii,Bordetella pertussis,Citrobacter freundii,Cupriavidus necator,Escherichia coli,Halorhodospira halophila,Klebsiella aerogenes,Neisseria meningitidis,Proteus mirabilis,Proteus vulgaris,Rubrivivax gelatinosus,Salinivibrio costicola,Serratia marcescens,Stenotrophomonas maltophilia,Xanthomonas citri,Xanthomonas oryzae"	Bacteria <bacteria>	Bacteria	PWY-6708	Cofactor-Biosynthesis	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN;3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN;2-OCTAPRENYLPHENOL-HYDROX-RXN;2-OCTAPRENYL-6-OHPHENOL-METHY-RXN;2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN;2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN;DHHB-METHYLTRANSFER-RXN;OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-2.5.1.39;EC-4.1.1.98;EC-1.14.13.240;EC-2.1.1.222;EC-1.14.13.M56;EC-2.1.1.201;EC-2.1.1.64;EC-1.14.99.60	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER // OCTAPRENYL-METHOXYPHENOL-OH-MONOMER // DHHB-METHYLTRANSFER-MONOMER // MONOMER-20131 // EG11333-MONOMER // CPLX0-301 // 4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	Cofactor-Biosynthesis	
8	PWY-6955	Streptomyces lincolnensis	Bacteria <bacteria>	Bacteria	PWY-6955	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-21217;RXN-15789;RXN-15791;RXN-15792;RXN-15793;RXN-15794;RXN-15795;RXN-15790;RXN-14812;RXN-21211;RXN-21212;RXN-21216;RXN-21215;RXN-21214;RXN-21213;RXN-21210;RXN-21209;RXN-21208;RXN-21207;RXN-21206;RXN-21205;RXN-12852;RXN-12851;STIZOLOBINATE-SYNTHASE-RXN;RXN-12854;RXN-12859;RXN-12860	EC-2.2.1;EC-5.3.1;EC-2.7.1;EC-3.1.3;EC-2.7.7;EC-2.1.1;EC-3.5.1.115;EC-1.11.2.6;EC-1.13.11.30	PWY-6955	lincomycin A biosynthesis	CPLX-9472 // CPLX-8400 // MONOMER-21100 // CPLX-9474 // MONOMER-21093 // MONOMER-21095 // MONOMER-21096 // MONOMER-17012 // MONOMER-21099 // MONOMER-21103 // MONOMER-21101 // MONOMER-21102 // MONOMER-21105 // MONOMER-21104 // MONOMER-18842 // MONOMER-18841 // MONOMER-18843 // MONOMER-18840 // MONOMER-18839 // CPLX-85453	RXN-21217 // RXN-15789 // RXN-15791 // RXN-15792 // RXN-15793 // RXN-15794 // RXN-15795 // RXN-15790 // RXN-14812 // RXN-21211 // RXN-21212 // RXN-21216 // RXN-21215 // RXN-21214 // RXN-21213 // RXN-21210 // RXN-21209 // RXN-21208 // RXN-21207 // RXN-21206 // RXN-21205 // RXN-12852 // RXN-12851 // STIZOLOBINATE-SYNTHASE-RXN // RXN-12854 // RXN-12859 // RXN-12860	SECONDARY-METABOLITE-BIOSYNTHESIS	
9	PWY-8062	"Bacteroidales bacterium Barb6XT,Bifidobacterium tissieri,Bilophila wadsworthia,Desulfitobacterium dehalogenans,Desulfotomaculum nigrificans,Oleidesulfovibrio alaskensis,Desulfovibrio desulfuricans,Desulfovibrio fairfieldensis,Desulfovibrio piger,Nitratidesulfovibrio termitidis,Nitratidesulfovibrio vulgaris,Paenibacillus borealis,Propionispora vibrioides,Sporomusa silvacetica"	Bacteria <bacteria>	Bacteria	PWY-8062	Noncarbon-Nutrients		ACETALD-DEHYDROG-RXN;RXN-20702;RXN-20701	EC-1.2.1.10;EC-4.4.1.38;EC-1.1.1.433	PWY-8062	sulfoacetaldehyde degradation IV	MONOMER-20850 // MONOMER-20851 // MONOMER-20853	ACETALD-DEHYDROG-RXN // RXN-20702 // RXN-20701	Noncarbon-Nutrients	
