pathway	Plate1_1002R_0_M_NS6_week10_S69_L001	Plate1_1002R_L_M_NS6_week10_S70_L001	Plate1_1075R_0_M_NS6_week9_S72_L001	Plate1_184R_0_F_NS6_week10_S65_L001	Plate1_184R_L_F_NS6_week10_S66_L001	Plate1_2403R_L_F_NS6_week10_S67_L001	Plate1_2506R_0_F_NS6_week10_S68_L001	Plate1_3894R_0_M_NS6_week10_S71_L001	Plate2_016R_0_F_NS6_week9_S79_L001	Plate2_1075R_L_M_NS6_week9_S84_L001	Plate2_1184R_0_M_NS6_week9_S85_L001	Plate2_1186R_0_M_NS6_week9_S86_L001	Plate2_1186R_RR_M_NS6_week9_S87_L001	Plate2_184R_0_M_NS6_week9_S88_L001	Plate2_2403R_0_F_NS6_week9_S80_L001	Plate2_2476R_R_F_NS6_week9_S81_L001	Plate2_2562R_0_F_NS6_week9_S82_L001	Plate2_2562R_RL_F_NS6_week9_S83_L001	Plate3_016R_0_F_NS6_week5_S1_L001	Plate3_016R_R_F_NS6_Pellet_week9_S2_L001	Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001	Plate4_016R_R_F_NS6_week5_S1_L001	Plate4_1075R_0_M_NS6_week5_S2_L001	Plate4_1075R_RL_M_NS6_week5_S3_L001	Plate4_1184R_0_M_NS6_week5_S4_L001	Plate4_1186R_0_M_NS6_week5_S5_L001	Plate4_1186R_RR_M_NS6_week5_S6_L001	Plate4_184R_0_M_NS6_week5_S7_L001	Plate4_2403R_0_F_NS6_week5_S8_L001	Plate4_2476R_R_F_NS6_week5_S9_L001	Plate4_2562R_0_F_NS6_week5_S10_L001	Plate4_2562R_RL_F_NS6_week5_S11_L001
1CMET2-PWY	0.28026000861412803	0.0	2.346147999528101e-10	2.5085990946059245e-09	0.0	0.0	6.999999999999959e-15	0.14342801636835809	0.6078872872956194	0.0	4.637886755413394e-08	1.318896095071175e-08	6.966007995823264e-10	0.15828713380234824	0.0	0.0	0.875611498674892	0.9650652166661876	0.1414226485345993	2.0999999999999963e-15	8.95999999999931e-14	4.848199999979193e-12	0.97542024799023	0.001191801577550211	0.5588349566299261	7.374856092148944e-06	0.001526075280528587	8.500214231175823e-05	0.2635676764805561	0.018633042045646312	0.8862310447615535	0.013474390923413095
ANAGLYCOLYSIS-PWY	0.3927216756332822	0.9580475955569427	0.0	0.7611278965769152	3.922249937537974e-09	0.8732888122262943	0.9999709799724313	0.0	0.17097376748195528	0.00024475711496270636	1.841390927914772e-08	0.25175486399997465	0.26124056976866233	0.0	0.999759515375108	0.9937842146023182	0.9498052258676466	0.08502880524890223	0.07200611303904142	0.41426834930167533	9.367837170298044e-06	0.029956970987490738	2.434797895389146e-09	0.00014552767589152258	8.494480463784621e-08	0.9607575131395362	0.6671956849708195	0.029124071938963277	0.026767576364549003	5.957999999997166e-13	6.434664717796181e-09	0.0
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.199999999884251e-15	6.859999999993127e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.113839384746202e-06	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	0.5873732841292958	0.9326240822418699	0.860336535884192	0.9972399245927828	0.7143242937869917	0.9311621125131707	0.3562695078990639	0.7105661747937526	0.9591215096371591	0.8676762810446772	0.7259367918326776	0.7420977508371926	0.7271934067305582	0.7079771077945982	0.12815744106303253	0.6480630420197231	0.8513455271060885	0.9811991439854034	0.5954522471456088	0.9920836248692569	0.9439479583683686	0.8855726058045289	0.8771031716495935	0.9450815344571002	0.9202687219131247	0.8241059118634612	0.7639740173309615	0.9257607321960281	0.6542806112534844	0.6193876629778307	0.833035227436959	0.7740060704449471
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.059999999999953e-14
COA-PWY	1.7254103979644645e-09	4.475008543793628e-06	0.0	0.5054638235819844	7.373663996244455e-10	4.53950348113687e-05	0.6687160112578797	0.0	6.099999999999807e-14	7.310205923803787e-05	4.140015588894641e-09	0.0	0.0	0.0	0.6345192507163006	0.00014187732030523502	3.621040734399978e-08	0.024289383377201035	1.4677086224394443e-05	0.07667384597911861	2.0309281711419895e-06	0.035905607219265834	1.4377619998956385e-10	0.00014674086008698112	8.623708405439945e-08	0.00045255971278479625	0.000481189556855638	0.017005891357150894	0.0024440638646019987	2e-16	3.599999999999994e-15	0.0
COBALSYN-PWY	0.0	2.8191999999973508e-12	0.0	0.005000633794548386	0.0	1.7867999999893573e-11	0.026742350043805485	0.0	0.0	8.519447158058158e-08	2e-16	0.0	0.0	0.0	0.09772683647491139	2.0805999999985567e-12	2.1999999999999983e-15	5.9120050066509827e-05	8.361121997669004e-10	9.19746411585459e-05	5.981693998807312e-10	0.00048419447598689906	0.0	1.325479030810351e-08	4.0217999999946085e-12	3.0705823999695966e-06	1.95762121163816e-06	3.267718173926548e-05	0.00012273834657679293	0.0	0.0	0.0
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00396962165773767	0.0	0.0	0.0	0.0	0.0	4.009499999998548e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.595886623632748e-05	0.0	9.584999999999273e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999993	1.0	1.0	1.0	1.0	1.0	0.9999999992892383	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FASYN-ELONG-PWY	0.9999990439897362	0.0	0.07964102327894006	0.0	0.0	0.0	0.0	0.2038827582117639	0.0	0.0	0.0	0.0	0.0	0.26102327730896097	0.0	0.0	5.2795999999790945e-12	8.709019530902534e-05	0.9995640057285309	0.0	0.0	3.59999999999999e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999125	0.9999999999999865	0.0	1.1792568695701491e-08
FASYN-INITIAL-PWY	0.00026233204415709307	0.0	5.5437499996974305e-12	0.0	0.0	0.0	0.0	0.13797465331528994	0.0	0.0	0.0	0.0	0.0	0.1808409332154123	0.0	0.0	1.4996591425541574e-15	5.411949634580188e-05	1.9499999999999772e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4642617922589039	0.1311408227036531	0.0	7.370355411221538e-09
GALACT-GLUCUROCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9932000678099677	0.0	0.0	0.0	0.0	0.0	0.8553362207605364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3132431488492946e-11	4.44155844155832e-16	0.0	0.0	0.0	0.0	5.8499999999990794e-15	1.4732999761687432e-12	0.0	1.9924199999561674e-11
GALACTUROCAT-PWY	0.00021309982124972617	0.0	0.9999999967668796	0.0	0.3931762587725542	0.08557951947304179	0.0	0.9996855806095116	0.6451480680685329	0.8589186778430877	0.9996037781056323	0.9999999999999531	1.0	1.0	0.0	0.5237197201283585	6.584635813689942e-06	0.004287471025625277	1.8906774997855201e-10	0.524407089986747	0.9999688967895534	0.006744636057812674	9.664099999439631e-11	0.004520487799577662	6.837999999971945e-12	3.840999999991148e-12	0.00014508763510829133	0.0	0.040305051762023064	0.9999252571762921	8.722038568060204e-07	0.7105874704499436
GLUCOSE1PMETAB-PWY	1.0	1.0	1.0	0.9999844235648109	1.0	1.0	0.99999995927392	1.0	0.9999999999999942	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GLUCUROCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.269284379872671e-06	1.1399999999999914e-14	1.0701509999236516e-10	0.0	0.0	0.0	0.01681483963386065	3.0362096185403448e-05	0.0	0.6098437826173696
GLUTORN-PWY	0.0	0.0	0.0	0.0008719338904369402	0.0	0.0	0.14629633281661042	0.0	0.0	0.0	7.30174999994732e-12	0.0	0.0	8.624999999992571e-13	0.0	0.0	0.0	0.0	0.0001673207558291994	0.0	0.0	0.0	0.0	0.0	0.09856354899159504	0.0	0.0	2.024478116980763e-08	0.0	0.0	0.0	4.999999999999998e-16
GLYCOCAT-PWY	0.99992536660133	0.9999999992319546	0.4303903258317225	0.9999937276648764	0.28942469035458274	0.9999999998907225	1.0	4.979938704015092e-07	0.9999999725898546	0.7414983969541684	0.3348165884732869	0.9999971511799869	0.9999573644634288	0.003907536061967912	1.0	1.0	0.9999999999999896	0.9867626536505205	0.9634424366977528	0.9999509670022442	0.7743213933253791	0.767177977431278	0.3804961109002109	0.780031296422377	0.5074081242984495	0.9999999962348469	0.9999439851567353	0.999106435629155	0.6743091068515359	9.164081165829748e-05	0.9168197550402468	5.1646158825796e-06
GLYCOGENSYNTH-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.992597162245513e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.427537113019428e-13	0.0
HISTSYN-PWY	0.3572688257022851	0.8177218168303388	0.6759232105048035	0.9904271795112234	0.6226532199062538	0.9014439043249505	0.12724139581525698	0.6178933637975069	0.9277636599727136	0.8011191777156701	0.5921701303543013	0.5846753150748454	0.59008027780145	0.5846041733249551	0.03622925410492909	0.3367196029558001	0.6251765308808737	0.9643786521419521	0.3984819897683963	0.9823467858006536	0.9158920916428267	0.7585735142317173	0.5853045516424182	0.8325715086094234	0.7559795129749001	0.5852463016488095	0.502970342423242	0.7360997488078566	0.5432679130712924	0.4640029010822033	0.5330291060132704	0.6518734765242253
