pathway	Plate1_1002R_0_M_NS6_week10_S69_L001	Plate1_1002R_L_M_NS6_week10_S70_L001	Plate1_1075R_0_M_NS6_week9_S72_L001	Plate1_184R_0_F_NS6_week10_S65_L001	Plate1_184R_L_F_NS6_week10_S66_L001	Plate1_2403R_L_F_NS6_week10_S67_L001	Plate1_2506R_0_F_NS6_week10_S68_L001	Plate1_3894R_0_M_NS6_week10_S71_L001	Plate2_016R_0_F_NS6_week9_S79_L001	Plate2_1075R_L_M_NS6_week9_S84_L001	Plate2_1184R_0_M_NS6_week9_S85_L001	Plate2_1186R_0_M_NS6_week9_S86_L001	Plate2_1186R_RR_M_NS6_week9_S87_L001	Plate2_184R_0_M_NS6_week9_S88_L001	Plate2_2403R_0_F_NS6_week9_S80_L001	Plate2_2476R_R_F_NS6_week9_S81_L001	Plate2_2562R_0_F_NS6_week9_S82_L001	Plate2_2562R_RL_F_NS6_week9_S83_L001	Plate3_016R_0_F_NS6_week5_S1_L001	Plate3_016R_R_F_NS6_Pellet_week9_S2_L001	Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001	Plate4_016R_R_F_NS6_week5_S1_L001	Plate4_1075R_0_M_NS6_week5_S2_L001	Plate4_1075R_RL_M_NS6_week5_S3_L001	Plate4_1184R_0_M_NS6_week5_S4_L001	Plate4_1186R_0_M_NS6_week5_S5_L001	Plate4_1186R_RR_M_NS6_week5_S6_L001	Plate4_184R_0_M_NS6_week5_S7_L001	Plate4_2403R_0_F_NS6_week5_S8_L001	Plate4_2476R_R_F_NS6_week5_S9_L001	Plate4_2562R_0_F_NS6_week5_S10_L001	Plate4_2562R_RL_F_NS6_week5_S11_L001
1CMET2-PWY	20459.306708992768	18403.17747822353	16731.302375782117	17485.27943013127	19481.064068212487	20648.184523984793	14951.113374432585	17972.854030180348	20437.52122377622	19198.61457428536	21387.649639921478	20324.9808551098	20970.011505950184	22908.29625138019	19496.455518341303	19428.27413507545	18418.657430376636	18283.0153821617	14200.26375046006	15306.306302294199	15306.969766899767	11180.769260826894	9256.937603361548	12566.250107348793	9752.3136155073	9772.638178137655	11017.713762115076	9541.048147466568	11357.462767145136	10363.825222672069	10453.137970187705	9634.556117040855
AEROBACTINSYN-PWY	187.57	84.43	80.43	64.43	86.14	58.43	516.43	97.86	80.43	56.29	24.29	70.0	60.71	60.57	91.0	114.57	66.43	62.86	423.0	44.86	45.14	200.57	58.57	136.43	272.14	206.28	134.57	26.0	124.57	112.14	240.57	54.0
ALL-CHORISMATE-PWY	217.55330855018585	97.92624535315986	93.28684014869889	74.72921933085503	99.90959107806691	67.77011152416357	598.9820074349443	113.50304832713755	93.28684014869889	65.28802973977695	28.172788104089218	81.18959107806691	70.41457249070632	70.25219330855019	105.54646840148699	132.88416356877323	77.04892193308551	72.90825278810408	490.6171003717472	52.03092936802974	52.355687732342005	232.63137546468403	67.9324907063197	158.2385130111524	315.6419330855019	239.25412639405204	156.08118959107807	30.156133828996282	144.48267657992562	130.06572490706318	279.0254275092937	62.63197026022305
ANAEROFRUCAT-PWY	3827.8400980285555	3630.6366931861626	2125.3440157168566	2282.318198116664	3313.2257944598928	3538.375757662601	3074.7103843880973	4002.2497454803683	4861.125234559983	2641.7344505794276	3264.896131842634	6025.896175236951	6334.019612367666	5016.800790376396	2827.3877805162915	3051.396976916171	2747.4170465187626	2066.200724433455	2843.4402075412513	1730.074120567647	2917.3225233672915	1351.6288260408933	1584.265570120594	2003.1470941284997	2077.8648547091793	1889.5225321784442	1898.9466998291875	1064.2432617462377	2166.555258011246	1553.3947961710155	1825.8762515957417	1492.536797012832
ANAGLYCOLYSIS-PWY	25566.777188339718	22788.77203963111	18479.13997551824	20944.85970193168	22528.37749789797	24722.517329062193	19542.957651958353	20510.771593901958	24229.168977762372	22332.43678638898	24794.04011057238	25091.86741561678	25971.811727594053	25808.959469998692	24823.296036341595	24247.315946104223	23083.941077917738	21905.677502102586	17295.54787908478	17775.584520610108	17119.41128656057	13220.80309405386	10616.7987036015	14840.40457231723	11360.185773777877	12231.599287106586	13580.064138413227	11318.166378247106	13958.239234909492	11823.795213359563	12140.776077255867	10693.05838205212
ARG+POLYAMINE-SYN	221.39409836065573	99.65508196721312	94.93377049180329	76.04852459016394	101.67344262295082	68.96655737704918	609.5567213114754	115.50688524590164	94.93377049180329	66.44065573770492	28.670163934426228	82.62295081967213	71.65770491803279	71.49245901639344	107.40983606557377	135.23016393442623	78.40918032786885	74.19540983606556	499.2786885245902	52.94950819672131	53.28	236.7383606557377	69.13180327868852	161.03213114754098	321.2144262295082	243.47803278688525	158.83672131147543	30.688524590163933	147.03344262295082	132.36196721311475	283.95147540983606	63.73770491803278
ARGDEG-PWY	250.0933333333333	112.57333333333334	107.24000000000001	85.90666666666667	114.85333333333332	77.90666666666667	688.5733333333333	130.48	107.24000000000001	75.05333333333333	32.38666666666666	93.33333333333333	80.94666666666666	80.75999999999999	121.33333333333333	152.76	88.57333333333334	83.81333333333333	564.0	59.81333333333333	60.18666666666667	267.4266666666667	78.09333333333333	181.90666666666664	362.85333333333335	275.04	179.42666666666668	34.666666666666664	166.0933333333333	149.51999999999998	320.76	72.0
ARGORNPROST-PWY	22.545454545454547	13.818181818181818	6.909090909090909	4.0	0.0	4.7272727272727275	44.0	8.727272727272727	4.7272727272727275	2.909090909090909	8.363636363636363	4.0	6.181818181818182	12.363636363636363	5.818181818181818	7.636363636363637	8.727272727272727	0.0	110.13636363636364	5.090909090909091	4.7272727272727275	77.45454545454545	42.54545454545455	42.54545454545455	27.272727272727273	35.63636363636364	41.09090909090909	17.81818181818182	21.09090909090909	41.09090909090909	28.727272727272727	13.454545454545455
ARGSYN-PWY	8674.381104299666	7713.310631915466	6266.055926748956	8410.643027369231	6700.704419835499	7282.466600096529	7639.082642698838	7759.353826473264	8125.144743529479	5441.1885924534745	5810.85125445409	7477.173775745473	7602.311126048235	8491.768340688215	7374.15294981402	5508.530537214736	7289.243071148433	6695.103191556135	6893.616274923911	5105.615389536315	5454.5873352962835	3863.284531431899	4117.9686019288465	4884.10823224206	4878.7765149020115	3977.6417664541505	3651.3838689352865	4624.560093705898	4935.242341591385	3868.012976506408	4760.819519113457	3839.449073624802
ARGSYNBSUB-PWY	9807.29122440543	8717.09840157612	7038.779149277257	9549.530467837107	7557.487055997056	8202.550152879421	8669.474957713153	8766.927428637759	9164.911108359982	6138.556335458685	6539.411289977939	8430.279903977322	8578.524843456658	9582.036327505484	8339.611397500319	6224.872395699357	8246.474908907028	7580.168702093608	7804.376632353365	5762.818242860363	6150.147578225967	4369.567713769719	4649.906691070368	5518.569523347139	5510.2650702513865	4502.13653205091	4124.782872221967	5230.6051887562035	5596.794608035472	4361.92438860023	5371.761986488212	4325.305418582107
ARO-PWY	9085.12405448718	8097.989919871793	6511.788092948717	9030.627323717948	6984.083106060605	7433.736907051281	9180.035048076921	8108.457564102564	8335.246137820512	5705.451346153846	6155.151137820513	7758.442115384614	7909.520877039627	8841.388279428906	9047.632948717948	6381.644038461538	7991.669168123543	6987.332625291375	7167.1162660256405	5322.4501923076905	5721.407275641025	4086.9813782051283	4521.840326340326	5207.855150058275	5130.157198426573	4429.991614219114	4070.780753205128	5053.111201923077	5212.928717948717	3948.0596357808854	5200.546764277389	3922.2087485431234
ASPASN-PWY	18853.708919629385	17125.405862960568	17447.15777203189	14405.945688429218	20096.837150614087	19780.33148761043	13435.458002585654	17907.683950872655	19237.77995130359	20423.264812324927	23609.93948545571	21091.477890971775	21899.685635854345	23536.43490239173	19483.287002801124	21235.285079508725	17912.69165266107	17435.057139840552	12134.57991682827	15078.321797888382	15721.622121956476	11124.987815987935	9198.89887653523	12461.245397974575	8962.82697823745	9548.64728420599	11431.9364081017	8487.442431372549	10390.371309631544	10812.826797672915	10543.459044602454	9963.451824175821
