pathway	Plate1_1002R_0_M_NS6_week10_S69_L001	Plate1_1002R_L_M_NS6_week10_S70_L001	Plate1_1075R_0_M_NS6_week9_S72_L001	Plate1_184R_0_F_NS6_week10_S65_L001	Plate1_184R_L_F_NS6_week10_S66_L001	Plate1_2403R_L_F_NS6_week10_S67_L001	Plate1_2506R_0_F_NS6_week10_S68_L001	Plate1_3894R_0_M_NS6_week10_S71_L001	Plate2_016R_0_F_NS6_week9_S79_L001	Plate2_1075R_L_M_NS6_week9_S84_L001	Plate2_1184R_0_M_NS6_week9_S85_L001	Plate2_1186R_0_M_NS6_week9_S86_L001	Plate2_1186R_RR_M_NS6_week9_S87_L001	Plate2_184R_0_M_NS6_week9_S88_L001	Plate2_2403R_0_F_NS6_week9_S80_L001	Plate2_2476R_R_F_NS6_week9_S81_L001	Plate2_2562R_0_F_NS6_week9_S82_L001	Plate2_2562R_RL_F_NS6_week9_S83_L001	Plate3_016R_0_F_NS6_week5_S1_L001	Plate3_016R_R_F_NS6_Pellet_week9_S2_L001	Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001	Plate4_016R_R_F_NS6_week5_S1_L001	Plate4_1075R_0_M_NS6_week5_S2_L001	Plate4_1075R_RL_M_NS6_week5_S3_L001	Plate4_1184R_0_M_NS6_week5_S4_L001	Plate4_1186R_0_M_NS6_week5_S5_L001	Plate4_1186R_RR_M_NS6_week5_S6_L001	Plate4_184R_0_M_NS6_week5_S7_L001	Plate4_2403R_0_F_NS6_week5_S8_L001	Plate4_2476R_R_F_NS6_week5_S9_L001	Plate4_2562R_0_F_NS6_week5_S10_L001	Plate4_2562R_RL_F_NS6_week5_S11_L001
1CMET2-PWY	21056.647762313394	18670.305132559137	17246.442769317702	17908.00994016895	19855.121229436052	20655.365783103603	15892.080909995828	18546.47928393072	20858.415097344412	19567.333395500893	22032.257709235713	20840.708158966663	21522.561654566853	23508.55483226208	20322.38130240631	20131.914752506284	19238.489117576457	18790.015854475983	14558.749245794168	15481.416609562228	15684.868854655897	11392.628019915173	9763.78895977027	12968.126140393197	10087.827883165972	10164.317143843915	11458.63711196861	9923.580082714252	11675.77100723177	10663.560829774422	11022.541045921847	9910.269508127143
AEROBACTINSYN-PWY	187.57	84.43	80.43	64.43	86.14	58.42999999999999	516.43	97.86	80.43	56.29	24.29	70.0	60.709999999999994	60.57	91.0	114.56999999999998	66.43	62.86000000000001	423.0	44.86	45.14	200.57000000000002	58.56999999999999	136.43	272.14	206.28	134.57	26.0	124.57000000000001	112.14	240.57	54.0
ALL-CHORISMATE-PWY	4873.52960195676	3104.313083427988	2741.4430327796786	2577.5010546744816	3308.621148588723	2523.421092597405	5788.127018983479	3307.013974493211	3086.6684707154523	2255.6638608771705	1270.1341500723263	2829.967070810017	2519.4853475024215	2866.187291982655	3211.547860056111	3507.3887760680536	2835.92693162383	2763.494345161776	4624.244155215816	1897.2552434807067	1875.4621147018802	2953.870013144306	1863.161901035806	3200.7560693632104	3503.455104908756	2883.1182336729944	2605.9773430771447	1162.95805462438	2738.237415934792	2600.7349716735093	3504.5582809634525	1814.6741255289878
ANAEROFRUCAT-PWY	14439.479914633672	13229.646092849505	13343.080335195182	11764.52272438862	14651.410714847336	12515.839356852284	11529.448436264378	16604.10822504643	15747.204047961826	13748.703013966753	16658.65713019132	17519.73403639702	18252.30591233752	19447.071783366002	13644.485995862702	12938.409539965156	12175.973892626478	11494.266056239492	10233.194456840565	9338.306993419596	11788.676029825023	7429.7124408757245	8724.588913597741	10204.201691476213	8958.193055970207	6976.8979027781525	7924.685478975125	7283.399014188119	8957.305747066717	8702.661489740194	9609.17100868962	8564.80869277631
ANAGLYCOLYSIS-PWY	27548.239502181783	24663.804716793686	21783.15970597734	23215.157337275148	25420.514631315782	26698.796937753432	21415.30551345486	23901.9498964808	26922.31669994909	24857.261528786978	27912.748756259905	27393.675970753524	28317.05908314681	29923.99590854464	27219.42990967916	26119.44145915583	25145.122319557722	24065.300985408936	18786.43716829736	19674.157624470285	19551.359369247642	14616.321749306688	12662.167580370877	16811.327909309966	13180.62254021032	13337.026306586467	14834.202704180254	12972.346752596586	15258.536433031362	13666.96615072354	14340.403771556046	12703.676618510346
ARG+POLYAMINE-SYN	1500.2360484258618	1014.3725208221266	1407.3543292865374	1120.5687695517793	728.4995249636272	1312.5765940241604	3776.564799796074	705.4513002866669	1235.3674800816805	570.6764375932581	494.9788637837435	1099.8490187518928	926.4331644119354	1395.3308231568785	3499.422416016942	1957.0859235354387	1805.1056311790396	646.8815067301623	1639.7519229177751	857.1225724881547	576.6919724657643	782.9723178819542	834.364746463576	784.8080597794238	1015.9179449965461	1459.78744056793	1127.9996815498514	858.1641015421081	482.80666549012756	448.69546357863544	1561.3018461479337	316.3843133284478
ARGDEG-PWY	355.38280797728714	163.80346048157446	154.77825618761344	126.138569988654	168.87085743739652	114.02312886784294	910.7751953238803	191.95151739631052	157.1529474018401	110.70863407568001	48.294333501896624	137.69418216027128	119.80378842261504	119.83899896614042	175.49751207822217	218.34315841559166	126.19925019478322	122.88149068822396	747.2318722587427	87.56736268101324	89.13207340661084	364.7550550447293	113.78190911551036	259.95502829117453	497.9856807431187	367.1101983387247	251.31013940089062	50.93835356811747	238.15935810176188	211.0357179744454	432.90012187761687	104.90686570719278
ARGORNPROST-PWY	813.4574577451546	905.290337454902	996.1713704024712	871.1122336872331	276.08309717809476	330.33327386724244	1954.8898751519728	393.92161775259325	150.19073554545824	225.55040980666158	392.5342278818726	430.4565332398157	425.85752064307786	272.3871143414746	1955.7869127208928	1574.5182044258356	1558.5135163110588	210.17805441739657	376.3165113716481	392.39495561654695	212.80648511281214	366.61242089270746	926.074850972095	570.5262473242332	369.0318049632358	927.5907222928854	741.2235143631775	961.3235098041642	127.53823609129499	227.79514438028028	1233.9821586686967	168.80079002159988
ARGSYN-PWY	18178.033996715913	16496.71199080478	14323.094249403308	14925.77544135002	16089.068424622426	17234.699191682357	13072.316099717498	16215.652159248544	17848.134948698695	14645.52147696528	15856.663736962068	17237.44774643088	17656.30123223807	19428.699779440303	17288.365584014926	15071.4513273881	16372.583446931623	15721.010937969308	12637.380911188735	12573.38567349855	12738.573237027294	9455.643879787634	8520.070457625901	11060.64130555041	9114.343887164401	8718.815320870664	9094.6210113913	8521.1179170006	10157.604574201387	8933.124236973872	9749.369327234108	8432.39217645111
ARGSYNBSUB-PWY	16016.205840483464	14334.45595224313	12455.149313495034	14591.725160781163	13221.651938019799	14106.149985869439	13864.848676780503	14334.658155240173	15281.977312318992	11431.967548178456	12518.233967676397	14810.581223020059	15212.28810813535	16501.67358067959	15073.287334739149	12461.550303494683	14482.858088404664	12851.730656528112	11897.325069484159	10172.531008142889	10595.036171431424	7673.801269845319	7790.638851465513	9396.885034588986	8463.39298194461	7822.5475803070785	7649.406043007977	8279.550537284278	8824.956455914524	7719.701015070584	9090.342080289389	7436.715659686334
