	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-7316	Week_and_consortia	NS1_w9w10	7.20479135997112	0.0634834706084327	108	108	1.6471312518431502e-112	5.0896355681953404e-110	PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-glucose biosynthesis	Biosynthesis						
1	PWY-5920	Week_and_consortia	NS1_w9w10	6.02531272650972	0.0814177359018617	108	54	4.47401320733469e-93	6.912350405332091e-91	PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
2	PWY0-1415	Week_and_consortia	NS1_w9w10	5.79910646894156	0.0814995669263601	108	54	2.64943898928162e-91	2.72892215896007e-89	PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
3	PWY-6572	Week_and_consortia	NS1_w9w10	1.34639301569885	0.0224447292989137	108	52	1.2397324707887599e-83	9.57693333684317e-82	PWY-6572	chondroitin sulfate degradation I (bacterial)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
4	TEICHOICACID-PWY	Week_and_consortia	NS1_w9w10	1.90400825532887	0.0342248478455084	108	108	6.55282354647058e-80	4.04964495171882e-78	TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis // major teichoic acid biosynthesis // glycerol teichoic acid biosynthesis	Biosynthesis						
5	PWY-7332	Week_and_consortia	NS1_w9w10	1.65738396933731	0.0327330546979659	108	52	1.03340620816652e-75	5.32204197205756e-74	PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
6	PWY-4984	Week_and_consortia	NS1_w9w10	-1.87901566856496	0.042434546855713	108	108	3.3920042555728096e-70	1.310161643715e-68	PWY-4984	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle	Degradation/utilization/assimilation						
7	PWY-7210	Week_and_consortia	NS1_w9w10	-2.27701298069419	0.051036592850512	108	108	3.0962213424185e-70	1.310161643715e-68	PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
8	PWY-6148	Week_and_consortia	NS1_w9w10	-2.45761687915843	0.0552187065106073	108	56	5.2492492880887396e-70	1.80224225557713e-68	PWY-6148	tetrahydromethanopterin biosynthesis // H<sub>4</sub>MPT biosynthesis	Biosynthesis						
9	PWY-2201	Week_and_consortia	NS1_w9w10	-2.51956042332697	0.0569182134386221	108	56	9.038638274566959e-70	2.79293922684119e-68	PWY-2201	folate transformations I	Biosynthesis						
10	PWY-6676	Week_and_consortia	NS1_w9w10	-2.12966446386198	0.0483033558641874	108	56	1.0505618543180001e-69	2.95112375440238e-68	PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	Degradation/utilization/assimilation	Superpathways					
11	PWY-6545	Week_and_consortia	NS1_w9w10	-2.30601150310044	0.0555058117962458	108	108	3.96102526666362e-67	1.01996400616588e-65	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
