	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-3781	Week_and_consortia	NS6_w5w6	7.27262914401323	0.282902772619509	24	13	6.627007587085759e-18	2.00798329888698e-15	PWY-3781	aerobic respiration I (cytochrome c)	Generation of precursor metabolites and energy						
1	PWY-6572	Week_and_consortia	NS6_w5w6	11.2689062377719	0.482740611505853	24	21	1.6691352928758e-16	2.5287399687068402e-14	PWY-6572	chondroitin sulfate degradation I (bacterial)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
2	PWY-7315	Week_and_consortia	NS6_w5w6	-0.592808345316975	0.0276380347896834	24	24	3.07338091954283e-16	3.1041147287382603e-14	PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis // dTDP-4-acetamido-&alpha;-D-fucose biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis	Biosynthesis						
3	P163-PWY	Week_and_consortia	NS6_w5w6	-1.61730823966865	0.0837745555683009	24	12	7.595449831253261e-15	3.8357021647829e-13	P163-PWY	L-lysine fermentation to acetate and butanoate // 3-keto-5-aminohexanoate pathway // L-lysine fermentation to acetate and butyrate // L-lysine fermentation to acetic acid and butanoic acid	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
4	PWY-1622	Week_and_consortia	NS6_w5w6	1.57581603133505	0.0851857059828739	24	12	6.762451594674471e-15	3.8357021647829e-13	PWY-1622	formaldehyde assimilation I (serine pathway)	Degradation/utilization/assimilation						
5	PWY-6344	Week_and_consortia	NS6_w5w6	-1.60152912466703	0.0817728000767414	24	12	5.701701834694651e-15	3.8357021647829e-13	PWY-6344	L-arginine degradation XIV (oxidative Stickland reaction) // L-arginine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
6	PWY-7373	Week_and_consortia	NS6_w5w6	-1.84125405000267	0.10199447993407	24	12	2.87920143306979e-14	1.24628290602878e-12	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II // superpathway of demethylmenaquinone-6 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
7	GALACT-GLUCUROCAT-PWY	Week_and_consortia	NS6_w5w6	0.774045770789753	0.0457879515846041	24	24	4.3304363184631304e-14	1.6401527556179098e-12	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation // galacturonate and glucuronate catabolism // superpathway of galacturonate and glucuronate degradation	Superpathways						
8	PWY-7090	Week_and_consortia	NS6_w5w6	1.75019507914923	0.106444599177056	24	12	7.639149097836081e-14	2.57184686293815e-12	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
9	GLUCUROCAT-PWY	Week_and_consortia	NS6_w5w6	0.897770477196467	0.0607764165843579	24	24	6.68553430265776e-13	2.0257168937053e-11	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronides degradation (to pyruvate) // D-glucuronate catabolism // D-glucuronate degradation // glucuronic acid degradation // glucuronate degradation // &beta;-D-glucuronide degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
10	PWY-7332	Week_and_consortia	NS6_w5w6	1.77767523347249	0.118182487225082	24	12	1.01970391171199e-12	2.8088207749884697e-11	PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
11	PWY-6609	Week_and_consortia	NS6_w5w6	0.437044434521184	0.0311073449752097	24	24	1.81973435921473e-12	4.5948292570172097e-11	PWY-6609	adenine and adenosine salvage III // adenosine nucleotides salvage III	Biosynthesis						
12	PWY0-845	Week_and_consortia	NS6_w5w6	0.351807844912678	0.0253654422832457	24	24	2.35080924305159e-12	5.4791938511125395e-11	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // vitamin B<sub>6</sub> biosynthesis and salvage	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
13	PWY-7237	Week_and_consortia	NS6_w5w6	-2.89591767282511	0.216439729872138	24	24	9.54155203702226e-12	2.0650644765841e-10	PWY-7237	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	Degradation/utilization/assimilation						
14	PWY-6478	Week_and_consortia	NS6_w5w6	-0.838141964287194	0.0661939557358338	24	24	1.40810125751704e-11	2.8443645401844203e-10	PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	Biosynthesis						
15	PWY-5304	Week_and_consortia	NS6_w5w6	2.14693053299213	0.172220585430872	24	24	1.90561008350185e-11	3.60874909563163e-10	PWY-5304	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	Degradation/utilization/assimilation	Superpathways					
16	PWY-5695	Week_and_consortia	NS6_w5w6	0.392634621698167	0.0317324860968714	24	24	2.2026567495834e-11	3.7078055284653803e-10	PWY-5695	inosine 5'-phosphate degradation // IMP degradation // urate biosynthesis	Degradation/utilization/assimilation						
17	PWY-7242	Week_and_consortia	NS6_w5w6	0.732806439076098	0.0590903849392429	24	24	2.10777719809001e-11	3.7078055284653803e-10	PWY-7242	D-fructuronate degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
18	PWY-181	Week_and_consortia	NS6_w5w6	2.76577342288455	0.229549595638651	24	12	3.6779716134684596e-11	5.572126994404711e-10	PWY-181	photorespiration I // C2 photorespiratory carbon oxidation cycle // PCO cycle	Generation of precursor metabolites and energy						
19	PWY0-1415	Week_and_consortia	NS6_w5w6	2.71583818058542	0.225038198873127	24	12	3.5645362028172595e-11	5.572126994404711e-10	PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
20	PWY-5154	Week_and_consortia	NS6_w5w6	0.451399762912646	0.0377165096049117	24	24	4.1831919280316196e-11	5.96298705393872e-10	PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	Biosynthesis						
21	PWY-5920	Week_and_consortia	NS6_w5w6	2.72450686929168	0.228053381788629	24	12	4.3295615573152397e-11	5.96298705393872e-10	PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
22	PWY-7111	Week_and_consortia	NS6_w5w6	-0.297524849290096	0.0263663928720287	24	24	1.28298939733926e-10	1.6901990756252e-09	PWY-7111	pyruvate fermentation to isobutanol (engineered) // isobutanol biosynthesis // pyruvic acid fermentation to isobutanol (engineered)	Generation of precursor metabolites and energy						
23	PWY-5345	Week_and_consortia	NS6_w5w6	-0.82473380973921	0.0738099156824898	24	24	1.54470717754174e-10	1.9501928116464502e-09	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Superpathways	Biosynthesis	Amino acid biosynthesis				
