Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
048R_S2_R_Female_week5_S61_L001_R1_001	048R_S2_R_Female_week5_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133117.0	0.0	301.0	51.0	3.784640579339979	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
048R_S2_R_Female_week5_S61_L001_R2_001	048R_S2_R_Female_week5_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133117.0	0.0	301.0	53.0	8.146217237467791	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
048R_S2_R_Female_week9_S75_L001_R1_001	048R_S2_R_Female_week9_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112171.0	0.0	301.0	50.0	4.221233652191743	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
048R_S2_R_Female_week9_S75_L001_R2_001	048R_S2_R_Female_week9_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112171.0	0.0	301.0	52.0	7.800590170364889	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_L_Male_week5_S68_L001_R1_001	1050R_S2_L_Male_week5_S68_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	190578.0	0.0	301.0	51.0	3.425893859731973	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_L_Male_week5_S68_L001_R2_001	1050R_S2_L_Male_week5_S68_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	190578.0	0.0	301.0	52.0	7.447344394421182	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_L_Male_week9_S82_L001_R1_001	1050R_S2_L_Male_week9_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139643.0	0.0	301.0	51.0	4.341785839605279	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_L_Male_week9_S82_L001_R2_001	1050R_S2_L_Male_week9_S82_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139643.0	0.0	301.0	53.0	6.812371547445988	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_RR_Male_week5_S70_L001_R1_001	1050R_S2_RR_Male_week5_S70_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142886.0	0.0	301.0	51.0	3.9451030891759866	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_RR_Male_week5_S70_L001_R2_001	1050R_S2_RR_Male_week5_S70_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142886.0	0.0	301.0	53.0	7.228139915737021	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_RR_Male_week9_S84_L001_R1_001	1050R_S2_RR_Male_week9_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175199.0	0.0	301.0	51.0	4.098767687030177	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
1050R_S2_RR_Male_week9_S84_L001_R2_001	1050R_S2_RR_Male_week9_S84_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175199.0	0.0	301.0	52.0	6.950382136884343	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
