Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
048R_S2_R_Female_week5_S61_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 12.0)	(19.0, 33.0)	(20.0, 89.0)	(21.0, 224.0)	(22.0, 426.0)	(23.0, 649.0)	(24.0, 871.0)	(25.0, 1078.0)	(26.0, 1329.0)	(27.0, 1655.0)	(28.0, 1947.0)	(29.0, 2230.0)	(30.0, 2809.0)	(31.0, 3329.0)	(32.0, 4076.0)	(33.0, 5016.0)	(34.0, 6948.0)	(35.0, 10299.0)	(36.0, 20038.0)	(37.0, 70058.0)						
048R_S2_R_Female_week5_S61_L001_R2_001	(12.0, 14.0)	(13.0, 48.0)	(14.0, 129.0)	(15.0, 232.0)	(16.0, 310.0)	(17.0, 364.0)	(18.0, 417.0)	(19.0, 513.0)	(20.0, 600.0)	(21.0, 653.0)	(22.0, 781.0)	(23.0, 940.0)	(24.0, 1209.0)	(25.0, 1433.0)	(26.0, 1879.0)	(27.0, 2680.0)	(28.0, 3754.0)	(29.0, 5426.0)	(30.0, 7644.0)	(31.0, 10511.0)	(32.0, 14735.0)	(33.0, 19173.0)	(34.0, 22805.0)	(35.0, 22782.0)	(36.0, 13343.0)	(37.0, 742.0)		
048R_S2_R_Female_week9_S75_L001_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 16.0)	(20.0, 66.0)	(21.0, 171.0)	(22.0, 363.0)	(23.0, 588.0)	(24.0, 802.0)	(25.0, 929.0)	(26.0, 1257.0)	(27.0, 1433.0)	(28.0, 1718.0)	(29.0, 2005.0)	(30.0, 2413.0)	(31.0, 2858.0)	(32.0, 3453.0)	(33.0, 4366.0)	(34.0, 6082.0)	(35.0, 8897.0)	(36.0, 17595.0)	(37.0, 57152.0)							
048R_S2_R_Female_week9_S75_L001_R2_001	(12.0, 17.0)	(13.0, 43.0)	(14.0, 132.0)	(15.0, 176.0)	(16.0, 187.0)	(17.0, 205.0)	(18.0, 321.0)	(19.0, 389.0)	(20.0, 479.0)	(21.0, 508.0)	(22.0, 620.0)	(23.0, 752.0)	(24.0, 914.0)	(25.0, 1067.0)	(26.0, 1445.0)	(27.0, 2084.0)	(28.0, 2929.0)	(29.0, 4114.0)	(30.0, 6015.0)	(31.0, 8495.0)	(32.0, 11885.0)	(33.0, 15566.0)	(34.0, 19774.0)	(35.0, 20877.0)	(36.0, 12566.0)	(37.0, 611.0)		
1050R_S2_L_Male_week5_S68_L001_R1_001	(17.0, 1.0)	(18.0, 27.0)	(19.0, 52.0)	(20.0, 141.0)	(21.0, 419.0)	(22.0, 722.0)	(23.0, 1037.0)	(24.0, 1421.0)	(25.0, 1799.0)	(26.0, 2120.0)	(27.0, 2535.0)	(28.0, 2770.0)	(29.0, 3466.0)	(30.0, 3850.0)	(31.0, 4688.0)	(32.0, 5684.0)	(33.0, 7342.0)	(34.0, 9963.0)	(35.0, 15223.0)	(36.0, 29066.0)	(37.0, 98252.0)							
1050R_S2_L_Male_week5_S68_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 35.0)	(14.0, 118.0)	(15.0, 284.0)	(16.0, 423.0)	(17.0, 515.0)	(18.0, 631.0)	(19.0, 735.0)	(20.0, 784.0)	(21.0, 908.0)	(22.0, 1081.0)	(23.0, 1311.0)	(24.0, 1631.0)	(25.0, 2051.0)	(26.0, 2731.0)	(27.0, 3892.0)	(28.0, 5430.0)	(29.0, 7723.0)	(30.0, 10755.0)	(31.0, 14735.0)	(32.0, 20307.0)	(33.0, 26601.0)	(34.0, 32383.0)	(35.0, 33471.0)	(36.0, 20645.0)	(37.0, 1381.0)	
1050R_S2_L_Male_week9_S82_L001_R1_001	(16.0, 2.0)	(17.0, 5.0)	(18.0, 27.0)	(19.0, 69.0)	(20.0, 132.0)	(21.0, 392.0)	(22.0, 669.0)	(23.0, 959.0)	(24.0, 1215.0)	(25.0, 1492.0)	(26.0, 1776.0)	(27.0, 1976.0)	(28.0, 2357.0)	(29.0, 2642.0)	(30.0, 3108.0)	(31.0, 3666.0)	(32.0, 4560.0)	(33.0, 5737.0)	(34.0, 7960.0)	(35.0, 12002.0)	(36.0, 23648.0)	(37.0, 65249.0)						
1050R_S2_L_Male_week9_S82_L001_R2_001	(11.0, 3.0)	(12.0, 22.0)	(13.0, 69.0)	(14.0, 164.0)	(15.0, 217.0)	(16.0, 258.0)	(17.0, 282.0)	(18.0, 327.0)	(19.0, 433.0)	(20.0, 541.0)	(21.0, 582.0)	(22.0, 691.0)	(23.0, 880.0)	(24.0, 966.0)	(25.0, 1250.0)	(26.0, 1587.0)	(27.0, 2168.0)	(28.0, 3101.0)	(29.0, 4443.0)	(30.0, 6291.0)	(31.0, 9101.0)	(32.0, 13192.0)	(33.0, 18171.0)	(34.0, 24383.0)	(35.0, 28221.0)	(36.0, 20574.0)	(37.0, 1726.0)	
1050R_S2_RR_Male_week5_S70_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 34.0)	(19.0, 59.0)	(20.0, 140.0)	(21.0, 346.0)	(22.0, 676.0)	(23.0, 927.0)	(24.0, 1191.0)	(25.0, 1462.0)	(26.0, 1794.0)	(27.0, 2009.0)	(28.0, 2401.0)	(29.0, 2685.0)	(30.0, 3159.0)	(31.0, 3739.0)	(32.0, 4673.0)	(33.0, 5885.0)	(34.0, 7980.0)	(35.0, 12272.0)	(36.0, 23690.0)	(37.0, 67757.0)					
1050R_S2_RR_Male_week5_S70_L001_R2_001	(11.0, 11.0)	(12.0, 33.0)	(13.0, 121.0)	(14.0, 176.0)	(15.0, 213.0)	(16.0, 256.0)	(17.0, 286.0)	(18.0, 404.0)	(19.0, 491.0)	(20.0, 602.0)	(21.0, 667.0)	(22.0, 765.0)	(23.0, 893.0)	(24.0, 1120.0)	(25.0, 1411.0)	(26.0, 1816.0)	(27.0, 2511.0)	(28.0, 3496.0)	(29.0, 4973.0)	(30.0, 7319.0)	(31.0, 10455.0)	(32.0, 14768.0)	(33.0, 19674.0)	(34.0, 24526.0)	(35.0, 26717.0)	(36.0, 17787.0)	(37.0, 1395.0)	
1050R_S2_RR_Male_week9_S84_L001_R1_001	(15.0, 2.0)	(16.0, 2.0)	(17.0, 10.0)	(18.0, 34.0)	(19.0, 58.0)	(20.0, 219.0)	(21.0, 555.0)	(22.0, 966.0)	(23.0, 1298.0)	(24.0, 1642.0)	(25.0, 1860.0)	(26.0, 2281.0)	(27.0, 2572.0)	(28.0, 2842.0)	(29.0, 3359.0)	(30.0, 4062.0)	(31.0, 4571.0)	(32.0, 5825.0)	(33.0, 7501.0)	(34.0, 9999.0)	(35.0, 15646.0)	(36.0, 30111.0)	(37.0, 79784.0)					
1050R_S2_RR_Male_week9_S84_L001_R2_001	(11.0, 4.0)	(12.0, 27.0)	(13.0, 64.0)	(14.0, 150.0)	(15.0, 291.0)	(16.0, 340.0)	(17.0, 435.0)	(18.0, 469.0)	(19.0, 559.0)	(20.0, 687.0)	(21.0, 751.0)	(22.0, 1021.0)	(23.0, 1050.0)	(24.0, 1317.0)	(25.0, 1701.0)	(26.0, 2188.0)	(27.0, 2894.0)	(28.0, 4003.0)	(29.0, 5774.0)	(30.0, 8160.0)	(31.0, 11772.0)	(32.0, 17124.0)	(33.0, 23935.0)	(34.0, 31336.0)	(35.0, 34968.0)	(36.0, 22660.0)	(37.0, 1519.0)	
1050R_S2_R_Male_week5_S69_L001_R1_001	(17.0, 3.0)	(18.0, 9.0)	(19.0, 38.0)	(20.0, 91.0)	(21.0, 248.0)	(22.0, 510.0)	(23.0, 687.0)	(24.0, 912.0)	(25.0, 1182.0)	(26.0, 1381.0)	(27.0, 1715.0)	(28.0, 1953.0)	(29.0, 2275.0)	(30.0, 2609.0)	(31.0, 3188.0)	(32.0, 3838.0)	(33.0, 4856.0)	(34.0, 6637.0)	(35.0, 10152.0)	(36.0, 19050.0)	(37.0, 64909.0)							
1050R_S2_R_Male_week5_S69_L001_R2_001	(11.0, 3.0)	(12.0, 8.0)	(13.0, 45.0)	(14.0, 119.0)	(15.0, 171.0)	(16.0, 230.0)	(17.0, 310.0)	(18.0, 364.0)	(19.0, 439.0)	(20.0, 498.0)	(21.0, 631.0)	(22.0, 713.0)	(23.0, 851.0)	(24.0, 1089.0)	(25.0, 1313.0)	(26.0, 1665.0)	(27.0, 2389.0)	(28.0, 3320.0)	(29.0, 4807.0)	(30.0, 6735.0)	(31.0, 9413.0)	(32.0, 12978.0)	(33.0, 17459.0)	(34.0, 21721.0)	(35.0, 23102.0)	(36.0, 14787.0)	(37.0, 1083.0)	
1050R_S2_R_Male_week9_S83_L001_R1_001	(16.0, 2.0)	(17.0, 3.0)	(18.0, 30.0)	(19.0, 75.0)	(20.0, 187.0)	(21.0, 493.0)	(22.0, 841.0)	(23.0, 1057.0)	(24.0, 1293.0)	(25.0, 1588.0)	(26.0, 1758.0)	(27.0, 2067.0)	(28.0, 2369.0)	(29.0, 2683.0)	(30.0, 3149.0)	(31.0, 3876.0)	(32.0, 4670.0)	(33.0, 5880.0)	(34.0, 8277.0)	(35.0, 12549.0)	(36.0, 24779.0)	(37.0, 57040.0)						
1050R_S2_R_Male_week9_S83_L001_R2_001	(11.0, 1.0)	(12.0, 9.0)	(13.0, 23.0)	(14.0, 99.0)	(15.0, 176.0)	(16.0, 309.0)	(17.0, 362.0)	(18.0, 425.0)	(19.0, 527.0)	(20.0, 557.0)	(21.0, 671.0)	(22.0, 859.0)	(23.0, 996.0)	(24.0, 1197.0)	(25.0, 1448.0)	(26.0, 2031.0)	(27.0, 2724.0)	(28.0, 3929.0)	(29.0, 5523.0)	(30.0, 7760.0)	(31.0, 11248.0)	(32.0, 15354.0)	(33.0, 19909.0)	(34.0, 23156.0)	(35.0, 22487.0)	(36.0, 12376.0)	(37.0, 510.0)	
1127R_S2_0_Female_week5_S62_L001_R1_001	(15.0, 3.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 15.0)	(19.0, 38.0)	(20.0, 109.0)	(21.0, 303.0)	(22.0, 516.0)	(23.0, 833.0)	(24.0, 1124.0)	(25.0, 1479.0)	(26.0, 1703.0)	(27.0, 2016.0)	(28.0, 2524.0)	(29.0, 2726.0)	(30.0, 3249.0)	(31.0, 3961.0)	(32.0, 4831.0)	(33.0, 6137.0)	(34.0, 8161.0)	(35.0, 12178.0)	(36.0, 23344.0)	(37.0, 78155.0)					
1127R_S2_0_Female_week5_S62_L001_R2_001	(11.0, 6.0)	(12.0, 29.0)	(13.0, 111.0)	(14.0, 173.0)	(15.0, 275.0)	(16.0, 326.0)	(17.0, 406.0)	(18.0, 484.0)	(19.0, 590.0)	(20.0, 729.0)	(21.0, 884.0)	(22.0, 996.0)	(23.0, 1132.0)	(24.0, 1343.0)	(25.0, 1789.0)	(26.0, 2326.0)	(27.0, 3303.0)	(28.0, 4817.0)	(29.0, 6718.0)	(30.0, 9369.0)	(31.0, 13007.0)	(32.0, 17544.0)	(33.0, 22380.0)	(34.0, 25601.0)	(35.0, 24621.0)	(36.0, 13654.0)	(37.0, 795.0)	
