Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
048R_S2_R_Female_week5_S61_L001_R1_001	(1.0, 2.577431883230542)	(2.0, 1.1193160903566035)	(3.0, 0.5769360787878333)	(4.0, 0.3846240525252222)	(5.0, 0.22536565577649736)	(6.0, 0.16677058527460806)	(7.0, 0.10517063936236544)	(8.0, 0.12019501641413192)	(9.0, 0.11493648444601365)	('>10', 2.0493250298609493)	('>50', 2.3528174463066325)	('>100', 19.987680010817552)	('>500', 14.103382738493206)	('>1k', 50.75309689971979)	('>5k', 5.362951388628049)	('>10k+', 0.0)
048R_S2_R_Female_week5_S61_L001_R2_001	(1.0, 6.424423627335352)	(2.0, 1.5655400887940683)	(3.0, 0.8113163607953906)	(4.0, 0.5468873246843002)	(5.0, 0.39814599187181204)	(6.0, 0.3245265443181562)	(7.0, 0.1893071508522578)	(8.0, 0.21034127872473088)	(9.0, 0.14198036313919335)	('>10', 4.831088440995515)	('>50', 2.9079681783694045)	('>100', 9.88228400579941)	('>500', 9.552498929513135)	('>1k', 62.213691714807275)	('>5k', 0.0)	('>10k+', 0.0)
048R_S2_R_Female_week9_S75_L001_R1_001	(1.0, 2.899145055317328)	(2.0, 1.253443403375204)	(3.0, 0.5536190280910396)	(4.0, 0.349466439632347)	(5.0, 0.2986511665225415)	(6.0, 0.2246569969065088)	(7.0, 0.19969510836134116)	(8.0, 0.17116723573829243)	(9.0, 0.0962815701027895)	('>10', 2.2073441442083963)	('>50', 2.041525884586925)	('>100', 16.59430690641966)	('>500', 22.663611806973282)	('>1k', 50.44708525376434)	('>5k', 0.0)	('>10k+', 0.0)
048R_S2_R_Female_week9_S75_L001_R2_001	(1.0, 6.018489627443813)	(2.0, 1.645701651942124)	(3.0, 0.8290912981073539)	(4.0, 0.5063697390591151)	(5.0, 0.40563068885897424)	(6.0, 0.26209982972426027)	(7.0, 0.2059355804976331)	(8.0, 0.17116723573829243)	(9.0, 0.192563140205579)	('>10', 5.3668060372110435)	('>50', 4.098207201504845)	('>100', 10.995711904146347)	('>500', 15.843667258025693)	('>1k', 53.45855880753493)	('>5k', 0.0)	('>10k+', 0.0)
1050R_S2_L_Male_week5_S68_L001_R1_001	(1.0, 2.2174647650830632)	(2.0, 1.0735761735352454)	(3.0, 0.5903094795831628)	(4.0, 0.4218745080754337)	(5.0, 0.30958452707028095)	(6.0, 0.223530522935491)	(7.0, 0.17263272780698719)	(8.0, 0.1721080082695799)	(9.0, 0.08972704089664074)	('>10', 2.142954590771233)	('>50', 1.3931303718162642)	('>100', 12.182413499984259)	('>500', 11.714888392154393)	('>1k', 45.963332598725984)	('>5k', 21.332472793291984)	('>10k+', 0.0)
1050R_S2_L_Male_week5_S68_L001_R2_001	(1.0, 5.630765355917262)	(2.0, 1.607740662615832)	(3.0, 1.0263514151685924)	(4.0, 0.6086746633924167)	(5.0, 0.45388239985727624)	(6.0, 0.317980039668797)	(7.0, 0.2681316836151077)	(8.0, 0.19729454606512817)	(9.0, 0.18889903346661208)	('>10', 3.3230488304001513)	('>50', 4.009906704866249)	('>100', 6.371144623198901)	('>500', 10.545813262811027)	('>1k', 62.807879188573715)	('>5k', 2.6424875903829403)	('>10k+', 0.0)
1050R_S2_L_Male_week9_S82_L001_R1_001	(1.0, 3.0527846007318664)	(2.0, 1.1658300093810645)	(3.0, 0.6445006194367064)	(4.0, 0.38670037166202387)	(5.0, 0.2828641607527767)	(6.0, 0.1761635026460331)	(7.0, 0.19048573863351548)	(8.0, 0.1374934654798307)	(9.0, 0.17401516724791075)	('>10', 2.0251641686300066)	('>50', 1.3326840586352342)	('>100', 17.985863953080354)	('>500', 16.321620131334903)	('>1k', 52.420815937784205)	('>5k', 3.7030141145635658)	('>10k+', 0.0)
1050R_S2_L_Male_week9_S82_L001_R2_001	(1.0, 5.2440867068166686)	(2.0, 1.4751903067106835)	(3.0, 0.7948840973052713)	(4.0, 0.47549823478441455)	(5.0, 0.3258308687152238)	(6.0, 0.2191302106084802)	(7.0, 0.18547295603789662)	(8.0, 0.1604090430598025)	(9.0, 0.1289001238873413)	('>10', 3.957949915140752)	('>50', 4.615340546966192)	('>100', 6.892576068975889)	('>500', 8.03334216537886)	('>1k', 67.49138875561252)	('>5k', 0.0)	('>10k+', 0.0)
1050R_S2_RR_Male_week5_S70_L001_R1_001	(1.0, 2.642666181431351)	(2.0, 1.1351706955195051)	(3.0, 0.7054574975854877)	(4.0, 0.4059180045630783)	(5.0, 0.2939406239939532)	(6.0, 0.23095334742382037)	(7.0, 0.1910614055960696)	(8.0, 0.20155928502442505)	(9.0, 0.056688548913119544)	('>10', 2.293436725781392)	('>50', 1.8427277689906638)	('>100', 18.310401298937613)	('>500', 12.133449043293256)	('>1k', 54.7870330193301)	('>5k', 4.769536553616169)	('>10k+', 0.0)
1050R_S2_RR_Male_week5_S70_L001_R2_001	(1.0, 5.597469311199138)	(2.0, 1.4809008580266787)	(3.0, 0.84402950603978)	(4.0, 0.5178953851322032)	(5.0, 0.3534286074213009)	(6.0, 0.2939406239939532)	(7.0, 0.15676833279677505)	(8.0, 0.18476267793905632)	(9.0, 0.16376691908234536)	('>10', 3.7575409767227024)	('>50', 3.418109541872542)	('>100', 10.46778550732752)	('>500', 8.64815307307924)	('>1k', 64.11544867936676)	('>5k', 0.0)	('>10k+', 0.0)
