Sample	Unique Reads	Duplicate Reads
048R_S2_R_Female_week5_S61_L001_R1_001	5038.0	128079.0
048R_S2_R_Female_week5_S61_L001_R2_001	10844.0	122273.0
048R_S2_R_Female_week9_S75_L001_R1_001	4735.0	107436.0
048R_S2_R_Female_week9_S75_L001_R2_001	8750.0	103421.0
1050R_S2_L_Male_week5_S68_L001_R1_001	6529.0	184049.0
1050R_S2_L_Male_week5_S68_L001_R2_001	14193.0	176385.0
1050R_S2_L_Male_week9_S82_L001_R1_001	6063.0	133580.0
1050R_S2_L_Male_week9_S82_L001_R2_001	9514.0	130129.0
1050R_S2_RR_Male_week5_S70_L001_R1_001	5637.0	137249.0
1050R_S2_RR_Male_week5_S70_L001_R2_001	10328.0	132558.0
1050R_S2_RR_Male_week9_S84_L001_R1_001	7181.0	168018.0
1050R_S2_RR_Male_week9_S84_L001_R2_001	12177.0	163022.0
1050R_S2_R_Male_week5_S69_L001_R1_001	5076.0	121167.0
1050R_S2_R_Male_week5_S69_L001_R2_001	9824.0	116419.0
1050R_S2_R_Male_week9_S83_L001_R1_001	5987.0	128679.0
1050R_S2_R_Male_week9_S83_L001_R2_001	10953.0	123713.0
1127R_S2_0_Female_week5_S62_L001_R1_001	5684.0	147724.0
1127R_S2_0_Female_week5_S62_L001_R2_001	12518.0	140890.0
1127R_S2_0_Female_week9_S76_L001_R1_001	5412.0	137408.0
1127R_S2_0_Female_week9_S76_L001_R2_001	10810.0	132010.0
1127R_S2_R_Female_week5_S63_L001_R1_001	5386.0	132601.0
1127R_S2_R_Female_week5_S63_L001_R2_001	10977.0	127010.0
1127R_S2_R_Female_week9_S77_L001_R1_001	8369.0	262363.0
1127R_S2_R_Female_week9_S77_L001_R2_001	17609.0	253123.0
2514R_S2_L_Male_week5_S71_L001_R1_001	4578.0	81767.0
2514R_S2_L_Male_week5_S71_L001_R2_001	6526.0	79819.0
2514R_S2_L_Male_week9_S85_L001_R1_001	7433.0	203084.0
2514R_S2_L_Male_week9_S85_L001_R2_001	16492.0	194025.0
2514R_S2_R_Male_week5_S72_L001_R1_001	4919.0	118300.0
2514R_S2_R_Male_week5_S72_L001_R2_001	8999.0	114220.0
2514R_S2_R_Male_week9_S86_L001_R1_001	7193.0	215508.0
2514R_S2_R_Male_week9_S86_L001_R2_001	15105.0	207596.0
2808_NS1_0_Female_week5_S37_L001_R1_001	8255.0	273241.0
2808_NS1_0_Female_week5_S37_L001_R2_001	19330.0	262166.0
2808_NS1_0_Female_week9_S49_L001_R1_001	5017.0	131343.0
2808_NS1_0_Female_week9_S49_L001_R2_001	10566.0	125794.0
2808_NS1_L_Female_week5_S38_L001_R1_001	5461.0	145479.0
2808_NS1_L_Female_week5_S38_L001_R2_001	12803.0	138137.0
2808_NS1_L_Female_week9_S50_L001_R1_001	4407.0	107115.0
2808_NS1_L_Female_week9_S50_L001_R2_001	9021.0	102501.0
2808_NS1_RR_Female_week5_S40_L001_R1_001	3474.0	55101.0
2808_NS1_RR_Female_week5_S40_L001_R2_001	4873.0	53702.0
2808_NS1_RR_Female_week9_S52_L001_R1_001	5105.0	130295.0
2808_NS1_RR_Female_week9_S52_L001_R2_001	10671.0	124729.0
2808_NS1_R_Female_week5_S39_L001_R1_001	5425.0	152527.0
2808_NS1_R_Female_week5_S39_L001_R2_001	12718.0	145234.0
2808_NS1_R_Female_week9_S51_L001_R1_001	5216.0	116838.0
2808_NS1_R_Female_week9_S51_L001_R2_001	10493.0	111561.0
2824_NS1_0_Male_week5_S43_L001_R1_001	4099.0	104084.0
2824_NS1_0_Male_week5_S43_L001_R2_001	9591.0	98592.0
2824_NS1_0_Male_week9_S55_L001_R1_001	7275.0	173491.0
2824_NS1_0_Male_week9_S55_L001_R2_001	12017.0	168749.0
2824_NS1_L_Male_week5_S44_L001_R1_001	5111.0	146495.0
2824_NS1_L_Male_week5_S44_L001_R2_001	11810.0	139796.0
2824_NS1_L_Male_week9_S56_L001_R1_001	6383.0	121135.0
2824_NS1_L_Male_week9_S56_L001_R2_001	10406.0	117112.0
2824_NS1_R_Male_week5_S45_L001_R1_001	4975.0	134316.0
2824_NS1_R_Male_week5_S45_L001_R2_001	10172.0	129119.0
2824_NS1_R_Male_week9_S57_L001_R1_001	4580.0	114069.0
2824_NS1_R_Male_week9_S57_L001_R2_001	9743.0	108906.0
2864_NS1_R_Male_week5_S46_L001_R1_001	3551.0	88376.0
2864_NS1_R_Male_week5_S46_L001_R2_001	7970.0	83957.0
2864_NS1_R_Male_week9_S58_L001_R1_001	5463.0	137209.0
2864_NS1_R_Male_week9_S58_L001_R2_001	11653.0	131019.0
2893_NS1_0_Male_week5_S47_L001_R1_001	4032.0	102330.0
2893_NS1_0_Male_week5_S47_L001_R2_001	9232.0	97130.0
2893_NS1_0_Male_week9_S59_L001_R1_001	5329.0	143421.0
2893_NS1_0_Male_week9_S59_L001_R2_001	11676.0	137074.0
2893_NS1_R_Male_week5_S48_L001_R1_001	4230.0	104735.0
2893_NS1_R_Male_week5_S48_L001_R2_001	8991.0	99974.0
2893_NS1_R_Male_week9_S60_L001_R1_001	6437.0	178203.0
2893_NS1_R_Male_week9_S60_L001_R2_001	13780.0	170860.0
2999_NS1_0_Female_week5_S41_L001_R1_001	3422.0	85104.0
2999_NS1_0_Female_week5_S41_L001_R2_001	7322.0	81204.0
2999_NS1_0_Female_week9_S53_L001_R1_001	3695.0	93716.0
2999_NS1_0_Female_week9_S53_L001_R2_001	8683.0	88728.0
2999_NS1_R_Female_week5_S42_L001_R1_001	6343.0	212859.0
2999_NS1_R_Female_week5_S42_L001_R2_001	13957.0	205245.0
2999_NS1_R_Female_week9_S54_L001_R1_001	5128.0	147224.0
2999_NS1_R_Female_week9_S54_L001_R2_001	10985.0	141367.0
3995R_S2_0_Female_week5_S64_L001_R1_001	6813.0	181688.0
3995R_S2_0_Female_week5_S64_L001_R2_001	14100.0	174401.0
3995R_S2_0_Female_week9_S78_L001_R1_001	5760.0	124638.0
3995R_S2_0_Female_week9_S78_L001_R2_001	8911.0	121487.0
3995R_S2_L_Female_week5_S65_L001_R1_001	4696.0	117144.0
3995R_S2_L_Female_week5_S65_L001_R2_001	10794.0	111046.0
3995R_S2_L_Female_week9_S79_L001_R1_001	5828.0	133929.0
3995R_S2_L_Female_week9_S79_L001_R2_001	10671.0	129086.0
3995R_S2_RR_Female_week5_S67_L001_R1_001	4468.0	111489.0
3995R_S2_RR_Female_week5_S67_L001_R2_001	9080.0	106877.0
3995R_S2_RR_Female_week9_S81_L001_R1_001	7351.0	208714.0
