.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
048R_S2_R_Female_week5_S61_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
048R_S2_R_Female_week5_S61_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
048R_S2_R_Female_week9_S75_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
048R_S2_R_Female_week9_S75_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_L_Male_week5_S68_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_L_Male_week5_S68_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_L_Male_week9_S82_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_L_Male_week9_S82_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_RR_Male_week5_S70_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_RR_Male_week5_S70_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_RR_Male_week9_S84_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_RR_Male_week9_S84_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_R_Male_week5_S69_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_R_Male_week5_S69_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_R_Male_week9_S83_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1050R_S2_R_Male_week9_S83_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_0_Female_week5_S62_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_0_Female_week5_S62_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_0_Female_week9_S76_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_0_Female_week9_S76_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_R_Female_week5_S63_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_R_Female_week5_S63_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_R_Female_week9_S77_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
1127R_S2_R_Female_week9_S77_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_L_Male_week5_S71_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_L_Male_week5_S71_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_L_Male_week9_S85_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_L_Male_week9_S85_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_R_Male_week5_S72_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_R_Male_week5_S72_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_R_Male_week9_S86_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2514R_S2_R_Male_week9_S86_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
