Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1002R_0_M_NS6_week10_S69_L001_R1_001	(1.0, 1.2379442035083177)	(2.0, 0.427212117289145)	(3.0, 0.2864263059097676)	(4.0, 0.25567997928668523)	(5.0, 0.2225063110880963)	(6.0, 0.16505922713444235)	(7.0, 0.12460353420933393)	(8.0, 0.14240403909638163)	(9.0, 0.11651239562431226)	('>10', 1.6692018900899737)	('>50', 0.7411482943879862)	('>100', 1.9782833840378018)	('>500', 2.339957278788271)	('>1k', 15.970289339115801)	('>5k', 10.118777914428119)	('>10k+', 64.20399378600557)
1002R_0_M_NS6_week10_S69_L001_R2_001	(1.0, 3.0681597514402226)	(2.0, 0.6165447601786523)	(3.0, 0.3835199689300278)	(4.0, 0.3819017412130235)	(5.0, 0.3236455434008674)	(6.0, 0.28157162275875464)	(7.0, 0.1925690983235161)	(8.0, 0.22655188038060714)	(9.0, 0.15292251925690983)	('>10', 2.459706129846592)	('>50', 0.7184931063499256)	('>100', 0.46524046863874685)	('>500', 1.1626966146676159)	('>1k', 11.661758042591753)	('>5k', 4.901611754806137)	('>10k+', 73.00310699721665)
1002R_L_M_NS6_week10_S70_L001_R1_001	(1.0, 1.280034712805771)	(2.0, 0.49538066569036904)	(3.0, 0.3823832510712155)	(4.0, 0.18802769792627144)	(5.0, 0.18079586339064563)	(6.0, 0.13017302164126485)	(7.0, 0.13288495959212454)	(8.0, 0.10124568349876154)	(9.0, 0.13017302164126485)	('>10', 1.7410641644519171)	('>50', 0.7936938402849344)	('>100', 2.3078591961815915)	('>500', 5.210536782918407)	('>1k', 12.496610077561424)	('>5k', 16.70372981866175)	('>10k+', 57.725407242682294)
1002R_L_M_NS6_week10_S70_L001_R2_001	(1.0, 3.0165789806729224)	(2.0, 0.638209397768979)	(3.0, 0.4718772034495851)	(4.0, 0.37243947858473)	(5.0, 0.37063151995082355)	(6.0, 0.2983131745945653)	(7.0, 0.29108134005893943)	(8.0, 0.24588237421127804)	(9.0, 0.17898790475673917)	('>10', 2.036665401095623)	('>50', 0.578546762850066)	('>100', 0.8569723924716603)	('>500', 2.956916345754009)	('>1k', 8.492885682775578)	('>5k', 11.87648026613151)	('>10k+', 67.31753177487299)
1030R_0_M_NS1_week10_S77_L001_R1_001	(1.0, 1.2897120454238205)	(2.0, 0.5101167139831464)	(3.0, 0.3433824523455455)	(4.0, 0.26316975350367267)	(5.0, 0.25235455815420665)	(6.0, 0.124374746518859)	(7.0, 0.14510387093866883)	(8.0, 0.05768104186381867)	(9.0, 0.129782344193592)	('>10', 1.6628362849803975)	('>50', 0.6110585372448291)	('>100', 2.282907485016448)	('>500', 3.537470145554504)	('>1k', 21.358208282637108)	('>5k', 6.676580595737011)	('>10k+', 60.75526114190437)
1030R_0_M_NS1_week10_S77_L001_R2_001	(1.0, 3.915100716506692)	(2.0, 0.746248479113154)	(3.0, 0.59483574422063)	(4.0, 0.33527105583344596)	(5.0, 0.3109368662971475)	(6.0, 0.264972286061917)	(7.0, 0.264972286061917)	(8.0, 0.18025325582443333)	(9.0, 0.1865621197782885)	('>10', 2.665945653643369)	('>50', 0.19016718489477716)	('>100', 0.9706637826145734)	('>500', 1.5817223198594026)	('>1k', 18.5769005452661)	('>5k', 15.80640800324456)	('>10k+', 53.409039700779594)
1030R_R_M_NS1_week10_S78_L001_R1_001	(1.0, 1.2848909944830698)	(2.0, 0.5024713386246642)	(3.0, 0.3814680366701532)	(4.0, 0.2420066039090219)	(5.0, 0.1897085666235977)	(6.0, 0.1907340183350766)	(7.0, 0.17945404950880864)	(8.0, 0.10664697799380628)	(9.0, 0.11074878483972189)	('>10', 1.6991734859205478)	('>50', 0.5978383477922025)	('>100', 2.873315695563896)	('>500', 3.977727188826678)	('>1k', 18.608872208207718)	('>5k', 6.45214216862528)	('>10k+', 62.60280153407576)
1030R_R_M_NS1_week10_S78_L001_R2_001	(1.0, 3.969523575134847)	(2.0, 0.8388194999897455)	(3.0, 0.427613363686704)	(4.0, 0.4553005598966345)	(5.0, 0.37428987468980085)	(6.0, 0.41223158801452037)	(7.0, 0.2584138312926844)	(8.0, 0.21329395598761255)	(9.0, 0.16612317725958284)	('>10', 2.435447814762403)	('>50', 0.29840644804036176)	('>100', 1.1915748887384894)	('>500', 2.4262187493590925)	('>1k', 20.72540454070018)	('>5k', 11.67579318689883)	('>10k+', 54.13154494554851)
1075R_0_M_NS6_week9_S72_L001_R1_001	(1.0, 1.1959796267313207)	(2.0, 0.43967178410848856)	(3.0, 0.35010901327157423)	(4.0, 0.2279779621303274)	(5.0, 0.20355175190207805)	(6.0, 0.1736974949564399)	(7.0, 0.1583180292571718)	(8.0, 0.13027312121732995)	(9.0, 0.05699449053258185)	('>10', 1.7912554167382868)	('>50', 0.5608981607968373)	('>100', 2.2110243628830166)	('>500', 3.2188317034115275)	('>1k', 17.26118856129622)	('>5k', 21.411834951192812)	('>10k+', 50.608393569573984)
1075R_0_M_NS6_week9_S72_L001_R2_001	(1.0, 2.888625528103712)	(2.0, 0.6368908148402798)	(3.0, 0.442385807467183)	(4.0, 0.42700634176791485)	(5.0, 0.3347295475723061)	(6.0, 0.30397061617376986)	(7.0, 0.2279779621303274)	(8.0, 0.2026470774491799)	(9.0, 0.24426210228249362)	('>10', 2.0897979861946676)	('>50', 0.2867818015687055)	('>100', 0.43786243520269236)	('>500', 3.3138225209658305)	('>1k', 6.861955725232276)	('>5k', 23.995585188669857)	('>10k+', 57.3056985443788)
