Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
1002R_0_M_NS6_week10_S69_L001_R1_001	37.181209139750145	57.339471810473164
1002R_0_M_NS6_week10_S69_L001_R2_001	22.633341963881158	68.468023820312
1002R_L_M_NS6_week10_S70_L001_R1_001	41.458299434108945	52.89273381425033
1002R_L_M_NS6_week10_S70_L001_R2_001	16.190269566632313	75.31051689537344
1030R_0_M_NS1_week10_S77_L001_R1_001	28.68099680050471	65.83299535847866
1030R_0_M_NS1_week10_S77_L001_R2_001	28.32409535397233	61.83587941057186
1030R_R_M_NS1_week10_S78_L001_R1_001	25.784983285137102	68.83139522959864
1030R_R_M_NS1_week10_S78_L001_R2_001	25.54605303636252	64.60448327488258
1075R_0_M_NS6_week9_S72_L001_R1_001	41.539936853723184	53.17133629463438
1075R_0_M_NS6_week9_S72_L001_R2_001	19.882030451342082	72.03289396310737
1136R_RL_F_S5_week10_S58_L001_R1_001	32.85829363619186	61.923562698278516
1136R_RL_F_S5_week10_S58_L001_R2_001	32.689228566029854	58.00423657175817
1136R_R_F_S5_week10_S57_L001_R1_001	32.50419072452971	62.04227975414416
1136R_R_F_S5_week10_S57_L001_R2_001	31.99478487614081	57.77984727137269
1174R_0_M_S2_week9_S56_L001_R1_001	25.402794822057718	69.00855073037489
1174R_0_M_S2_week9_S56_L001_R2_001	35.35291556153754	56.023118641383945
160R_0_F_S2_week10_S49_L001_R1_001	36.29803419714905	58.27290178095339
160R_0_F_S2_week10_S49_L001_R2_001	35.99232163805055	55.16867512708399
160R_L_F_S2_week10_S50_L001_R1_001	49.04851321431574	45.720878525452385
160R_L_F_S2_week10_S50_L001_R2_001	49.15874928766944	42.63520267556029
184R_0_F_NS6_week10_S65_L001_R1_001	36.1539485443724	58.249824107703134
184R_0_F_NS6_week10_S65_L001_R2_001	22.4324478503109	68.81191884234346
184R_L_F_NS6_week10_S66_L001_R1_001	43.9388278229135	50.41751748707477
184R_L_F_NS6_week10_S66_L001_R2_001	17.765130121214753	74.05743580831559
2403R_L_F_NS6_week10_S67_L001_R1_001	45.53002025341881	49.352225365314766
2403R_L_F_NS6_week10_S67_L001_R2_001	16.314882078235108	76.05995681502435
2446R_0_F_S2_week9_S55_L001_R1_001	29.10796054948926	65.59087706939063
2446R_0_F_S2_week9_S55_L001_R2_001	34.50070447340613	57.00951039098274
2472R_0_F_NS1_week10_S73_L001_R1_001	32.69915689903352	61.584207279457125
2472R_0_F_NS1_week10_S73_L001_R2_001	32.17108780588114	57.807114949619574
2472R_R_F_NS1_week10_S74_L001_R1_001	30.49195444695468	64.2989533865093
2472R_R_F_NS1_week10_S74_L001_R2_001	30.199640370694823	60.6039928074139
2506R_0_F_NS6_week10_S68_L001_R1_001	30.523994250044307	63.99779453754209
2506R_0_F_NS6_week10_S68_L001_R2_001	18.95910048638324	73.02739105606207
2518R_L_M_S5_week10_S61_L001_R1_001	30.341590566851888	64.45133281083508
2518R_L_M_S5_week10_S61_L001_R2_001	30.22446876898826	60.35647296071576
2518R_R_M_S5_week10_S62_L001_R1_001	27.352658598837376	67.58925885310016
2518R_R_M_S5_week10_S62_L001_R2_001	27.10518909581437	62.95041875721786
3752R_0_F_S5_week10_S59_L001_R1_001	30.730517745586678	64.36697853818725
3752R_0_F_S5_week10_S59_L001_R2_001	30.51871714904738	60.45158218931864
3752R_L_F_S5_week10_S60_L001_R1_001	26.48459032823854	68.49759785604567
3752R_L_F_S5_week10_S60_L001_R2_001	26.527077228111075	64.23583497652328
3795R_R_F_S2_week10_S51_L001_R1_001	19.060427300791638	76.02546076963048
3795R_R_F_S2_week10_S51_L001_R2_001	44.32863648867561	47.69462359018247
3874R_0_F_NS1_week10_S75_L001_R1_001	28.79205064808571	65.77976324267627
3874R_0_F_NS1_week10_S75_L001_R2_001	28.601933018655878	62.47096725855997
3874R_L_F_NS1_week10_S76_L001_R1_001	25.470661490000733	69.39732306372113
3874R_L_F_NS1_week10_S76_L001_R2_001	25.354500455225676	65.49807968019088
3893R_RL_M_S5_week10_S64_L001_R1_001	27.371352564635465	66.38332363454984
3893R_RL_M_S5_week10_S64_L001_R2_001	27.580222794912295	61.721672624490814
3893R_R_M_S5_week10_S63_L001_R1_001	30.704810099516227	64.19732188198819
3893R_R_M_S5_week10_S63_L001_R2_001	30.63264524291047	60.369020785260545
3894R_0_M_NS6_week10_S71_L001_R1_001	33.000980859737055	61.50530474142198
3894R_0_M_NS6_week10_S71_L001_R2_001	19.885356394035654	72.05179659308719
3896R_0_M_S2_week10_S52_L001_R1_001	33.60526550558568	60.88934706541241
3896R_0_M_S2_week10_S52_L001_R2_001	34.061239257357535	58.09601221216656
3896R_L_M_S2_week10_S53_L001_R1_001	32.734918560592234	61.73041402320165
3896R_L_M_S2_week10_S53_L001_R2_001	36.2699218094077	55.14736480912297
3909R_R_M_S2_week10_S54_L001_R1_001	34.86562768437845	59.5557737145662
3909R_R_M_S2_week10_S54_L001_R2_001	34.67828363398372	56.8036977952305
3974R_0_M_NS1_week10_S79_L001_R1_001	29.629462390839063	64.86530420568765
3974R_0_M_NS1_week10_S79_L001_R2_001	29.313381076663266	61.188826977088624
3974R_L_M_NS1_week10_S80_L001_R1_001	27.80058352558013	66.797564119962
3974R_L_M_NS1_week10_S80_L001_R2_001	27.554620708372912	62.82568869588819
Positive_control_S89_L001_R1_001	18.69393488449717	75.82437450454084
Positive_control_S89_L001_R2_001	17.970042974562954	71.67225289626302
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	21.130849220103986	72.89601386481803
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	20.12824956672444	69.19150779896015
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	20.044702983064447	73.90893199988537
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	9.569112913239916	81.12445195862108
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	14.473903002309468	79.00692840646651
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	19.417090069284065	71.19353348729791
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	20.261053144411516	74.1108765376964
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	19.463277983029514	70.8720717794649
negative_control_S90_L001_R1_001	90.3861955628595	5.63681183237469
negative_control_S90_L001_R2_001	78.83319638455217	11.914543960558746
