Sample	Unique Reads	Duplicate Reads
1002R_0_M_NS6_week10_S69_L001_R1_001	2293.0	121299.0
1002R_0_M_NS6_week10_S69_L001_R2_001	4883.0	118709.0
1002R_L_M_NS6_week10_S70_L001_R1_001	2148.0	108474.0
1002R_L_M_NS6_week10_S70_L001_R2_001	4369.0	106253.0
1030R_0_M_NS1_week10_S77_L001_R1_001	2180.0	108775.0
1030R_0_M_NS1_week10_S77_L001_R2_001	5462.0	105493.0
1030R_R_M_NS1_week10_S78_L001_R1_001	1934.0	95584.0
1030R_R_M_NS1_week10_S78_L001_R2_001	4909.0	92609.0
1075R_0_M_NS6_week9_S72_L001_R1_001	2020.0	108517.0
1075R_0_M_NS6_week9_S72_L001_R2_001	4210.0	106327.0
1136R_RL_F_S5_week10_S58_L001_R1_001	1837.0	98716.0
1136R_RL_F_S5_week10_S58_L001_R2_001	4140.0	96413.0
1136R_R_F_S5_week10_S57_L001_R1_001	1938.0	105442.0
1136R_R_F_S5_week10_S57_L001_R2_001	4953.0	102427.0
1174R_0_M_S2_week9_S56_L001_R1_001	2060.0	98984.0
1174R_0_M_S2_week9_S56_L001_R2_001	3758.0	97286.0
160R_0_F_S2_week10_S49_L001_R1_001	2073.0	110451.0
160R_0_F_S2_week10_S49_L001_R2_001	4307.0	108217.0
160R_L_F_S2_week10_S50_L001_R1_001	1882.0	105161.0
160R_L_F_S2_week10_S50_L001_R2_001	3895.0	103148.0
184R_0_F_NS6_week10_S65_L001_R1_001	2055.0	103123.0
184R_0_F_NS6_week10_S65_L001_R2_001	4404.0	100774.0
184R_L_F_NS6_week10_S66_L001_R1_001	2062.0	113023.0
184R_L_F_NS6_week10_S66_L001_R2_001	4262.0	110823.0
2403R_L_F_NS6_week10_S67_L001_R1_001	1983.0	117503.0
2403R_L_F_NS6_week10_S67_L001_R2_001	4020.0	115466.0
2446R_0_F_S2_week9_S55_L001_R1_001	2209.0	111351.0
2446R_0_F_S2_week9_S55_L001_R2_001	4122.0	109438.0
2472R_0_F_NS1_week10_S73_L001_R1_001	2247.0	119328.0
2472R_0_F_NS1_week10_S73_L001_R2_001	5881.0	115694.0
2472R_R_F_NS1_week10_S74_L001_R1_001	2056.0	106389.0
2472R_R_F_NS1_week10_S74_L001_R2_001	4956.0	103489.0
2506R_0_F_NS6_week10_S68_L001_R1_001	1950.0	99616.0
2506R_0_F_NS6_week10_S68_L001_R2_001	3820.0	97746.0
2518R_L_M_S5_week10_S61_L001_R1_001	2033.0	111524.0
2518R_L_M_S5_week10_S61_L001_R2_001	4810.0	108747.0
2518R_R_M_S5_week10_S62_L001_R1_001	1907.0	101136.0
2518R_R_M_S5_week10_S62_L001_R2_001	4575.0	98468.0
3752R_0_F_S5_week10_S59_L001_R1_001	1821.0	101106.0
3752R_0_F_S5_week10_S59_L001_R2_001	4113.0	98814.0
3752R_L_F_S5_week10_S60_L001_R1_001	1691.0	90102.0
3752R_L_F_S5_week10_S60_L001_R2_001	3879.0	87914.0
3795R_R_F_S2_week10_S51_L001_R1_001	2256.0	128612.0
3795R_R_F_S2_week10_S51_L001_R2_001	4120.0	126748.0
3874R_0_F_NS1_week10_S75_L001_R1_001	1961.0	104815.0
3874R_0_F_NS1_week10_S75_L001_R2_001	4679.0	102097.0
3874R_L_F_NS1_week10_S76_L001_R1_001	1867.0	93690.0
3874R_L_F_NS1_week10_S76_L001_R2_001	4404.0	91153.0
3893R_RL_M_S5_week10_S64_L001_R1_001	2098.0	94134.0
3893R_RL_M_S5_week10_S64_L001_R2_001	4487.0	91745.0
3893R_R_M_S5_week10_S63_L001_R1_001	2104.0	110139.0
3893R_R_M_S5_week10_S63_L001_R2_001	4454.0	107789.0
3894R_0_M_NS6_week10_S71_L001_R1_001	2242.0	108885.0
3894R_0_M_NS6_week10_S71_L001_R2_001	3996.0	107131.0
3896R_0_M_S2_week10_S52_L001_R1_001	1933.0	98950.0
3896R_0_M_S2_week10_S52_L001_R2_001	3457.0	97426.0
3896R_L_M_S2_week10_S53_L001_R1_001	2445.0	134528.0
3896R_L_M_S2_week10_S53_L001_R2_001	4873.0	132100.0
3909R_R_M_S2_week10_S54_L001_R1_001	2280.0	119955.0
3909R_R_M_S2_week10_S54_L001_R2_001	4547.0	117688.0
3974R_0_M_NS1_week10_S79_L001_R1_001	2152.0	108579.0
3974R_0_M_NS1_week10_S79_L001_R2_001	5157.0	105574.0
3974R_L_M_NS1_week10_S80_L001_R1_001	2196.0	115708.0
3974R_L_M_NS1_week10_S80_L001_R2_001	5448.0	112456.0
Positive_control_S89_L001_R1_001	2444.0	141362.0
Positive_control_S89_L001_R2_001	5531.0	138275.0
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	2704.0	112696.0
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	6049.0	109351.0
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	2518.0	102173.0
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	5033.0	99658.0
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	2667.0	105583.0
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	4697.0	103553.0
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	2327.0	96197.0
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	4587.0	93937.0
negative_control_S90_L001_R1_001	162.0	5923.0
negative_control_S90_L001_R2_001	420.0	5665.0
