"features"	"coefs"	"category"
"1"	"EC.2.4.1.52"	-7.40598231535181	"left"
"2"	"EC.4.1.1.7"	-6.85729409867279	"left"
"3"	"EC.1.1.1.47"	-5.54484565718038	"left"
"4"	"EC.1.8.4.8"	-4.90253963960576	"left"
"5"	"EC.1.8.4.10"	-4.90253963960576	"left"
"6"	"EC.1.5.1.24"	-4.68039247102767	"left"
"7"	"EC.4.2.1.156"	-4.20572431106326	"left"
"8"	"EC.4.1.1.50"	-4.10868823004542	"left"
"9"	"EC.3.4.24.40"	-3.9712819683299	"left"
"10"	"EC.1.1.1.367"	-3.84451463449661	"left"
"11"	"EC.2.1.1.148"	4.21852763344179	"right"
"12"	"EC.1.1.1.2"	4.28017402276781	"right"
"13"	"EC.4.1.3.32"	4.47055313365581	"right"
"14"	"EC.2.6.1.98"	4.83536309541672	"right"
"15"	"EC.4.1.1.82"	4.99692430514839	"right"
"16"	"EC.4.2.1.167"	5.31552811274868	"right"
"17"	"EC.3.3.2.9"	5.4138984421088	"right"
"18"	"EC.3.4.11.5"	5.64554193001022	"right"
"19"	"EC.1.3.7.8"	6.34187491037761	"right"
"20"	"EC.1.1.1.281"	7.22234115159	"right"
