STATA_FemMicro364,STATA_FemMicro (all small),"STATA_FemMicro (no plate, all small)",Short ID,Id,Danska_ASV,Danska_species,Control,Inoculum,Plate,Sex,Community Sero Status,Consortium,Timepoint,Merged Weeks,Week and Consortium,Sex and Consortium,Sex and Timepoint,poor_quality_sample_exclude,SRA_sample_name,sequencing_plate_number,samples_364_by_seq_asv_table_name
plate1_1002R_0_M_NS6_week10_S69_,plate1_1002r_0_m_ns6_week10_s69_,1002r_0_m_ns6_week10_s69_,1002R_0_M_NS6_week10,Plate1_1002R_0_M_NS6_week10_S69_L001,1002R_0_M_NS6_week10,1002R_0_M_NS6_week10,,,plate1,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1002R_0_M_NS6_week10,plate1,Plate1_1002R_0_M_NS6_week10_S69_L001
plate1_1002R_L_M_NS6_week10_S70_,plate1_1002r_l_m_ns6_week10_s70_,1002r_l_m_ns6_week10_s70_,1002R_L_M_NS6_week10,Plate1_1002R_L_M_NS6_week10_S70_L001,1002R_L_M_NS6_week10,1002R_L_M_NS6_week10,,,plate1,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1002R_L_M_NS6_week10,plate1,Plate1_1002R_L_M_NS6_week10_S70_L001
plate1_1030R_0_M_NS1_week10_S77_,plate1_1030r_0_m_ns1_week10_s77_,1030r_0_m_ns1_week10_s77_,1030R_0_M_NS1_week10,Plate1_1030R_0_M_NS1_week10_S77_L001,1030R_0_M_NS1_week10,1030R_0_M_NS1_week10,,,plate1,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1030R_0_M_NS1_week10,plate1,Plate1_1030R_0_M_NS1_week10_S77_L001
plate1_1030R_R_M_NS1_week10_S78_,plate1_1030r_r_m_ns1_week10_s78_,1030r_r_m_ns1_week10_s78_,1030R_R_M_NS1_week10,Plate1_1030R_R_M_NS1_week10_S78_L001,1030R_R_M_NS1_week10,1030R_R_M_NS1_week10,,,plate1,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1030R_R_M_NS1_week10,plate1,Plate1_1030R_R_M_NS1_week10_S78_L001
plate1_1075R_0_M_NS6_week9_S72_L,plate1_1075r_0_m_ns6_week9_s72_l,1075r_0_m_ns6_week9_s72_l,1075R_0_M_NS6_week9,Plate1_1075R_0_M_NS6_week9_S72_L001,1075R_0_M_NS6_week9,1075R_0_M_NS6_week9,,,plate1,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1075R_0_M_NS6_week9,plate1,Plate1_1075R_0_M_NS6_week9_S72_L001
plate1_1136R_R_F_S5_week10_S57_L,plate1_1136r_r_f_s5_week10_s57_l,1136r_r_f_s5_week10_s57_l,1136R_R_F_S5_week10,Plate1_1136R_R_F_S5_week10_S57_L001,1136R_R_F_S5_week10,1136R_R_F_S5_week10,,,plate1,Female,IAB+,S5,week_10,w9w10,S5_w9w10,Female_S5,Female_w9w10,,1136R_R_F_S5_week10,plate1,Plate1_1136R_R_F_S5_week10_S57_L001
plate1_1136R_RL_F_S5_week10_S58_,plate1_1136r_rl_f_s5_week10_s58_,1136r_rl_f_s5_week10_s58_,1136R_RL_F_S5_week10,Plate1_1136R_RL_F_S5_week10_S58_L001,1136R_RL_F_S5_week10,1136R_RL_F_S5_week10,,,plate1,Female,IAB+,S5,week_10,w9w10,S5_w9w10,Female_S5,Female_w9w10,,1136R_RL_F_S5_week10,plate1,Plate1_1136R_RL_F_S5_week10_S58_L001
plate1_1174R_0_M_S2_week9_S56_L0,plate1_1174r_0_m_s2_week9_s56_l0,1174r_0_m_s2_week9_s56_l0,1174R_0_M_S2_week9,Plate1_1174R_0_M_S2_week9_S56_L001,1174R_0_M_S2_week9,1174R_0_M_S2_week9,,,plate1,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1174R_0_M_S2_week9,plate1,Plate1_1174R_0_M_S2_week9_S56_L001
plate1_160R_0_F_S2_week10_S49_L0,plate1_160r_0_f_s2_week10_s49_l0,160r_0_f_s2_week10_s49_l0,160R_0_F_S2_week10,Plate1_160R_0_F_S2_week10_S49_L001,160R_0_F_S2_week10,160R_0_F_S2_week10,,,plate1,Female,IAB+,S2,week_10,w9w10,S2_w9w10,Female_S2,Female_w9w10,,160R_0_F_S2_week10,plate1,Plate1_160R_0_F_S2_week10_S49_L001
plate1_160R_L_F_S2_week10_S50_L0,plate1_160r_l_f_s2_week10_s50_l0,160r_l_f_s2_week10_s50_l0,160R_L_F_S2_week10,Plate1_160R_L_F_S2_week10_S50_L001,160R_L_F_S2_week10,160R_L_F_S2_week10,,,plate1,Female,IAB+,S2,week_10,w9w10,S2_w9w10,Female_S2,Female_w9w10,,160R_L_F_S2_week10,plate1,Plate1_160R_L_F_S2_week10_S50_L001
