ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Cyclitol biosynthesis	8-oxo-GTP-detoxification	Antibiotic resistance	Other degradation	Protein modification	Secondary metabolite biosynthesis	Carboxylic acid biosynthesis	Fluorescence protein biosynthesis	Aldehyde degradation	Aminoacyl-tRNAs-charging	Amide, amidine, amine, and polyamine biosynthesis	Storage compound biosynthesis	Cyclitol degradation	Cofactor, carrier, and vitamin biosynthesis	Amide, amidine, amine, and polyamine degradation	Hydrocarbon degradation	Aromatic compound degradation	Protein degradation	Cell structure biosynthesis	Carboxylic acid degradation	Acetate degradation	Alcohol degradation	Chlorinated compound degradation	Polyprenyl biosynthesis	Tetrapyrrole biosynthesis	nan	Hormone, neurotransmitter, and signaling molecule degradation	Cyanide detoxification	Carbohydrate biosynthesis	Nucleotide-alditol biosynthesis	Secondary metabolite degradation	Amino acid biosynthesis	Chromoprotein biosynthesis	Nucleoside and nucleotide degradation	Carbohydrate degradation	Polymeric compound degradation	Other biosynthesis	Arsenic detoxification	Reactive oxygen species degradation	C1 Compound utilization and assimilation	Fatty acid and lipid degradation	Hormone, neurotransmitter, and signaling molecule biosynthesis	Nucleoside and nucleotide biosynthesis	Mercury detoxification	Nucleic acid processing	Methylglyoxal detoxification	Cofactor, carrier, and vitamin degradation	Inorganic nutrient metabolism	Acid resistance	Amino acid degradation	Metabolic regulator biosynthesis	Nitrogen remobilization from senescing leaves	Metabolic regulators	Aromatic compound biosynthesis	Hydrocarbon biosynthesis	Fatty acid and lipid biosynthesis	Seleno amino acid detoxification
S_NS1_Af_002_v1v9_default_parsed_report.tsv	328	328	211	224	104	1	0	2	1	5	22	6	0	1	1	8	3	0	30	4	0	5	0	15	7	0	10	0	6	4	328	0	0	13	0	0	30	0	6	19	6	3	1	2	4	0	4	21	0	6	1	0	6	1	8	0	0	2	4	0	30	0
S_S2_Am_061_default_parsed_report.tsv	330	330	216	231	99	1	1	1	1	7	23	6	0	0	1	8	1	0	35	4	0	5	0	11	6	0	5	0	6	5	330	2	0	12	0	1	28	0	2	17	6	6	0	2	4	0	2	23	0	6	0	0	8	1	7	0	0	3	5	0	26	0
S_NS6_Cb_042_default_parsed_report.tsv	410	410	277	300	110	1	1	1	3	6	29	6	0	2	2	8	1	1	31	11	0	23	0	12	11	0	12	0	7	6	410	2	0	15	0	2	30	0	8	25	10	4	1	2	8	4	2	21	1	6	1	0	9	0	9	0	0	2	2	0	27	0
S_S2_Bs_063_default_parsed_report.tsv	454	454	334	316	138	1	1	1	7	8	33	7	0	3	2	15	2	1	33	18	0	14	0	11	11	0	14	1	8	7	454	3	0	15	0	1	29	0	7	26	13	7	1	2	8	2	4	23	0	6	2	0	15	0	8	3	0	2	7	0	29	0
S_NS1_Sw_027_default_parsed_report.tsv	358	358	224	248	110	1	1	1	6	6	20	5	0	2	1	14	1	0	32	10	0	17	0	14	5	0	13	1	5	6	358	2	0	12	0	1	28	0	3	15	4	3	0	2	6	3	3	22	1	6	2	0	8	1	7	3	0	2	3	0	30	0
S_NS1_Pm_023_default_parsed_report.tsv	386	386	272	270	116	1	1	2	2	4	25	6	0	4	1	9	1	0	33	4	0	8	0	15	8	0	14	0	6	4	386	0	0	13	0	2	30	0	6	28	12	5	1	2	7	1	5	21	0	6	2	0	12	1	8	0	0	2	6	0	31	0
S_NS1_El_014_default_parsed_report.tsv	342	342	224	243	99	0	0	2	3	6	21	6	0	5	1	7	1	1	34	5	0	4	0	11	4	0	17	0	6	3	342	2	0	14	0	1	29	0	4	17	2	8	1	1	6	1	2	22	0	6	2	0	10	0	6	1	0	2	4	0	29	0
S_S2_Cs_071_v1v9_default_parsed_report.tsv	381	381	247	280	101	0	1	1	4	7	27	6	0	1	2	9	1	1	30	10	0	17	0	10	10	0	13	0	7	6	381	2	0	16	0	1	30	0	8	22	7	6	1	2	6	1	2	20	1	6	1	0	8	0	9	0	0	2	2	0	27	0
S_NS1_Ba_008_default_parsed_report.tsv	335	335	197	235	100	1	1	1	1	7	21	6	0	1	1	3	1	0	27	4	0	13	0	11	8	0	14	0	7	0	335	2	0	12	0	0	29	0	4	22	10	8	0	0	4	0	1	21	1	5	0	0	9	0	4	0	0	2	2	0	27	0
S_S2_Fp_080_default_parsed_report.tsv	364	364	243	260	104	0	0	2	3	5	19	6	0	1	2	11	1	1	27	7	0	19	0	8	11	0	14	0	7	6	364	2	0	10	0	1	31	0	7	21	6	4	1	2	6	4	3	21	0	6	1	0	8	1	8	0	0	2	2	0	26	0
