Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
0	PWY-6012-1	Yes	Yes	1	1	Protein-Modification	acyl carrier protein activation // [acp] metabolism // ACP metabolism // ACP activation	Escherichia coli,Homo sapiens	Bacteria	Macromolecule modification				Protein modification			
1	PWY-6012	Yes	Yes	1	1	Protein-Modification	acyl carrier protein metabolism // [acp] metabolism // ACP metabolism // ACP metab	Escherichia coli	Bacteria	Macromolecule modification				Protein modification			
2	PWY-5083	Yes	Yes	3	1	Interconversion // Cofactor-Biosynthesis	NAD(P)/NADPH interconversion	Avena sativa,Solanum tuberosum,Spinacia oleracea,Zea mays,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion			Cofactor, carrier, and vitamin biosynthesis			
3	PWY-8138	Yes	Yes	1	1	Noncarbon-Nutrients	polyphosphate metabolism	Escherichia coli	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
4	PWY-5441	Yes	Yes	1	1	Interconversion	S-methyl-L-methionine cycle // SMM cycle	Arabidopsis thaliana	Non-Bacteria	Metabolite activation/inactivation/interconversion							
5	PWY-40	Yes	Yes	2	1	Polyamine-Biosynthesis	putrescine biosynthesis I	Homo sapiens,Bacillus subtilis,Escherichia coli,Mycolicibacterium phlei,Mycolicibacterium smegmatis	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
6	PWY-43	Yes	No	3	1	Polyamine-Biosynthesis	putrescine biosynthesis II	Aeromonas caviae,Campylobacter jejuni,Pseudomonas aeruginosa,Arabidopsis thaliana	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
7	PWY-6305	Yes	No	3	1	Super-Pathways // Polyamine-Biosynthesis	superpathway of putrescine biosynthesis // putrescine biosynthesis in plants // ODC and ADC putrescine biosynthesis	Avena sativa,Brassica juncea,Capsicum annuum,Datura stramonium,Dianthus caryophyllus,Glycine max,Malus domestica,Nicotiana tabacum,Oryza sativa,Pisum sativum,Solanum lycopersicum,Theobroma cacao,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Amide, amidine, amine, and polyamine biosynthesis			
8	PWY0-1303	Yes	Yes	2	1	Polyamine-Biosynthesis	aminopropylcadaverine biosynthesis	Escherichia coli	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
9	PWY0-1601	Yes	Yes	1	1	Acid-Resistance // Polyamine-Biosynthesis	cadaverine biosynthesis // acid resistance system 4 // L-lysine-dependent acid resistance	Anaerovibrio lipolyticus,Escherichia coli,Pseudomonas aeruginosa,Selenomonas ruminantium,Veillonella parvula	Bacteria	Biosynthesis	Detoxification			Amide, amidine, amine, and polyamine biosynthesis	Acid resistance		
